search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,search-results__item-link 3,search-results__item-link href 3,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/falafel-egypt,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,1,Street Food,https://www.tasteatlas.com/Street-food,Ta'meya,3.9,Best in   (Alexandria),Mohamed Ahmed Restaurant,https://www.tasteatlas.com/MohamedAhmedRestaurant,"Even though these protein-packed chickpea fritters are listed as one of Israel's national dishes, it is often suggested that falafel might have originated in Egypt, Lebanon, or Palestine. By the 1950s, to earn a living, Yemenite immigrants in Isra...",https://www.tasteatlas.com/falafel-egypt/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/falafel-egypt/recipe,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,
https://www.tasteatlas.com/kunafah,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,2,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kunāfah,4.4,,,,"Kunāfah consists of two crunchy layers of shredded and buttered  or  dough, filled with a luscious cheese cream that's often flavored with orange zest and cardamom, then drenched in a sugar syrup infused with lemon ju...",https://www.tasteatlas.com/kunafah/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/kunafah/recipe,https://www.tasteatlas.com/akkawi,https://cdn.tasteatlas.com/images/dishes/09a76a10b5d44cffa5e62e170de95cf9.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,kataifi,
https://www.tasteatlas.com/kushari,https://cdn.tasteatlas.com//Images/Dishes/bc0a3be4164b484ea01512c3ab6d4467.jpg?mw=660,3,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Kushari,4.2,Best in   (Cairo),Koshary Abou Tarek,https://www.tasteatlas.com/KosharyAbouTarek,"Kushari, also known as , ,  and , is a simple, yet flavorful Egyptian national dish consisting of rice, pasta, and lentils. The name stems from the Hindu word , refe...",https://www.tasteatlas.com/kushari/wheretoeat,,,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/pasta,https://cdn.tasteatlas.com/images/dishgroups/9c516a22b03b4223b1c9343067b09549.png?h=120&w=120,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,koshari,
https://www.tasteatlas.com/qatayef,https://cdn.tasteatlas.com//images/dishes/8b3fd75c843748ae8433d1c44d19a5b3.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Qatayef,3.9,,,,"Qatayef is an Arabian dessert and a staple of the Ramadan holiday feast. It is a sweet pancake that is usually filled with cheese or nuts such as walnuts, almonds, pistachios, or hazelnuts. Qatayef can also be consumed plain, topped with clotted c...",https://www.tasteatlas.com/qatayef/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/qatayef/recipe,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,,
https://www.tasteatlas.com/kebda-eskandarani,https://cdn.tasteatlas.com//images/dishes/f4d8a7febf434305a362fbf8a3936986.jpg?mw=660,5,Offal Dish,https://www.tasteatlas.com/Offal,Kebda Eskandarani,,Best in   (Cairo),Yokal,https://www.tasteatlas.com/yokal,"Kebda Eskandarani or  is the Alexandrine specialty consisting of fried beef liver with spicy seasonings such as cumin, garlic, cardamom, and chili peppers. It is usually served in sandwiches along with  dip...",https://www.tasteatlas.com/kebda-eskandarani/wheretoeat,,,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,Alexandrian liver,n/a
https://www.tasteatlas.com/mulukhiyah,https://cdn.tasteatlas.com//Images/Dishes/f8c79a3543e348eab489a5f2be352068.jpg?mw=660,6,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Mulukhiyah,3.7,Best in   (Cairo),Sobhy Kaber,https://www.tasteatlas.com/sobhy-kaber,"Mulukhiyah is the national dish of Egypt, a soup made by cooking a large amount of finely chopped jute, which is a green leaf vegetable with a distinctively bitter flavor. Traditionally, the soup is cooked with garlic, coriander, chicken meat or c...",https://www.tasteatlas.com/mulukhiyah/wheretoeat,,,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/fennel,https://cdn.tasteatlas.com/images/ingredientgroups/64c246113f4147b6a1bff6eae8667ae4.png?h=120&w=120,,
https://www.tasteatlas.com/fesikh,https://cdn.tasteatlas.com//images/dishes/490647167f314613bd07cbe69f054538.jpg?mw=660,7,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Fesikh,,,,,"Fesikh is a popular Egyptian dish consisting of dried, fermented, and salted gray mullet. The fish is dried in the sun by a specialist called a . If prepared incorrectly, the dish can cause poisoning, so it is traditionally store...",https://www.tasteatlas.com/fesikh/wheretoeat,,,https://www.tasteatlas.com/grey-mullets,https://cdn.tasteatlas.com/images/ingredientgroups/87ea452e844d4f7bae5209321cb6b9c1.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,,,,,fasakhani,n/a
https://www.tasteatlas.com/shawarma-egypt,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,8,Street Food,https://www.tasteatlas.com/Street-food,Shawarma,4.4,Best in   (Cairo),Abu Haider,https://www.tasteatlas.com/AbouHaidar,"Marinated and spit-roasted, shawarma is a delicious Middle Eastern meat treat whose origins can be traced back to the Ottoman Empire era, while its name stems from the Arabic pronunciation of the Turkish word  (lit. to turn;...",https://www.tasteatlas.com/shawarma-egypt/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/shawarma-egypt/recipe,https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com/images/dishes/16f3181148e84a6c96e601e9fb65d813.png?h=120&w=120,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Vegetables,https://cdn.tasteatlas.com/images/ingredientgroups/23c55ec12d924df3af23cca250689036.png?h=120&w=120,çevirme,
https://www.tasteatlas.com/ful-medames,https://cdn.tasteatlas.com//Images/Dishes/6663a3bf6e854199973e94f6117f6c64.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Ful medames,3.9,Best in   (Cairo),Zooba,https://www.tasteatlas.com/Zooba,"Ful medames is an ancient, pre-Ottoman and pre-Islamic national dish of Egypt, a traditional breakfast food consisting of slowly simmered fava beans seasoned with a squeeze of lemon juice, olive oil, garlic, and selected spices. Some remnants of t...",https://www.tasteatlas.com/ful-medames/wheretoeat,,,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,,
https://www.tasteatlas.com/hummus-egypt,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,10,Dip,https://www.tasteatlas.com/dips,Hummus,4.3,,,,"This internationally popular, beige-colored spread is traditionally made with mashed chickpeas,  sesame paste, lemon juice, and garlic. People across the world love hummus for its tangy flavor and the fact that it is filled with nut...",https://www.tasteatlas.com/hummus-egypt/wheretoeat,VIEW RECIPE,https://www.tasteatlas.com/hummus-egypt/recipe,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,,tahini,
