search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,mini-ingredients__link href 6,score-text--na
https://www.tasteatlas.com/curtido,https://cdn.tasteatlas.com//Images/Dishes/6c836be8f0094a9e8150705a12fad69d.jpg?mw=660,1,Relish,https://www.tasteatlas.com/relishes,Curtido,4.6,"Curtido is a flavorful relish from El Salvador, consisting of fermented cabbage. It is sometimes affectionately called  due to the similarities between the two dishes. Curtido is often used as an accompaniment to ...",El Salvadorean sauerkraut,https://www.tasteatlas.com/curtido/wheretoeat,https://www.tasteatlas.com/Cabbages,https://www.tasteatlas.com/Carrots,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/Salt,https://www.tasteatlas.com/oregano,https://www.tasteatlas.com/Cauliflowers,
https://www.tasteatlas.com/pupusa,https://cdn.tasteatlas.com//Images/Dishes/ccc825a4428b4ff591c9cee063886f34.jpg?mw=660,2,Street Food,https://www.tasteatlas.com/Street-food,Pupusa,4.8,"Pupusa is the national dish of El Salvador, a thick, stuffed, skillet-cooked corn tortilla, traditionally served with a side of tomato salsa and coleslaw. Pupusas are almost always handmade, sold at numerous street corners in the country and eaten...",,https://www.tasteatlas.com/pupusa/wheretoeat,,,,,,,
https://www.tasteatlas.com/tamal-de-pollo,https://cdn.tasteatlas.com//images/dishes/857bb33d8c2f4bcf99feb1312599202f.jpg?mw=660,3,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Tamal de pollo,4.5,"Tamal de pollo is a Salvadorian variety of a tamale that is usually filled with shredded chicken. The chicken is stewed with potatoes, chickpeas, and olives. The combination is mixed with corn masa, and it is then wrapped in banana leaves and boil...",,https://www.tasteatlas.com/tamal-de-pollo/wheretoeat,https://www.tasteatlas.com/Chicken,https://www.tasteatlas.com/Potatoes,https://www.tasteatlas.com/Olives,https://www.tasteatlas.com/corn-flours,https://www.tasteatlas.com/banana-leaves,https://www.tasteatlas.com/bell-peppers,
https://www.tasteatlas.com/coctel-de-conchas,https://cdn.tasteatlas.com//images/dishes/928d3c22e9d045e2b89f7ea88dc61b8c.jpg?mw=660,4,Clam Dish,https://www.tasteatlas.com/clam-dishes,Cóctel de conchas,4.3,"Cóctel de conchas is a seafood delicacy typical of Salvadoran cuisine. It is a type of shellfish cocktail that usually combines black shell clams (), diced onions and tomatoes, cilantro, and lemon or lime juice. The w...",conchas negras,https://www.tasteatlas.com/coctel-de-conchas/wheretoeat,,,,,,,
https://www.tasteatlas.com/sopa-de-pata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,5,Offal Soup,https://www.tasteatlas.com/offal-soups,Sopa de pata,4.7,"Sopa de pata is a traditional Salvadoran soup. It's made with a combination of tripe, cow's feet, sweet corn, green beans, chayotes, cassava, and bananas. The soup is spiced with onions, garlic, cumin, and achiote, while its rich and buttery flavo...",,https://www.tasteatlas.com/sopa-de-pata/wheretoeat,,,,,,,
https://www.tasteatlas.com/lomo-relleno,https://cdn.tasteatlas.com//images/dishes/4162e315cc704a3bba2ec6f71e6a4411.jpg?mw=660,6,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Lomo relleno,,"Lomo relleno or  is a traditional meat specialty from El Salvador, consisting of pork or beef tenderloin that is cut open and pounded lightly before it’s rolled around a filling. The meat is typically seasoned with spice...",stuffed loin,https://www.tasteatlas.com/lomo-relleno/wheretoeat,,,,,,,n/a
https://www.tasteatlas.com/casamiento,https://cdn.tasteatlas.com//images/dishes/5c649ff4c39d4a06950fb2034fbc1314.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Casamiento,4.5,,,https://www.tasteatlas.com/casamiento/wheretoeat,,,,,,,
https://www.tasteatlas.com/tamales-pisques,https://cdn.tasteatlas.com//images/dishes/da00a240aaf3472390fedf1c8d8f1beb.jpg?mw=660,8,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Tamales pisques,4.3,"This variety of tamales comes from El Salvador, but it is also popular in Honduras. Tamales pisques are made with seasoned corn masa that is mixed with refried beans, and the combination is then neatly wrapped in plantain leaves. The tamales are t...",,https://www.tasteatlas.com/tamales-pisques/wheretoeat,https://www.tasteatlas.com/masa-harinas,https://www.tasteatlas.com/red-beans,https://www.tasteatlas.com/Olive-oil,https://www.tasteatlas.com/bell-peppers,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/Salt,
https://www.tasteatlas.com/sopa-de-gallina-india,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,9,Chicken Soup,https://www.tasteatlas.com/chicken-soups,Sopa de gallina india,4.8,"The star ingredient of this traditional Salvadoran soup or broth is a free-range, home-raised chicken known as . With an incomparable, rich flavor due to it being raised in a natural environment and fed on a natural diet, the...",gallina india,https://www.tasteatlas.com/sopa-de-gallina-india/wheretoeat,,,,,,,
https://www.tasteatlas.com/pupusa-de-queso-con-loroco,,10,Street Food,https://www.tasteatlas.com/Street-food,Pupusa de queso con loroco,4.5,"Pupusa de queso con loroco is a variety of Salvadoran cheese , a thick corn tortilla that oozes with a mixture of gooey cheese and finely chopped  flower buds. The most traditional type of cheese used for the filling ...",pupusa,https://www.tasteatlas.com/pupusa-de-queso-con-loroco/wheretoeat,,,,,,,
https://www.tasteatlas.com/quesadilla-salvadorena,,11,Cake,https://www.tasteatlas.com/cakes,Quesadilla Salvadoreña,4.6,"Quesadilla Salvadoreña is a sweet dessert cake or a sweet bread that's usually found in local bakeries. In some villages, the cake is traditionally prepared on Sunday morning. It's made with a combination of flour, queso fresco or parmesan ...",,https://www.tasteatlas.com/quesadilla-salvadorena/wheretoeat,,,,,,,
https://www.tasteatlas.com/yuca-con-chicharron-el-salvador,,12,Side Dish,https://www.tasteatlas.com/Sides,Yuca con chicharrón,,"Yuca con chicharrón is a typical Honduran dish consisting of boiled yucca root combined with lemon juice and cabbage, topped with crispy, deep-fried pork chicharrón, and a tomato-based hot sauce. The dish is commonly served on the si...",,https://www.tasteatlas.com/yuca-con-chicharron-el-salvador/wheretoeat,https://www.tasteatlas.com/cassava,https://www.tasteatlas.com/chicharron,https://www.tasteatlas.com/lemon-juices,https://www.tasteatlas.com/Cabbages,https://www.tasteatlas.com/Hot-peppers,https://www.tasteatlas.com/Carrots,n/a
https://www.tasteatlas.com/leche-poleada,,13,Custard,https://www.tasteatlas.com/custards,Leche poleada,,"Leche poleada is a traditional Salvadoran dessert, a creamy vanilla custard that can often be found plated on dried corn husks throughout the markets in the country. It is made with a combination of cornstarch, milk, vanilla, sugar, egg yolks, and...",,https://www.tasteatlas.com/leche-poleada/wheretoeat,,,,,,,n/a
