search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/kohuke,https://cdn.tasteatlas.com//images/dishes/ea4e3c4750b4496aae070b70037d151c.jpg?mw=660,1,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Kohuke,4.3,"Curd snack is a dairy confectionery that is prepared with sweetened and pressed curd cheese. It is usually covered in a chocolate coating and comes in various flavors such as vanilla, chocolate, or caramel, and it's often dotted with fruits, cocon...",https://www.tasteatlas.com/kohuke/wheretoeat,,,,,
https://www.tasteatlas.com/pirukas,https://cdn.tasteatlas.com//images/dishes/ea0b1414511844a2972287cbb8800c96.jpg?mw=660,2,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Pirukas,3.9,"Pirukas is a typical Estonian snack consisting of dough pockets filled with a variety of ingredients. It can be classified into three categories:  (small, baked),  (small, fried), and  ...",https://www.tasteatlas.com/pirukas/wheretoeat,Best in   (Tallinn),Bar-Buffeé Nikolay,https://www.tasteatlas.com/bar-buffee-nikolay,küpsetatud,
https://www.tasteatlas.com/kama,https://cdn.tasteatlas.com//images/dishes/42952983b1c54460a1c30b1437f3ee57.jpg?mw=660,3,Porridge,https://www.tasteatlas.com/Porridge,Kama,,"This Estonian classic is prepared with a combination of roasted and finely milled flour types, usually oat, rye, barley, and pea flour. The mixture is then blended with dairy products such as buttermilk, kefir, or sour milk in order to create a cr...",https://www.tasteatlas.com/kama/wheretoeat,Best in   (Tallinn),Rukis,https://www.tasteatlas.com/rukis,,n/a
https://www.tasteatlas.com/verivorst,https://cdn.tasteatlas.com//images/dishes/b9fbcd18d414469d9f5f7618286c06e8.jpg?mw=660,4,Blood Sausage,https://www.tasteatlas.com/blood-sausages,Verivorst,4.5,"Verivorst is a traditional Estonian blood sausage and the country's national dish. It is a typical winter meal, usually served during the Christmas festivities, when piles of verivorst sausages are roasted together with potatoes and pork. The saus...",https://www.tasteatlas.com/verivorst/wheretoeat,,,,,
https://www.tasteatlas.com/kohupiimakreem,https://cdn.tasteatlas.com//images/dishes/c5089b81a5b5473390097decdec22d69.jpg?mw=660,5,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Kohupiimakreem,,"Kohupiimakreem is an Estonian dessert consisting of a delicious cream made from curd cheese which is combined with vanilla, sugar, and whipped cream. This dessert is always served cold, and it is recommended to top it with raisins or fresh berries...",https://www.tasteatlas.com/kohupiimakreem/wheretoeat,,,,,n/a
https://www.tasteatlas.com/rosolje,https://cdn.tasteatlas.com//images/dishes/8c5ceba907c34dbb82c6d7f3ebcbb81b.jpg?mw=660,6,Salad,https://www.tasteatlas.com/Salads,Rosolje,4.2,"This popular fuchsia-colored salad is a staple side dish in traditional Estonian cuisine. It is prepared with pickled herring and bite-sized pieces of beets and potatoes, all coated in a refreshing, creamy dressing. The salad is easily adaptable a...",https://www.tasteatlas.com/rosolje/wheretoeat,,,,,
https://www.tasteatlas.com/kiluvoileib,https://cdn.tasteatlas.com//images/dishes/34e9439fcd8049d2ac81cd86e772fc70.jpg?mw=660,7,Sandwich,https://www.tasteatlas.com/sandwiches,Kiluvõileib,3.8,"This traditional Estonian open-faced sandwich consists of a slice of rye bread that is topped with a marinated sprat fillet. The bread is often buttered, or coated with —the coarse egg and butter spread—while the fillet...",https://www.tasteatlas.com/kiluvoileib/wheretoeat,,,,munavoi,
https://www.tasteatlas.com/leivasupp,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Sweet Soup,https://www.tasteatlas.com/sweet-soups,Leivasupp,,"Thick, creamy, and sweet bread soup called leivasupp is a traditional Estonian dish that is usually made with soaked and mashed bread, raisins, fruit juice, cinnamon, and sugar. It is typically prepared with a traditional, dense rye bread, and is ...",https://www.tasteatlas.com/leivasupp/wheretoeat,,,,,n/a
https://www.tasteatlas.com/mulgipuder,https://cdn.tasteatlas.com//Images/Dishes/e0e9106c3bea4a9584b55d14f9b06e56.jpg?mw=660,9,Porridge,https://www.tasteatlas.com/Porridge,Mulgipuder,,"Mulgipuder is a rustic Estonian porridge consisting of mashed barley and potatoes. It often incorporates bacon and sautéed onions and is usually served as the main course, accompanied by sour cream and rye bread, or as a side dish complemen...",https://www.tasteatlas.com/mulgipuder/wheretoeat,,,,,n/a
https://www.tasteatlas.com/sult,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Appetizer,https://www.tasteatlas.com/Appetizers,Sült,,"Even though it is traditionally prepared with pork, Estonian aspic can occasionally employ chicken, veal, and even fish. It is usually cooked with pig’s hock and feet, a choice of meat, seasonings, and a variety of vegetables. When cooked, t...",https://www.tasteatlas.com/sult/wheretoeat,,,,,n/a
