search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,read-more,search-results__item-link href 2,score-text--na,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/injera,https://cdn.tasteatlas.com//Images/Dishes/28c00848c6c34a25b875e69765e1d206.jpg?mw=660,1,Flatbread,https://www.tasteatlas.com/Flatbreads,Injera,"Injera is a spongy Ethiopian flatbread and an integral part of life for the locals. The bread is made from teff, the tiniest grain in the world, also considered a super grain due to its high nutritious properties. Injera is so popular that the peo...",READ MORE,https://www.tasteatlas.com/injera/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/wat,https://cdn.tasteatlas.com//images/dishes/676bf431e57448a29c25f3736c0573e8.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Wat,"Wat is the national dish of Ethiopia, a spicy stew made with  - a spice blend usually consisting of very hot chili peppers, garlic, ginger, rue, basil, ajwain, nigella, and fenugreek, all of them sold in Ethiopian markets and groun...",READ MORE,https://www.tasteatlas.com/wat/wheretoeat,n/a,berbere,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/berbere,https://cdn.tasteatlas.com/images/dishes/5ea09e41cc8546f39ab88087d5f716a4.png?h=120&w=120
https://www.tasteatlas.com/kitfo,https://cdn.tasteatlas.com//Images/Dishes/1da821e8c98a42f38ede3fd8556652d2.jpg?mw=660,3,Beef Dish,https://www.tasteatlas.com/beef-dishes,Kitfo,"Kitfo is a popular Ethiopian dish consisting of raw beef that is freshly ground and combined with Ethiopian butter () and spices such as chili and salt. The dish is served with a variety of breads, with  being a...",READ MORE,https://www.tasteatlas.com/kitfo/wheretoeat,n/a,niter kibbeh,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com/images/dishes/e2e04922bd2647f3a8cf147a736c34b5.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120
https://www.tasteatlas.com/tibs,https://cdn.tasteatlas.com//images/dishes/8fe2189a9a6e4815907eeef210c855c5.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Tibs,"Tibs is an Ethiopian dish consisting of stir-fried meat and vegetables. The dish can be served in a wide variety of manners – ranging from mild to hot and containing a small amount of vegetables, lots of vegetables, or no vegetables at all. ...",READ MORE,https://www.tasteatlas.com/tibs/wheretoeat,n/a,,,,,,,,,,,,,
https://www.tasteatlas.com/fit-fit,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,5,Breakfast,https://www.tasteatlas.com/Breakfast,Fit-fit,"Fitfit is a typical Ethiopian food served for breakfast, made with clarified spiced butter and berbere spices. There are two main versions of fitfit: the one made with  flatbread, and the other one made with unleavened",,https://www.tasteatlas.com/fit-fit/wheretoeat,n/a,injera,,,,,,,,,,,,
https://www.tasteatlas.com/genfo,https://cdn.tasteatlas.com//images/dishes/d64fe1f3c3754340bfbc7e20510110ef.jpg?mw=660,6,Porridge,https://www.tasteatlas.com/Porridge,Genfo,"Genfo is a simple Ethiopian porridge that is commonly consumed for breakfast, made by adding dry-roasted barley flour to boiling water and stirring the concoction with a wooden utensil until it develops a smooth, yet extremely thick consistency. T...",READ MORE,https://www.tasteatlas.com/genfo/wheretoeat,n/a,,,,,,,,,,,,,
https://www.tasteatlas.com/kitcha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,7,Flatbread,https://www.tasteatlas.com/Flatbreads,Kitcha,"Kitcha is an unleavened Ethiopian flatbread made with wheat flour, water, and salt. The dough is traditionally baked in a pan on both sides until it develops a golden-brown color of the exterior. The flatbread can be additionally spiced with chili...",READ MORE,https://www.tasteatlas.com/kitcha/wheretoeat,n/a,,,,,,,,,,,,,
https://www.tasteatlas.com/shiro,https://cdn.tasteatlas.com//images/dishes/a24594b10e634e17a9201a1eb314f78e.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Shiro,"Shiro is an Ethiopian stew made with chickpeas or broad beans as main ingredients, along with garlic, onions, ginger, tomatoes, and chili peppers. The chickpeas give this stew a nice texture and nutty flavor, but they can be replaced by shiro powd...",READ MORE,https://www.tasteatlas.com/shiro/wheretoeat,n/a,,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120
https://www.tasteatlas.com/doro-wat,https://cdn.tasteatlas.com//Images/Dishes/c3bdca39282a42b082bfea7df7ff07da.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Doro wat,"Doro wat is a festive type of wat stew made with chicken, usually bought from outdoor markets. The meat gets soaked in water, salt, and lemon juice to eliminate bacteria, and it's then cut into eight to twelve pieces. Peeled hard-boiled eggs are a...",READ MORE,https://www.tasteatlas.com/doro-wat/wheretoeat,n/a,,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120
https://www.tasteatlas.com/azifa,https://cdn.tasteatlas.com//images/dishes/ed496c425fb045438329730536fdc04f.jpg?mw=660,10,Salad,https://www.tasteatlas.com/Salads,Azifa,"Azifa is a popular Ethiopian salad consisting of green lentils, finely chopped tomatoes, and onions. The salad is additionally seasoned with salt, pepper, and lemon juice. When served, it is sometimes garnished with toasted almonds and chopped oli...",READ MORE,https://www.tasteatlas.com/azifa/wheretoeat,n/a,,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120
https://www.tasteatlas.com/sega-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,11,Stew,https://www.tasteatlas.com/Stews,Sega wat,"Sega wat or siga wat is a traditional dish from Ethiopia and a type of wat (Ethiopian stew). In order to prepare it, onions are sautéed in niter kibbeh clarified butter, followed by ginger, garlic, cardamom, berbere spices, and beef broth. ...",READ MORE,https://www.tasteatlas.com/sega-wat/wheretoeat,n/a,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/niter-kibbeh,https://cdn.tasteatlas.com/images/dishes/0245292b53774c34a8e77494499a5658.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/berbere,https://cdn.tasteatlas.com/images/dishes/5ea09e41cc8546f39ab88087d5f716a4.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
https://www.tasteatlas.com/fatira,https://cdn.tasteatlas.com//images/dishes/f99dcc3dfcc642348a40b19f51f32b74.jpg?mw=660,12,Pancake,https://www.tasteatlas.com/pancakes,Fatira,"Fatira is a traditional Ethiopian street food item that is commonly consumed for breakfast, consisting of a large, crispy, wheat flour pancake. It is traditionally served with scrambled eggs, honey, or both. Fatira is often cut into smaller pieces...",READ MORE,https://www.tasteatlas.com/fatira/wheretoeat,n/a,,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/gored-gored,https://cdn.tasteatlas.com//images/dishes/1999e01b68c44ca993ce3b1e249af40e.jpg?mw=660,13,Beef Dish,https://www.tasteatlas.com/beef-dishes,Gored gored,"Gored gored is a popular Ethiopian dish consisting of cubes of raw beef. Although the dish is often compared to , gored gored is not marinated in spices and butter before consumption. It is typically paired with lemon wedges, injera ...",READ MORE,https://www.tasteatlas.com/gored-gored/wheretoeat,n/a,kitfo,,,,,,,,,,,,
https://www.tasteatlas.com/kik-alicha,https://cdn.tasteatlas.com//Images/Dishes/632981faf2a2486392869db014c9b27a.jpg?mw=660,14,Stew,https://www.tasteatlas.com/Stews,Kik alicha,"Kik alicha is an Ethiopian dish consisting of a purée made from yellow split peas. The taste is mild and savory, and the dish can be additionally flavored with garlic, turmeric, or ginger. It is recommended to serve kik alicha with rice or ...",READ MORE,https://www.tasteatlas.com/kik-alicha/wheretoeat,n/a,,https://www.tasteatlas.com/split-peas,https://cdn.tasteatlas.com/images/ingredientgroups/0d5e2194becd43f987fa5d1e49c7160a.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120
https://www.tasteatlas.com/kinche,https://cdn.tasteatlas.com//images/dishes/5746f1c174664a01990eb04377c9228a.jpg?mw=660,15,Porridge,https://www.tasteatlas.com/Porridge,Kinche,"Simple, nutritious, and inexpensive, kinche is an Ethiopian breakfast staple made with cracked wheat that is boiled in either water or milk. The best way to describe kinche would be as the Ethiopian equivalent of oatmeal. After it has been cooked,...",READ MORE,https://www.tasteatlas.com/kinche/wheretoeat,n/a,,,,,,,,,,,,,
https://www.tasteatlas.com/key-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,16,Stew,https://www.tasteatlas.com/Stews,Key wat,"Key wat is a traditional beef stew originating from Ethiopia. It's made with a combination of cubed beef, onions, garlic, tomato paste, sugar, beef stock, oil, salt, pepper, and berbere spices. The meat is seasoned with salt and pepper and browned...",READ MORE,https://www.tasteatlas.com/key-wat/wheretoeat,n/a,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/tomato-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/4284624f3cde451e9683452b5ccf0f21.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/berbere,https://cdn.tasteatlas.com/images/dishes/5ea09e41cc8546f39ab88087d5f716a4.png?h=120&w=120
https://www.tasteatlas.com/pasta-saltata,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,17,Pasta,https://www.tasteatlas.com/pasta,Pasta saltata,"Pasta saltata is a traditional Ethiopian dish that originated as a result of a brief Italian occupation of the country in the 1930s. The dish is made with a combination of potatoes, oil, garlic, onions, lemon juice, penne pasta, arugula, basil, an...",READ MORE,https://www.tasteatlas.com/pasta-saltata/wheretoeat,n/a,,,,,,,,,,,,,
https://www.tasteatlas.com/misir-wat,https://cdn.tasteatlas.com//images/dishes/c29c99f0530143158a7bef2ef1236a83.jpg?mw=660,18,Stew,https://www.tasteatlas.com/Stews,Misir wat,"Misir wat is a traditional Ethiopian dish and a type of wat or Ethiopian stew. In order to prepare it, onions are sautéed in niter kibbeh clarified butter, followed by garlic, ginger, tomato paste, berbere spices, stock, and lentils. The st...",READ MORE,https://www.tasteatlas.com/misir-wat/wheretoeat,n/a,,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/niter-kibbeh,https://cdn.tasteatlas.com/images/dishes/0245292b53774c34a8e77494499a5658.png?h=120&w=120,https://www.tasteatlas.com/tomato-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/4284624f3cde451e9683452b5ccf0f21.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
https://www.tasteatlas.com/atakilt-wat,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,19,Stew,https://www.tasteatlas.com/Stews,Atakilt wat,"Atakilt wat is a traditional Ethiopian dish and a type of wat (Ethiopian stew). It's made with a combination of onions, vegan niter kibbeh, garlic, berbere spices, ginger, carrots, potatoes, and cabbage. The onion and garlic are sautéed in ...",READ MORE,https://www.tasteatlas.com/atakilt-wat/wheretoeat,n/a,,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/niter-kibbeh,https://cdn.tasteatlas.com/images/dishes/0245292b53774c34a8e77494499a5658.png?h=120&w=120,https://www.tasteatlas.com/berbere,https://cdn.tasteatlas.com/images/dishes/5ea09e41cc8546f39ab88087d5f716a4.png?h=120&w=120
https://www.tasteatlas.com/alicha-wat,https://cdn.tasteatlas.com//images/dishes/7d9fe373c8954daf92d00451f493c42f.jpg?mw=660,20,Stew,https://www.tasteatlas.com/Stews,Alicha wat,"Alicha wat is a traditional Ethiopian dish and a part of the famous Ethiopian wat stews. This stew is made with a combination of onions, yellow split peas, niter kibbeh clarified butter, ginger, garlic, turmeric, chili peppers, and, if desired, po...",READ MORE,https://www.tasteatlas.com/alicha-wat/wheretoeat,n/a,,https://www.tasteatlas.com/split-peas,https://cdn.tasteatlas.com/images/ingredientgroups/0d5e2194becd43f987fa5d1e49c7160a.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/niter-kibbeh,https://cdn.tasteatlas.com/images/dishes/0245292b53774c34a8e77494499a5658.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120
https://www.tasteatlas.com/bayenetu,https://cdn.tasteatlas.com//images/dishes/ac7193047f6049a99d27740ca1ccb791.jpg?mw=660,21,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Bayenetu,"Bayenetu is a colorful Ethiopian veggie platter that is traditionally arranged on top of injera (Ethiopian flatbread). It is essentially a sampler plate that is suitable for vegetarians, and the choice of vegetables depends on the restaurant servi...",READ MORE,https://www.tasteatlas.com/bayenetu/wheretoeat,n/a,,,,,,,,,,,,,
