search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2
https://www.tasteatlas.com/kokoda,https://cdn.tasteatlas.com//images/dishes/61bdb4dcfc83424587b4a8b5ef6f9323.jpg?mw=660,1,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Kokoda,Best in   (Port Denarau),Nadina Authentic Fijian Restaurant,https://www.tasteatlas.com/NadinaAuthenticFijianRestaurant,"Kokoda is a traditional Fijian dish made with fresh, raw fish such as mahi-mahi or snapper that is marinated in a combination of coconut milk and citrus juices such as lemons and limes. The coconut milk is added in order to balance out the acid. F...",https://www.tasteatlas.com/kokoda/wheretoeat
https://www.tasteatlas.com/lovo,https://cdn.tasteatlas.com//images/dishes/b7ab3b8ab4c740aead925cce5beee23a.jpg?mw=660,2,Technique,https://www.tasteatlas.com/Techniques,Lovo,Best in   (Savusavu),Koro Sun Resort,https://www.tasteatlas.com/koro-sun-resort,"Lovo is a traditional Fijian dish prepared with fish or chicken and vegetables cooked in an improvised underground oven. It is a staple of numerous celebrations, weddings, and festivals, and the whole process can take a few hours. A hole in the gr...",https://www.tasteatlas.com/lovo/wheretoeat
https://www.tasteatlas.com/fish-lolo,https://cdn.tasteatlas.com//images/dishes/5ece0feb67ae4f0faa2230884b5c2cf0.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Fish lolo,Best in   (Nadi),Nuku Restaurant,https://www.tasteatlas.com/NukuRestaurant,"This classic Fijian dish is prepared by simmering meaty white fish such as catfish, cod, or mahi-mahi in  – which is the Fijian word for coconut milk. Sliced onions, ginger, and sometimes even chopped tomatoes are added to this ...",https://www.tasteatlas.com/fish-lolo/wheretoeat
https://www.tasteatlas.com/tavioka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,4,Dessert,https://www.tasteatlas.com/Desserts,Tavioka,,,,"Tavioka is a Fijian dish made by boiling, baking, or grating cassava, then cooking it in coconut cream with the addition sugar and mashed bananas. This somewhat heavy dish exists due to the fact that cassava was introduced to Fiji in 1936, in orde...",https://www.tasteatlas.com/tavioka/wheretoeat
https://www.tasteatlas.com/vakalolo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,5,Dessert,https://www.tasteatlas.com/Desserts,Vakalolo,,,,"Vakalolo is a steamed Fijian dessert consisting of grated cassava and coconut, sugar, and optional spices such as cinnamon and cardamom. The concoction is traditionally wrapped in banana leaves, then steamed. In most villages, vakalolo is prepared...",https://www.tasteatlas.com/vakalolo/wheretoeat
https://www.tasteatlas.com/rourou,https://cdn.tasteatlas.com//images/dishes/1cf2ae02969f45c4bb23dc2467f2924d.jpg?mw=660,6,Side Dish,https://www.tasteatlas.com/Sides,Rourou,Best in   (Port Denarau),Nadina Authentic Fijian Restaurant,https://www.tasteatlas.com/NadinaAuthenticFijianRestaurant,This authentic Fijian dish is made with taro leaves which are cooked or stewed in coconut milk. The simple rourou is usually served either as a soup or as a side dish accompanying various fish or chicken dishes. It is sometimes enriched with the a...,https://www.tasteatlas.com/rourou/wheretoeat
https://www.tasteatlas.com/topoi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,7,Dumplings,https://www.tasteatlas.com/Dumplings,Topoi,,,,"Topoi is a Fijian dumpling made with grated cassava and coconut, coconut milk or cream, and sugar. The sweet cassava mixture is typically shaped into balls, which are then simmered in a pot of boiling water until soft and thoroughly cooked. Once b...",https://www.tasteatlas.com/topoi/wheretoeat
https://www.tasteatlas.com/babakau,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,8,Breakfast,https://www.tasteatlas.com/Breakfast,Babakau,,,,"Babakau is a light and airy deep-fried dough made with flour, water, yeast, and sugar. The pieces of dough are usually triangular or rectangular, and they can optionally be filled with a variety of ingredients such as coconut shavings, curries, or...",https://www.tasteatlas.com/babakau/wheretoeat
https://www.tasteatlas.com/vakalavalava,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Dessert,https://www.tasteatlas.com/Desserts,Vakalavalava,,,,"Vakalavalava is a Fijian dessert made with grated fresh cassava, shredded coconut, sugar, and butter. The sweet cassava mixture is baked in a pan, and it can optionally be topped with sweetened condensed milk, custards, creams, or syrups. This cas...",https://www.tasteatlas.com/vakalavalava/wheretoeat
https://www.tasteatlas.com/purini,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,10,Dessert,https://www.tasteatlas.com/Desserts,Purini,,,,"Purini is a Fijian steamed dessert made with cocoa powder batter and coconut milk syrup. The dessert is prepared with a mixture of flour, baking powder, baking soda, and cocoa powder that is combined with hot coconut milk syrup. The pudding-like m...",https://www.tasteatlas.com/purini/wheretoeat
https://www.tasteatlas.com/tinned-marchri-tarkari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,11,Stew,https://www.tasteatlas.com/Stews,Tinned marchri tarkari,,,,"Tinned marchri tarkari is a Fijian dish that is ideally prepared with a can of brand 777's mackerel, tomato sauce, onions, and flavorings such as ginger, fenugreek, cumin, mustard, curry leaves, and chilis. The canned fish is simmered over low hea...",https://www.tasteatlas.com/tinned-marchri-tarkari/wheretoeat
https://www.tasteatlas.com/aloo-boda-tarkari,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,12,Stew,https://www.tasteatlas.com/Stews,Aloo boda tarkari,,,,"This Fijian-style curry usually incorporates potatoes, eggplant, and black-eyed peas that are slowly simmered in a thick, spicy sauce. The dish is seasoned with cumin, turmeric, garam masala, chilies, and curry, and is typically garnished with fre...",https://www.tasteatlas.com/aloo-boda-tarkari/wheretoeat
https://www.tasteatlas.com/fish-suruwa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Stew,https://www.tasteatlas.com/Stews,Fish suruwa,,,,"Fish suruwa is a delicious Fijian curry made with firm white fish, onions, tomatoes, coconut milk, chilis, and various spices such as cumin, garam masala, and turmeric. This creamy curry can be paired with white steamed rice on the side, and it is...",https://www.tasteatlas.com/fish-suruwa/wheretoeat
https://www.tasteatlas.com/kovu-walu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,14,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Kovu walu,,,,"Kovu walu is a traditional Fijian fish dish that is infused with coconut milk and spices, then steamed in banana leaves.  is locally-sourced Spanish mackerel, while  refers to the method of preparation of the fish that in...",https://www.tasteatlas.com/kovu-walu/wheretoeat
https://www.tasteatlas.com/baigan-valo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Baigan valo,,,,"Baigan valo is a traditional Fijian dish consisting of eggplants that are halved, stuffed with fish, then topped with coconut cream and steamed until ready for consumption. Although the final dish looks a bit messy, the combination of different te...",https://www.tasteatlas.com/baigan-valo/wheretoeat
https://www.tasteatlas.com/ura-vakalolo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,16,Shrimp/Prawn Dish,https://www.tasteatlas.com/shrimps-and-prawns,Ura vakalolo,,,,Ura vakalolo is a specialty hailing from Fiji that consists of whole prawns coated with coconut cream sauce. Prawns are known as  in Fiji and are often cooked in salted water or coconut milk. This dish is a variation of a Fijian delica...,https://www.tasteatlas.com/ura-vakalolo/wheretoeat
https://www.tasteatlas.com/lolo-buns,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,17,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Lolo Buns,Best in   (Malolo Lailai),Dick's Place Bar & Bistro,https://www.tasteatlas.com/dicks-place-bar--bistro,"Best consumed warm, these semi-sweet buns are a Fijian delicacy that is extremely easy to prepare. The dough consists of flour, sugar, butter, and eggs. When it is kneaded and smooth, it is divided into smaller buns which are then arranged into a ...",https://www.tasteatlas.com/lolo-buns/wheretoeat
