search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location src,item-location,search-results__item-description,search-results__item-description 2,read-more,search-results__item-description 3,score-text--na
https://www.tasteatlas.com/brie-de-meaux,https://cdn.tasteatlas.com//images/ingredients/1682087a2b054fd498d440828bcfd893.jpg?mw=660,1,Cheese,https://www.tasteatlas.com/Cheese,Brie de Meaux,https://www.tasteatlas.com/meaux,https://cdn.tasteatlas.com/images/emblems/bfcf8170c38c43bdbcc8e0df5d4d3c04.png,Meaux,is a soft French cheese made from cow's milk. The flat cheese has a delicate rind covered in white mold. It matures in cellars on straw mats in the Île-de-France area near Paris for at least four weeks. This particular...,Brie de Meaux,READ MORE,,
https://www.tasteatlas.com/camembert,https://cdn.tasteatlas.com//images/ingredients/a4916fee88a54021adf9a85c0cd9a2ed.jpg?mw=660,2,Cheese,https://www.tasteatlas.com/Cheese,Camembert de Normandie,https://www.tasteatlas.com/camembert-france,,Camembert,", Normandy's most famous and iconic cheese is made from raw cow's milk and weighs an average of 250 grams. The flavor is intense, pungent and similar to that of mushrooms, grass and butter, while the aroma is moldy a...",Camembert de Normandie,READ MORE,,
https://www.tasteatlas.com/ganache,https://cdn.tasteatlas.com//images/ingredients/18c9b201ef77401fbc56a09c6deab96a.jpg?mw=660,3,Confectionery,https://www.tasteatlas.com/Confectionery,Ganache,,,,Finely chopped chocolate and hot cream are thoroughly blended to make the simplest form of the world-famous sweet creation called . This smooth and velvety chocolate mixture can optionally be combined with softened butter for a sil...,ganache,READ MORE,,
https://www.tasteatlas.com/roquefort,https://cdn.tasteatlas.com//images/ingredients/5f87e9bc9c4f43e5a56d071359400d19.jpg?mw=660,4,Cheese,https://www.tasteatlas.com/Cheese,Roquefort,https://www.tasteatlas.com/roquefort-sur-soulzon,,Roquefort-sur-Soulzon,"is one of the greatest cheeses of France, made from full-fat, unpasteurized sheep's milk. It has blue veins dispersed throughout its body, developed from the spores of  before the cheese is pressed...",Roquefort,READ MORE,Penicillium roqueforti,
https://www.tasteatlas.com/comte,https://cdn.tasteatlas.com//Images/Ingredients/4353856b08d541dfb4200d133fb5121a.jpg?mw=660,5,Cheese,https://www.tasteatlas.com/Cheese,Comté,https://www.tasteatlas.com/franche-comte,https://cdn.tasteatlas.com/images/emblems/eb4b060ec0af43b490e3ccc3273dd08f.png,Franche-Comté,"is a big, hard cheese made from unpasteurized cow's milk, with at least 45% fat and a pressed, cooked paste. Each cheese wheel is unique with numerous taste varieties that can range from milky, spicy, roasted to fruity, butte...",Comté,READ MORE,,
https://www.tasteatlas.com/fines-herbes,https://cdn.tasteatlas.com//images/ingredients/e377b661e6764ff395a1388af8475ac8.jpg?mw=660,6,Herb,https://www.tasteatlas.com/herbs,Fines herbes,,,,"is a traditional French blend of herbs, including parsley, chives, chervil, and tarragon. Thyme is often added to the four classic ingredients, while savory, watercress, and marjoram are sometimes also included in the mix, bu...",Fines herbes,READ MORE,,
https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com//images/ingredients/c5c814682d91498f9c9cdfe1e7c7f94b.jpg?mw=660,7,Hot Pepper,https://www.tasteatlas.com/Hot-peppers,Cayenne Pepper,https://www.tasteatlas.com/cayenne,,Cayenne,"Cayenne pepper is a hot pepper that's named after its supposed place of origin, the Cayenne region of French Guiana. Nowadays, these peppers are grown in Mexico, the United States, India, and East Africa. They usually come in the dried and ground ...",,READ MORE,,
https://www.tasteatlas.com/moutarde-de-dijon,https://cdn.tasteatlas.com//Images/Ingredients/643175d9f7314db08b13d5874699dc4a.jpg?mw=660,8,Mustard,https://www.tasteatlas.com/Mustard,Moutarde de Dijon,https://www.tasteatlas.com/dijon,https://cdn.tasteatlas.com/images/emblems/8235daf846254b95939c74e09f3f03a3.png,Dijon,"Moutarde de Dijon is a traditional French mustard characterized by its pale yellow color and a creamy texture. It is usually made from ground brown or black mustard seeds, salt, and various spices. Although it could only be produced in the Dijon r...",,READ MORE,,
https://www.tasteatlas.com/reblochon,https://cdn.tasteatlas.com//Images/Ingredients/d1938d3044bc401aa385f29d85d5407c.jpg?mw=660,9,Cheese,https://www.tasteatlas.com/Cheese,Reblochon,https://www.tasteatlas.com/haute-savoie,https://cdn.tasteatlas.com/images/emblems/58d44be42f334c078a79063d32625657.png,Haute-Savoie,"is a semi-hard, pressed cheese with a weight of about 500 grams, made from unpasteurized cow's milk that must ripen for at least 15 days in the departments of Savoie and Haute-Savoie in France. According to an old tale, it exist...",Reblochon,READ MORE,,
https://www.tasteatlas.com/aioli,https://cdn.tasteatlas.com//images/ingredients/c27ded8ace5e4e2a9b6a6c1b62dc1541.jpg?mw=660,10,Condiment,https://www.tasteatlas.com/Condiments,Aïoli,https://www.tasteatlas.com/provence,https://cdn.tasteatlas.com/images/emblems/71338ee309254bab92a1e0756d0eff9c.png,Provence,"This rich garlic sauce is similar in texture to mayonnaise, and is commonly used in the cuisine of Provençe in France and Catalonia in Spain. Provençal aïoli consists of egg yolks, olive oil, and garlic, while the Catalan versio...",,READ MORE,,
