search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,item-location href,item-location src,item-location,search-results__item-description 2,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/pretzel,https://cdn.tasteatlas.com//images/dishes/a3d9f03625f14029a24dcadc88910171.jpg?mw=660,1,Bread,https://www.tasteatlas.com/Breads,Pretzel,4.0,Best in   (Munich),Augustiner-Keller,https://www.tasteatlas.com/augustiner-keller,"Considered an iconic symbol of Germany, the pretzel is a type of traditional baked good that is made by combining flour, salt, malt, yeast, and water. The resulting dough is then shaped into a well-known knotted shape of a pretzel before it is bak...",READ MORE,https://www.tasteatlas.com/pretzel/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/bratwurst,https://cdn.tasteatlas.com//Images/Dishes/de9c2d8d21c5438580ee42ed9dfa41e4.jpg?mw=660,2,Sausage,https://www.tasteatlas.com/Sausages,Bratwurst,4.4,Best in   (Nuremberg),Bratwursthäusle,https://www.tasteatlas.com/Bratwursthausle,"What was once an item for survival during the cold winter months and a technique of not wasting meat scraps is nowadays a delicacy consumed throughout Germany and abroad. Bratwurst stems from two words, an Old High German word , meani...",READ MORE,https://www.tasteatlas.com/bratwurst/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/nuremberg,https://cdn.tasteatlas.com/images/emblems/f7fcd49a4ebc42b8a79e2f6546d52452.png,Nuremberg,brat,,,
https://www.tasteatlas.com/schwarzwalder-kirschtorte,https://cdn.tasteatlas.com//Images/Dishes/b19aebb29acd4062b729913ed0af1692.jpg?mw=660,3,Cake,https://www.tasteatlas.com/cakes,Schwarzwälder Kirschtorte,4.1,Best in   (Baden-Baden),Café König,https://www.tasteatlas.com/CafeKonig,Black Forest cherry cake is a popular German dessert consisting of chocolate sponges that are coated in whipped cream and dotted with kirschwasser-infused cherries. Some varieties use the kirschwasser brandy to soak the chocolate layers or to ligh...,READ MORE,https://www.tasteatlas.com/schwarzwalder-kirschtorte/wheretoeat,https://www.tasteatlas.com/Chocolate,https://cdn.tasteatlas.com/images/ingredientgroups/55f79b1267184622bb38fc2e41b2203e.png?h=120&w=120,https://www.tasteatlas.com/Cherries,https://cdn.tasteatlas.com/images/ingredientgroups/0411ae75867b42a0b65c39cc5a44e7ee.png?h=120&w=120,https://www.tasteatlas.com/kirschwasser,https://cdn.tasteatlas.com/images/dishes/c518d64cb7de43e09818a450fe74ff33.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/black-forest,,Black Forest,,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,
https://www.tasteatlas.com/currywurst,https://cdn.tasteatlas.com//images/dishes/092c3f75df9b4d14ad7ef84308fc8dd2.jpg?mw=660,4,Sausage,https://www.tasteatlas.com/Sausages,Currywurst,3.9,Best in   (Berlin),Curry 36,https://www.tasteatlas.com/Curry36,"No other dish in Germany is as well known as currywurst, a street snack that has become an indispensable part of Germany’s culinary heritage. The dish is made from two essential parts - boiled and subsequently fried sausage, served whole or ...",READ MORE,https://www.tasteatlas.com/currywurst/wheretoeat,https://www.tasteatlas.com/bratwurst,https://cdn.tasteatlas.com/images/dishes/34833193e976487883cd5d0db499f6d5.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120,https://www.tasteatlas.com/kaisersemmel,https://cdn.tasteatlas.com/images/dishes/654eb274d4d64a99bf92a1975268c3f3.png?h=120&w=120,https://www.tasteatlas.com/pommes-frites,https://cdn.tasteatlas.com/images/dishes/ac4a94c98d6e42d8b392e5cabb9dd013.png?h=120&w=120,https://www.tasteatlas.com/berlin,,Berlin,,,,
https://www.tasteatlas.com/lebkuchen,https://cdn.tasteatlas.com//images/dishes/51106e1227fd4e3e8189cbfce83eaf67.jpg?mw=660,5,Cookie,https://www.tasteatlas.com/Cookies,Lebkuchen,3.7,Best in   (Passau),Café Simon,https://www.tasteatlas.com/cafe-simon,This traditional German treat is mainly associated with Christmas and winter holidays. The term  covers a wide variety of different types of honey or ginger-flavored cookies which are traditionally baked on  (thin...,READ MORE,https://www.tasteatlas.com/lebkuchen/wheretoeat,,,,,,,,,,,,,,lebkuchen,,,
https://www.tasteatlas.com/sauerkraut,https://cdn.tasteatlas.com//Images/Dishes/8920a1b2a09245a0928f64a915c0bb36.jpg?mw=660,6,Side Dish,https://www.tasteatlas.com/Sides,Sauerkraut,3.9,Best in   (Nuremberg),Bratwursthäusle,https://www.tasteatlas.com/Bratwursthausle,"Although sauerkraut or sour fermented cabbage is a German invention, it has origins in China, when it was made from shredded cabbage that was fermented in rice wine. Some claim that it was brought to Europe by Genghis Khan after his plunders in Ch...",READ MORE,https://www.tasteatlas.com/sauerkraut/wheretoeat,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120,https://www.tasteatlas.com/fennel,https://cdn.tasteatlas.com/images/ingredientgroups/64c246113f4147b6a1bff6eae8667ae4.png?h=120&w=120,https://www.tasteatlas.com/peppercorns,https://cdn.tasteatlas.com/images/ingredientgroups/208d4c78a6af42c8b06206069f6b1f81.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,,,,,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,
https://www.tasteatlas.com/stollen,https://cdn.tasteatlas.com//Images/Dishes/fe327fabf2724f6da2d19e605c335787.jpg?mw=660,7,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Stollen,3.8,Best in   (Munich),Café Kreutzkamm,https://www.tasteatlas.com/CafeKreutzkamm,"Stollen is one of German Christmas classics. This rich fruit bread is prepared with a buttery and sweet yeast dough that is usually spiced, lemon-flavored, and enriched with various dried fruits and marzipan. Though it may appear in different form...",READ MORE,https://www.tasteatlas.com/stollen/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/candied-fruits,https://cdn.tasteatlas.com/images/ingredientgroups/67dc574c51ff46928cd365916d4e3501.png?h=120&w=120,https://www.tasteatlas.com/sultana-raisins,https://cdn.tasteatlas.com/images/ingredientgroups/29dcd43383ff4d119befdd5af17bc97c.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,https://www.tasteatlas.com/saxony,https://cdn.tasteatlas.com/images/emblems/a4363631daff4d169b0f1e604b8768e9.png,Saxony,,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/sauerbraten,https://cdn.tasteatlas.com//images/dishes/79dceb1607db46a7af6a42e2f84417a9.jpg?mw=660,8,Beef Dish,https://www.tasteatlas.com/beef-dishes,Sauerbraten,3.7,Best in   (Berlin),Lutter & Wegner,https://www.tasteatlas.com/Lutter-Wegner,"The traditional German pot roast is one of the best ways to transform more tougher cuts of beef into a tender, succulent meal. Chuck and bottom round are most favored cuts for this German classic, while the key to a perfect sauerbraten is in its l...",READ MORE,https://www.tasteatlas.com/sauerbraten/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/sultana-raisins,https://cdn.tasteatlas.com/images/ingredientgroups/29dcd43383ff4d119befdd5af17bc97c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,,https://www.tasteatlas.com/Red-wine,https://cdn.tasteatlas.com/images/ingredientgroups/b0e181d5d7e04d8181ad334840bec250.png?h=120&w=120,
https://www.tasteatlas.com/leberkase,https://cdn.tasteatlas.com//Images/Dishes/ce6226bba9e049638de9401a82af9aea.jpg?mw=660,9,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Leberkäse,4.2,Best in   (Wangen im Allgäu),Fidelisbäck,https://www.tasteatlas.com/fidelisback,"Leberkäse is a traditional German product consisting of ground meat such as pork liver that is flavored with onions and baked into a meatloaf. The loaf is characterized by a crispy crust on the exterior, while the interior remains juicy and p...",READ MORE,https://www.tasteatlas.com/leberkase/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/bavarian-cream,https://cdn.tasteatlas.com//images/dishes/9db4d4d5949f4601a19096527573729d.jpg?mw=660,10,Custard,https://www.tasteatlas.com/custards,Bavarian Cream,4.6,,,,"This rich, silky egg custard is thickened with gelatin and combined with whipped cream. It is traditionally served cold, and is usually garnished with pieces of fresh fruit or drizzled over with sweet sauces. Although its origins are quite unclear...",READ MORE,https://www.tasteatlas.com/bavarian-cream/wheretoeat,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/gelatin,https://cdn.tasteatlas.com/images/ingredientgroups/76ed8cb8d1614ed3ad1a00cc06313dbe.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/bavaria,https://cdn.tasteatlas.com/images/emblems/563f7d3882da4e19b19f6f4c2c5ff12f.png,Bavaria,,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,
