search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,item-location href,item-location,score-text--na,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/fufu,https://cdn.tasteatlas.com//images/dishes/f189408c715349a891af42809e22b4a9.jpg?mw=660,1,Side Dish,https://www.tasteatlas.com/Sides,Fufu,"Fufu is very difficult to make, a process that starts by pounding cassava and unripe plantains together with a big wooden pole and mashing them while adding water. As it needs to be vigorously stirred, it usually takes two people to make it - one ...",https://www.tasteatlas.com/fufu/wheretoeat,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,,,,,,,,,,,
https://www.tasteatlas.com/waakye,https://cdn.tasteatlas.com//images/dishes/3366ea6f04784e3688f1ee1d393294fa.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Waakye,"Although it originated in northern parts of Ghana, the rice-and-bean-based dish known as waakye is today consumed on a national level. Whether it's eaten for breakfast or lunch, this dish can be made as rich and as filling as one likes by adding a...",https://www.tasteatlas.com/waakye/wheretoeat,,,,,https://www.tasteatlas.com/northern-region-ghana,Northern Region,n/a,,,,,,,,
https://www.tasteatlas.com/red-red,https://cdn.tasteatlas.com//images/dishes/beada8969d314075ae942ca030feed65.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Red red,"Red red is a popular Ghanaian stew consisting of beans, red palm oil, tomato paste, and flavorings such as garlic, ginger, chili, and onions. Some cooks like to add meat or fish broth into the stew, but it is completely optional. The stew is tradi...",https://www.tasteatlas.com/red-red/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/garden-egg-stew,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,4,Stew,https://www.tasteatlas.com/Stews,Garden Egg Stew,"Garden egg stew is a popular Ghanaian dish featuring African eggplant, or garden egg as its main ingredient. Although the eggplant is a fruit, it is prepared as a vegetable in this stew, combined with tomatoes, onions, peppers, palm oil, dried fis...",https://www.tasteatlas.com/garden-egg-stew/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/kelewele,https://cdn.tasteatlas.com//images/dishes/afc452e0dac14233bc5fdf6bec33ef1e.jpg?mw=660,5,Side Dish,https://www.tasteatlas.com/Sides,Kelewele,"Kelewele is a flavorful Ghanaian dish consisting of deep-fried plantain chunks that are usually combined with salt, ginger, and hot peppers. It is usually served as an accompaniment to bean stews or rice dishes, although kelewele is also often sol...",https://www.tasteatlas.com/kelewele/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/kokonte,https://cdn.tasteatlas.com//images/dishes/67d8baa08eed4fffbdfc9ed0ad4f6516.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Kokonte,"Kokonte is a stew that is popular throughout Ghana and Togo, usually consisting of pounded, dried cassava or yam, water, and salt. After the dish is cooked, it ranges in color from light brown to black, depending on how the cassava was dried. Some...",https://www.tasteatlas.com/kokonte/wheretoeat,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/yams,https://cdn.tasteatlas.com/images/ingredientgroups/a13c5e129e9248b1b643b5e2a65df4e7.png?h=120&w=120,,,n/a,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/palm-nut-soup,https://cdn.tasteatlas.com//images/dishes/583c1cbdf17a4e6ca995e1884d8d27bc.jpg?mw=660,7,Soup,https://www.tasteatlas.com/Soups,Palm Nut Soup,"Palm nut soup is a hearty Ghanaian dish consisting of palm nut pulp, water, fish or meat, tomatoes, onions, and flavorings such as pepper, salt, garlic, and chili peppers. The combination of these ingredients is cooked until it develops a thick, s...",https://www.tasteatlas.com/palm-nut-soup/wheretoeat,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,n/a,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Okras,https://cdn.tasteatlas.com/images/ingredientgroups/3e3df0ccbd2442e19dbf2177d5c5c616.png?h=120&w=120
https://www.tasteatlas.com/kontomire-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,8,Soup,https://www.tasteatlas.com/Soups,Kontomire Soup,"Kontomire soup or  (green green) is a flavorful Ghanaian soup made from cocoyam leaves, smoked fish, mushrooms, and snails. Cocoyam leaves give the soup its characteristical green color. The soup is a traditional dish of the Ak...",https://www.tasteatlas.com/kontomire-soup/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/plakali,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Side Dish,https://www.tasteatlas.com/Sides,Plakali,Plakali is a traditional Ghanaian and Ivorian dish characterized by its starchy and sticky texture. It is made by steaming and pounding cassava roots. The dish might often taste sour due to the fermentation of cassava roots before cooking. Plakali...,https://www.tasteatlas.com/plakali/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/chichinga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Street Food,https://www.tasteatlas.com/Street-food,Chichinga,"Chichinga is a popular Ghanaian street food item consisting of skewered and grilled meat that is rubbed with a spice mix known as . Suya is made with peanuts, ground spices, and hot chili peppers. The name of the dish is a translitera...",https://www.tasteatlas.com/chichinga/wheretoeat,,,,,,,n/a,,,,,,,,
https://www.tasteatlas.com/banku,https://cdn.tasteatlas.com//images/dishes/283d062368be45138a9c9b0199d62a43.jpg?mw=660,11,Side Dish,https://www.tasteatlas.com/Sides,Banku,"Banku is a Ghanaian dish made from fermented corn and cassava dough. It is usually shaped into a ball and served with a variety of fish dishes, soups, and stews. Banku is consumed by almost all Ghanaian tribes, and can be traced back to the tribes...",https://www.tasteatlas.com/banku/wheretoeat,,,,,https://www.tasteatlas.com/volta,Volta,n/a,,,,,,,,
