search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,item-location href,item-location,score-text--na
https://www.tasteatlas.com/gyros,https://cdn.tasteatlas.com//images/dishes/254a002208804e0fa92fa354655fdaac.jpg?mw=660,1,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Gyros,4.4,Best in   (Oia),Pitogyros,https://www.tasteatlas.com/Pitogyros,"Gyros is one of the most popular Greek street food dishes, consisting of meat such as pork and chicken (in Greece) or lamb and veal (popular in other countries) cooked on a vertical spit. The meat is sliced in thin shavings and is then usually pla...",READ MORE,https://www.tasteatlas.com/gyros/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,https://www.tasteatlas.com/tzatziki,https://cdn.tasteatlas.com/images/dishes/36981261eeea4ba796ad895c8d8ab792.png?h=120&w=120,,,,
https://www.tasteatlas.com/moussaka,https://cdn.tasteatlas.com//images/dishes/d714f264955840a980db8b9cfbf66d3b.jpg?mw=660,2,Casserole,https://www.tasteatlas.com/casserole,Moussaka,4.1,Best in   (Fira),Naoussa,https://www.tasteatlas.com/Naoussa,"Moussaka is one of the best known Greek dishes – a baked casserole consisting of ground lamb meat and layers of sliced eggplant, covered with a thick layer of bechamel sauce that gets golden and crusty as it bakes. The lamb is sometimes repl...",READ MORE,https://www.tasteatlas.com/moussaka/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,https://www.tasteatlas.com/bechamel-sauce,https://cdn.tasteatlas.com/images/dishes/a1165229c9624d4abc0f924232188573.png?h=120&w=120,,,,
https://www.tasteatlas.com/greek-salad,https://cdn.tasteatlas.com//images/dishes/acc4fd5eba9c41c1b655b5f3cce086e1.jpg?mw=660,3,Salad,https://www.tasteatlas.com/Salads,Greek Salad,4.4,Best in   (Piraeus),Margaro Restaurant,https://www.tasteatlas.com/MargaroRestaurant,"Greek salad, also known as  or  is the national dish of Greece, consisting of quartered tomatoes, sliced red onions, and chunky slices of cucumber. Depending on the region, there can also be olives, green pe...",READ MORE,https://www.tasteatlas.com/greek-salad/wheretoeat,https://www.tasteatlas.com/feta,https://cdn.tasteatlas.com/images/dishes/b6119c63563e4b2498614cd594494c86.png?h=120&w=120,https://www.tasteatlas.com/elia-kalamatas,https://cdn.tasteatlas.com/images/dishes/ede14fdfa01a45239a742933c1ddc427.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,village salad,,,
https://www.tasteatlas.com/souvlaki,https://cdn.tasteatlas.com//images/dishes/90c413e6606d4c69af350324c8e69835.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Souvlaki,4.5,Best in   (Mykonos),Pepper Mykonos,https://www.tasteatlas.com/PepperMykonos,"Souvlaki is one of the most popular Greek dishes, consisting of small cubes of skewered and grilled pork, chicken, lamb, or beef. It is a popular fast food item that is usually served in , small eateries that also often serve...",READ MORE,https://www.tasteatlas.com/souvlaki/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/oregano,https://cdn.tasteatlas.com/images/ingredientgroups/ca0a5e4ce6d449e0a8e008d083caa4a4.png?h=120&w=120,souvladzidika,,,
https://www.tasteatlas.com/tzatziki,https://cdn.tasteatlas.com//Images/Dishes/220986c23b4b452d8b4a749edf1158f5.jpg?mw=660,5,Dip,https://www.tasteatlas.com/dips,Tzatziki,4.4,Best in   (Athens),O Thanasis,https://www.tasteatlas.com/OThanasis,"Tzatziki is a Greek concoction made from yogurt, cucumbers, garlic, and numerous herbs and spices such as dill, mint, or parsley. It is usually served as a sauce accompanying many meat dishes, as a simple dip, or an appetizer. Its name is derived ...",READ MORE,https://www.tasteatlas.com/tzatziki/wheretoeat,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,,,,
https://www.tasteatlas.com/spanakopita,https://cdn.tasteatlas.com//Images/Dishes/95a200dc7d014c1db1898a020206174b.jpg?mw=660,6,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Spanakopita,4.2,Best in   (Athens),Pnyka,https://www.tasteatlas.com/pnyka,"Spanakopita is a Greek spinach pie consisting of a buttery, flaky phyllo pastry with a filling of cooked spinach, lemon juice, feta cheese, and sometimes dill. It can be served either as a small snack, an appetizer, or a light main course. Due to ...",READ MORE,https://www.tasteatlas.com/spanakopita/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,,,,
https://www.tasteatlas.com/pastitsio,https://cdn.tasteatlas.com//images/dishes/e780cff6efea4b1ab8da70e49426606f.jpg?mw=660,7,Casserole,https://www.tasteatlas.com/casserole,Pastitsio,4.2,,,,"Although the Greeks did not invent pasta, they have been consuming similar foods since ancient times. Actually, some terms we usually associate with Italian food like  and  are thought by some to be of Greek origin...",READ MORE,https://www.tasteatlas.com/pastitsio/wheretoeat,https://www.tasteatlas.com/ziti,https://cdn.tasteatlas.com/images/dishes/5a7c31d475724f18aad13e127aa4eccf.png?h=120&w=120,https://www.tasteatlas.com/bechamel-sauce,https://cdn.tasteatlas.com/images/dishes/a1165229c9624d4abc0f924232188573.png?h=120&w=120,https://www.tasteatlas.com/kefalotyri,https://cdn.tasteatlas.com/images/dishes/af57880fdd70483eb360272618b5c315.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,lasagna,,,
https://www.tasteatlas.com/revani,https://cdn.tasteatlas.com//images/dishes/2df62552a21148f9b1e202f4afbf4903.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Revani,3.8,Best in   (Sotiras),Taverna Platana,https://www.tasteatlas.com/taverna-platana,"Revani is a classic Greek and Turkish dessert made from semolina, sugar, and flour, with the additions of flavorings such as vanilla, lemon zest, or rose water, depending on the recipe variations. The cake is characterized by its overpowering swee...",READ MORE,https://www.tasteatlas.com/revani/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,,,,
https://www.tasteatlas.com/horta-salad,https://cdn.tasteatlas.com//images/dishes/cd76cdaa843d4bfeb62785c1210a20fe.jpg?mw=660,9,Salad,https://www.tasteatlas.com/Salads,Horta,3.9,Best in   (Chania City),To Antikristo,https://www.tasteatlas.com/to-antikristo,"Horta is a traditional Greek salad consisting of steamed or boiled greens and weeds that are drizzled with lemon juice and olive oil. The greens usually include dandelion, vleeta, nettles, wild spinach, mustard greens, and chicory. The flavor of t...",READ MORE,https://www.tasteatlas.com/horta-salad/wheretoeat,https://www.tasteatlas.com/dandelions,https://cdn.tasteatlas.com/images/ingredientgroups/79a620ab612a422db494778fae329695.png?h=120&w=120,https://www.tasteatlas.com/nettles,https://cdn.tasteatlas.com/images/ingredientgroups/1846e1baa7354c30b1aa14a1d6b273c4.png?h=120&w=120,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/Chicory,https://cdn.tasteatlas.com/images/ingredientgroups/b9b49457a6654c78b4deb2d6846ab552.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,
https://www.tasteatlas.com/yemista,https://cdn.tasteatlas.com//images/dishes/e30084f6f02342249ed507bab4db1a20.jpg?mw=660,10,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Yemista,4.5,Best in   (Naxos),Oasis Restaurant,https://www.tasteatlas.com/oasis-restaurant,Yemista or  is a Greek dish traditionally consisting of vegetables such as tomatoes and green peppers that are stuffed with rice and vegetables' inner parts. The stuffed vegetables are then baked in the oven. The name of the dish m...,READ MORE,https://www.tasteatlas.com/yemista/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,gemista,,,
