search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location,score-text,search-results__item-description,search-results__item-link href 2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/fiambre,https://cdn.tasteatlas.com//Images/Dishes/159384559a4a4e848d2e73baf0fc0b19.jpg?mw=660,1,Salad,https://www.tasteatlas.com/Salads,Fiambre,https://www.tasteatlas.com/guatemala-city,Guatemala City,3.9,"Fiambre is the most famous dish from Guatemala, a large salad that is traditionally prepared for the Day of the Dead and All Saints' Day. It is consumed in memory of the loved ones who have passed away. The salad can have as many as 50 ingredients...",https://www.tasteatlas.com/fiambre/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/pollo-en-crema,https://cdn.tasteatlas.com//images/dishes/94cab1fa8fce4a3580cc7abe1d207158.jpg?mw=660,2,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Pollo en crema,,,4.7,"Pollo en crema is a popular Guatemalan dish that is also enjoyed in El Salvador and Mexico. It consists of chicken breasts that are drenched in a rich, creamy sauce made with loroco (edible green flowers), chayote or zucchini, yellow potatoes, gre...",https://www.tasteatlas.com/pollo-en-crema/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/mixtas,https://cdn.tasteatlas.com//images/dishes/d0f644fde3a0431b825f4ee1c374e15d.jpg?mw=660,3,Hot Dog,https://www.tasteatlas.com/hot-dogs,Mixtas,,,4.1,"Mixtas are Guatemalan version of hot dogs, sold from numerous food carts throughout the country. What makes mixtas unique is the fact that the sausages are not placed in buns, but in tortillas. The dish is always made with fresh and inexpensive in...",https://www.tasteatlas.com/mixtas/wheretoeat,Best in   (Antigua Guatemala),La Casa de las Mixtas,https://www.tasteatlas.com/la-casa-de-las-mixtas,,,,,,,,,,,,,
https://www.tasteatlas.com/shucos,https://cdn.tasteatlas.com//images/dishes/eb08e31a42104be6bab3747eae7b4130.jpg?mw=660,4,Hot Dog,https://www.tasteatlas.com/hot-dogs,Shucos,,,4.1,"Shucos are popular Guatemalan and Latin American hot dogs. They are filled with guacamole, tomato sauce, mustard, hot sauce, mayonnaise, and any of the following ingredients: longaniza white sausage, salchicha sausage, or chorizo. Interestingly, t...",https://www.tasteatlas.com/shucos/wheretoeat,Best in   (Guatemala),Shucos El Chino,https://www.tasteatlas.com/shucos-el-chino,,,,,,,,,,,,,
https://www.tasteatlas.com/hilachas,https://cdn.tasteatlas.com//images/dishes/eb0cd4b13ebd4eab80ec5eb7687c8462.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Hilachas,https://www.tasteatlas.com/sacatepequez-department,Sacatepéquez Department,,"Hilachas is a staple of Guatemalan cuisine, a red-colored stew featuring ingredients such as shredded beef and vegetables such as tomatoes, potatoes, squash, or carrots. The name of the dish means shreds or rags, referring to shredded beef, which ...",https://www.tasteatlas.com/hilachas/wheretoeat,,,,n/a,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/pocon,https://cdn.tasteatlas.com//images/dishes/6497aaf145994c40a43c03b472f51abe.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Jocón,https://www.tasteatlas.com/huehuetenango-department,Huehuetenango Department,,"Jocón de pollo is a traditional Guatemalan dish hailing from Huehuetenango. The dish is made with a combination of chicken pieces, pumpkin and sesame seeds, tomatillos, cilantro, onions, chili peppers, and corn tortillas that are chopped, s...",https://www.tasteatlas.com/pocon/wheretoeat,,,,n/a,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,https://www.tasteatlas.com/tomatillo,https://cdn.tasteatlas.com/images/dishes/4484113ce9724fb29e033ba1fc1c30d1.png?h=120&w=120,https://www.tasteatlas.com/Sesame-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/725082941a654eb0925163274078bea9.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/pepian,https://cdn.tasteatlas.com//images/dishes/873c4e5543e944629c996cf05cea0197.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Pepián,https://www.tasteatlas.com/sacatepequez-department,Sacatepéquez Department,4.3,"This tasty stew is often referred to as the national dish of Guatemala. It shows a blend of Mayan and Spanish cultures and a taste of both. Pepián is characterized by its thick and rich consistency, and it usually contains meats such as bee...",https://www.tasteatlas.com/pepian/wheretoeat,Best in   (Antigua Guatemala),Fonda De La Calle Real,https://www.tasteatlas.com/fonda-de-la-calle-real,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120
https://www.tasteatlas.com/estofado-con-papas,https://cdn.tasteatlas.com//images/dishes/564ee14728684479b537677a77dcb352.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Estofado con papas,https://www.tasteatlas.com/solola-department,Sololá Department,,"Estofado con papas is a hearty potato stew that is commonly prepared in Guatemalan households. This dish is often associated with the cuisine of Sololá, and it may be prepared with or without meat. Apart from the potatoes and the optional m...",https://www.tasteatlas.com/estofado-con-papas/wheretoeat,,,,n/a,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120
https://www.tasteatlas.com/revolcado,https://cdn.tasteatlas.com//images/dishes/8f6e7b58915b4864931cd5bd533f7b2e.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Revolcado,,,,"Revolcado is a Guatemalan curried stew consisting of a small pig's head and entrails, tomatoes, tomatillos, bell peppers,  (Guatemalan chiles), garlic, onions, and annatto. The sauce is sometimes thickened with corn flour, a...",https://www.tasteatlas.com/revolcado/wheretoeat,Best in   (Antigua Guatemala),Fonda De La Calle Real,https://www.tasteatlas.com/fonda-de-la-calle-real,n/a,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/organ-meats,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://www.tasteatlas.com/chile-guaque,https://cdn.tasteatlas.com/images/dishes/81285be46af6475face45c71579cf2f2.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/tomatillo,https://cdn.tasteatlas.com/images/dishes/4484113ce9724fb29e033ba1fc1c30d1.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120
https://www.tasteatlas.com/pan-de-camote,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,10,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Pan de camote,https://www.tasteatlas.com/izabal-department,Izabal Department,,"Hailing from Guatemala, pan de camote is a type of sweet bread that is made with sweet potatoes. Although a traditional specialty of the Izabal region, it's also prepared in Peru. Apart from the sweet potatoes, the bread typically contains flour, ...",https://www.tasteatlas.com/pan-de-camote/wheretoeat,,,,n/a,,,,,,,,,,,,
