search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,item-location href,item-location,score-text--na
https://www.tasteatlas.com/lohikeitto,https://cdn.tasteatlas.com//Images/Dishes/38e5693d7406474aa49c8e346430a9cb.jpg?mw=660,1,Fish Soup,https://www.tasteatlas.com/fish-soups,Lohikeitto,4.5,"Lokikeitto is a creamy Finish salmon soup that is also known as  in Sweden. Apart from chunks of salmon fillet, it traditionally incorporates diced potatoes and carrots cooked in a flavorful, buttery broth infused with fish stock ...",laxsoppa,https://www.tasteatlas.com/lohikeitto/wheretoeat,https://www.tasteatlas.com/salmon,https://cdn.tasteatlas.com/images/ingredientgroups/22af2005e0a4498f999ee4db2d1eb02d.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/fish-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/0ce5b14b299f4d5d8ddbc8ee27ab13f9.png?h=120&w=120,,,
https://www.tasteatlas.com/lihapullat,https://cdn.tasteatlas.com//Images/Dishes/287ac1d095ed4dc688d69e3caaf7b0a6.jpg?mw=660,2,Meatballs,https://www.tasteatlas.com/meatballs,Lihapullat,4.8,"The crispy, golden Finnish meatballs are traditionally made with beef, with the occasional addition of ground pork. The meat is frequently seasoned with allspice and combined with a mixture of soaked bread, eggs, and onions. Although they appear i...",,https://www.tasteatlas.com/lihapullat/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,
https://www.tasteatlas.com/salmiakki,https://cdn.tasteatlas.com//Images/Dishes/a426b4efde4a465eb858b839b8cb8986.jpg?mw=660,3,Dessert,https://www.tasteatlas.com/Desserts,Salmiakki,3.5,"This traditional Finnish licorice gets its unusual flavor from the ammonium chloride salt. Believed to have originated as a cough medicine, today it is traditionally enjoyed as a salty, sharp-flavored candy that is usually black in color and comes...",,https://www.tasteatlas.com/salmiakki/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/mammi,https://cdn.tasteatlas.com//images/dishes/5213ad8d28b1454d826fc8071080c180.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Mämmi,3.4,"Similar to a porridge or a pudding, mämmi is a traditional Finnish dish prepared with a combination of rye flour, rye malt, and water. After it has been soaked, it is typically seasoned with dark molasses syrup, and the mixture is then baked ...",,https://www.tasteatlas.com/mammi/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/hernekeitto,https://cdn.tasteatlas.com//Images/Dishes/1a00c10c7aa74d6db8cefce590d3a742.jpg?mw=660,5,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Hernekeitto,4.3,"Considered an essential part of the Finnish food culture, hernekeitto is a thick split pea soup cooked with pork that is traditionally prepared and served every Thursday throughout the country. Followed by a delicious  – a...",pannukakku,https://www.tasteatlas.com/hernekeitto/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/silakat,https://cdn.tasteatlas.com//images/dishes/51212c315c6144c58b9269cfcc118036.jpg?mw=660,6,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Silakat,4.0,"Small Baltic herring, called  in Finnish, is the key ingredient of this traditional fish specialty hailing from Finland. Silakat is typically made by dredging whole cleaned herrings (or herring fillets with their skin attached) in ...",silakka,https://www.tasteatlas.com/silakat/wheretoeat,https://www.tasteatlas.com/herrings,https://cdn.tasteatlas.com/images/ingredientgroups/80ae21710b104835bc0b61adebf572e0.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,
https://www.tasteatlas.com/poronkaristys,https://cdn.tasteatlas.com//Images/Dishes/4ebf1baa83914a87a142fea7402c7440.jpg?mw=660,7,Game Dish,https://www.tasteatlas.com/game-dishes,Poronkäristys,3.9,"Poronkäristys is the national dish of Finland, prepared by sautéing reindeer meat. The dish originates from the Arctic Lapland where the semi-nomadic, indigenous people called Saame have been herding reindeers for a very long time. Thi...",,https://www.tasteatlas.com/poronkaristys/wheretoeat,,,,,,,,,https://www.tasteatlas.com/lapland,Lapland,
https://www.tasteatlas.com/munkki,https://cdn.tasteatlas.com//Images/Dishes/74dbee73c7f34503b610620746e14c2e.jpg?mw=660,8,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Munkki,4.1,"Munkki, translated as , are popular Finnish deep-fried doughnuts made with buttery, leavened dough. They are usually shaped into round forms that are occasionally complemented with sweet and fruity fillings, or in the shape of thick ...",monks,https://www.tasteatlas.com/munkki/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/karjalanpiirakka,https://cdn.tasteatlas.com//Images/Dishes/7395ea304a0b45e5ad569b49fedd5d2e.jpg?mw=660,9,Savory Pie,https://www.tasteatlas.com/savory-pies,Karjalanpiirakka,4.1,"Karjalanpiirakka is a traditional Finnish pasty consisting of various fillings wrapped in a thin rye crust. It is traditionally formed into an oval shape, and the top is always left open to showcase the creamy filling that is nowadays mainly prepa...",,https://www.tasteatlas.com/karjalanpiirakka/wheretoeat,,,,,,,,,https://www.tasteatlas.com/north-karelia,North Karelia,
https://www.tasteatlas.com/munavoi,https://cdn.tasteatlas.com//Images/Dishes/e29debc29f39464a915efb7111846acc.jpg?mw=660,10,Spread,https://www.tasteatlas.com/spreads,Munavoi,3.8,"Munavoi is a simple Finnish spread consisting of whipped butter combined with mashed hard-boiled eggs. Characterized by a unique coarse texture and a mild, buttery flavor, it is only lightly seasoned with salt and pepper. Apart from Finland, where...",,https://www.tasteatlas.com/munavoi/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,,,
