search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,search-results__item-description 2
https://www.tasteatlas.com/poulet-aux-noix,https://cdn.tasteatlas.com//images/dishes/d242ff264e674a7a8d1791815520c563.jpg?mw=660,1,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Poulet aux noix,n/a,"Poulet aux noix is a Haitian dish featuring chicken and cashews as the main ingredients. The chicken should always be well-spiced, while the cashews used in the dish should be raw. Chicken pieces, such as legs and thighs, are typically marinated, ...",https://www.tasteatlas.com/poulet-aux-noix/wheretoeat,
https://www.tasteatlas.com/griot,https://cdn.tasteatlas.com//Images/Dishes/65e01a8cf8614b8d93d2b0602af22002.jpg?mw=660,2,Pork Dish,https://www.tasteatlas.com/pork-dishes,Griot,,"Griot is a typical Haitian dish consisting of pork meat cubes slowly simmered in a sweet, spicy, and tangy marinade of chile peppers, onions, and orange, lime, or lemon juice until tender, then fried in a skillet. Instead of developing the flavor ...",https://www.tasteatlas.com/griot/wheretoeat,
https://www.tasteatlas.com/joumou,https://cdn.tasteatlas.com//images/dishes/9bd05eb05b0f49a0bccbc4655979324a.jpg?mw=660,3,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Joumou,n/a,"Haitian pumpkin soup is traditionally served on New Year's Day as a celebratory reminder of Haiti's hard-won liberation from slavery and independence from France. The soup was once a delicacy reserved only for white masters, while the slaves who p...",https://www.tasteatlas.com/joumou/wheretoeat,
https://www.tasteatlas.com/haitian-patty,https://cdn.tasteatlas.com//images/dishes/ea3684efec1b436b92da5d345a43cc7f.jpg?mw=660,4,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Haitian Patty,n/a,"These Haitian delicacies consist of puff pastry that is shaped into small squares and filled with various types of meat such as beef, chicken, pork, or even fish. They are regularly served at numerous special events and celebrations, but Haitian p...",https://www.tasteatlas.com/haitian-patty/wheretoeat,
https://www.tasteatlas.com/tassot,https://cdn.tasteatlas.com//images/dishes/6e1b5a6d47f24e42936343368ea0bd00.jpg?mw=660,5,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Tassot,n/a,"Tassot is a traditional Haitian dish made with goat meat or beef as the main ingredient. Cubed meat is usually marinated in a combination of onions, orange juice, and lemon juice. It is then fried until it develops a crispy, brownish exterior. The...",https://www.tasteatlas.com/tassot/wheretoeat,
https://www.tasteatlas.com/legim,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,6,Stew,https://www.tasteatlas.com/Stews,Legim,n/a,"Heavily influenced by African cooking traditions, legim is a popular Haitian dish with many variations regarding the ingredients. It typically consists of various mixed vegetables that are cooked with meat (usually beef) and then mashed together. ...",https://www.tasteatlas.com/legim/wheretoeat,
https://www.tasteatlas.com/tchaka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,7,Stew,https://www.tasteatlas.com/Stews,Tchaka,n/a,"Haitian tchaka is a hearty stew made with dried corn, red beans, squash, and smoked pork, particularly pork legs. Although it is easy to prepare tchaka, it takes a lot of time, as it is required to simmer it slowly over low heat in order for the f...",https://www.tasteatlas.com/tchaka/wheretoeat,
https://www.tasteatlas.com/pikliz,https://cdn.tasteatlas.com//images/dishes/90f1859d8bc2403e810ef4c113c0775a.jpg?mw=660,8,Relish,https://www.tasteatlas.com/relishes,Pikliz,n/a,"Pikliz is a Haitian relish consisting of a combination of pickled vegetables such as shredded cabbage, carrots, onions, shallots, and spicy peppers. Traditionally, pikliz is consumed as an accompaniment to fried pork (), fried beef (...",https://www.tasteatlas.com/pikliz/wheretoeat,griot
https://www.tasteatlas.com/bouillon-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Soup,https://www.tasteatlas.com/Soups,Bouillon Soup,n/a,"Bouillon is a hearty and slightly thick Haitian soup made with meat, yams, kelp, cabbage, plantains, potatoes, scotch bonnet peppers, and celery. It is sometimes served with small dumplings which are made by rolling the flour into a small amount o...",https://www.tasteatlas.com/bouillon-soup/wheretoeat,
https://www.tasteatlas.com/makawoni-au-graten,https://cdn.tasteatlas.com//images/dishes/42bf96757c8846658348e9d8726f08d3.jpg?mw=660,10,Pasta,https://www.tasteatlas.com/pasta,Makawoni au graten,n/a,"This is not your ordinary mac & cheese. What differentiates the Haitian makawoni au graten (also spelled ) from mac & cheese are the noodles – there are no elbow macaroni here, since they are replaced by la...",https://www.tasteatlas.com/makawoni-au-graten/wheretoeat,macaroni au gratin
