search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,score-text--na
https://www.tasteatlas.com/baleada,https://cdn.tasteatlas.com//images/dishes/aaa1ef5914204a5896edf6c22060f183.jpg?mw=660,1,Street Food,https://www.tasteatlas.com/Street-food,Baleada,4.1,"Baleada is one of the most famous Honduran dishes consisting of a thick wheat flour tortilla filled with mashed fried beans and optionally, various other ingredients such as cheese, eggs, avocados, hot sauce, and Honduran-style sour cream known as...",https://www.tasteatlas.com/baleada/wheretoeat,
https://www.tasteatlas.com/sopa-de-caracol,https://cdn.tasteatlas.com//images/dishes/811d24dce1384231848c52da6c309b55.jpg?mw=660,2,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Sopa de caracol,5.0,"Sopa de caracol is one of the most notable dishes in Honduran cuisine, consisting of large pieces of conch cooked in coconut milk with the addition of conch broth, cassava, plantains, and spices such as coriander, garlic, and chili. For added flav...",https://www.tasteatlas.com/sopa-de-caracol/wheretoeat,
https://www.tasteatlas.com/pan-de-coco,https://cdn.tasteatlas.com//images/dishes/5e680989ff2c414a9b51559cb8b10277.jpg?mw=660,3,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Pan de coco,,"Pan de coco is a sweet bread roll filled with desiccated coconut and sugar. Its name can be translated to , and it is a very popular snack bread throughout Honduras and the Philippines. The Honduran version uses coconut milk ...",https://www.tasteatlas.com/pan-de-coco/wheretoeat,n/a
https://www.tasteatlas.com/rosquillas-honduras,https://cdn.tasteatlas.com//images/dishes/4bbb29f3ccb04b8a991107d57b458e46.jpg?mw=660,4,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Rosquillas,3.8,"Rosquillas are traditional Spanish deep-fried donuts, characterized by their fluffy texture and a hole in the middle. They are typically prepared during the Holy Week festivities. Although there are many varieties of rosquillas, the classic ones a...",https://www.tasteatlas.com/rosquillas-honduras/wheretoeat,
https://www.tasteatlas.com/sopa-catratcha-de-mariscos-con-un,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,5,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Sopa catratcha de mariscos con un,4.1,"Sopa catratcha de mariscos con un is a traditional Honduran dish in which seafood is cooked in coconut milk with the addition of seasonings and corn cobs. Any type of seafood can be used, but fish fillets, crab, shrimps, and conch are usually the ...",https://www.tasteatlas.com/sopa-catratcha-de-mariscos-con-un/wheretoeat,
https://www.tasteatlas.com/tapado-de-pescado,https://cdn.tasteatlas.com//images/dishes/4f3007dd026949e697cf817ba4b3546d.jpg?mw=660,6,Fish Soup,https://www.tasteatlas.com/fish-soups,Tapado de pescado,4.1,"Tapado de pescado is a flavorful Honduran specialty soup featuring ingredients such as white fish (snapper, haddock, bass), coconut milk, plantains, yucca, squash, yams, onions, and seasonings. The soup has a slightly sweet flavor due to the usage...",https://www.tasteatlas.com/tapado-de-pescado/wheretoeat,
https://www.tasteatlas.com/plato-tipico,https://cdn.tasteatlas.com//Images/Dishes/f7bbdcd27aec4e3d98946d1460261ab8.jpg?mw=660,7,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Plato típico,,"Honduran food is typically neither hot nor spicy, although the people there use lots of spices and fresh herbs such as oregano, coriander, cumin, and lime juice, as they wish their food to be full of flavor. That is also true of plato típic...",https://www.tasteatlas.com/plato-tipico/wheretoeat,n/a
https://www.tasteatlas.com/sopa-marinera,https://cdn.tasteatlas.com//images/dishes/66bcee2b73cc43ea8404e7ce562b36e3.jpg?mw=660,8,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Sopa marinera,,"Sopa marinera is a flavorful Honduran soup consisting of fish or seafood such as crabs and shrimps, plantains, cassava, and coriander, cooked in coconut milk. The soup is extremely healthy due to the fact that all of the ingredients are cooked for...",https://www.tasteatlas.com/sopa-marinera/wheretoeat,n/a
https://www.tasteatlas.com/candinga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,9,Stew,https://www.tasteatlas.com/Stews,Candinga,,"Candinga is a traditional Honduran stew that's simple, yet hearty. It's made with a combination of pork liver, oil, onions, bell peppers, tomatoes, stock, and seasonings. The ingredients are simmered over low to medium heat until they become tende...",https://www.tasteatlas.com/candinga/wheretoeat,n/a
https://www.tasteatlas.com/fried-yojoa-fish,https://cdn.tasteatlas.com//images/dishes/f633ca61143947b0bf3af82c7b08d6a4.jpg?mw=660,10,Freshwater Fish Dish,https://www.tasteatlas.com/freshwater-fish-dishes,Fried Yojoa Fish,,,https://www.tasteatlas.com/fried-yojoa-fish/wheretoeat,n/a
