search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/gulyas,https://cdn.tasteatlas.com//Images/Dishes/c248dc8942e1454f92e8e140141d02e7.jpg?mw=660,1,Meat Soup,https://www.tasteatlas.com/meat-soups,Gulyás,4.3,Best in   (Budapest),Kiado Kocsma,https://www.tasteatlas.com/KiadoKocsma,"This Hungarian specialty is prepared with meat, traditionally beef, that is simmered in a rich paprika-infused broth, usually alongside onions, bell peppers, root vegetables, various spices, and occasionally tomatoes (in some regional variations)....",https://www.tasteatlas.com/gulyas/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,,
https://www.tasteatlas.com/kremes,https://cdn.tasteatlas.com//images/dishes/3a50c3d19f014dab8720930f7fe381d8.jpg?mw=660,2,Cake,https://www.tasteatlas.com/cakes,Krémes,4.2,Best in   (Budapest),Ruszwurm Cukrászda,https://www.tasteatlas.com/RuszwurmCukraszda,"The Hungarian version of the famous  goes under the name krémes, meaning . It combines two layers of puff pastry held together with a generous amount of smooth pastry cream. Though the recipe has been sl...",https://www.tasteatlas.com/kremes/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,cremeschnitte,
https://www.tasteatlas.com/paprikas-csirke,https://cdn.tasteatlas.com//images/dishes/82bf238da3e6442ea67427a3ec6efe49.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Chicken Paprikash (Paprikás csirke),4.1,Best in   (Budapest),Pest-Buda Bistro,https://www.tasteatlas.com/PestBudaBistro,"Hungarian chicken paprikás originated as a rustic stew that was cooked in a large cauldron over an open fire. It is traditionally prepared with chicken thighs and legs that are braised alongside onions and cooked in a thick, paprika-flavore...",https://www.tasteatlas.com/paprikas-csirke/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/kalocsai-fuszerpaprika-orlemeny,https://cdn.tasteatlas.com/images/dishes/ccba49d6837444e7b9f80f4a5a4d0799.png?h=120&w=120,https://www.tasteatlas.com/szegedi-fuszerpaprika-orlemeny,https://cdn.tasteatlas.com/images/dishes/1a27c9990afa44ec8f70dfac2217a7e7.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/sour-cream,https://cdn.tasteatlas.com/images/ingredientgroups/929559246bc24b9597fcefe8eef305f7.png?h=120&w=120,,
https://www.tasteatlas.com/porkolt,https://cdn.tasteatlas.com//Images/Dishes/5a7168ff459d4104bbfc5e8ec378abab.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Pörkölt,4.3,Best in   (Budapest),Gettó Gulyás,https://www.tasteatlas.com/GettoGulyas,"Pörkölt is Hungary's national stew, its name derived from the word , meaning  or . The stew is made from meat such as beef, lamb, pork, or chicken, simmered in a red sauce with lo...",https://www.tasteatlas.com/porkolt/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,pörkölni,
https://www.tasteatlas.com/langos,https://cdn.tasteatlas.com//Images/Dishes/0384c4118bdf4bc687dc766b3c4beca0.jpg?mw=660,5,Snack,https://www.tasteatlas.com/Snacks,Lángos,4.3,Best in   (Budapest),Drum Cafe,https://www.tasteatlas.com/DrumCafe,"Lángos is a Hungarian specialty made by deep-frying a basic dough consisting of water, flour, yeast, sugar, and salt until it develops a golden-brown color. Sour cream, milk, or yogurt can all be used instead of water. Lángos is trad...",https://www.tasteatlas.com/langos/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,
https://www.tasteatlas.com/turo-rudi,https://cdn.tasteatlas.com//images/dishes/56cbc0d84997482da93cff985c7edd8d.jpg?mw=660,6,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Túró rudi,4.3,,,,"Túró rudi is the most popular Hungarian confectionery product consisting of curd cheese that is covered in a chocolate coating. It was originally made in 1963, and today it comes in numerous flavors such as strawberry, apricot, or ra...",https://www.tasteatlas.com/turo-rudi/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/pogacsa,https://cdn.tasteatlas.com//Images/Dishes/83a95efa02ed4f65934e3bd47c1a9fb7.jpg?mw=660,7,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Pogácsa,4.3,Best in   (Budapest),Ruszwurm Cukrászda,https://www.tasteatlas.com/RuszwurmCukraszda,"Pogácsa is a popular Hungarian snack consisting of a small, bite-sized pastry that can be either sweet or savory. Preferably, it should be eaten while still hot. Although there are differences in size and flavor, all pogácsa pastries...",https://www.tasteatlas.com/pogacsa/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/halaszle,https://cdn.tasteatlas.com//images/dishes/aaf7314d372245fe8c4f2ce3d718d184.jpeg?mw=660,8,Fish Soup,https://www.tasteatlas.com/fish-soups,Halászlé,4.0,Best in   (Keszthely),Halászcsárda,https://www.tasteatlas.com/halaszcsarda,"Halászlé or  is made with mixed river fish cooked in a broth that is heavily spiced with hot paprika. The fish—mainly carp, catfish, perch, or pike—is locally sourced from the Tisza and Danube riv...",https://www.tasteatlas.com/halaszle/wheretoeat,https://www.tasteatlas.com/carp,https://cdn.tasteatlas.com/images/ingredientgroups/a2609e4a6f0c4f11a079f1675f031c3e.png?h=120&w=120,https://www.tasteatlas.com/catfishes,https://cdn.tasteatlas.com/images/ingredientgroups/cc00fd4fdc2f47ea81779536a412a95c.png?h=120&w=120,https://www.tasteatlas.com/pikes,https://cdn.tasteatlas.com/images/ingredientgroups/5b6bd31f46c94561a0641a11ea47fc51.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,fisherman's soup,
https://www.tasteatlas.com/kurtoskalacs,https://cdn.tasteatlas.com//images/dishes/b17fce3105f54e74864d7de485513231.jpg?mw=660,9,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kürtőskalács,4.2,Best in   (Budapest),Molnár's Kürtőskalács,https://www.tasteatlas.com/molnars-kurtoskalacs,This Hungarian tube-shaped pastry popularly known as  traces its origin to the medieval era Székely Land—back then a part of the Kingdom of Hungary. The first known recipe titled,https://www.tasteatlas.com/kurtoskalacs/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,chimney cake,
https://www.tasteatlas.com/dobos-torte,https://cdn.tasteatlas.com//Images/Dishes/3274334915b74cc7b7f0cf5a03544fcf.jpg?mw=660,10,Cake,https://www.tasteatlas.com/cakes,Dobos torte,4.1,Best in   (Budapest),Café Gerbeaud,https://www.tasteatlas.com/Gerbeaud,"As an attempt to make a cake that would be able to keep longer than usual, the Hungarian confectioner named József C. Dobos first introduced the Dobos torte at the National General Exhibition of Budapest in 1885. It is a round cake consisti...",https://www.tasteatlas.com/dobos-torte/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/vanilla-sugars,https://cdn.tasteatlas.com/images/ingredientgroups/dd8310eda17f409b87002a28dceee447.png?h=120&w=120,https://www.tasteatlas.com/Chocolate,https://cdn.tasteatlas.com/images/ingredientgroups/55f79b1267184622bb38fc2e41b2203e.png?h=120&w=120,https://www.tasteatlas.com/cocoa-butters,https://cdn.tasteatlas.com/images/ingredientgroups/b7ac28aa6c014bac95766143b1f4b461.png?h=120&w=120,,
