search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,item-location href,item-location,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location src,score-text--na
https://www.tasteatlas.com/roti,https://cdn.tasteatlas.com//Images/Dishes/1bd5e63b79b344ef9b56cc6480470dba.jpg?mw=660,1,Flatbread,https://www.tasteatlas.com/Flatbreads,Roti,4.3,Best in   (Mumbai),Bademiya,https://www.tasteatlas.com/bademiya,"Roti is a flat and unleavened bread made with wholemeal flour. It is traditionally cooked on an iron griddle called , an important vessel in the Indian cuisine. In Indian cuisine, roti is as essential as rice. There are several theori...",tava,READ MORE,https://www.tasteatlas.com/roti/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/naan,https://cdn.tasteatlas.com//images/dishes/8f5e5f67af2541ac8008637115b7c104.jpg?mw=660,2,Flatbread,https://www.tasteatlas.com/Flatbreads,Naan,4.4,Best in   (New Delhi),Kake Di Hatti,https://www.tasteatlas.com/KakeDiHatti,"Naan is a unique and popular flatbread with a chewy texture that has its roots in India. The first documented traces of naan are found in the 1300 AD notes of Amir Kushrau, an Indo-Persian poet. Its name comes from the Persian word for bread. Naan...",,READ MORE,https://www.tasteatlas.com/naan/wheretoeat,https://www.tasteatlas.com/maida-flours,https://cdn.tasteatlas.com/images/ingredientgroups/dfd9d40b79484f9cbdfaa8642d676ae7.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/chutney,https://cdn.tasteatlas.com//images/dishes/90ddab16279f486ba3c8dea223ab1231.jpg?mw=660,3,Relish,https://www.tasteatlas.com/relishes,Chutney,4.0,Best in   (Bangalore),Brahmin's Coffee Bar,https://www.tasteatlas.com/BrahminsCoffeeBar,"Whether Indians are enjoying tandoori chicken or aloo paratha, no meal is complete without the flavorful chutneys - India's national condiments. These fresh homemade relishes consist of pickled or stewed fruit and vegetables that are cut into smal...",,READ MORE,https://www.tasteatlas.com/chutney/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/biryani-northern-india,https://cdn.tasteatlas.com//Images/Dishes/8fd2297171484b88be3e3e6815979690.jpg?mw=660,4,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Biryani,4.1,Best in   (Hyderabad),Hotel Shadab,https://www.tasteatlas.com/hotel-shadab,"Biryani is a group of classic dishes dating back to the Mughal Empire. The main ingredients of biryani are rice (ideally ), spices, a base of meat, eggs, or vegetables, and numerous optional ingredients such as dried fruits, nuts, ...",basmati,READ MORE,https://www.tasteatlas.com/biryani-northern-india/wheretoeat,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/dried-fruits,https://cdn.tasteatlas.com/images/ingredientgroups/5f33acf8bb8a41c19292969f322d304f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/northern-india,Northern India,,,,
https://www.tasteatlas.com/dal,https://cdn.tasteatlas.com//images/dishes/fae65ee13027459b9f0b6793fb97634b.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Dal,4.1,,,,"This flavorful and highly nutritious national dish of India is especially popular in southern parts of the country, but it can also be found in Nepal, Sri Lanka, Pakistan, and Bangladesh. Dal is a stew with the main ingredient of black or yellow l...",,READ MORE,https://www.tasteatlas.com/dal/wheretoeat,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/mung-bean,https://cdn.tasteatlas.com/images/dishes/1e11168597844a658f5fbea1f1c84d32.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,,,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,
https://www.tasteatlas.com/butter-chicken,https://cdn.tasteatlas.com//images/dishes/f110acd777ca43889ceafb24c17f752d.jpg?mw=660,6,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Butter Chicken,4.3,Best in   (New Delhi),Gulati,https://www.tasteatlas.com/Gulati,"Probably the best known of all Indian dishes, butter chicken, also known as , is a staple dish at most Indian restaurants. The dish originated in Delhi during the 1950s, when a man named Kundan Lal Gujral opened his restauran...",murgh makhani,READ MORE,https://www.tasteatlas.com/butter-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/red-chilli-powder,https://cdn.tasteatlas.com/images/ingredientgroups/0bf070508e5f4a41b10e14a0642e59fe.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/delhi,Delhi,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,
https://www.tasteatlas.com/tandoori,https://cdn.tasteatlas.com//Images/Dishes/e1ef1317a40f432992402380e0ec7a6e.jpg?mw=660,7,Technique,https://www.tasteatlas.com/Techniques,Tandoori,4.7,Best in   (Mumbai),Peshawri,https://www.tasteatlas.com/peshawri,"The most popular Indian dishes are those cooked over a blazing fire in the so-called , a cylindrical open-top clay oven fueled by wood or charcoal. The tandoori technique evolved from an old Middle Eastern method of baking bread, w...",tandoor,READ MORE,https://www.tasteatlas.com/tandoori/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/tandoori-chicken,https://cdn.tasteatlas.com//Images/Dishes/bdab2e7920f0409188d0b3646826893a.jpg?mw=660,8,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Tandoori Chicken,4.2,Best in   (Pune),Blue Nile,https://www.tasteatlas.com/blue-nile-restaurant,"Tandoori chicken or is one of the most popular dishes in Indian cuisine, its name derived from the Persian word , meaning . The dish consists of chicken meat that is marinated in yogurt, seasoned...",tandoori murgh,READ MORE,https://www.tasteatlas.com/tandoori-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Limes,https://cdn.tasteatlas.com/images/ingredientgroups/64e50731ad814053bbaa3e63f1006784.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/garam-masala,https://cdn.tasteatlas.com/images/dishes/a2fdc55cb6b643c29b66708def1e1c64.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/punjab,Punjab,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://cdn.tasteatlas.com/images/emblems/962fcd5b43cc410995763b1e14141c6c.png,
https://www.tasteatlas.com/korma,https://cdn.tasteatlas.com//Images/Dishes/8bf6e58d3a1545f6abd1dabe49dffa8d.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Korma,4.4,Best in   (New Delhi),Ashok & Ashok,https://www.tasteatlas.com/AshokAshok,"Korma is a creamy meat stew (although it could also be made in a vegetarian version) with a mild flavor, made with saffron, yogurt, and various spices such as coriander, ginger, cumin seeds, chiles, and turmeric. It is believed that it originated ...",,READ MORE,https://www.tasteatlas.com/korma/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/saffron,https://cdn.tasteatlas.com/images/ingredientgroups/7e13c46cefc54903a5488b0b229a670c.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,,,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,
https://www.tasteatlas.com/dosa,https://cdn.tasteatlas.com//Images/Dishes/b1e9054ebc86490ebef27f3e791ccee4.jpg?mw=660,10,Pancake,https://www.tasteatlas.com/pancakes,Dosa,4.3,Best in   (Bangalore),Central Tiffin Room,https://www.tasteatlas.com/central-tiffin-room,"The thin pancake known as dosa is one of the most famous Indian dishes. It is made with soaked rice and black gram beans, which are ground into a paste and mixed to create a thick batter, usually left to ferment overnight. The mixture is enriched ...",,READ MORE,https://www.tasteatlas.com/dosa/wheretoeat,,,,,,,,,,,https://www.tasteatlas.com/tamil-nadu,Tamil Nadu,,,https://cdn.tasteatlas.com/images/emblems/280926c6837545329b608cc3a3c21139.png,
