search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__or,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,score-text--na,item-location href,item-location,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/biryani,https://cdn.tasteatlas.com//Images/Dishes/8fd2297171484b88be3e3e6815979690.jpg?mw=660,1,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Biryani,4.1,"Biryani is a group of classic dishes dating back to the Mughal Empire. The main ingredients of biryani are rice (ideally ), spices, a base of meat, eggs, or vegetables, and numerous optional ingredients such as dried fruits, nuts, ...",basmati,https://www.tasteatlas.com/biryani/wheretoeat,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,OR,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/dried-fruits,https://cdn.tasteatlas.com/images/ingredientgroups/5f33acf8bb8a41c19292969f322d304f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,,,
https://www.tasteatlas.com/pilaf,https://cdn.tasteatlas.com//Images/Dishes/49a441aab7b34bc799bd0f4030429c73.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Pilaf,3.9,"Pilaf is a staple of Middle Eastern cuisine, a dish made with rice, cracked wheat, couscous, or bulgur. However, rice is the most commonly used ingredient, combined with meat, vegetables, dried fruits, and spices, simmered together in a flavored b...",,https://www.tasteatlas.com/pilaf/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kuku,https://cdn.tasteatlas.com//Images/Dishes/f6278cc497554c6c9a3b60a00eb7c0c8.jpg?mw=660,3,Egg Dish,https://www.tasteatlas.com/egg-dishes,Kuku,,"Kuku is the universal term for a broad group of Iranian dishes that resemble a thick omelet. Typically pan-fried, these dishes are predominately vegetarian, although some varieties occasionally employ meat. Some of the most famous varieties are",,https://www.tasteatlas.com/kuku/wheretoeat,,,,,,,,,,,,n/a,,,,
https://www.tasteatlas.com/gaz,https://cdn.tasteatlas.com//Images/Dishes/b60e78a21a0a40db8c459e92c0a1f53e.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Gaz,4.4,"Gaz is the Iranian variety of nougat. Nowadays it is mostly prepared with a blend of egg whites, sugar, and nuts, but the original gaz consists of slightly different ingredients. The raw gaz is an exudate of an insect, which is found and collected...",,https://www.tasteatlas.com/gaz/wheretoeat,https://www.tasteatlas.com/corn-syrups,https://cdn.tasteatlas.com/images/ingredientgroups/bad5d0cffad44eae8dfcb5c2545f4ff4.png?h=120&w=120,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120,,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/saffron,https://cdn.tasteatlas.com/images/ingredientgroups/7e13c46cefc54903a5488b0b229a670c.png?h=120&w=120,,https://www.tasteatlas.com/isfahan,Isfahan,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120
https://www.tasteatlas.com/abgoosht,https://cdn.tasteatlas.com//Images/Dishes/2def4f3aa290418ab116f34dcbdf8e1c.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Abgoosht,4.3,"Iranian abgoosht is a hearty one-pot stew that has its origins in ancient Persia. It is traditionally prepared with lamb or mutton, but beef can be used in some variations. The dish also incorporates potatoes, beans, legumes, and various Iranian s...",,https://www.tasteatlas.com/abgoosht/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Goat,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,OR,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,,,,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/zulbia,https://cdn.tasteatlas.com//images/dishes/85dca6a42c8948f6a861fba0a5442c8f.jpg?mw=660,6,Deep-fried Dessert,https://www.tasteatlas.com/deep-fried-desserts,Zulbia,3.8,"Although it is believed to have its origins in Persia, zulbia or jalebi is an international dessert with variations that spread throughout the Middle East, India, and Asia. In its basic form, this sweet dessert is created by combining flour with y...",,https://www.tasteatlas.com/zulbia/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,OR,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,https://www.tasteatlas.com/Honey,https://cdn.tasteatlas.com/images/ingredientgroups/a5a217a77bba4b058da954c06e385041.png?h=120&w=120,,,,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120
https://www.tasteatlas.com/khoresh-gheimeh,https://cdn.tasteatlas.com//Images/Dishes/00fa0d16fc40452b808c0fc660a3252e.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Khoresh gheimeh,4.7,"Khoresh gheimeh, occasionally called simply  or , is a traditional Iranian meat stew made with yellow split beans. Traditionally it was always made with cubed beef or lamb, but modern variations sometimes inclu...",gheimeh,https://www.tasteatlas.com/khoresh-gheimeh/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,OR,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/pashmak,https://cdn.tasteatlas.com//Images/Dishes/835f7abc476f4c55a6d39868be077ab2.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Pashmak,4.4,"is a traditional Iranian sweet, similar to cotton candy. It is made with flavored sugar syrup that is gently pulled until multiple thin and fragile threads are created. The final product resembles hair or wool, which is soft, yet ...",Pashmak,https://www.tasteatlas.com/pashmak/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/yazd,Yazd,,
https://www.tasteatlas.com/chelow-kebab,https://cdn.tasteatlas.com//Images/Dishes/407c0d2fda8b4591877846d7f1128ca3.jpg?mw=660,9,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Chelow kebab,4.8,"Chelow kebab consists of fragrant, saffron-spiced rice, grilled tomatoes, and kebab, which can be prepared with minced or sliced meat. It is believed that the dish originated among the Caucasian people, who passed down the recipe to the Iranians. ...",,https://www.tasteatlas.com/chelow-kebab/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/basmati,https://cdn.tasteatlas.com/images/dishes/f818e30c86c2471abb8afe349ffebf40.png?h=120&w=120,,https://www.tasteatlas.com/saffron,https://cdn.tasteatlas.com/images/ingredientgroups/7e13c46cefc54903a5488b0b229a670c.png?h=120&w=120,https://www.tasteatlas.com/sumac,https://cdn.tasteatlas.com/images/dishes/3870f3fae6b74d40a8204bee307508b2.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120
https://www.tasteatlas.com/khoresh,https://cdn.tasteatlas.com//images/dishes/4b99b8ebdb1c42ac98055e9e7629dc21.jpg?mw=660,10,Stew,https://www.tasteatlas.com/Stews,Khoresh,,"Khoresh is a universal term which refers to a huge group of flavorful and versatile Iranian stews. Meat versions often incorporate poultry, lamb, or beef, but many use fish, vegetables, and lentils as the key ingredients. Regardless of the huge nu...",,https://www.tasteatlas.com/khoresh/wheretoeat,,,,,,,,,,,,n/a,,,,
