search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location src,item-location,search-results__item-description,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/dubliner,https://cdn.tasteatlas.com//images/ingredients/df1fa29ed4744fe284ea02770d5f571b.jpg?mw=660,1,Cheese,https://www.tasteatlas.com/Cheese,Dubliner,https://www.tasteatlas.com/county-cork,https://cdn.tasteatlas.com/images/emblems/2b045141ce784fbc946c51fc04162a78.png,County Cork,"is an Irish cheese produced in County Cork. The cheese is made from cow's milk. Its texture is firm, smooth, and crystalline, while the flavors are nutty, sharp, and sweet. Dubliner has a natural rind, and today it is available i...",Dubliner,
https://www.tasteatlas.com/milleens,https://cdn.tasteatlas.com//images/ingredients/98237e9964604277a72980999a8d86e1.jpg?mw=660,2,Cheese,https://www.tasteatlas.com/Cheese,Milleens,https://www.tasteatlas.com/county-cork,https://cdn.tasteatlas.com/images/emblems/2b045141ce784fbc946c51fc04162a78.png,County Cork,"is an Irish farmhouse cheese made from the milk of Friesian cows grazing the Beara peninsula pastures of South West Ireland. This soft washed rind cheese has pungent and earthy aromas, while the flavors are mushroomy, floral, swe...",Milleens,n/a
https://www.tasteatlas.com/cashel-blue,https://cdn.tasteatlas.com//images/ingredients/7038e286ba4e499c85db4f3cc8a54a90.jpg?mw=660,3,Cheese,https://www.tasteatlas.com/Cheese,Cashel Blue,https://www.tasteatlas.com/county-tipperary,,County Tipperary,"is an Irish cheese produced in County Tipperary. This blue cheese is made from local cow's milk. The producers, Jane and Louis Grubb, have been making this cheese since 1984. The young versions have a chalky and milky aromas a...",Cashel Blue,
https://www.tasteatlas.com/ardrahan,https://cdn.tasteatlas.com//images/ingredients/132130a0614d466081d921ac0b73bc01.jpg?mw=660,4,Cheese,https://www.tasteatlas.com/Cheese,Ardrahan,https://www.tasteatlas.com/kanturk,,Kanturk,"is an Irish cheese originating from Kanturk, where it has been produced by the Burns family since the early 1980s. The cheese is made with pasteurized cow's milk coming from Friesian cows. It has a brine-washed rind that hides a ...",Ardrahan,n/a
https://www.tasteatlas.com/blarney-castle,https://cdn.tasteatlas.com//images/ingredients/d4631c6a6bd140e290f10d81879c4420.jpg?mw=660,5,Cheese,https://www.tasteatlas.com/Cheese,Blarney Castle,https://www.tasteatlas.com/blarney,,Blarney,"is an Irish cheese produced in the city of Blarney, near Cork, hence the name. The cheese is made with the milk of grass-fed cows. It is golden yellow in color and its texture is semi-soft and creamy, while the flavors are ...",Blarney Castle,n/a
https://www.tasteatlas.com/coolea-cheese,https://cdn.tasteatlas.com//images/ingredients/e17947621b87487d8455e0be2d50ed73.jpg?mw=660,6,Cheese,https://www.tasteatlas.com/Cheese,Coolea,https://www.tasteatlas.com/coolea,,Coolea,"Produced since 1979 by Willems family in County Cork,  is a Gouda-style cheese made with cow's milk. Underneath its waxy outer layer, the cheese hides a firm, crumbly, and dense texture. When young, Coolea is buttery and mild in fla...",Coolea,n/a
https://www.tasteatlas.com/clare-island-salmon,https://cdn.tasteatlas.com//images/ingredients/6a257a53fa7d4033be397f96ca0cb714.jpg?mw=660,7,Salmon,https://www.tasteatlas.com/salmon,Clare Island Salmon,https://www.tasteatlas.com/clare-island,,Clare Island,"Clare Island is located in outer Clew Bay, County Mayo where salmon of the species  thrive in the wild pristine Atlantic waters. The salmon are reared in large cages where they are stocked at very low densities that allow them ...",Salmo salar,n/a
https://www.tasteatlas.com/gubbeen,https://cdn.tasteatlas.com//images/ingredients/7e59afb2757d4012aa72eae198c40557.jpg?mw=660,8,Cheese,https://www.tasteatlas.com/Cheese,Gubbeen,https://www.tasteatlas.com/cork,,Cork,"is an Irish semi-soft cheese made from cow's milk. Underneath its washed rind, the cheese has a creamy and open texture. The flavors are nutty, milky, and buttery, with hints of grass and mushrooms. When young, Gubbeen has notes o...",Gubbeen,n/a
https://www.tasteatlas.com/durrus-cheese,https://cdn.tasteatlas.com//images/ingredients/f16b7d9a02e84c9a9f8e77b535a57cb4.jpg?mw=660,9,Cheese,https://www.tasteatlas.com/Cheese,Durrus,https://www.tasteatlas.com/durrus,,Durrus,"is a semi-soft Irish cheese made from raw cow's milk. It's been produced in the valley of Coomkeen in West Cork since 1979. The cheese has a natural washed rind that is pinkish in color. Underneath it, there is a straw-colored past...",Durrus,n/a
https://www.tasteatlas.com/st-killian,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Cheese,https://www.tasteatlas.com/Cheese,St. Killian,https://www.tasteatlas.com/adamstown-wexford,,Adamstown,is a traditional Irish cheese hailing from Adamstown in County Wexford. This camembert-style cheese is hexagonally shaped and it's made from pasteurized cow's milk. It's also one of the oldest Irish cheeses. Underneath its blo...,St. Killian,n/a
https://www.tasteatlas.com/connemara-hill-lamb,https://cdn.tasteatlas.com//Images/Ingredients/f91f90e5f1744ce48e558b37ec2eca4f.jpg?mw=660,11,Lamb,https://www.tasteatlas.com/Lamb,Connemara Hill lamb,https://www.tasteatlas.com/connemara,,Connemara,"Connemara Hill Lamb is lamb bred, born and reared in an area in the West of Ireland known internationally as Connemara. In the area, there are references from the 19th century about consuming this lamb when the blackface sheep that these lambs are...",,n/a
