search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/falafel,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,1,Street Food,https://www.tasteatlas.com/Street-food,Falafel,3.9,Best in   (Tel Aviv),HaKosem,https://www.tasteatlas.com/FalafelHakosem,"Even though these protein-packed chickpea fritters are listed as one of Israel's national dishes, it is often suggested that falafel might have originated in Egypt, Lebanon, or Palestine. By the 1950s, to earn a living, Yemenite immigrants in Isra...",https://www.tasteatlas.com/falafel/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/cumin,,
https://www.tasteatlas.com/challah,https://cdn.tasteatlas.com//Images/Dishes/d4c3d4c3463c45ea8013ad5b4d9224f2.jpg?mw=660,2,Bread,https://www.tasteatlas.com/Breads,Challah,4.7,Best in   (Tel Aviv),Port Said,https://www.tasteatlas.com/PortSaid,"Challah is a loaf of leavened, braided egg bread that is traditionally consumed on Shabbat in Jewish communities, although it is also popular on festive occasions such as weddings or . Less common varieties of challah are not b...",https://www.tasteatlas.com/challah/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/poppy-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/97155d8b74314c729dd497a01bcad98b.png?h=120&w=120,https://www.tasteatlas.com/Sesame-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/725082941a654eb0925163274078bea9.png?h=120&w=120,https://www.tasteatlas.com/Sugar,brit milahs,
https://www.tasteatlas.com/matzo,https://cdn.tasteatlas.com//Images/Dishes/18ae22928bc3466380e2120e851e9cfd.jpg?mw=660,3,Flatbread,https://www.tasteatlas.com/Flatbreads,Matzo,3.3,,,,"Matzo is an unleavened flatbread from Israel that is traditionally consumed during the weeklong Passover, celebrating the Israelites' departure from Egypt. Around the holiday, this flatbread can be found as a part of appetizers, main courses, and ...",https://www.tasteatlas.com/matzo/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/cholent,https://cdn.tasteatlas.com//Images/Dishes/c30ff429cba145c8b07759da9708232e.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Cholent,4.4,Best in   (Tel Aviv),Shmulik Cohen,https://www.tasteatlas.com/ShmulikCohen,"Cholent is a traditional Jewish stew characterized by its long cooking time. Eastern European cholent usually incorporates ingredients such as barley, beans, and meat, with variable seasonings. Cholent is traditionally cooked on Friday, before the...",https://www.tasteatlas.com/cholent/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Barleys,https://cdn.tasteatlas.com/images/ingredientgroups/f661a4b8a0744d6c9c562e017585be0f.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/paprika,,
https://www.tasteatlas.com/kugel,https://cdn.tasteatlas.com//Images/Dishes/c2ca4328efd448e6947a0fc03e96f679.jpg?mw=660,5,Casserole,https://www.tasteatlas.com/casserole,Kugel,4.1,Best in   (Jerusalem),Deitsch,https://www.tasteatlas.com/deitsch,"Kugel is a popular Jewish dish and a specialty of the Ashkenazi Jews from Eastern Europe. It is a baked pudding or a casserole that is typically made with potatoes or egg noodles with added cheese, milk, or vegetables. There is no meat in a kugel ...",https://www.tasteatlas.com/kugel/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/rugelach,https://cdn.tasteatlas.com//Images/Dishes/98b23abb490148f2bd499bd02d6c15f3.jpg?mw=660,6,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Rugelach,4.5,Best in   (Jerusalem),Marzipan Bakery and Pastry,https://www.tasteatlas.com/MarzipanBakeryAndPastry,"Ashkenazi in origin, the Jewish pastry known as rugelach is made by rolling a triangle of dough around a filling, resulting in crescent-shaped pastries. Alternatively, the dough can be rolled in the form of a strudel or a nut roll which is then sl...",https://www.tasteatlas.com/rugelach/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/israeli-salad,https://cdn.tasteatlas.com//Images/Dishes/1055721463324be9b0056e01adf55d23.jpg?mw=660,7,Salad,https://www.tasteatlas.com/Salads,Israeli Salad,3.7,Best in   (Tiberias),Avi's Restaurant,https://www.tasteatlas.com/AvisRestaurant,"Probably the best-known national dish of Israel, Israeli salad is actually a descendant of Arab and Palestinian salads. Finely diced tomatoes, cucumbers, onions, (optional) parsley, and either bell peppers or chili peppers are typically dressed wi...",https://www.tasteatlas.com/israeli-salad/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,,
https://www.tasteatlas.com/hummus-israel,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,8,Dip,https://www.tasteatlas.com/dips,Hummus,4.3,Best in   (Tel Aviv),Hummus Abu Hassan,https://www.tasteatlas.com/HummusAbuHassan,"This internationally popular, beige-colored spread is traditionally made with mashed chickpeas,  sesame paste, lemon juice, and garlic. People across the world love hummus for its tangy flavor and the fact that it is filled with nut...",https://www.tasteatlas.com/hummus-israel/wheretoeat,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,tahini,
https://www.tasteatlas.com/sabich,https://cdn.tasteatlas.com//images/dishes/bbdb1674247446149ab38b4bc8fc44ac.jpg?mw=660,9,Sandwich,https://www.tasteatlas.com/sandwiches,Sabich,4.0,Best in   (Tel Aviv),Sabich Frishman,https://www.tasteatlas.com/SabichFrishman,"First brought to Israel in the 1940s and 1950s by the Iraqi Jews, sabich is a sandwich made by stuffing pita bread with fried eggplants, hard-boiled eggs, tahini sauce, Israeli salad, hummus, pickled mango sauce (), and parsley. It is...",https://www.tasteatlas.com/sabich/wheretoeat,,,,,,,,,,,,amba,
https://www.tasteatlas.com/tahini-israel,https://cdn.tasteatlas.com//Images/Dishes/7e45878178134a20aaff2d2246fd500c.jpg?mw=660,10,Dip,https://www.tasteatlas.com/dips,Tahini,3.8,Best in   (Tel Aviv),Puaa,https://www.tasteatlas.com/Puaa,"Tahini is a paste consisting of toasted and ground sesame seeds which are usually thinned with lemon juice and water. It is an incredibly versatile paste that can be served as a dip and consumed on its own, or as a condiment accompanying numerous ...",https://www.tasteatlas.com/tahini-israel/wheretoeat,https://www.tasteatlas.com/Sesame-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/725082941a654eb0925163274078bea9.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,
