search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,score-text--na
https://www.tasteatlas.com/jamaican-jerk,https://cdn.tasteatlas.com//Images/Dishes/502c0f5e0e2949a39a47a7c20374c383.jpg?mw=660,1,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Jamaican Jerk,4.5,Best in   (Montego Bay),Scotchies,https://www.tasteatlas.com/Scotchies,"In the past,  was used to refer to a pig that was slowly grilled over a fire of pimento wood. Today, the main ingredient is typically chicken, pork, or beef. Jerk refers to a unique Jamaican cooking method where pork, chicken, beef, s...",https://www.tasteatlas.com/jamaican-jerk/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/scallions,
https://www.tasteatlas.com/jamaican-patty,https://cdn.tasteatlas.com//Images/Dishes/8736a0c965924550851a86b1a2bb5f7e.jpg?mw=660,2,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Jamaican Patty,4.1,Best in   (Negril),Niah's Patties,https://www.tasteatlas.com/NiahsPatties,"Although pies filled with meat are popular in many countries throughout the world as a great way to turn cheap cuts of meat into savory bites and making sure that no food goes to waste, Jamaican meat patties are enhanced with unique African and In...",https://www.tasteatlas.com/jamaican-patty/wheretoeat,,,,,,,,
https://www.tasteatlas.com/fish-tea,https://cdn.tasteatlas.com//images/dishes/981f1fe4459740929a8b2b7024d2ff9a.jpg?mw=660,3,Fish Soup,https://www.tasteatlas.com/fish-soups,Fish Tea,4.4,Best in   (Alligator Pond),Little Ochie,https://www.tasteatlas.com/LittleOchie,"Jamaican fish tea is a light soup or a fish broth seasoned with salt, pepper, and thyme, unlike other Jamaican soups that are usually hearty and thick. It features small, inexpensive fish such as herrings, and vegetables such as bell peppers, carr...",https://www.tasteatlas.com/fish-tea/wheretoeat,,,,,,,,
https://www.tasteatlas.com/jamaican-steamed-fish,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,4,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Jamaican Steamed Fish,4.8,Best in   (Alligator Pond),Little Ochie,https://www.tasteatlas.com/LittleOchie,"This healthy and flavorful Jamaican dish is made by cooking firm white fish such as snapper in a sauce consisting of butter, vegetables such as tomatoes and onions, and herbs such as thyme, garlic, and black pepper. The fish is usually seasoned wi...",https://www.tasteatlas.com/jamaican-steamed-fish/wheretoeat,,,,,,,,
https://www.tasteatlas.com/brown-stew-chicken,https://cdn.tasteatlas.com//images/dishes/f56d2520ae264eda8532f6c3b7455865.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Brown Stew Chicken,4.5,Best in   (Ocho Rios),Miss T's Kitchen,https://www.tasteatlas.com/MissTsKitchen,"Brown stew chicken is a spicy Jamaican dish consisting of chicken pieces that are browned and simmered in a rich gravy made with onions, peppers, ketchup, and water. The dish is traditionally served with rice, peas, fried ripe plantains, and slice...",https://www.tasteatlas.com/brown-stew-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://www.tasteatlas.com/ketchup,https://www.tasteatlas.com/Rice,
https://www.tasteatlas.com/stamp-and-go,https://cdn.tasteatlas.com//images/dishes/97cf43bb081544acbd75ea0e0fb483fd.jpg?mw=660,6,Street Food,https://www.tasteatlas.com/Street-food,Stamp and Go,,Best in   (Montego Bay),Pelican,https://www.tasteatlas.com/Pelican,"Stamp and go is a Jamaican road snack consisting of fritters usually made with salt cod, although callaloo, ackee, and conch are also often used in the preparation. It can be consumed for breakfast or as an appetizer. The dish is traditionally acc...",https://www.tasteatlas.com/stamp-and-go/wheretoeat,https://www.tasteatlas.com/cods,https://cdn.tasteatlas.com/images/ingredientgroups/50d034c867d14f909a90fd06b36740f4.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/scotch-bonnet-pepper,https://www.tasteatlas.com/cloves,n/a
https://www.tasteatlas.com/sweet-potato-pudding,https://cdn.tasteatlas.com//images/dishes/407a0f572f594f5fa4a329534ec3afd2.jpg?mw=660,7,Dessert,https://www.tasteatlas.com/Desserts,Sweet Potato Pudding,4.3,Best in   (Kingston),Devon House Bakery,https://www.tasteatlas.com/DevonHouseBakery,"Sweet potato pudding is a favorite Sunday dessert throughout Jamaica, consisting of sweet potatoes, flour, coconut milk, dried fruits, and flavorings such as vanilla, nutmeg, sugar, and salt. Although it can be baked in an oven, some Jamaicans sti...",https://www.tasteatlas.com/sweet-potato-pudding/wheretoeat,,,,,,,,
https://www.tasteatlas.com/hummingbird-cake,https://cdn.tasteatlas.com//images/dishes/b0355b29a198456eb86af1015051e875.jpg?mw=660,8,Cake,https://www.tasteatlas.com/cakes,Hummingbird Cake,,,,,"Hummingbird cake is a Jamaican dessert that is typically made with flour, vegetable oil, bananas, pineapple, pecans, eggs, vanilla, sugar, salt, cinnamon, and leavening agents. It is usually served with cream cheese frosting. Often thought to have...",https://www.tasteatlas.com/hummingbird-cake/wheretoeat,,,,,,,,n/a
https://www.tasteatlas.com/bammy,https://cdn.tasteatlas.com//images/dishes/e0b960a51f184bc3822f3c4d7ee38f0a.jpg?mw=660,9,Flatbread,https://www.tasteatlas.com/Flatbreads,Bammy,,Best in   (Treasure Beach),Jack Sprat,https://www.tasteatlas.com/JackSprat,"Bammy is a traditional Jamaican cassava flatbread. The dough is often soaked in coconut milk, then fried, steamed, or baked. It originates from the Arawaks, who are the island's original inhabitants. The bread can usually be bought from local vend...",https://www.tasteatlas.com/bammy/wheretoeat,,,,,,,,n/a
https://www.tasteatlas.com/ackee-and-saltfish,https://cdn.tasteatlas.com//Images/Dishes/6a1475df2bbf470282966de5df604f2a.jpg?mw=660,10,Breakfast,https://www.tasteatlas.com/Breakfast,Ackee and Saltfish,4.7,Best in   (Treasure Beach),Smurf's Cafe,https://www.tasteatlas.com/smurfs-cafe,"Ackee and saltfish is the national dish of Jamaica consisting of an unusual fruit of West African origin and any sort of dried and salted fish, usually cod, mahi mahi, or mackerel. The dish is very popular either as a nourishing Jamaican breakfast...",https://www.tasteatlas.com/ackee-and-saltfish/wheretoeat,,,,,,,,
