search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/sushi,https://cdn.tasteatlas.com//Images/Dishes/fde953e5aa504e8c83a84691582b0399.jpg?mw=660,1,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Sushi,4.3,Best in   (Chūō),Ginza Kyubey,https://www.tasteatlas.com/KyubeySushi,"Sushi is Japan's most famous culinary representative, typically made with rice and fillings which have been rolled inside a a sheet of dry seaweed. However, the term  is actually an umbrella term covering a wide range of subvarieties...",sushi,READ MORE,https://www.tasteatlas.com/sushi/wheretoeat,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/nori,https://cdn.tasteatlas.com/images/dishes/cd63a51f25fe46ffa8e029bb1607ad22.png?h=120&w=120,https://www.tasteatlas.com/shiitake,https://cdn.tasteatlas.com/images/dishes/c753c87ec33648d68bcf756cc3c7653d.png?h=120&w=120,https://www.tasteatlas.com/surimi,https://cdn.tasteatlas.com/images/dishes/5e7f16990aa74ded8f5af1a84fd4de42.png?h=120&w=120,https://www.tasteatlas.com/persian-cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/f4767bf7a65045a780b2ca31e341015d.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,,,,
https://www.tasteatlas.com/ramen,https://cdn.tasteatlas.com//images/dishes/b6b9680a32c84a9381a1ea5f5e529698.jpg?mw=660,2,Noodle Dish,https://www.tasteatlas.com/Noodles,Ramen,4.5,Best in   (Fukuoka),Ichiran Nakasu,https://www.tasteatlas.com/IchiranNakasu,"Ramen is a noodle soup that first appeared in Japan in 1910, when Chinese cooks combined the noodles with a salty broth. These curly noodles were of bright yellow color and more elastic than the Japanese noodles prepared at the time – the do...",,READ MORE,https://www.tasteatlas.com/ramen/wheretoeat,https://www.tasteatlas.com/ramen-noodles,https://cdn.tasteatlas.com/images/dishes/b669cf7105de418d9e63b44f726056b9.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/root-vegetables,https://cdn.tasteatlas.com/images/ingredientgroups/59ee1f4162034a22b4bbd3329f9c1055.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,,,,
https://www.tasteatlas.com/mochi,https://cdn.tasteatlas.com//images/dishes/7cce87e6040347f5930f6356a6b4ab52.jpg?mw=660,3,Dessert,https://www.tasteatlas.com/Desserts,Mochi,3.9,Best in   (Kyoto),Demachi Futaba,https://www.tasteatlas.com/demachi-futaba,"Mochi, the tiny cakes made out of glutinous rice, are an important part of Japanese cuisine and culture. The preparation of mochi starts with a time-consuming process of pounding boiled or steamed rice, usually the glutinous  var...",mochigome,READ MORE,https://www.tasteatlas.com/mochi/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/yakiniku,https://cdn.tasteatlas.com//images/dishes/8778f2ab8696489d8b8c16fbd7a685e9.jpg?mw=660,4,Barbecue,https://www.tasteatlas.com/barbecue,Yakiniku,4.7,Best in   (Chiyoda),Sumibi Yakiniku Nakahara,https://www.tasteatlas.com/SumibiYakinikuNakahara,is a term denoting a Japanese technique (with Korean origins) of cooking bite-sized pieces of meat and vegetables on a table grill. It can also refer to a number of dishes cooked using the same technique. Yakiniku has Korean orig...,Yakiniku,READ MORE,https://www.tasteatlas.com/yakiniku/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sashimi,https://cdn.tasteatlas.com//Images/Dishes/17f54b4244a94d048fb0ed14098803a9.jpg?mw=660,5,Seafood,https://www.tasteatlas.com/Seafood,Sashimi,4.2,Best in   (Chūō),Sushi Yoshitake,https://www.tasteatlas.com/SushiYoshitake,"Sashimi is a Japanese delicacy consisting of thinly sliced raw fish or shellfish (or even meat) served with soy sauce and other ingredients such as wasabi or ginger paste. Most common ingredients used in the preparation of sashimi are tuna, squid,...",,READ MORE,https://www.tasteatlas.com/sashimi/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/octopuses,https://cdn.tasteatlas.com/images/ingredientgroups/bdce1ea248964158af865718ad3c7e84.png?h=120&w=120,https://www.tasteatlas.com/scallops,https://cdn.tasteatlas.com/images/ingredientgroups/397b2832e0c7437082719b0d5a1607a9.png?h=120&w=120,https://www.tasteatlas.com/squids,https://cdn.tasteatlas.com/images/ingredientgroups/1233d683cc3a467fb0a06d38a4f2aa77.png?h=120&w=120,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/whales,https://cdn.tasteatlas.com/images/ingredientgroups/ea38773d3be94690a864d3b9279f42f2.png?h=120&w=120,,,,
https://www.tasteatlas.com/yakitori,https://cdn.tasteatlas.com//images/dishes/31197d87b8b747ceb366b8a81f7bace2.jpg?mw=660,6,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Yakitori,4.3,Best in   (Shinagawa),Toriki Main,https://www.tasteatlas.com/TorikiMain,Yakitori refers to Japanese grilled chicken where pieces of chicken meat are skewered with a particular type of skewer called (which can be made from either steel or bamboo) and are then traditionally grilled over a charcoal fire. D...,kushi,READ MORE,https://www.tasteatlas.com/yakitori/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/wagashi,https://cdn.tasteatlas.com//Images/Dishes/c2f662d5258347ea834e49059431f30f.jpg?mw=660,7,Dessert,https://www.tasteatlas.com/Desserts,Wagashi,4.0,Best in   (Shibuya),Jimbocho Den,https://www.tasteatlas.com/JimbochoDen,"Wagashi are traditional Japanese sweets that are usually made from natural, plant-based ingredients such as grains and azuki beans. The sweet treats are typically served with tea and are classified into three categories:  (fresh ...",namagashi,READ MORE,https://www.tasteatlas.com/wagashi/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/onigiri,https://cdn.tasteatlas.com//Images/Dishes/69f35c5768bc47f386e90a2a145a7230.jpg?mw=660,8,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Onigiri,4.2,Best in   (Toshima),Onigiri Bongo,https://www.tasteatlas.com/onigiri-bongo,"Moist, chewy, and hearty, onigiri or omusubi are Japanese rice balls and a favorite picnic food since the 11th century, when they were known as  and recorded as such in the diary of Lady Murasaki, author of",tonjiki,,https://www.tasteatlas.com/onigiri/wheretoeat,https://www.tasteatlas.com/uruchimai,https://cdn.tasteatlas.com/images/dishes/794ef7acaf054134a769205cef02e9ea.png?h=120&w=120,https://www.tasteatlas.com/nori,https://cdn.tasteatlas.com/images/dishes/cd63a51f25fe46ffa8e029bb1607ad22.png?h=120&w=120,https://www.tasteatlas.com/umeboshi,https://cdn.tasteatlas.com/images/dishes/bd075cf9e02e4f31858cb8ed99fba0f0.png?h=120&w=120,https://www.tasteatlas.com/shiitake,https://cdn.tasteatlas.com/images/dishes/c753c87ec33648d68bcf756cc3c7653d.png?h=120&w=120,https://www.tasteatlas.com/salmon,https://cdn.tasteatlas.com/images/ingredientgroups/22af2005e0a4498f999ee4db2d1eb02d.png?h=120&w=120,https://www.tasteatlas.com/kombu,https://cdn.tasteatlas.com/images/dishes/9af0f35b21a34bc78af0e2de8f68268e.png?h=120&w=120,,,,
https://www.tasteatlas.com/gyoza,https://cdn.tasteatlas.com//Images/Dishes/3c16ad904018488f8c363413d356cacc.jpg?mw=660,9,Dumplings,https://www.tasteatlas.com/Dumplings,Gyoza,4.4,Best in   (Shibuya),Harajuku Gyoza-ro,https://www.tasteatlas.com/HarajukuGyozaRo,"The famous Japanese gyoza are crescent-shaped dumplings that have originated from the traditional Chinese  dumplings. The recipe was slightly altered to accommodate the Japanese taste, and gyoza soon became one of the favorite Japan...",jiaozi,READ MORE,https://www.tasteatlas.com/gyoza/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/chives,https://cdn.tasteatlas.com/images/ingredientgroups/aed2da4a6a53446290f56faab8c7e36b.png?h=120&w=120,,,,
https://www.tasteatlas.com/shabu-shabu,https://cdn.tasteatlas.com//Images/Dishes/20eb7a41894a457181057348f1314c1b.jpg?mw=660,10,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Shabu-shabu,4.1,Best in   (Osaka),Hariju,https://www.tasteatlas.com/hariju,"Shabu-shabu is a popular Japanese dish consisting of thinly sliced meat and vegetables cooked in water. The dish is an evolved version of the traditional Mongolian  (one-pot) cooking. Roughly translated to , it...",nabemono,READ MORE,https://www.tasteatlas.com/shabu-shabu/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/Duck,https://cdn.tasteatlas.com/images/ingredientgroups/0a14c8f14ae348468a1f8f23c4738bef.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/lobsters,https://cdn.tasteatlas.com/images/ingredientgroups/be6b9286ffeb4b1495768f974f9d4a69.png?h=120&w=120,https://www.tasteatlas.com/osaka,https://cdn.tasteatlas.com/images/emblems/f48b704563914d139e74efde0f33ac66.png,Osaka,
