search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/nyama-choma,https://cdn.tasteatlas.com//Images/Dishes/9c9424f49c284acbbd2e6ef426727aef.jpg?mw=660,1,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Nyama choma,"Nyama choma is Kenya's unofficial national dish, meaning  in the Swahili language. The meat is usually goat or beef, served roasted throughout the country, from roadside shacks to fine restaurants. It is often paired with lo...",https://www.tasteatlas.com/nyama-choma/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/ugali-kenya,https://cdn.tasteatlas.com//Images/Dishes/985b4a554d78412095570839c5b09b3e.jpg?mw=660,2,Side Dish,https://www.tasteatlas.com/Sides,Ugali,"This unique, polenta-like side dish is a Tanzanian favorite, traditionally served for breakfast, lunch and dinner. Made by rolling a tiny bit of creamy, thick cornmeal paste (made from cooked white maize) in a hand until it forms into a ball, and ...",https://www.tasteatlas.com/ugali-kenya/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/wali-wa-kukaanga,https://cdn.tasteatlas.com//images/dishes/1d513cfb5ae74343b7e71ecbea165316.jpg?mw=660,3,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Wali wa kukaanga,"Wali wa kukaanga is a delicious Kenyan dish made by combining boiled rice with turmeric, onions, oil, and vegetables such as carrots, peas, and corn. The combination of rice and vegetables is then fried, and the whole dish is served as an accompan...",https://www.tasteatlas.com/wali-wa-kukaanga/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/githeri,https://cdn.tasteatlas.com//Images/Dishes/90200d42c5254588a0ec27df96271d15.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Githeri,"Githeri is a Kenyan staple food consisting of beans and maize that are stewed with onions, tomatoes, and sometimes potatoes or meat chunks. The stew is often flavored with cumin, turmeric, or chili powder. It is traditionally served on its own, al...",https://www.tasteatlas.com/githeri/wheretoeat,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120
https://www.tasteatlas.com/mutura,https://cdn.tasteatlas.com//Images/Dishes/514401520e9b4c438841c5bf8a9f439b.jpg?mw=660,5,Sausage,https://www.tasteatlas.com/Sausages,Mutura,"The delicacy known as mutura is a Kenyan sausage made by stuffing goat intestines with a combination of ground meat, goat blood, and seasonings such as ginger, garlic, coriander, and piri-piri chilies. The sausage is traditionally boiled and then ...",https://www.tasteatlas.com/mutura/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/irio,https://cdn.tasteatlas.com//Images/Dishes/46ba6281446d49b292f180b42ac12a8c.jpg?mw=660,6,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Irio,"Irio is a hearty Kenyan dish with origins from the Kikuyu people. Although it has many variations, it usually consists of potatoes, peas, and corn that are boiled and mashed together. Simple, healthy, and comforting, irio is often served as a side...",https://www.tasteatlas.com/irio/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/kachumbari,https://cdn.tasteatlas.com//images/dishes/890a96660591462097f081e1ffb627ad.jpg?mw=660,7,Salad,https://www.tasteatlas.com/Salads,Kachumbari,"Kachumbari is a refreshing East African salad based on finely chopped onions, chili peppers, and tomatoes. It can be served as a salad, a condiment, a relish, or an appetizer. In Uganda, it is accompanied by , in Kenya, it is s...",https://www.tasteatlas.com/kachumbari/wheretoeat,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Avocados,https://cdn.tasteatlas.com/images/ingredientgroups/1a2a8fc0806246a492a2b86d39d87834.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120
https://www.tasteatlas.com/mukimo,https://cdn.tasteatlas.com//images/dishes/4c1b00394f8b4c638a909e9e34c0df28.jpg?mw=660,8,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Mukimo,"Mukimo is a popular Kenyan one-pot dish consisting of potatoes, corn, beans, peas, and greens that are cooked in water with some salt, then mashed into a purée. The name of the dish is derived from the word , meaning",https://www.tasteatlas.com/mukimo/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120,https://www.tasteatlas.com/chard,https://cdn.tasteatlas.com/images/ingredientgroups/189e8669841a4f9c9c56f5b8498cbcd1.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120
https://www.tasteatlas.com/kuku-wa-kupaka,https://cdn.tasteatlas.com//Images/Dishes/6bc9836a21b64353ba33d524f10641f5.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Kuku wa kupaka,"Kuku wa kupaka is a flavorful Kenyan dish that is especially popular in the country's coastal regions. It consists of chicken pieces cooked in a hearty, spicy sauce made with coconut milk, tomato paste, and flavorings such as cumin, turmeric, and ...",https://www.tasteatlas.com/kuku-wa-kupaka/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/tomato-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/4284624f3cde451e9683452b5ccf0f21.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120
https://www.tasteatlas.com/ingoho,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Ingoho,"Ingoho is a Kenyan poultry dish consisting of a chicken cooked Luhya-style by the Luhya people of Western Kenya. The dish is served only to important visitors. A whole chicken is typically roasted to give it a nice brown color, and it is then cons...",https://www.tasteatlas.com/ingoho/wheretoeat,,,,,,,,,,,,
