search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,score-text--na
https://www.tasteatlas.com/larb,https://cdn.tasteatlas.com//Images/Dishes/ee53a74cf91c4d2ea455f9eb898cdfaf.jpg?mw=660,1,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Larb,Best in   (Vientiane),Lao Kitchen,https://www.tasteatlas.com/LaoKitchen,"Larb is a heavily seasoned meat salad that's garnished with freshly chopped herbs and  — toasted ground rice. Considered the unofficial dish of Laos, larb was first invented in the Chinese province of Yunnan, but became de...",khao khoua,https://www.tasteatlas.com/larb/wheretoeat,
https://www.tasteatlas.com/som-tam-laos,https://cdn.tasteatlas.com//Images/Dishes/eff874245bd145739d6cf2f56e54743f.jpg?mw=660,2,Salad,https://www.tasteatlas.com/Salads,Som Tam,Best in   (Vientiane),Han Sam Euay Nong,https://www.tasteatlas.com/han-sam-euay-nong,"Som tam is a green papaya salad mostly associated with the northeastern part of Thailand (Isaan), though it is often suggested that it first appeared in Laos.  Apart from thin strips of green papaya, this salad usually includes roasted peanuts, gr...",,https://www.tasteatlas.com/som-tam-laos/wheretoeat,
https://www.tasteatlas.com/mok-pa,https://cdn.tasteatlas.com//images/dishes/87817f741eb4437caf1b5f62b64e1175.jpg?mw=660,3,Freshwater Fish Dish,https://www.tasteatlas.com/freshwater-fish-dishes,Mok pa,Best in   (Luang Prabang),Café Toui,https://www.tasteatlas.com/cafe-toui,"Usually associated with Luang Prabang, steamed fish in banana leaves is a dish that combines flaked fish with sticky rice powder, fish sauce, as well as different spices and herbs such as kaffir lime leaves, chili peppers, and lemongrass. The spic...",,https://www.tasteatlas.com/mok-pa/wheretoeat,n/a
https://www.tasteatlas.com/or-lam,https://cdn.tasteatlas.com//images/dishes/c9759960eb7c41e295491940de2b6cdd.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Or lam,Best in   (Luang Prabang),Tamnak Lao,https://www.tasteatlas.com/tamnak-lao,"This versatile Lao stew is traditionally associated with Luang Prabang. The dish usually combines chunks of meat with typical Laotian spices such as lemongrass, cilantro, dill, basil, galangal, and  – the stems from wild vines...",sakhan,https://www.tasteatlas.com/or-lam/wheretoeat,n/a
https://www.tasteatlas.com/khao-niao,https://cdn.tasteatlas.com//images/dishes/4f2d51f6ab32495cba74d82c633b2106.jpg?mw=660,5,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Khao niao,Best in   (Luang Prabang),Xieng Thong Phonsavanh Restaurant,https://www.tasteatlas.com/xieng-thong-phonsavanh-restaurant,"Khao niao, meaning  is immensely popular in Laos and Northern Thailand as part of the everyday food combinations. It is so deeply embedded in the countries' culture, the Lao people sometimes refer to themselves as ""children or...","sticky rice,",https://www.tasteatlas.com/khao-niao/wheretoeat,n/a
https://www.tasteatlas.com/nam-khao,https://cdn.tasteatlas.com//Images/Dishes/b22d7d7371424f73b9546f050642912c.jpg?mw=660,6,Salad,https://www.tasteatlas.com/Salads,Nam khao,Best in   (Vientiane),Han Sam Euay Nong,https://www.tasteatlas.com/han-sam-euay-nong,"Nam khao is a crispy Lao salad consisting of deep-fried rice balls that are shredded and mixed with various condiments and toppings. Although it appears in numerous regional varieties, besides rice balls, it mostly employs sour  po...",som moo,https://www.tasteatlas.com/nam-khao/wheretoeat,n/a
https://www.tasteatlas.com/pad-kee-mao,https://cdn.tasteatlas.com//images/dishes/22220fdde92f49b8b7792f021677a86a.jpg?mw=660,7,Noodle Dish,https://www.tasteatlas.com/Noodles,Pad kee mao,Best in   (Luang Prabang),Bamboo Restaurant,https://www.tasteatlas.com/bamboo-restaurant,"Pad kee mao (more commonly known as ) is a stir-fry noodle dish in Laos and northern Thailand, similar to . It is made with broad rice noodles, chicken thighs (or breast), garlic, red chilis, kaffir lime ...",drunken noodles,https://www.tasteatlas.com/pad-kee-mao/wheretoeat,n/a
https://www.tasteatlas.com/mok-kai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Mok kai,Best in   (Luang Prabang),Café Toui,https://www.tasteatlas.com/cafe-toui,"Mok kai is a traditional Lao dish made by wrapping chopped chicken paste and an assortment of local vegetables in banana leaves. The chicken thighs (or other parts) are seasoned and coarsely chopped, then mixed with ground kaffir lime leaves, lemo...",,https://www.tasteatlas.com/mok-kai/wheretoeat,n/a
https://www.tasteatlas.com/sai-oua,https://cdn.tasteatlas.com//images/dishes/8ad08c37934c4b8c9595f3daea5ab1de.jpg?mw=660,9,Sausage,https://www.tasteatlas.com/Sausages,Sai oua,Best in   (Luang Prabang),Tamarind,https://www.tasteatlas.com/tamarind-luang,"Sai oua is a spicy pork sausage infused with an array of aromatic local herbs and spices. Popular in Laos and northern Thailand, the sausage is usually served alongside another regional favorite - sticky rice - to create a contrasting and layered ...",,https://www.tasteatlas.com/sai-oua/wheretoeat,n/a
https://www.tasteatlas.com/lard-na,https://cdn.tasteatlas.com//images/dishes/e956b557c8de4592968677572e0f9208.jpg?mw=660,10,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Lard na,,,,"Lard na is a stir-fried rice noodle dish, popular as local street food in Laos and northern Thailand. The dish is prepared with a rich sauce made with beef, pork, chicken or even tofu. The meat and noodles are accompanied by Chinese broccoli, carr...",,https://www.tasteatlas.com/lard-na/wheretoeat,n/a
https://www.tasteatlas.com/koi,https://cdn.tasteatlas.com//images/dishes/5878e11cdbaf4676ba5cf3042c3cc776.jpg?mw=660,11,Freshwater Fish Dish,https://www.tasteatlas.com/freshwater-fish-dishes,Koi,Best in   (Luang Prabang),Xieng Thong Phonsavanh Restaurant,https://www.tasteatlas.com/xieng-thong-phonsavanh-restaurant,Koi is a raw meat dish that is prevalent in Lao culture and in the northeastern Thailand region of Isan. The most popular iterations of koi are prepared in a way similar to a salad. The basic recipe involves thinly sliced fish (usually locally cau...,,https://www.tasteatlas.com/koi/wheretoeat,n/a
https://www.tasteatlas.com/feu,https://cdn.tasteatlas.com//images/dishes/eeb6557eaea444fa9b5390f96717b00f.jpg?mw=660,12,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Feu,Best in   (Luang Prabang),Thongmoun Aunt,https://www.tasteatlas.com/thongmoun-aunt,"Feu is a Lao beef noodle soup, believed to be a variation of the Vietnamese dish It is made by pouring a boiling broth over rice noodles, thin slices of beef, and a variety of fresh local herbs and vegetables. This can include onions...",phở.,https://www.tasteatlas.com/feu/wheretoeat,n/a
https://www.tasteatlas.com/khao-piak-khao,https://cdn.tasteatlas.com//images/dishes/e3ea20d1cd454aefa617a631fd576925.jpg?mw=660,13,Soup,https://www.tasteatlas.com/Soups,Khao piak khao,Best in   (Luang Prabang),Khao Piak Khao Wat Mai,https://www.tasteatlas.com/khao-piak-khao-wat-mai,Khao piak khao is a thick Laotian rice soup that is traditionally served for breakfast. It is considered a comfort food staple that is often made in vast quantities and served to a large group of people. The base of the soup is made with chicken s...,,https://www.tasteatlas.com/khao-piak-khao/wheretoeat,n/a
https://www.tasteatlas.com/ping-pa,https://cdn.tasteatlas.com//images/dishes/0e01eb9751b7437fb9d4b2eb18a627ef.jpg?mw=660,14,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Ping pa,Best in   (Vientiane),Lao Kitchen,https://www.tasteatlas.com/LaoKitchen,"Ping pa is a Lao style of grilled fish, seasoned with local spices and served with another regional favorite, sticky rice. The fish of choice is typically red snapper (or other white-fleshed fish), sprinkled with salt and stuffed with a mix of lem...",,https://www.tasteatlas.com/ping-pa/wheretoeat,n/a
https://www.tasteatlas.com/yum-sen-lon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Salad,https://www.tasteatlas.com/Salads,Yum sen lon,,,,"Yum sen lon is a Laotian noodle salad made with cellophane noodles (also known as glass noodles), pork belly, and fresh vegetables. Because the noodles themselves aren't really flavorful, the most important part of this recipe is using highly arom...",,https://www.tasteatlas.com/yum-sen-lon/wheretoeat,n/a
https://www.tasteatlas.com/yum-salad,https://cdn.tasteatlas.com//images/dishes/df1bb2faf6054881b9907de745c3e4ff.jpg?mw=660,16,Salad,https://www.tasteatlas.com/Salads,Yum Salad,,,,"Yum salad is a savory Laotian salad made with fresh watercress, boiled eggs, peanuts, iceberg lettuce, tomatoes, garlic, and lime juice. Some recipes also include radicchio, coriander, radishes, shallots, and cucumbers. The vegetables and herbs ar...",,https://www.tasteatlas.com/yum-salad/wheretoeat,n/a
https://www.tasteatlas.com/mee-nam,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,17,Noodle Dish,https://www.tasteatlas.com/Noodles,Mee nam,,,,"Mee nam is a variety of noodle soup that is popular in Lao and Thai cuisines. The name covers a wide array of recipes, but the main ingredients are always wheat noodles, vegetables, and meat. Pork is the meat of choice for most, while dried shrimp...",,https://www.tasteatlas.com/mee-nam/wheretoeat,n/a
https://www.tasteatlas.com/seen-dat,https://cdn.tasteatlas.com//images/dishes/148987d56f434a8fa3c000c14c205ce4.jpg?mw=660,18,Barbecue,https://www.tasteatlas.com/barbecue,Seen dat,,,,Seen dat (translated as ) is a Lao style of barbecue that is made on a traditional griddle (similar to the ones used for Korean barbecue) and meant to be served communally on a sharing platter. The choice of meat are usually th...,seared meat,https://www.tasteatlas.com/seen-dat/wheretoeat,n/a
