search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/hummus,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,1,Dip,https://www.tasteatlas.com/dips,Hummus,4.3,Best in   (Beirut),Liza,https://www.tasteatlas.com/liza,"This internationally popular, beige-colored spread is traditionally made with mashed chickpeas,  sesame paste, lemon juice, and garlic. People across the world love hummus for its tangy flavor and the fact that it is filled with nut...",tahini,https://www.tasteatlas.com/hummus/wheretoeat,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,,
https://www.tasteatlas.com/maamoul,https://cdn.tasteatlas.com//Images/Dishes/8cd1a7bee211432d893d12eae9912883.jpg?mw=660,2,Cookie,https://www.tasteatlas.com/Cookies,Ma'amoul,3.9,Best in   (Beirut),Mayrig,https://www.tasteatlas.com/Mayrig,"Ma'amoul is an ancient cookie filled with fruits and nuts such as dates, walnuts, and pistachios. The cookies are traditionally prepared for Easter, festivals, and celebrations, and they are typically shaped into balls or domes. In order to differ...",,https://www.tasteatlas.com/maamoul/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120,
https://www.tasteatlas.com/falafel-lebanon,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,3,Street Food,https://www.tasteatlas.com/Street-food,Falafel,3.9,Best in   (Beirut),Barbar,https://www.tasteatlas.com/BarBar,"Even though these protein-packed chickpea fritters are listed as one of Israel's national dishes, it is often suggested that falafel might have originated in Egypt, Lebanon, or Palestine. By the 1950s, to earn a living, Yemenite immigrants in Isra...",,https://www.tasteatlas.com/falafel-lebanon/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,
https://www.tasteatlas.com/shawarma,https://cdn.tasteatlas.com//images/dishes/a2a68bb8904548639a51bbb609c50821.jpg?mw=660,4,Street Food,https://www.tasteatlas.com/Street-food,Shawarma,4.4,Best in   (Beirut),Barbar,https://www.tasteatlas.com/BarBar,"Marinated and spit-roasted, shawarma is a delicious Middle Eastern meat treat whose origins can be traced back to the Ottoman Empire era, while its name stems from the Arabic pronunciation of the Turkish word  (lit. to turn;...",çevirme,https://www.tasteatlas.com/shawarma/wheretoeat,https://www.tasteatlas.com/lavash,https://cdn.tasteatlas.com/images/dishes/16f3181148e84a6c96e601e9fb65d813.png?h=120&w=120,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Vegetables,https://cdn.tasteatlas.com/images/ingredientgroups/23c55ec12d924df3af23cca250689036.png?h=120&w=120,
https://www.tasteatlas.com/manakish,https://cdn.tasteatlas.com//Images/Dishes/99e1c206d25a4bf0adc3fcdb2d9979cd.jpg?mw=660,5,Flatbread,https://www.tasteatlas.com/Flatbreads,Manakish,4.1,Best in   (Beirut),Fern Ghattas,https://www.tasteatlas.com/FernGhattas,"Manakish is a favorite Lebanese breakfast - a round, flat bread that is typically topped with olive oil and  (sesame seeds, thyme, and sumac), then baked in the oven. Other toppings might include cheese, minced lamb, spinach, or fri...",zaatar,https://www.tasteatlas.com/manakish/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/zaatar,https://cdn.tasteatlas.com/images/dishes/8c53ee41e10e43e8a258f663f23079e3.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,
https://www.tasteatlas.com/tabbouleh,https://cdn.tasteatlas.com//Images/Dishes/bd114bcb7c99451d8788d95c73ddc1fa.jpg?mw=660,6,Salad,https://www.tasteatlas.com/Salads,Tabbouleh,4.3,Best in   (Beirut),Em Sherif Beirut,https://www.tasteatlas.com/em-sherif,"Tabbouleh is a colorful Lebanese national dish that is usually considered a salad, with a crunchy and chewy texture, made with fresh, finely chopped parsley leaves, olive oil, bulgur wheat, and chopped mint leaves as a base. It originated in the m...",,https://www.tasteatlas.com/tabbouleh/wheretoeat,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,
https://www.tasteatlas.com/fattoush,https://cdn.tasteatlas.com//Images/Dishes/dde99eb18f01439f97587a144047f0d2.jpg?mw=660,7,Salad,https://www.tasteatlas.com/Salads,Fattoush,4.5,Best in   (Beirut),Em Sherif Beirut,https://www.tasteatlas.com/em-sherif,"Fattoush is a simple salad made with traditional pita bread as a base on which the rest of the ingredients are built on. Pita bread is torn or cut into small bite-sized pieces, then toasted, grilled, or fried. It is then mixed with a variety of ve...",,https://www.tasteatlas.com/fattoush/wheretoeat,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,https://www.tasteatlas.com/Lettuce,https://cdn.tasteatlas.com/images/ingredientgroups/7e0f57e1acdf4336ae728bbaf80a1f36.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/cherry-tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/e271c4e1392843aeadd90316f0a84853.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,
https://www.tasteatlas.com/sfiha,https://cdn.tasteatlas.com//Images/Dishes/020ebc1c942c4122a3d7ee81207caf71.jpg?mw=660,8,Savory Pie,https://www.tasteatlas.com/savory-pies,Sfiha,4.8,Best in   (Beirut),Ichkhanian Bakery,https://www.tasteatlas.com/ichkhanian-bakery,"Sfiha, or  (lit. meat on dough) is an Arabic specialty that dates back to the 15th century, when it first appeared in today's Eastern Lebanon. The traditional open-faced meat pie is popular throughout the Arab region, its mai...",lahm bil ajĩn,https://www.tasteatlas.com/sfiha/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kibbeh,https://cdn.tasteatlas.com//Images/Dishes/b132a0ec6eb54e4390eb7c7369027de1.jpg?mw=660,9,Snack,https://www.tasteatlas.com/Snacks,Kibbeh,4.4,Best in   (Beirut),Tawlet Souk el Tayeb,https://www.tasteatlas.com/TawletSoukElTayeb,"Kibbeh is a unique mixture of soaked bulgur wheat and other ingredients, typically lamb meat, and it is also considered the national dish of Lebanon. Fragrantly spiced and eaten as a snack for casual or celebratory meals, Kibbeh can be raw, baked,...",,https://www.tasteatlas.com/kibbeh/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Bulgurs,https://cdn.tasteatlas.com/images/ingredientgroups/7e6533f23fac450f86aece5b4095600e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,
https://www.tasteatlas.com/baba-ghanoush,https://cdn.tasteatlas.com//Images/Dishes/349a835a592e4c098fb0486a70ff63d4.jpg?mw=660,10,Dip,https://www.tasteatlas.com/dips,Baba ghanoush,4.4,Best in   (Beirut),Tawlet Souk el Tayeb,https://www.tasteatlas.com/TawletSoukElTayeb,"Baba ghanoush is a Middle Eastern dish that's mostly associated with Lebanon, and it consists of roasted and puréed eggplants, garlic, olive oil, lemon juice, and tahini, with the occasional addition of mint, onions, and various spices. Its...",,https://www.tasteatlas.com/baba-ghanoush/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,
