search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/bazin,https://cdn.tasteatlas.com//images/dishes/7fbfa8b4a72b42e5b26b2629c21f27e5.jpg?mw=660,1,Bread,https://www.tasteatlas.com/Breads,Bazin,n/a,Bazin is a popular Libyan unleavened bread (also considered a dough-based dish) made by boiling barley flour and salt in water and beating it with a stick called  until it develops into a dough which is then baked or steamed. The br...,https://www.tasteatlas.com/bazin/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kufta-bil-batinjal,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,2,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Kufta bil batinjal,n/a,"Kufta bil batinjal is a flavorful Libyan dish made by wrapping traditional Arabian kuftas in aubergine slices. The kufta mixture consists of ground meat, onions, breadcrumbs, eggs, and flavorings such as parsley, black pepper, cinnamon, nutmeg, an...",https://www.tasteatlas.com/kufta-bil-batinjal/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/basbousa-bil-tamr,https://cdn.tasteatlas.com//images/dishes/e7cc1b03a4c948ea9aff00115d904ac9.jpg?mw=660,3,Cake,https://www.tasteatlas.com/cakes,Basbousa bil tamr,n/a,"Basbousa is a traditional Arabian semolina-based cake that is soaked in syrup, then studded with almonds. This Libyan variety includes desiccated coconut in the cake mixture and date-paste that is sandwiched between the two layers of semolina cake...",https://www.tasteatlas.com/basbousa-bil-tamr/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/hasa-adas,https://cdn.tasteatlas.com//images/dishes/8366dc46bb324ee1a78d991f6729092a.jpg?mw=660,4,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Hasa adas,n/a,"Hasa adas is a healthy Lybian soup that is also suitable for vegetarians. It has a thick consistency and is typically made with lentils, carrots, onions, and tomatoes. The soup is traditionally flavored with garlic and cumin. Once prepared, hasa a...",https://www.tasteatlas.com/hasa-adas/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/shakshouka-libya,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,5,Egg Dish,https://www.tasteatlas.com/egg-dishes,Shakshouka,,"Shakshouka is a delicious combination of eggs poached in a spicy tomato sauce. Although it has an unusual name, the dish is straightforward and easy to make. It is usually made in a skillet in which onions, tomatoes, and spices are cooked until th...",https://www.tasteatlas.com/shakshouka-libya/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120
https://www.tasteatlas.com/ruz-hoot-bil-kusbur,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,6,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Ruz hoot bil kusbur,n/a,"Ruz hoot bil kusbur is an aromatic Libyan dish consisting of rice cooked in a stock made from fish heads. It is combined with oil, roasted coriander seeds, onions, tomatoes, celery, and flavorings such as parsley, chile peppers, garlic, ginger, cu...",https://www.tasteatlas.com/ruz-hoot-bil-kusbur/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/makaruna-imbaukha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,7,Pasta,https://www.tasteatlas.com/pasta,Makaruna imbaukha,n/a,"Originating from East Libya, makaruna imbaukha is a savory dish made with steamed pasta as the key ingredient. The pasta is combined with meat (usually lamb) and a rich sauce made with clarified butter, tomatoes, onions, chickpeas, potatoes, pumpk...",https://www.tasteatlas.com/makaruna-imbaukha/wheretoeat,https://www.tasteatlas.com/pasta,https://cdn.tasteatlas.com/images/dishgroups/9c516a22b03b4223b1c9343067b09549.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120
https://www.tasteatlas.com/couscous-bil-bosla,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,8,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Couscous bil-bosla,n/a,"Couscous bil-bosla is a traditional Libyan dish made with a combination of couscous, chickpeas, potatoes, tomatoes, and lamb. Other ingredients used in the dish include onions, butter, chili peppers, and various spices. When served, couscous is ar...",https://www.tasteatlas.com/couscous-bil-bosla/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/couscous,https://cdn.tasteatlas.com/images/dishes/bad349eba0234b9a9da4467d40aef31b.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120
https://www.tasteatlas.com/tajin-mahshi,https://cdn.tasteatlas.com//images/dishes/d3d809d931cd40e993ec06463448ecf1.jpg?mw=660,9,Side Dish,https://www.tasteatlas.com/Sides,Tajin mahshi,n/a,"Tajin mahshi is a flavorful Lybian dish that is typically served as a main meal or a side dish. It consists of a variety of stuffed vegetables such as bell peppers, tomatoes, aubergines, and courgettes. The filling is usually prepared with a combi...",https://www.tasteatlas.com/tajin-mahshi/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/salata-mashwiya,https://cdn.tasteatlas.com//images/dishes/473324fee7a6419b97d0e2972a60d094.jpg?mw=660,10,Salad,https://www.tasteatlas.com/Salads,Salata mashwiya,n/a,"Salata mashwiya is a spicy Libyan dish that can be served either as a salad or a hot sauce accompanying barbecued meat and freshly baked bread. It consists of tomatoes, bell peppers, onions, eggplants, hot chiles, and garlic. The salad is typicall...",https://www.tasteatlas.com/salata-mashwiya/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120
