search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-description 2,search-results__item-link href 2
https://www.tasteatlas.com/huesenziwwi,https://cdn.tasteatlas.com//images/dishes/8b7ac3563d834b7e8b7a014d373a7c1c.jpg?mw=660,1,Game Dish,https://www.tasteatlas.com/game-dishes,Huesenziwwi,"is a popular dish from Luxembourg consisting of marinated pieces of hare cooked with wine and onions in a sauce thickened with hare's blood. Some cooks like to add sour cream, carrots, mushrooms, and herbs such as thyme, sage,...",Huesenziwwi,https://www.tasteatlas.com/huesenziwwi/wheretoeat
https://www.tasteatlas.com/kniddelen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,2,Dumplings,https://www.tasteatlas.com/Dumplings,Kniddelen,"Kniddelen are traditional Luxembourgish dumplings. They're made with a combination of flour, eggs, and milk. The thick batter is dropped into boiling water by using a teaspoon. When the dumplings rise to the top, they're done. Kniddelen can be ser...",,https://www.tasteatlas.com/kniddelen/wheretoeat
https://www.tasteatlas.com/judd-mat-gaardebounen,https://cdn.tasteatlas.com//images/dishes/36bce6dfb89941abbe6f8b35de1e1eac.jpg?mw=660,3,Pork Dish,https://www.tasteatlas.com/pork-dishes,Judd mat gaardebounen,Judd mat gaardebounen or  is a specialty hailing from Luxembourg. It's often dubbed  of this country. The dish is typically made by cooking the pork collar in water with chop...,smoked collar of pork with broad beans,https://www.tasteatlas.com/judd-mat-gaardebounen/wheretoeat
https://www.tasteatlas.com/jambon-en-croute,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,4,Pork Dish,https://www.tasteatlas.com/pork-dishes,Jambon en croute,"Jambon en croute is a traditional Luxembourgish specialty consisting of whole or sliced smoked, pre-cooked ham that is enclosed within a pastry crust before being baked. The ham is often enhanced with a mustard-based or honey coating, while the pu...",,https://www.tasteatlas.com/jambon-en-croute/wheretoeat
https://www.tasteatlas.com/friture-de-la-moselle,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,5,Freshwater Fish Dish,https://www.tasteatlas.com/freshwater-fish-dishes,Friture de la Moselle,"One of the traditional fish specialties of Luxembourgish cuisine, friture de la Moselle consists of various species of small fish that are battered and fried until golden and crispy. The fish are traditionally sourced from the Moselle river. After...",,https://www.tasteatlas.com/friture-de-la-moselle/wheretoeat
https://www.tasteatlas.com/traipen,https://cdn.tasteatlas.com//images/dishes/94e10cf1c0c846109d6d45ba68c70e49.jpg?mw=660,6,Blood Sausage,https://www.tasteatlas.com/blood-sausages,Träipen,"Träipen is a Luxembourg-style black pudding, a blood sausage made by combining ground pork head meat, lungs, kidneys, and tongues or other pork offal with pork blood, cabbage, onions, and stale bread. The sausage mixture is then traditionally...",,https://www.tasteatlas.com/traipen/wheretoeat
https://www.tasteatlas.com/bouneschlupp,https://cdn.tasteatlas.com//images/dishes/cd89a697d15a471e89b80487565eeaa9.jpg?mw=660,7,Soup,https://www.tasteatlas.com/Soups,Bouneschlupp,"Bouneschlupp is a classic Luxembourgish soup made with green beans, potatoes, smoked bacon, and onions. Regional variations of this dish may include additional ingredients such as carrots, leeks, or celery.  or other types of heav...",Metworst,https://www.tasteatlas.com/bouneschlupp/wheretoeat
https://www.tasteatlas.com/luxembourgish-esau-soup,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,8,Stew,https://www.tasteatlas.com/Stews,Luxembourgish Esaü Soup,"Luxembourgish Esaü soup is a hearty lentil stew made by cooking lentils with herbs and vegetables such as onions, carrots, celery, and leeks. The dish is typically seasoned with salt and pepper, and it can optionally be enhanced with ingredie...",,https://www.tasteatlas.com/luxembourgish-esau-soup/wheretoeat
https://www.tasteatlas.com/gromperekichelcher,https://cdn.tasteatlas.com//images/dishes/238ba3d8e4974780b9f56e3191a12139.jpg?mw=660,9,Pancake,https://www.tasteatlas.com/pancakes,Gromperekichelcher,"Gromperekichelcher is Luxembourg’s version of a potato pancake. It consists of grated potatoes, shallots, garlic, parsley, eggs, and flour. After the ingredients have been combined, the concoction is typically flavored with salt, pepper, and...",,https://www.tasteatlas.com/gromperekichelcher/wheretoeat
https://www.tasteatlas.com/pate-gaumais,https://cdn.tasteatlas.com//Images/Dishes/7b225b1ed5b246748eb48733d9d0f81d.jpg?mw=660,10,Savory Pie,https://www.tasteatlas.com/savory-pies,Pâté Gaumais,"Pâté gaumais is a type of pie consisting of yeast dough filled with pork. Prime cuts of pork used in this traditional recipe are marinated for 48 hours in wine or vinegar with different spices and herbs such as garlic, shallots, bay l...",,https://www.tasteatlas.com/pate-gaumais/wheretoeat
https://www.tasteatlas.com/quetschentaart,https://cdn.tasteatlas.com//images/dishes/a353343dab9c45c6bb9cd5b31ae5bc43.jpg?mw=660,11,Tart,https://www.tasteatlas.com/tarts,Quetschentaart,"Quetschentaart (also known as ) is a Luxembourgish damson plum tart that is traditionally prepared during autumn, when damson plums are in season. To make the tart base, flour, sugar, butter, salt, and eggs are combined into ...",quetscheflued,https://www.tasteatlas.com/quetschentaart/wheretoeat
https://www.tasteatlas.com/letzebuerger-grillwurscht,https://cdn.tasteatlas.com//images/dishes/8a3ff200115842fcad4cb99e06297844.jpg?mw=660,12,Sausage,https://www.tasteatlas.com/Sausages,Lëtzebuerger Grillwurscht,"A staple at summer barbecues, festivals, and various other celebratory occasions in the country, lëtzebuerger grillwurscht is a take on the well-known German bratwurst. Consisting of pork, veal, or beef along with spices and seasonings, this ...",,https://www.tasteatlas.com/letzebuerger-grillwurscht/wheretoeat
https://www.tasteatlas.com/kuddelfleck,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,13,Offal Dish,https://www.tasteatlas.com/Offal,Kuddelfleck,"Kuddelfleck is a Luxembourgish dish derived from the fact that in the past, no part of an animal went to waste. It is made with tripes which are coated in breadcrumbs, fried, then served with one of these two sauces – white wine sauce or a s...",,https://www.tasteatlas.com/kuddelfleck/wheretoeat
https://www.tasteatlas.com/rieslingspaschteit,https://cdn.tasteatlas.com//images/dishes/fac3e1f1df434155bd4d2c4adc14879f.jpg?mw=660,14,Savory Pie,https://www.tasteatlas.com/savory-pies,Rieslingspaschtéit,"Rieslingspaschtéit is a traditional meat pie coming from Luxembourg, consisting of a pastry shell that surrounds a filling of pâté-like meat mixture in Riesling aspic. The pastry base is typically made by combining flour, butte...",,https://www.tasteatlas.com/rieslingspaschteit/wheretoeat
https://www.tasteatlas.com/kriibsen,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,15,Crayfish Dish,https://www.tasteatlas.com/crayfish-dishes,Kriibsen,"Crayfish is the star of a local Luxembourgish specialty called kriibsen. The crustacean is typically alive right before it is cleaned and cooked in a sauce containing finely chopped vegetables and herbs, butter, seasonings, fish stock, and Luxembo...",,https://www.tasteatlas.com/kriibsen/wheretoeat
https://www.tasteatlas.com/feierstengszalot,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,16,Salad,https://www.tasteatlas.com/Salads,Feiersténgszalot,"Feiersténgszalot, meaning , is a traditional Luxembourgish meat salad that is made by combining pieces of beef with hard-boiled eggs, shallots, cornichons, and mustard vinaigrette. The vinaigrette typically consists...",firestones salad,https://www.tasteatlas.com/feierstengszalot/wheretoeat
