search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/laoka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,1,Side Dish,https://www.tasteatlas.com/Sides,Laoka,"In Madagascar, laoka is the name given to a variety of side dishes and accompaniments that are served with rice. Most laokas are served in some type of sauce – in coastal areas the ingredients are usually prepared with coconut milk, while in...",https://www.tasteatlas.com/laoka/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/akoho-sy-voanio,https://cdn.tasteatlas.com//images/dishes/cf7b6ad402af419abebf065228b1c787.jpg?mw=660,2,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Akoho sy voanio,"Akoho sy voanio or  is a traditional chicken dish originating from Madagascar. It's made with a combination of chicken pieces, coconut milk, tomatoes, onions, lemon juice, ginger, garlic, cayenne pepper, and seasonings such ...",https://www.tasteatlas.com/akoho-sy-voanio/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
https://www.tasteatlas.com/romazava,https://cdn.tasteatlas.com//images/dishes/661e688fffff40178c9a70fd62f9124c.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Romazava,"Romazava is the national dish of Madagascar and a type of  – side dishes that are traditionally served with rice. This laoka is a stew made with a combination of local greens (paracress, anamamy, mustard greens), beef or zebu m...",https://www.tasteatlas.com/romazava/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/vary-amin-anana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,4,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Vary amin anana,"Vary amin anana is a traditional dish originating from Madagascar. It's made with a combination of onions, ginger, tomatoes, oil, water, rice, and collard greens or other leafy greens such as Swiss chard or kale. Rice is a Malagasy staple that's u...",https://www.tasteatlas.com/vary-amin-anana/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/bonbon-coco,https://cdn.tasteatlas.com//images/dishes/2972b4d269f042f89c4bcef5b9fe6161.jpg?mw=660,5,Dessert,https://www.tasteatlas.com/Desserts,Bonbon coco,"Bonbon coco is a delicious candy originating from Madagascar, and it’s also popular on Reunion island. It consists of grated coconut, sugar, water, and just a pinch of salt. The ingredients are cooked over medium heat until the combination b...",https://www.tasteatlas.com/bonbon-coco/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/lasopy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,6,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Lasopy,"Lasopy is a traditional soup originating from Madagascar. This hearty soup is made with vegetables such as turnips, green beans, tomatoes, carrots, green onions, potatoes, and leeks. The vegetables are simmered in a pot with meat bones for extra f...",https://www.tasteatlas.com/lasopy/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mofo-gasy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,7,Bread,https://www.tasteatlas.com/Breads,Mofo gasy,"Mofo gasy is one of the most popular street food items in Madagascar, a bread made from a batter of sweetened rice flour that is cooked over charcoal in greased molds. The bread has a circular shape due to the molds in which it is cooked. It is tr...",https://www.tasteatlas.com/mofo-gasy/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/varenga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,8,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Varenga,"Varenga is a traditional meat dish originating from Madagascar. It's made with a combination of beef, salt, garlic, and sliced white onions. The beef is cut into chunks, seasoned with salt, then placed into a pot with the onions, garlic, and water...",https://www.tasteatlas.com/varenga/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,
https://www.tasteatlas.com/trondro-gasy,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,9,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Trondro gasy,"Trondro gasy is a traditional fish dish originating from the highlands of Madagascar. The dish is usually made with a combination of onions, oil, tomatoes, garlic, salt, pepper, curry powder, watercress, and pieces of tilapia fish. The fish is add...",https://www.tasteatlas.com/trondro-gasy/wheretoeat,https://www.tasteatlas.com/tilapias,https://cdn.tasteatlas.com/images/ingredientgroups/c91442b6eee74b81ac599baae286807c.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/watercress-uk,https://cdn.tasteatlas.com/images/dishes/9be55f7f06a542ab9ad0715a3ae6869d.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120
https://www.tasteatlas.com/ramanonaka,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Breakfast,https://www.tasteatlas.com/Breakfast,Ramanonaka,"Ramanonaka is a traditional snack originating from Madagascar. These rice muffins are usually made with a combination of semolina, rice flour, sugar, salt, water, yeast, and oil for frying. The ingredients are mixed into a smooth paste that's cove...",https://www.tasteatlas.com/ramanonaka/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120
