search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na,search-results__item-description 2
https://www.tasteatlas.com/laksa,https://cdn.tasteatlas.com//images/dishes/f4dfe298664b45fc9eb9a928663d5849.jpg?mw=660,1,Noodle Dish,https://www.tasteatlas.com/Noodles,Laksa,Best in   (Petaling Jaya),Aunty Christina's Sarawak Laksa,https://www.tasteatlas.com/aunty-christinas-sarawak-laksa,"Characterized by its rich and spicy broth, this comforting noodle soup is one of the classic dishes found in many Southeast Asian countries. It was developed under the influence of different culinary traditions, which has led to the creation of nu...",https://www.tasteatlas.com/laksa/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/vermicelli,https://cdn.tasteatlas.com/images/dishes/7fa8c8089627426ab477978e7dba02cc.png?h=120&w=120,https://www.tasteatlas.com/mackerels,https://cdn.tasteatlas.com/images/ingredientgroups/ea27ab9ee58641d0ae37f3275c0b06d2.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,,,,,
https://www.tasteatlas.com/nasi-lemak,https://cdn.tasteatlas.com//Images/Dishes/64314ce524544b5991a780896cf84d3f.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Nasi lemak,Best in   (Subang Jaya),Madam Kwan's,https://www.tasteatlas.com/MadamKwans,"No other dish in Malaysia is as famous as nasi lemak. It consists of rice cooked in coconut milk that is traditionally served with anchovies, cucumbers, peanuts, and boiled eggs. The dish is rounded up with the addition of a spicy chili paste call...",https://www.tasteatlas.com/nasi-lemak/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/sambal,https://cdn.tasteatlas.com/images/dishes/27eb3857b41a410eb8e3032e31fc8d64.png?h=120&w=120,https://www.tasteatlas.com/anchovies,https://cdn.tasteatlas.com/images/ingredientgroups/9d1bd646966e4ee890a98352232dfc61.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Peanuts,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,,,,,
https://www.tasteatlas.com/char-kway-teow-penang,https://cdn.tasteatlas.com//Images/Dishes/5c2cd0f1f6444e80a7223852a869840a.jpg?mw=660,3,Noodle Dish,https://www.tasteatlas.com/Noodles,Char kway teow,Best in   (George Town),Charcoal Char Koay Teow,https://www.tasteatlas.com/charcoal-char-koay-teow,"Char kway teow is one of the most popular street dishes in Malaysia and Singapore. Despite numerous regional varieties, it is usually made with flat rice noodles, shrimps, eggs, cockles, bean sprouts, chives, and Chinese sausage. All the ingredien...",https://www.tasteatlas.com/char-kway-teow-penang/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/penang,https://cdn.tasteatlas.com/images/emblems/debc7efe8a014c53a5c8ceb68dfda2aa.png,Penang,,
https://www.tasteatlas.com/yusheng-malaysia,https://cdn.tasteatlas.com//Images/Dishes/0525862e4d094da5915089834e7972b9.jpg?mw=660,4,Salad,https://www.tasteatlas.com/Salads,Yee sang,,,,"Usually consumed during the Chinese New Year celebrations, yusheng is a tasty salad made with slices of raw fish and shredded vegetables which are seasoned with spices and various toppings such as peanuts and sesame seeds. The dish is additionally...",https://www.tasteatlas.com/yusheng-malaysia/wheretoeat,,,,,,,,,,,,,,,,n/a,
https://www.tasteatlas.com/roti-canai,https://cdn.tasteatlas.com//Images/Dishes/4382dae5b7a842f386742b74cebf706d.jpg?mw=660,5,Flatbread,https://www.tasteatlas.com/Flatbreads,Roti canai,Best in   (Kuala Lumpur),Valentine Roti,https://www.tasteatlas.com/valentine-roti,"Roti canai is a traditional Malaysian pan-fried flatbread made with flour, water, eggs, and fat. The dough for roti canai is repeatedly folded, so the final product has a layered texture, a soft interior, and a crispy outer layer. The most common ...",https://www.tasteatlas.com/roti-canai/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,,,,,,,,,,,
https://www.tasteatlas.com/apam-balik,https://cdn.tasteatlas.com//images/dishes/c59aa6ef07f9491e897177d745c97268.jpg?mw=660,6,Pancake,https://www.tasteatlas.com/pancakes,Apam balik,Best in   (George Town),Apong Guan,https://www.tasteatlas.com/apong-guan,"This sweet turnover pancake comes under various names throughout Malaysia, Indonesia, Brunei, and Singapore. Regardless of the location, it can be prepared either in a thin and crispy variety or as a thick and soft pancake. Traditional fillings ty...",https://www.tasteatlas.com/apam-balik/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/penang,https://cdn.tasteatlas.com/images/emblems/debc7efe8a014c53a5c8ceb68dfda2aa.png,Penang,,
https://www.tasteatlas.com/nasi-kandar,https://cdn.tasteatlas.com//Images/Dishes/c2bed82f7f694b5d906723ba2d471e63.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Nasi kandar,Best in   (George Town),Nasi Kandar Line Clear,https://www.tasteatlas.com/nasi-kandar-line-clear,"This classic Malaysian dish combines steamed rice and an assortment of different curries, sides, and condiments. The rice is occasionally seasoned, and the choice of curries includes various combinations of vegetables, meat, or seafood. Traditiona...",https://www.tasteatlas.com/nasi-kandar/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/penang,https://cdn.tasteatlas.com/images/emblems/debc7efe8a014c53a5c8ceb68dfda2aa.png,Penang,n/a,
https://www.tasteatlas.com/kari-ayam,https://cdn.tasteatlas.com//images/dishes/0828fa1af90a4acea6d9ab51dd278ce9.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Kari ayam,Best in   (Subang Jaya),Madam Kwan's,https://www.tasteatlas.com/MadamKwans,"Kari ayam is a chicken curry that is popular in Malaysia and Indonesia. It is made with chicken pieces, onions, garlic, ginger, ghee, tomatoes, coconut milk, and spices such as anise, cinnamon, curry leaves, pandan leaves, lemongrass, chilis, cumi...",https://www.tasteatlas.com/kari-ayam/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,,n/a,
https://www.tasteatlas.com/assam-laksa,https://cdn.tasteatlas.com//Images/Dishes/315738f7c98d40e09632e19a66b29d29.jpg?mw=660,9,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Assam laksa,Best in   (George Town),Joo Hooi Cafe,https://www.tasteatlas.com/JooHooiCafe,"Assam laksa is a traditional Malaysian fish-based sour noodle soup. It is the one of the numerous varieties of , popular noodle soups widespread throughout Southeast Asia. The dish consists of rice noodles, shredded fish, and sliced ...",https://www.tasteatlas.com/assam-laksa/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/mackerels,https://cdn.tasteatlas.com/images/ingredientgroups/ea27ab9ee58641d0ae37f3275c0b06d2.png?h=120&w=120,https://www.tasteatlas.com/shrimp-paste,https://cdn.tasteatlas.com/images/dishes/bc7f81b6fdb74746a59d2abb0835c07c.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/penang,https://cdn.tasteatlas.com/images/emblems/debc7efe8a014c53a5c8ceb68dfda2aa.png,Penang,,laksa
https://www.tasteatlas.com/nasi-dagang,https://cdn.tasteatlas.com//Images/Dishes/5373b4ba12114afeb94d9cc839dc38be.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Nasi dagang,Best in   (Petaling Jaya),Capital Nasi Dagang Kelantan,https://www.tasteatlas.com/capital-nasi-dagang-kelantan,"This flavorful Malaysian dish consists of rice that is steamed in coconut milk and usually served accompanied by spicy fish curry. It is traditionally associated with eastern parts of the country, primarily the regions of Kelantan and Terengganu, ...",https://www.tasteatlas.com/nasi-dagang/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/kelantan,https://cdn.tasteatlas.com/images/emblems/a8e7fc663c6741c79dcad3205f7026ec.png,Kelantan,n/a,
