search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/gulha,https://cdn.tasteatlas.com//images/dishes/8f71bd9305714311bf02382be936908e.jpg?mw=660,1,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Gulha,"Gulha is the national dish of Maldives, a deep-fried pastry ball filled with smoked fish such as Maldive fish or tuna, along with desiccated coconut and onions. The snacks are usually sold at small cafés known as , or in shops...",https://www.tasteatlas.com/gulha/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/garudihya,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,2,Fish Soup,https://www.tasteatlas.com/fish-soups,Garudihya,"This nourishing fish soup is one of the staple Maldivian dishes. In its basic form, it is usually prepared with chunks of tuna that are slowly simmered in water, while the additions may include curry and pandan leaves, onions, or fresh chili peppe...",https://www.tasteatlas.com/garudihya/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/kulhimas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,3,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Kulhimas,"Kulhimas is a traditional dish originating from the Maldives. The dish consists of spiced tuna and it's usually made with a combination of tuna, onions, curry leaves, hot peppers, garlic, ginger, grated coconut, cardamom, cumin, red chili powder, ...",https://www.tasteatlas.com/kulhimas/wheretoeat,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120
https://www.tasteatlas.com/mas-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,4,Stew,https://www.tasteatlas.com/Stews,Maldivian Fish Curry (Mas riha),"Mas riha is a rich fish curry originating from the Maldives. The curry is based on three Maldivian staples – fish, starch, and coconut. The ingredients used for the preparation of mas riha usually include tuna or swordfish, onions, garlic, g...",https://www.tasteatlas.com/mas-riha/wheretoeat,https://www.tasteatlas.com/swordfish,https://cdn.tasteatlas.com/images/ingredientgroups/7b29f07d94324735ade4174d15d4916f.png?h=120&w=120,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120
https://www.tasteatlas.com/kukulku-riha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,5,Stew,https://www.tasteatlas.com/Stews,Kukulku riha,"Kukulku riha is a traditional curry originating from the Maldives. It's usually made with a combination of chicken, onions, garlic, ginger, curry leaves, pandan leaves, chili peppers, cumin, coriander, peppercorns, cardamom, cinnamon, turmeric, gh...",https://www.tasteatlas.com/kukulku-riha/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120
https://www.tasteatlas.com/mas-huni,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,6,Breakfast,https://www.tasteatlas.com/Breakfast,Mas huni,"Mas huni is a traditional Maldivian breakfast. It's made with a combination of tuna, onions, shredded coconut, and hot chili peppers. The ingredients are simply mixed in a bowl and seasoned with salt and pepper. The dish is traditionally served wi...",https://www.tasteatlas.com/mas-huni/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/masroshi,https://cdn.tasteatlas.com//images/dishes/fb586165085a496ebdbc0a5fcf7fd602.jpg?mw=660,7,Snack,https://www.tasteatlas.com/Snacks,Masroshi,"Masroshi is a traditional Maldivian snack consisting of stuffed and fried dough. The dough is made with flour, oil, warm water, and salt, while the filling includes smoked tuna, grated coconut, hot peppers, onions, garlic, ginger, minced curry lea...",https://www.tasteatlas.com/masroshi/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/huni-roshi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,8,Flatbread,https://www.tasteatlas.com/Flatbreads,Huni roshi,"Huni roshi is a traditional flatbread hailing from the Maldives. The flatbread is usually made with a combination of flour, grated coconut, lukewarm water, oil, and salt. Once the soft (but not too sticky) dough has been formed, it's shaped into b...",https://www.tasteatlas.com/huni-roshi/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,
https://www.tasteatlas.com/keemiyaa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,9,Snack,https://www.tasteatlas.com/Snacks,Keemiyaa,"Keemiyaa is a traditional dish originating from the Maldives. The dish is usually made with a combination of tuna, curry leaves, onions, garlic, ginger, peas, Scotch Bonnet peppers, lemon juice, mustard seeds, oil, salt, and dough made with flour,...",https://www.tasteatlas.com/keemiyaa/wheretoeat,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120
https://www.tasteatlas.com/kavaabu,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,10,Snack,https://www.tasteatlas.com/Snacks,Kavaabu,"Kavaabu is a traditional snack originating from the Maldives. These fish fritters are usually made with a combination of smoked tuna, onions, ginger, grated coconut, hot peppers, lime juice, rice, curry leaves, flour, turmeric, oil, and salt. The ...",https://www.tasteatlas.com/kavaabu/wheretoeat,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120
https://www.tasteatlas.com/miruhulee-boava,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,11,Octopus Dish,https://www.tasteatlas.com/octopus-dishes,Miruhulee boava,"Miruhulee boava is a traditional dish originating from the Maldives. The dish consists of octopus tentacles that are braised in a combination of onions, garlic, cumin, curry leaves, chili peppers, peppercorns, coconut oil, and salt. The garlic, on...",https://www.tasteatlas.com/miruhulee-boava/wheretoeat,https://www.tasteatlas.com/octopuses,https://cdn.tasteatlas.com/images/ingredientgroups/bdce1ea248964158af865718ad3c7e84.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/curry-leaves,https://cdn.tasteatlas.com/images/dishes/5981aa590b034bf8bbf4330af51cd41e.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120
https://www.tasteatlas.com/havaadhulee-bis,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,12,Stew,https://www.tasteatlas.com/Stews,Havaadhulee bis,"Havaadhulee bis is a traditional dish originating from the Maldives. These curried tuna dumplings consist of the dough, the filling, and curry sauce. The dough is made with a combination of flour, salt, oil, and warm water. The filling is usually ...",https://www.tasteatlas.com/havaadhulee-bis/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
