search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__or,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/buuz,https://cdn.tasteatlas.com//Images/Dishes/a2f67a2c61d64866a94efef327a949b7.jpg?mw=660,1,Dumplings,https://www.tasteatlas.com/Dumplings,Buuz,"Buuz is a traditional Mongolian and Buryatian steamed dumpling filled with meat such as beef or mutton. The meat is usually seasoned with salt, onions, garlic, and fresh herbs. The dumplings are prepared in large quantities and are consumed throug...",https://www.tasteatlas.com/buuz/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,OR,https://www.tasteatlas.com/mutton,https://cdn.tasteatlas.com/images/ingredientgroups/82790d17b4894b93847171b62d7fdfb4.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120
https://www.tasteatlas.com/borts,https://cdn.tasteatlas.com//images/dishes/2eef453612884fd1909ffd1937abeec5.jpg?mw=660,2,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Borts,"Borts is a Mongolian specialty consisting of dried meat from cows, goats, or camels. The dish was invented as a way of preserving meat during the long, hard winters. The meat is first cut into long, thick strips, then hanged on a rope to dry until...",https://www.tasteatlas.com/borts/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/bansh,https://cdn.tasteatlas.com//images/dishes/2f60e7aa0a07402caf970551ab0cfc3f.jpg?mw=660,3,Dumplings,https://www.tasteatlas.com/Dumplings,Bansh,"Bansh are Mongolian dumplings that are sealed tightly, then boiled in water with a pinch of salt. The dough is typically made with wheat flour, water, and salt, while the filling consists of ground beef or mutton, garlic, onions, herbs, and spices...",https://www.tasteatlas.com/bansh/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,OR,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/mutton,https://cdn.tasteatlas.com/images/ingredientgroups/82790d17b4894b93847171b62d7fdfb4.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120
https://www.tasteatlas.com/boodog,https://cdn.tasteatlas.com//images/dishes/14de0a03e8e94deb8a33fdd355899bc3.jpg?mw=660,4,Goat Dish,https://www.tasteatlas.com/goat-dishes,Boodog,"Boodog is a traditional Mongolian roast typically made with whole goat that is filled with hot stones, potatoes, and onions so that they are cooked within its skin. Apart from goats, the roast can also be prepared with whole marmots. The stones sh...",https://www.tasteatlas.com/boodog/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/bantan,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,5,Soup,https://www.tasteatlas.com/Soups,Bantan,"Bantan is a traditional Mongolian soup that is often used as a hangover cure. It consists of water, chopped spring onions, pieces of meat (typically lamb), and wheat flour, which is made into dough crumbs. Although the soup is usually garnished wi...",https://www.tasteatlas.com/bantan/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/tsuivan,https://cdn.tasteatlas.com//images/dishes/11fbf69ba4e24c6a961769b83e199ed7.jpg?mw=660,6,Noodle Dish,https://www.tasteatlas.com/Noodles,Tsuivan,Tsuivan is a Mongolian noodle dish that is usually prepared with mutton and various vegetables. The noodles are traditionally made by hand and they're steamed or cooked together with diced meat and vegetables. People sometimes replace mutton with ...,https://www.tasteatlas.com/tsuivan/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/khorkhog,https://cdn.tasteatlas.com//images/dishes/6b3fded65e7446488edce8e9ebd0c688.jpg?mw=660,7,Barbecue,https://www.tasteatlas.com/barbecue,Khorkhog,"Khorkhog is a traditional Mongolian barbecue that is prepared in large milk jugs together with heated stones. The meat and the stones are placed in the containers, and the water is then added, creating steam that cooks the meat. Invented by nomadi...",https://www.tasteatlas.com/khorkhog/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/khuushuur,https://cdn.tasteatlas.com//images/dishes/522e494b00e74ed59b22f02c7cc6944b.jpg?mw=660,8,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Khuushuur,"Khuushuur is a savory Mongolian pastry that is traditionally filled with a mixture of ground mutton and onions, but there are a few variations that include beef, garlic or peppers, as well as other vegetables. This crescent-shaped pastry is usuall...",https://www.tasteatlas.com/khuushuur/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/budaatai-huurga,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,9,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Budaatai huurga,"Budaatati huurga is a traditional Mongolian dish based on rice. In order to prepare it, the rice is cooked with shredded beef or lamb, along with eggs, cabbage, onions, bell peppers, and carrots. The dish is usually flavored with soy sauce, cumin,...",https://www.tasteatlas.com/budaatai-huurga/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,OR,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/guriltai-shul,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,10,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Guriltai shul,"Guriltai shul is a traditional dish originating from Mongolia. This noodle soup is prepared with a combination of mutton or beef, potatoes, onions, carrots, turnips, stock, oil, and flat noodles. The meat is cut into strips and the vegetables are ...",https://www.tasteatlas.com/guriltai-shul/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,OR,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/mutton,https://cdn.tasteatlas.com/images/ingredientgroups/82790d17b4894b93847171b62d7fdfb4.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120
