search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5
https://www.tasteatlas.com/lenja-pita,https://cdn.tasteatlas.com//Images/Dishes/754406401a1548f29cbc224be378398e.jpg?mw=660,1,Cake,https://www.tasteatlas.com/cakes,Lenja pita,Lenja pita or lazy pie is a traditional Montenegrin and Serbian dessert consisting of two layers of biscuit with a fruit filling sandwiched in between. The name of the dish refers to the fact that this cake is inexpensive and easy to prepare. The ...,https://www.tasteatlas.com/lenja-pita/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/corbast-pasulj,https://cdn.tasteatlas.com//images/dishes/343452d636244e7998ce7b4a4fcbd73e.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Čorbast pasulj,"Čorbast pasulj is a popular Montenegrin dish made with soaked beans, onions, carrots, paprika, garlic, and bay leaves. Dried or smoked meat and ribs are common additions to čorbast pasulj in order to make it more flavorful and to give the dish a f...",https://www.tasteatlas.com/corbast-pasulj/wheretoeat,,,,,,,,,,,
https://www.tasteatlas.com/cicvara,https://cdn.tasteatlas.com//images/dishes/944d503c4971471daa0f66e334aa6cef.jpg?mw=660,3,Porridge,https://www.tasteatlas.com/Porridge,Cicvara,"Cicvara is a traditional peasant dish originating from Montenegro and some areas in Herzegovina. The dish is usually made with a combination of corn flour, fresh cottage cheese or semi-hard cheese, milk, water, salt, and matured kaymak. One altern...",https://www.tasteatlas.com/cicvara/wheretoeat,n/a,,,,,,,,,,
https://www.tasteatlas.com/priganice,https://cdn.tasteatlas.com//images/dishes/733c757056d54fdb91ad821d45831bf2.jpg?mw=660,4,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Priganice,"Priganice is a popular snack originating from Montenegro. The dough is made with flour, water, oil, salt, yeast, and sugar. Yogurt or rakija are sometimes added to the dough so that it doesn't soak up much oil during the frying process. Priganice ...",https://www.tasteatlas.com/priganice/wheretoeat,n/a,,,,,,,,,,
https://www.tasteatlas.com/corba-od-koprive,https://cdn.tasteatlas.com//images/dishes/d5813d640a4e4f148950cc6cc9ebb346.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Čorba od koprive,"Čorba od koprive is a flavorful and healthy Montenegrin soup made with young top shoots of nettles as the main ingredient. Apart from nettles, the soup is made with butter, salt, rice, potatoes, spring onions, and water. Dried meat is sometimes ad...",https://www.tasteatlas.com/corba-od-koprive/wheretoeat,n/a,,,,,,,,,,
https://www.tasteatlas.com/balsica-tava,https://cdn.tasteatlas.com//images/dishes/5e0b47c6260443bd917240deb32a7981.jpg?mw=660,6,Veal Dish,https://www.tasteatlas.com/veal-dishes,Balšića tava,"Balšića tava is a traditional dish from Montenegro consisting of boiled veal that is roasted in a pan and combined with a delicious sauce consisting of eggs, milk, and sour cream. The veal is typically boiled with onions and carrots. The co...",https://www.tasteatlas.com/balsica-tava/wheretoeat,n/a,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/sour-cream,https://cdn.tasteatlas.com/images/ingredientgroups/929559246bc24b9597fcefe8eef305f7.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/smocani-kacamak,https://cdn.tasteatlas.com//images/dishes/15fe40e169c5464892269c86d89336d5.jpg?mw=660,7,Porridge,https://www.tasteatlas.com/Porridge,Smočani kačamak,This traditional Montenegrin dish is a local take on —a thick maize porridge that is found in Turkish and Balkan cuisine. Smočani kačamak is prepared by cooking potatoes together with wheat or corn flour and then mashing the ...,https://www.tasteatlas.com/smocani-kacamak/wheretoeat,n/a,,,,,,,,,,
https://www.tasteatlas.com/pastrovski-makaruli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,8,Pasta,https://www.tasteatlas.com/pasta,Paštrovski makaruli,"Paštrovski makaruli is a traditional Montenegrin dish made with a pasta called . The pasta consists of wheat flour, salt, and water, and the dough is traditionally made with special needles used for makaruli. The pasta is b...",https://www.tasteatlas.com/pastrovski-makaruli/wheretoeat,n/a,,,,,,,,,,
https://www.tasteatlas.com/cobanska-krem-supa-od-vrganja,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Mushroom Soup,https://www.tasteatlas.com/mushroom-soups,Čobanska krem supa od vrganja,"Čobanska krem supa od vrganja is a traditional soup originating from Montenegro. The soup is usually made with a combination of porcini mushrooms, carrots, potatoes, celery, scallions, heavy cream, olive oil, salt, and black pepper. The onions, mu...",https://www.tasteatlas.com/cobanska-krem-supa-od-vrganja/wheretoeat,n/a,https://www.tasteatlas.com/porcino,https://cdn.tasteatlas.com/images/dishes/489d7eb952ae4de4912621bd539399cb.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120
https://www.tasteatlas.com/kuvana-krtola,https://cdn.tasteatlas.com//images/dishes/20546f40cc3445ac831723a138bb3c38.jpg?mw=660,10,Potato Dish,https://www.tasteatlas.com/potato-dishes,Kuvana krtola,"Kuvana krtola is a traditional potato-based dish originating from Montenegro. The dish is made with a combination of potatoes, yogurt, fresh cheese, salt, and black pepper. The potatoes are baked (or sometimes boiled) until tender. They are peeled...",https://www.tasteatlas.com/kuvana-krtola/wheretoeat,n/a,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/fresh-cheeses,https://cdn.tasteatlas.com/images/ingredientgroups/59b7f9c3624d4c5aa041912fbc728f5b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120
