search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/tajine,https://cdn.tasteatlas.com//Images/Dishes/30e248bb35e44d239662abb73984d93e.jpg?mw=660,1,Technique,https://www.tasteatlas.com/Techniques,Tajine,4.1,Best in   (Marrakesh),Al Fassia,https://www.tasteatlas.com/AlFassia,"Tajine, also known as , refers both to the rich Moroccan stews and the cooking vessel used to make them. When referring to the cooking vessel, it is a round and shallow, clay or ceramic casserole with a tall, pointy, conical lid. Th...",https://www.tasteatlas.com/tajine/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,
https://www.tasteatlas.com/Moroccan-Couscous,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Couscous (dish),4.1,Best in   (Marrakesh),Restaurant Naïma,https://www.tasteatlas.com/RestaurantNaima,"Numerous tiny, light, tender grains, ideally arranged to form a pyramid and served on a platter at the end of a meal - that is couscous, the national dish of Morocco and a must-have dish in any Moroccan restaurant. The word itself refers both to t...",https://www.tasteatlas.com/Moroccan-Couscous/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/chicken-tajine,https://cdn.tasteatlas.com//images/dishes/ae34fe326cd440caabba424b59a0c679.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Chicken Tajine,4.1,Best in   (Marrakesh),Al Fassia,https://www.tasteatlas.com/AlFassia,"As the name suggests, the star ingredient in this traditional Moroccan dish is chicken, preferably bone-in chicken cuts such as legs, thighs, or drumsticks. Like other tajine dishes, this chicken variety is also prepared in the eponymous conical c...",https://www.tasteatlas.com/chicken-tajine/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Olives,https://cdn.tasteatlas.com/images/ingredientgroups/e4396d9c76d04a64b889bcd2afdb0850.png?h=120&w=120,https://www.tasteatlas.com/Apricots,https://cdn.tasteatlas.com/images/ingredientgroups/0a0cb8afaa784da8896f7d5404da7ef1.png?h=120&w=120,
https://www.tasteatlas.com/pastilla,https://cdn.tasteatlas.com//Images/Dishes/eea9758973e2468396a83be0654f9e20.jpg?mw=660,4,Savory Pie,https://www.tasteatlas.com/savory-pies,Pastilla,4.4,Best in   (Marrakesh),Al Fassia,https://www.tasteatlas.com/AlFassia,"Pastilla is a stuffed pastry from Morocco, also known as  or . The rich, sweet and savory pie is filled with an unusual mix of pigeon or chicken meat, eggs, almonds, and cinnamon. It is commonly prepared for speci...",https://www.tasteatlas.com/pastilla/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/squabs,https://cdn.tasteatlas.com/images/ingredientgroups/c7273e2b687243e6aec3cc3460c0eb33.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,
https://www.tasteatlas.com/harira,https://cdn.tasteatlas.com//Images/Dishes/31c8c0d449884b7692a0b12910f25687.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Harira,4.5,Best in   (Marrakesh),Chez Chegrouni,https://www.tasteatlas.com/ChezChegrouni,"Harira is a herb-rich, tomato-based soup with a velvety-smooth, creamy texture, as the word  signifies  in Arabic. It's the most popular soup in Morocco, symbolizing the unification of people during Ramadan, the ...",https://www.tasteatlas.com/harira/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Lentils,https://cdn.tasteatlas.com/images/ingredientgroups/54230c9c778849fb8b4742c78ee846ea.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,
https://www.tasteatlas.com/loubia,https://cdn.tasteatlas.com//Images/Dishes/81b54d44a09b43ce90e89ecf447d11f7.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Loubia,4.4,,,,"Moroccan loubia is a traditional dish consisting of stewed white beans. This dish is very popular in Moroccan homes, where the beans that have been simmered in a zesty tomato-based sauce are typically scooped up with Moroccan bread. It is comfort ...",https://www.tasteatlas.com/loubia/wheretoeat,https://www.tasteatlas.com/white-beans,https://cdn.tasteatlas.com/images/ingredientgroups/dfc272699a8b491ebccf06d290c0b944.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,
https://www.tasteatlas.com/msemen,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,7,Flatbread,https://www.tasteatlas.com/Flatbreads,Msemen,4.4,Best in   (Tamraght),Babakoul,https://www.tasteatlas.com/babakoul,"Msemen is a traditional Moroccan flatbread made with a combination of flour, semolina, sugar, salt, yeast, warm water, oil, and clarified butter. The dough is kneaded until it becomes smooth, and pieces of it are then flattened and shaped into squ...",https://www.tasteatlas.com/msemen/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/chebakia,https://cdn.tasteatlas.com//images/dishes/1d3b044ae9274dd1b04d3cfe86d9cec1.jpg?mw=660,8,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Chebakia,4.0,,,,"Chebakia is a chewy, crunchy, and fragrant Moroccan pastry made by arranging strips of dough into a flower shape. It is then fried, coated in honey, and sprinkled with sesame seeds. This sweet treat is traditionally prepared during the month of Ra...",https://www.tasteatlas.com/chebakia/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/tanjia,https://cdn.tasteatlas.com//images/dishes/68db563ea4424f65a9b082dc8c804da1.jpg?mw=660,9,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Tanjia,4.5,Best in   (Marrakesh),Le Tanjia,https://www.tasteatlas.com/LeTanjia,"Tanjia is a unique Moroccan specialty made by cooking sheep meat in a clay urn along with flavorings such as saffron, cumin, garlic, lemons, and olive oil. The dish is especially popular in Marrakech, where the urns are filled with all of the ingr...",https://www.tasteatlas.com/tanjia/wheretoeat,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/saffron,https://cdn.tasteatlas.com/images/ingredientgroups/7e13c46cefc54903a5488b0b229a670c.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,
https://www.tasteatlas.com/matbucha,https://cdn.tasteatlas.com//images/dishes/94ede77eb9b2411689feae9a36acc36a.jpg?mw=660,10,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Matbucha,,,,,"Though its origins presumably lie in Morocco, matbucha is also a favorite in Israel, where it was brought by Jewish immigrants. The dish consists of roasted bell peppers and tomatoes seasoned with garlic and ground paprika. In Morocco, it is typic...",https://www.tasteatlas.com/matbucha/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,,n/a
