search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2
https://www.tasteatlas.com/khow-suey,https://cdn.tasteatlas.com//Images/Dishes/45cbf59cb1b14d0aa28831d1ddc915ec.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Khow suey,n/a,"Khow suey is a Burmese one-pot dish consisting of coconut-milk-based curry, noodles, and an array of toppings such as hard-boiled eggs, potato sticks, fried garlic, leeks, and spring onions. Both the dish and the toppings are traditionally served ...",https://www.tasteatlas.com/khow-suey/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/leeks,https://cdn.tasteatlas.com/images/ingredientgroups/e5722e8831554305a7c507e79b4c3a99.png?h=120&w=120,
https://www.tasteatlas.com/mohinga,https://cdn.tasteatlas.com//Images/Dishes/35813d036ecd4a5eb2c0c8536cba341b.jpg?mw=660,2,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Mohinga,n/a,"Crowned as the unofficial national dish of Burma, mohinga is a fish and rice noodle soup that can, depending on the region, be enriched with an array of different ingredients by adding them to the soup or using them as a dressing or garnish. When ...",https://www.tasteatlas.com/mohinga/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kyay-oh,https://cdn.tasteatlas.com//images/dishes/49338fffa78e4ecb83c0af45a6c6e102.jpg?mw=660,3,Noodle Dish,https://www.tasteatlas.com/Noodles,Kyay oh,n/a,"Kyay oh is a popular Burmese dish consisting of vermicelli noodles, eggs, and meatballs in a broth made with chicken, fish, or pork. The dish is usually not made at home, as there are a lot of restaurants serving it - usually at very high prices. ...",https://www.tasteatlas.com/kyay-oh/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/samusa-myanmar,https://cdn.tasteatlas.com//Images/Dishes/e668e32ae1a3423c95fbd4d77f8c940c.jpg?mw=660,4,Snack,https://www.tasteatlas.com/Snacks,Samusa,,"Due to their crunchy texture and a variety of different flavors, samosas provide a perfect introduction to the world of Indian cuisine for newcomers. These deep-fried, triangular pastries are filled with a variety of ingredients ranging from veget...",https://www.tasteatlas.com/samusa-myanmar/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/burmese-chicken-curry,https://cdn.tasteatlas.com//images/dishes/6ad8cc6666ff46099814d710b7a0b95b.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Burmese Chicken Curry,n/a,"Burmese chicken curry, also known as, is a traditional curry stew from Myanmar. It's prepared by marinating chicken pieces in a combination of oil, garam masala spices, curry powder, fenugreek, coriander, cumin, and turmeric. The...",https://www.tasteatlas.com/burmese-chicken-curry/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/garam-masala,https://cdn.tasteatlas.com/images/dishes/a2fdc55cb6b643c29b66708def1e1c64.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120,https://www.tasteatlas.com/fenugreek,https://cdn.tasteatlas.com/images/ingredientgroups/a2f0007aa54545818af4ab1ebd1ba96e.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,see-pyan
https://www.tasteatlas.com/dan-bauk,https://cdn.tasteatlas.com//images/dishes/5e717d59e996411ca9046350f5a5373b.jpg?mw=660,6,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Dan bauk,n/a,"Dan bauk is a Burmese rice dish that has been inspired by Indian. It consists of long-grain rice that is flavored with typical Indian spices such as saffron, turmeric, star anise, cardamom, cinnamon, garam masala, and cumin. The B...",https://www.tasteatlas.com/dan-bauk/wheretoeat,,,,,,,,,,,,,biryani
https://www.tasteatlas.com/meeshay,https://cdn.tasteatlas.com//images/dishes/d644fd9c5c8a4a68b29899ec26bec685.jpg?mw=660,7,Noodle Dish,https://www.tasteatlas.com/Noodles,Meeshay,n/a,"Meeshay is a traditional noodle dish originating from Myanmar. It consists of rice noodles and a meat-based sauce (usually chicken or pork), along with an array of toppings. The dish has origins with the Chinese Mixian, but over time it became a d...",https://www.tasteatlas.com/meeshay/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,,,
https://www.tasteatlas.com/htamane,https://cdn.tasteatlas.com//images/dishes/7a8b193f4ca347809885e6d19e770d1c.jpg?mw=660,8,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Htamanè,n/a,"Htamanè is a traditional Burmese specialty consisting of glutinous rice, coconut shavings, peanuts, ginger, sesame seeds, water, and groundnut oil. The preparation of this savory snack is a communal activity that's associated with the annua...",https://www.tasteatlas.com/htamane/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/ohn-no-khao-swe,https://cdn.tasteatlas.com//images/dishes/cc224991d97c4d8aa004ce241d76c4ac.jpg?mw=660,9,Noodle Dish,https://www.tasteatlas.com/Noodles,Ohn no khao swè,n/a,"Ohn no khao swè, meaning , is a traditional Burmese dish that is believed to have inspired the creation of Thailand’s . It consists of boiled egg noodles and pieces of curried chicken...",https://www.tasteatlas.com/ohn-no-khao-swe/wheretoeat,,,,,,,,,,,,,noodles with coconut milk
https://www.tasteatlas.com/be-kin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Duck Dish,https://www.tasteatlas.com/duck-dishes,Be kin,n/a,"Be kin is a Burmese duck specialty inspired by Chinese-style roast duck. A whole duck is marinated in a mixture of sauces, spices, and seasonings, and it is then glazed before being roasted to perfection. Crispy on the outside, tender and succulen...",https://www.tasteatlas.com/be-kin/wheretoeat,,,,,,,,,,,,,
