search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/kroket,https://cdn.tasteatlas.com//Images/Dishes/d955e9422d754821bb4d45b8fa4e637d.jpg?mw=660,1,Snack,https://www.tasteatlas.com/Snacks,Kroket,4.0,Best in   (Amsterdam),De BallenBar,https://www.tasteatlas.com/DeBallenbar,"is a modern Dutch counterpart to the classic French croquettes, consisting of ingredients such as meat, seafood, cheese, and gravy that are refrigerated, rolled into logs, breaded and deep-fried until they develop a golden-brown co...",Kroket,READ MORE,https://www.tasteatlas.com/kroket/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/appeltaart,https://cdn.tasteatlas.com//Images/Dishes/fadafcea669b4070891d1605b380f2bc.jpg?mw=660,2,Sweet Pie,https://www.tasteatlas.com/sweet-pies,Appeltaart,4.3,Best in   (Amsterdam),Winkel 43,https://www.tasteatlas.com/Winkel43,"is a traditional Dutch apple pie that is very often accompanied by a cup of hot coffee. Although it is essentially the same as most apple pies, Dutch appeltaart differs from the classic American apple pie in many ways: it is ba...",Appeltaart,READ MORE,https://www.tasteatlas.com/appeltaart/wheretoeat,https://www.tasteatlas.com/Apples,https://cdn.tasteatlas.com/images/ingredientgroups/3cf0f707ed454ef7910b788cdf8243ef.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,,
https://www.tasteatlas.com/kapsalon,https://cdn.tasteatlas.com//images/dishes/04f698646bce46de8eadf5b11d79df2a.jpg?mw=660,3,Street Food,https://www.tasteatlas.com/Street-food,Kapsalon,3.4,Best in   (Rotterdam),Burgertrut,https://www.tasteatlas.com/burgertrut,"is a popular Dutch street food dish consisting of French fries topped with meat such as  or , various types of cheese (typically , salad greens, and various sauces (typically garlic s...",Kapsalon,READ MORE,https://www.tasteatlas.com/kapsalon/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/gouda-holland,https://cdn.tasteatlas.com/images/dishes/dd6eeafc3198480c8988d211b8e3a301.png?h=120&w=120,https://www.tasteatlas.com/rotterdam,https://cdn.tasteatlas.com/images/emblems/8a51cb229a9d4f58bd279390cbc4a4e4.png,Rotterdam,
https://www.tasteatlas.com/poffertjes,https://cdn.tasteatlas.com//Images/Dishes/080565ef334c49f4adaee0da8425d0ce.jpg?mw=660,4,Pancake,https://www.tasteatlas.com/pancakes,Poffertjes,4.2,Best in   (Amsterdam),De Vier Pilaren,https://www.tasteatlas.com/TheFourPillarsDeVierPilaren,"are small, round, and puffy Dutch pancakes made with yeast and buckwheat flour. They are baked in a special pan called , and usually served warm on a piece of cardboard paper when prepared outdoors, at fes...",Poffertjes,READ MORE,https://www.tasteatlas.com/poffertjes/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/stamppot,https://cdn.tasteatlas.com//Images/Dishes/acccd2bc49004892a6b10a68b1b9722d.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Stamppot,3.7,Best in   (Amsterdam),Moeders,https://www.tasteatlas.com/Moeders,"Stamppot, meaning , is a traditional Dutch dish made from mashed potatoes and one or several selected vegetables such as kale, spinach, endive, turnip, or sauerkraut. If the potatoes are mashed together with onions and carrots, ...",mashed pot,READ MORE,https://www.tasteatlas.com/stamppot/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/endives,https://cdn.tasteatlas.com/images/ingredientgroups/4955dd4407de4e479c3b414bac729c17.png?h=120&w=120,https://www.tasteatlas.com/Kale,https://cdn.tasteatlas.com/images/ingredientgroups/701848c621f34e81afb592bc9e82225c.png?h=120&w=120,https://www.tasteatlas.com/sauerkraut,https://cdn.tasteatlas.com/images/dishes/6c957380abbf401db35d842a763e6eed.png?h=120&w=120,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/Turnips,https://cdn.tasteatlas.com/images/ingredientgroups/e063a9431e8f4714b9ef42b808482935.png?h=120&w=120,,,,
https://www.tasteatlas.com/speculoos,https://cdn.tasteatlas.com//images/dishes/1caa965cd23b435e80886ae51a8d3f85.jpg?mw=660,6,Cookie,https://www.tasteatlas.com/Cookies,Speculaas,4.1,,,,"Speculaas are spiced cookies that are popular throughout Belgium, Germany, and the Netherlands. With an intense fragrance of cinnamon, cloves, nutmeg, and ginger, the cookies are traditionally baked on the eve of St Nicholas Day, celebrated on Dec...",,READ MORE,https://www.tasteatlas.com/speculoos/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/cloves,https://cdn.tasteatlas.com/images/ingredientgroups/59dd76e264aa44b3890bec8a11722eac.png?h=120&w=120,https://www.tasteatlas.com/nutmegs,https://cdn.tasteatlas.com/images/ingredientgroups/7ee6cd3c42294ee7a9b8fc3e2184ac56.png?h=120&w=120,,,,
https://www.tasteatlas.com/stroopwafel,https://cdn.tasteatlas.com//images/dishes/4de04189f01b46708120f0029b2eefd8.jpg?mw=660,7,Cookie,https://www.tasteatlas.com/Cookies,Stroopwafel,4.4,Best in   (Amsterdam),Lanskroon,https://www.tasteatlas.com/lanskroon,"These delicious Dutch cookies consist of a very thin layer of syrup, sugar, butter, and cinnamon that is sandwiched between two thin wafers. Stroopwafels were invented in the late 18th century in the city of Gouda, and many sources give credit to ...",,READ MORE,https://www.tasteatlas.com/stroopwafel/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/gouda,https://cdn.tasteatlas.com/images/emblems/f2a5bc2044ac4f86beba5de228163d31.png,Gouda,
https://www.tasteatlas.com/kibbeling,https://cdn.tasteatlas.com//Images/Dishes/a04b21ebabf74f988c0ed619ea77e606.jpg?mw=660,8,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Kibbeling,4.0,Best in   (Amsterdam),Urker Viswinkel,https://www.tasteatlas.com/UrkerViswinkel,"Kibbeling is a popular Dutch street food item consisting of pieces of fish that are dipped in batter, deep-fried in hot oil, and served with a dipping sauce such as garlic sauce, , , or whiskey sauce. In the Neth...",remoulade,READ MORE,https://www.tasteatlas.com/kibbeling/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/pannekoek,https://cdn.tasteatlas.com//Images/Dishes/57822c32bbe54934aa0bd07cde7d3b29.jpg?mw=660,9,Pancake,https://www.tasteatlas.com/pancakes,Pannekoek,4.2,Best in   (Amsterdam),The Pancake Bakery,https://www.tasteatlas.com/ThePancakeBakery,"Pannekoek is a variety of Dutch pancakes that are somewhere between  and  in terms of thickness, consisting of milk, flour, salt, and eggs. In the Netherlands, pannekoeken are usually eaten for dinner...",American pancakes,READ MORE,https://www.tasteatlas.com/pannekoek/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/bitterballen,https://cdn.tasteatlas.com//Images/Dishes/2476548cd1b5425f90da95c539744cdd.jpg?mw=660,10,Snack,https://www.tasteatlas.com/Snacks,Bitterballen,3.8,Best in   (Amsterdam),De BallenBar,https://www.tasteatlas.com/DeBallenbar,"Bitterballen are Dutch deep-fried, breadcrumbed, meat-filled balls. The filling usually consists of beef, flour, beef broth, and various seasonings. The dish is usually served as a snack at  cafes, a popular type of bar in the Nether...",bruin,READ MORE,https://www.tasteatlas.com/bitterballen/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/amsterdam,https://cdn.tasteatlas.com/images/emblems/a8eed1e15e6041008fab711209ec2a30.png,Amsterdam,
