search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-description 2,score-text--na,item-location href,item-location
https://www.tasteatlas.com/gala,https://cdn.tasteatlas.com//images/ingredients/c5d2a872328f406789602786e078def2.jpg?mw=660,1,Apple,https://www.tasteatlas.com/Apples,Gala,"is a variety of (typically) round-shaped apples characterized by their reddish-yellow color and a firm, crisp, yellow-tinged interior. Their flavor is slightly sweet with hints of vanilla, along with an accompanying floral aroma. The...",Gala,,,
https://www.tasteatlas.com/manuka-honey,https://cdn.tasteatlas.com//images/ingredients/dfc3871d2b7040b98ea526c09bdac160.jpg?mw=660,2,Honey,https://www.tasteatlas.com/Honey,Mānuka Honey,"is a honey variety that is popular in Australia and New Zealand, characterized by its high viscosity and a dark cream or dark brown color. It is produced by European honey bees who forage on the mānuka tree. The honey has a strong,...",Mānuka,,,
https://www.tasteatlas.com/braeburn,https://cdn.tasteatlas.com//images/ingredients/fa1bb0238b1d4073803fe52d8dffc2df.jpg?mw=660,3,Apple,https://www.tasteatlas.com/Apples,Braeburn,"is a variety of apples with a red and yellow skin. Underneath it, there’s flesh that is spicy-sweet in flavor, with hints of cinnamon and nutmeg. This apple variety was discovered in 1952 in New Zealand by a farmer named O....",Braeburn,,,
https://www.tasteatlas.com/queen-apples,https://cdn.tasteatlas.com//images/ingredients/3dec8d3fe2b54f7d9e92b75ec232e751.jpg?mw=660,4,Apple,https://www.tasteatlas.com/Apples,Queen Apples,"is an apple variety originating from New Zealand. It's a cross between the Gala and Splendor varieties. These large apples have an intensely red color of the skin, with small creamy speckles. The texture is fine-grained, crisp, and ...",Queen,n/a,,
https://www.tasteatlas.com/tuatua,https://cdn.tasteatlas.com//images/ingredients/df4c85178fbe4755950dfba6d7cb44c1.jpg?mw=660,5,Clams,https://www.tasteatlas.com/Clams,Tuatua,"Indigenous to New Zealand and officially named Paphies subtriangulata,  is a species of edible bivalve clam that is found on all three New Zealand islands, buried in sand on ocean beaches. Tuatua is characterized by its asymmetrical...",tuatua,n/a,,
https://www.tasteatlas.com/jazz,https://cdn.tasteatlas.com//images/ingredients/7882deada1df4976846ba3c300386858.jpg?mw=660,6,Apple,https://www.tasteatlas.com/Apples,Jazz,"Although these crisp-fleshed apples with a rosy red skin have New Zealander origins, they are nowadays also grown in numerous other countries such as the United States, the United Kingdom, and Chile. Their sweet and tangy flavor is often compared ...",,n/a,,
https://www.tasteatlas.com/mainland-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Cheese,https://www.tasteatlas.com/Cheese,Mainland Cheese,"is a New Zealander cheese made from pasteurized cow's milk. The cows are fed a diet of high-quality grass while grazing outdoors, resulting in a golden yellow color and sweet, creamy notes of the cheese. There are four types of M...",Mainland,n/a,,
https://www.tasteatlas.com/pacific-rose,https://cdn.tasteatlas.com//images/ingredients/888560c88d9d413cab6b34d55eb4f247.jpg?mw=660,8,Apple,https://www.tasteatlas.com/Apples,Pacific Rose,"is a high-quality dessert apple variety from New Zealand, characterized by the rosy-red color of the exterior, and a unique, refreshing, crisp, and sweet flavor. It is a cross between  and  vari...",Pacific Rose,n/a,,
https://www.tasteatlas.com/elephant-shark,https://cdn.tasteatlas.com//images/ingredients/57bfa7b0c44249688deed2cf8af36e30.jpg?mw=660,9,White Fish,https://www.tasteatlas.com/White-fish,Elephant Shark,is a silver-gray fish that is related to sharks. It is usually found off the coast of New Zealand and Australia. The fish is characterized by its large pectoral fins and a cartilaginous trunk. It does not have a bony skelet...,Elephant shark,n/a,,
https://www.tasteatlas.com/airedale,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Cheese,https://www.tasteatlas.com/Cheese,Airedale,"is a New Zealander cheese made from cow's milk. Underneath its waxed rind, this semi-soft cheese has a smooth texture with curd holes which appear occasionally. The flavors are salty, tangy, and milky, while the aromas are intens...",Airedale,n/a,https://www.tasteatlas.com/otago,Otago
