search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,score-text--na,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4
https://www.tasteatlas.com/tres-leches-cake,https://cdn.tasteatlas.com//images/dishes/cf06fff9022b46c6bf6e975d7875f7bc.jpg?mw=660,1,Cake,https://www.tasteatlas.com/cakes,Tres Leches Cake,4.1,"Tres leches cake is a dense, moist dessert consisting of a sponge cake covered with three types of milk: evaporated, condensed, and whole milk. Although its origins are quite murky, most sources claim it was invented in Nicaragua, but the cake is ...",https://www.tasteatlas.com/tres-leches-cake/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/berenjenas-rellenas,https://cdn.tasteatlas.com//images/dishes/ff5d052b4409413da5563f713771e6b7.jpg?mw=660,2,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Berenjenas rellenas,,Berenjenas rellenas or  is a traditional savory specialty from Nicaragua. There are many versions of this dish regarding its preparation and the ingredients used for the filling. The eggplants are typically cut along the ...,https://www.tasteatlas.com/berenjenas-rellenas/wheretoeat,n/a,stuffed eggplants,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/nacatamal,https://cdn.tasteatlas.com//images/dishes/29ac80ccbb11435c90b3f85e3171ce00.jpg?mw=660,3,Wrap,https://www.tasteatlas.com/wraps,Nacatamal,4.2,"Nacatamal is a type of traditional Nicaraguan tamale made with corn dough which is stuffed with chicken or pork, then wrapped in plantain leaves and steamed. This savory dish usually also contains ingredients such as bell peppers, garlic, potatoes...",https://www.tasteatlas.com/nacatamal/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/sopa-de-cola,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,4,Meat Soup,https://www.tasteatlas.com/meat-soups,Sopa de cola,,"Sopa de cola is a traditional Nicaraguan soup made with oxtail. Typically, the soup is prepared in a large metal pot over an open fire. The pieces of oxtail are cooked long and slow in water to which a great variety of vegetables, herbs, spices, a...",https://www.tasteatlas.com/sopa-de-cola/wheretoeat,n/a,,,,,,,,,
https://www.tasteatlas.com/gallo-pinto-nicaragua,https://cdn.tasteatlas.com//Images/Dishes/139333a2eb264050a43f4a5e44cc0c8e.jpg?mw=660,5,Side Dish,https://www.tasteatlas.com/Sides,Gallo pinto,4.5,"Gallo pinto, sometimes referred to only as , is the traditional national dish of Costa Rica. Although many variations of the dish exist, at its most basic it is a blend of cooked and fried rice and beans, combined with herbs and vege...",https://www.tasteatlas.com/gallo-pinto-nicaragua/wheretoeat,,pinto,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/black-beans,https://cdn.tasteatlas.com/images/ingredientgroups/23e2317d37d54983bf78237cb224ee70.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/vaho,https://cdn.tasteatlas.com//images/dishes/b125361c162e4381839d6a6512dd172c.jpg?mw=660,6,Beef Dish,https://www.tasteatlas.com/beef-dishes,Vaho,,"Vaho or  is one of the most popular Nicaraguan dishes and a great hangover cure. It is made by wrapping a combination of beef, yuca, and plantains in banana leaves, then steaming the concoction. The word  means",https://www.tasteatlas.com/vaho/wheretoeat,n/a,baho,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,https://www.tasteatlas.com/banana-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/7e1b66811f084d4586d1fab5de5e7fa7.png?h=120&w=120
https://www.tasteatlas.com/arroz-a-la-plancha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz a la plancha,,"Arroz a la plancha is a traditional rice specialty hailing from Nicaragua. The rice is cooked , referring to the unique cooking method that involves grilling food on a round, flat metal plate. To prepare this dish, rice is fir...",https://www.tasteatlas.com/arroz-a-la-plancha/wheretoeat,n/a,a la plancha,,,,,,,,
https://www.tasteatlas.com/indio-viejo,https://cdn.tasteatlas.com//images/dishes/9bd00d01db57450e9f6cf8cae62ce5d8.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Indio viejo,,"Indio viejo is a Nicaraguan dish made with vegetables such as garlic, onions, sweet peppers, and tomatoes. Water-drenched tortillas are first ground into a dough; then the beef is shredded and fried with vegetables, tortilla dough, and achiote pas...",https://www.tasteatlas.com/indio-viejo/wheretoeat,n/a,,,,,,,,,
https://www.tasteatlas.com/vigoron,https://cdn.tasteatlas.com//images/dishes/5fdbf48648044942bbb44ce975193d4f.jpg?mw=660,9,Street Food,https://www.tasteatlas.com/Street-food,Vigorón,4.3,"Vigorón is a popular Nicaraguan dish that is often served to unexpected guests and visitors, since it is quickly and easily prepared. It consists of boiled yucca, chopped cabbage, onions, tomatoes, chile peppers, and fried pork rinds known ...",https://www.tasteatlas.com/vigoron/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/arroz-con-pescado,https://cdn.tasteatlas.com//images/dishes/45e77b7c7e584a5194f174f310a3e77a.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con pescado,,"A regional specialty of León, arroz con pescado is a savory dish that consists of rice, shredded fish, and tomatoes. The combination is typically further enhanced with the addition of spearmint and bitter oranges. Common snook (known as r&o...",https://www.tasteatlas.com/arroz-con-pescado/wheretoeat,n/a,,,,,,,,,
