search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/jollof-rice,https://cdn.tasteatlas.com//images/dishes/41ca6dfc48714647a813a6c1333a9e94.jpg?mw=660,1,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Jollof Rice,4.8,"Jollof rice is Nigeria's national dish. In order to prepare it, rice is cooked in a rich tomato sauce so that it soaks in all the flavors. The most common ingredients found in jollof rice include rice, tomatoes, tomato paste, onions, salt, and pep...",https://www.tasteatlas.com/jollof-rice/wheretoeat,,
https://www.tasteatlas.com/moin-moin,https://cdn.tasteatlas.com//images/dishes/87f9257608154f22bbdceea7d2f95fc9.jpg?mw=660,2,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Moin moin,4.2,"Moin moin is a Nigerian dish consisting of ground beans or black-eyed peas, onions, oil, and freshly ground peppers such as chili, bell pepper, and Scotch bonnet. The dish is usually served as an accompaniment to jollof rice, fried plantains, and ...",https://www.tasteatlas.com/moin-moin/wheretoeat,,
https://www.tasteatlas.com/suya,https://cdn.tasteatlas.com//images/dishes/5fa52d69fe99480b8d390bbd255818b5.jpg?mw=660,3,Street Food,https://www.tasteatlas.com/Street-food,Suya,4.9,"Believed to have originated among the Hausa people, this popular Nigerian dish employs thin slices of beef or chicken that are generously seasoned, then roasted over open charcoal grills. The essential element in each suya is a dry spice blend kno...",https://www.tasteatlas.com/suya/wheretoeat,,
https://www.tasteatlas.com/eba,https://cdn.tasteatlas.com//Images/Dishes/f59bce2295b94f928c5a2210c9d664c7.jpg?mw=660,4,Side Dish,https://www.tasteatlas.com/Sides,Eba,3.9,"Eba or  is a Nigerian staple food consisting of cassava flour combined with hot water. The combination is traditionally mixed with a large wooden spoon until it firms up, and is then rolled into a ball. Eba is served with almost all ...",https://www.tasteatlas.com/eba/wheretoeat,garri,
https://www.tasteatlas.com/afang-soup,https://cdn.tasteatlas.com//images/dishes/662c50d9d8ec4760bb12d705f64897d6.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Afang Soup,4.5,"Afang is a traditional soup hailing from the southeastern parts of Nigeria. It's made with a combination of afang leaves, water leaves, dried fish, beef, onions, red palm oil, ground crayfish, and seasoning cubes. The afang leaves are ground or po...",https://www.tasteatlas.com/afang-soup/wheretoeat,,
https://www.tasteatlas.com/banga-soup,https://cdn.tasteatlas.com//images/dishes/2ca9862fc6ad46d299a714c04109903c.jpg?mw=660,6,Soup,https://www.tasteatlas.com/Soups,Banga Soup,4.3,"Banga or  is a flavorful Nigerian soup made with palm fruit, beef or dried fish, vegetables, and seasonings such as salt and chili pepper. The soup is traditionally paired with various fufu dishes. The name of the dish is derived ...",https://www.tasteatlas.com/banga-soup/wheretoeat,ofe akwu,
https://www.tasteatlas.com/ogbono-soup,https://cdn.tasteatlas.com//images/dishes/37c09186ae7b4af381856edc41bf65b4.jpg?mw=660,7,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Ogbono Soup,4.3,"Ogbono is a traditional Nigerian soup made with a combination of ogbono seeds, red palm oil, onions, stock, seasoning cubes, leafy vegetables such as spinach, pumpkin leaves, or bitterleaf, and assorted meat and fish such as beef, tripe, shrimp, a...",https://www.tasteatlas.com/ogbono-soup/wheretoeat,,
https://www.tasteatlas.com/efo-riro,https://cdn.tasteatlas.com//images/dishes/fcb3b8f9956d424c95c45557aa7f1a67.jpg?mw=660,8,Soup,https://www.tasteatlas.com/Soups,Efo-Riro,4.5,"Efo-riro is a hearty Nigerian soup native to the Yorubas. It usually consists of stock cubes, pumpkin leaves, onions, tomatoes, and assorted meat or fish. The name  means , and it is recommended to serve it ...",https://www.tasteatlas.com/efo-riro/wheretoeat,efo-riro,
https://www.tasteatlas.com/nkwobi,https://cdn.tasteatlas.com//images/dishes/0f62083c7aac4acaba9b894dea8e9486.jpg?mw=660,9,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Nkwobi,,"Nkwobi, a savory Nigerian side dish originates from the Igbo tribe, located in the southeastern part of Nigeria. The dish is usually prepared with a cow’s leg that’s cooked in a thick, spicy sauce, but it can also be made with a combin...",https://www.tasteatlas.com/nkwobi/wheretoeat,,n/a
https://www.tasteatlas.com/tuwo-shinkafa,https://cdn.tasteatlas.com//images/dishes/b567d96cdb894af28c335ff26c3fb393.jpg?mw=660,10,Side Dish,https://www.tasteatlas.com/Sides,Tuwo shinkafa,,"Tuwo shinkafa is a unique Nigerian dish consisting of rice flour or soft, short-grained rice and water. The combination of those ingredients is cooked, mashed, and formed into large balls. It is popular throughout the northern parts of the country...",https://www.tasteatlas.com/tuwo-shinkafa/wheretoeat,,n/a
https://www.tasteatlas.com/kokoro,https://cdn.tasteatlas.com//images/dishes/c8215c51e4e64b39b018a518f045b1cf.jpg?mw=660,11,Snack,https://www.tasteatlas.com/Snacks,Kokoro,,"Kokoro is a crunchy Nigerian snack that is shaped into a stick. It is prepared by combining maize flour paste with sugar and cassava or yam flour. The concoction is rolled on a flat surface or between one's palms in order to get a long stick, whic...",https://www.tasteatlas.com/kokoro/wheretoeat,,n/a
https://www.tasteatlas.com/chin-chin,https://cdn.tasteatlas.com//images/dishes/ec75aeede60945ce8b55ba9aa9d63472.jpg?mw=660,12,Snack,https://www.tasteatlas.com/Snacks,Chin Chin,,"Chin chin is a popular Nigerian snack. It's made with a combination of flour, sugar, butter or margarine, and milk, but there are some optional ingredients such as ground nutmeg, baking powder, and eggs which are added depending on personal prefer...",https://www.tasteatlas.com/chin-chin/wheretoeat,,n/a
