search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/lutefisk,https://cdn.tasteatlas.com//images/dishes/799c838d149f4158b7be6a6948ec7a2d.jpg?mw=660,1,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Lutefisk,"is a Scandinavian dish made from dried whitefish that's been treated with lye, resulting in the fish having a gelatinous consistency and often, depending on the type of whitefish, a very strong, pungent odor. Both the Swedes and ...",https://www.tasteatlas.com/lutefisk/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/lefse,https://cdn.tasteatlas.com//Images/Dishes/0c336f4c10b441a681eed784a2e34dc6.jpg?mw=660,2,Flatbread,https://www.tasteatlas.com/Flatbreads,Lefse,"is a traditional Norwegian flatbread, visually looking like a huge, round tortilla. It comes in many varieties such as plain, sweet, thin, or thick. There is also a popular version of lefse with potatoes incorporated in the dough, a...",https://www.tasteatlas.com/lefse/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kjttboller,https://cdn.tasteatlas.com//images/dishes/3b09bf783a8748caac05f061a2ddef85.jpg?mw=660,3,Meatballs,https://www.tasteatlas.com/meatballs,Kjøttboller,"or  are traditional Norwegian meatballs. Even though they share many similarities to their Swedish counterpart, they are usually larger in size and more often shaped as meat patties or meat cak...",https://www.tasteatlas.com/kjttboller/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/corn-starch,https://cdn.tasteatlas.com/images/ingredientgroups/dfa4af586b3845a8b4e676e648dbf1eb.png?h=120&w=120,https://www.tasteatlas.com/Oatmeal,https://cdn.tasteatlas.com/images/ingredientgroups/a67999d408a34b01a0f427ead12877fd.png?h=120&w=120,
https://www.tasteatlas.com/pinnekjtt,https://cdn.tasteatlas.com//images/dishes/5164a16f1e6144c29ad663b683de39a3.jpg?mw=660,4,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Pinnekjøtt,"is a traditional Norwegian Christmas dish predominantly enjoyed in the northern and western parts of the country. It is usually prepared with racks of lamb or mutton, which are brined and air-dried or smoked before they ...",https://www.tasteatlas.com/pinnekjtt/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/fiskesuppe,https://cdn.tasteatlas.com//images/dishes/5aa7175b69a14d1a9a2d2ed8c960b049.jpg?mw=660,5,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Fiskesuppe,"is a popular Norwegian fish soup characterized by its creamy texture and buttery flavor. This comforting dish appears in many regional and seasonal versions, but it usually consists of various types of fish, shellfish, and root...",https://www.tasteatlas.com/fiskesuppe/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/lapskaus,https://cdn.tasteatlas.com//images/dishes/9b0f72d7a2c646d79174c897e0b865ee.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Lapskaus,"Lapskaus is a traditional stew originating from Norway. The stew is usually made with a combination of beef (lamb, pork, and chicken are also viable options), onions, potatoes, carrots, celery, rutabaga, stock, flour (optional), bay leaves, thyme,...",https://www.tasteatlas.com/lapskaus/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,n/a
https://www.tasteatlas.com/farikal,https://cdn.tasteatlas.com//Images/Dishes/aa9ac756186f4bbfbf00b9e107007428.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Fårikål,"The national dish of Norway, is hearty mutton and cabbage stew, typically served with boiled potatoes. The list of ingredients is scarce: only mutton, cabbage, salt, pepper, and water, although some recipes call for t...",https://www.tasteatlas.com/farikal/wheretoeat,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,
https://www.tasteatlas.com/sodd,https://cdn.tasteatlas.com//Images/Dishes/6ca19c3c875e44e6a082c8646612c1e2.jpg?mw=660,8,Meat Soup,https://www.tasteatlas.com/meat-soups,Sodd,"Satisfying  is Norway's national dish which usually consists of diced mutton, meatballs (made with beef, lamb or mutton), carrots, and potatoes served in a clear, fragrant broth. The vegetables are usually cooked separately and are th...",https://www.tasteatlas.com/sodd/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/skillingsboller,https://cdn.tasteatlas.com//images/dishes/10e09b1be9cb4603852a8032babbaf66.jpg?mw=660,9,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Skillingsboller,"Skillingsboller is a traditional Norwegian version of a cinnamon roll. This circular pastry is usually associated with Bergen. The rolls are made with a combination of flour, milk, yeast, eggs, sugar, cardamom, lots of butter, and chopped almonds ...",https://www.tasteatlas.com/skillingsboller/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/lompe,https://cdn.tasteatlas.com//images/dishes/b34e3a83c5e4476e9b87b4f034a56a17.jpg?mw=660,10,Flatbread,https://www.tasteatlas.com/Flatbreads,Lompe,"Lompe is a traditional flatbread originating from Norway. The flatbread is made with potatoes, salt, and flour, and it's similar to the more famous lefse flatbread. However, lompe is usually smaller in diameter than lefse and it's most commonly us...",https://www.tasteatlas.com/lompe/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,n/a
