search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,score-text--na
https://www.tasteatlas.com/harees-oman,https://cdn.tasteatlas.com//images/dishes/03df132180744560921a1b481675e559.jpg?mw=660,1,Porridge,https://www.tasteatlas.com/Porridge,Harees,"A staple during the month of Ramadan in numerous Middle Eastern countries is a plate of , a satisfying meal which combines coarse wheat and meat. This centuries-old dish probably originated in Saudi Arabia, but has since spread thro...",harees,https://www.tasteatlas.com/harees-oman/wheretoeat,
https://www.tasteatlas.com/majboos-oman,https://cdn.tasteatlas.com//Images/Dishes/f37a541a7983423f8d532caaac154e8d.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Majboos,"Kabsa is a rice dish that is enjoyed throughout the Gulf States of the Arabian Peninsula. Heavily influenced by Persian and Indian biryanis, kabsa makes use of the water that was used to cook fish or meat and re-using it to cook the spiced, long-g...",,https://www.tasteatlas.com/majboos-oman/wheretoeat,
https://www.tasteatlas.com/shuwa,https://cdn.tasteatlas.com//images/dishes/1be2371a05804f55b5a4b31134289d3a.jpg?mw=660,3,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Shuwa,"Often dubbed as the national dish of Oman, shuwa is usually prepared with bone-in cuts of lamb or goat meat, or occasionally beef or camel. The meat is coated in a spice blend that typically combines chili peppers, cardamom, cloves, cumin, or cori...",,https://www.tasteatlas.com/shuwa/wheretoeat,n/a
https://www.tasteatlas.com/omani-halwa,https://cdn.tasteatlas.com//images/dishes/8f99d3bcd5aa4378accc2fce0eded665.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Omani halwa,"Omani halwa is a gelatinous and sticky sweet that is commonly served at weddings, birthdays, festivities, and during the holy week of Ramadan. The ingredients vary from one halwa-maker to another, but the base is usually made with water, sugar, gh...",,https://www.tasteatlas.com/omani-halwa/wheretoeat,n/a
https://www.tasteatlas.com/mishkak,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,5,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Mishkak,"Hailing from Oman, mishkak is a popular street snack consisting of beef, chicken, or mutton that is marinated, skewered, and grilled to perfection. The meat is cut into bite-sized cubes, which are then typically marinated in a combination of vario...",,https://www.tasteatlas.com/mishkak/wheretoeat,n/a
https://www.tasteatlas.com/mashuai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,6,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Mashuai,"Mashuai is a traditional Omani fish specialty made by spit-roasting a whole fish which has been rubbed with oil and spices. Traditionally, this dish is prepared with kingfish, known locally as , which is abundant in the coastal water...",kanad,https://www.tasteatlas.com/mashuai/wheretoeat,n/a
https://www.tasteatlas.com/chicken-kabouli,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Chicken kabouli,"Chicken kabouli, kabuli, or qabooli is a traditional Omani rice dish that is similar to a . It consists of basmati rice that is flavored with an Omani masala blend of whole or ground spices such as cardamom, coriander, cloves, and ...",biryani,https://www.tasteatlas.com/chicken-kabouli/wheretoeat,n/a
https://www.tasteatlas.com/omani-chicken-biryani,https://cdn.tasteatlas.com//images/dishes/656fe00e60d349249a9c4ee1ad9edff8.jpg?mw=660,8,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Omani Chicken Biryani,"This rice dish is an Omani take on traditional Indian and Persian chicken biryanis. Just like other chicken biryanis, this one also consists of basmati rice mixed with chicken parts (legs or breasts). What makes this dish truly Omani is the use of...",,https://www.tasteatlas.com/omani-chicken-biryani/wheretoeat,n/a
https://www.tasteatlas.com/madrouba,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,9,Porridge,https://www.tasteatlas.com/Porridge,Madrouba,"Madrouba is a spicy and comforting Omani porridge made with chicken, overcooked rice, and a plethora of flavorings such as turmeric, cumin, cardamom, ginger, cloves, cinnamon, garlic, and black pepper. It is recommended to serve madrouba while it ...",,https://www.tasteatlas.com/madrouba/wheretoeat,n/a
https://www.tasteatlas.com/halawet-ahmad,https://cdn.tasteatlas.com//images/dishes/3d388f884c754ec19f46379f7ae5a29f.jpg?mw=660,10,Dessert,https://www.tasteatlas.com/Desserts,Halawet Ahmad,"Halawet Ahmad is a traditional Omani dessert, meaning  or . It is made by combining roasted vermicelli, condensed milk, sugar, butter, almond powder, and desiccated coconut. The mixture is typically press...",Ahmad dessert,https://www.tasteatlas.com/halawet-ahmad/wheretoeat,n/a
https://www.tasteatlas.com/khabeesa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,11,Porridge,https://www.tasteatlas.com/Porridge,Khabeesa,"Khabeesa is a popular Omani dish consisting of milk, semolina, and butter. The dish is additionally flavored with rose water, saffron, and cardamom. It is often topped with fried cashews. Khabeesa is traditionally served for breakfast on Eid days....",,https://www.tasteatlas.com/khabeesa/wheretoeat,n/a
