search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,search-results__item-description 2,search-results__item-description 3,score-text--na
https://www.tasteatlas.com/chicken-karahi,https://cdn.tasteatlas.com//images/dishes/a309540727254c1fabf2f07fbbd9d2c0.jpg?mw=660,1,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Chicken karahi,4.6,"Chicken karahi is a poultry dish that is popular in Pakistan and North India. The word karahi in its name refers to a thick and deep cooking-pot similar to a wok in which the dish is prepared. Apart from chicken, the dish is made with red chili po...",READ MORE,https://www.tasteatlas.com/chicken-karahi/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/red-chilli-powder,https://cdn.tasteatlas.com/images/ingredientgroups/0bf070508e5f4a41b10e14a0642e59fe.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/garam-masala,https://cdn.tasteatlas.com/images/dishes/a2fdc55cb6b643c29b66708def1e1c64.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120,https://www.tasteatlas.com/cardamom,https://cdn.tasteatlas.com/images/ingredientgroups/ebbde091cf4445a5ac10df8a51b7c894.png?h=120&w=120,,,,,
https://www.tasteatlas.com/chapli-kabab,https://cdn.tasteatlas.com//Images/Dishes/33553f2887164056bbbe7f7147c32f57.jpg?mw=660,2,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Chapli kabab,4.4,"A specialty of Pashtun cuisine, this spicy meat patty is prepared with a combination of minced beef or mutton. The unique taste of chapli kabab comes from spices such as dried coriander and pomegranate seeds, green chillis, and mint. Its name is d...",READ MORE,https://www.tasteatlas.com/chapli-kabab/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/pomegranates,https://cdn.tasteatlas.com/images/ingredientgroups/c9a43320590448f7ac2d33cb05431efe.png?h=120&w=120,https://www.tasteatlas.com/tlaola-serrano-chili-pepper,https://cdn.tasteatlas.com/images/dishes/be2855be2c0e4779b0d5419d02937cc0.png?h=120&w=120,https://www.tasteatlas.com/mint,https://cdn.tasteatlas.com/images/ingredientgroups/b6c5042f1598417c8fa444f42310d56a.png?h=120&w=120,https://www.tasteatlas.com/peshawar,Peshawar,,,
https://www.tasteatlas.com/samosa-pakistan,https://cdn.tasteatlas.com//Images/Dishes/e668e32ae1a3423c95fbd4d77f8c940c.jpg?mw=660,3,Snack,https://www.tasteatlas.com/Snacks,Samosa,4.4,"Due to their crunchy texture and a variety of different flavors, samosas provide a perfect introduction to the world of Indian cuisine for newcomers. These deep-fried, triangular pastries are filled with a variety of ingredients ranging from veget...",READ MORE,https://www.tasteatlas.com/samosa-pakistan/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/chaat-pakistan,https://cdn.tasteatlas.com//Images/Dishes/84327074df8e4c5fabeaeca6fa3ab659.jpg?mw=660,4,Street Food,https://www.tasteatlas.com/Street-food,Chaat,4.5,"Chaat is a term signifying a huge variety of Indian street foods, snacks, or small meals which usually combine salty, spicy, sweet, and sour flavors. The name chaat is derived from a Hindi verb , meaning , possibly ...",READ MORE,https://www.tasteatlas.com/chaat-pakistan/wheretoeat,,,,,,,,,,,,,,,chaatna,to lick,
https://www.tasteatlas.com/seekh-kabab,https://cdn.tasteatlas.com//images/dishes/0e831623c2c94cad86d7df9c217433eb.jpg?mw=660,5,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Seekh kabab,4.4,"Seekh kabab is a delicious, juicy Pakistani kebab variety made with a combination of minced meat (typically lamb), onions, garlic, ginger, coriander, lemon juice, yogurt, and garam masala. The spices used in the dish can be modified according to p...",READ MORE,https://www.tasteatlas.com/seekh-kabab/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,,,,,
https://www.tasteatlas.com/nihari-pakistan,https://cdn.tasteatlas.com//Images/Dishes/a5973d1624d642ceb63539fb0d501a5c.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Nihari,3.5,"Nihari is a popular meat-based dish originating from Old Delhi. When Pakistan gained independence in 1947, numerous immigrants from Delhi settled in Karachi, where they established their own restaurants, so nihar is also associated with Pakistani ...",READ MORE,https://www.tasteatlas.com/nihari-pakistan/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/cloves,https://cdn.tasteatlas.com/images/ingredientgroups/59dd76e264aa44b3890bec8a11722eac.png?h=120&w=120,https://www.tasteatlas.com/garam-masala,https://cdn.tasteatlas.com/images/dishes/a2fdc55cb6b643c29b66708def1e1c64.png?h=120&w=120,,,,,
https://www.tasteatlas.com/paratha-pakistan,https://cdn.tasteatlas.com//Images/Dishes/7053f1036e63478db68ce8ba7583b39e.jpg?mw=660,7,Flatbread,https://www.tasteatlas.com/Flatbreads,Paratha,4.6,"Golden-brown in color, flaky and layered, paratha is a type of Indian bread that is typically consumed for breakfast. The name comes from a combination of words  and  (flour), referring to the cooked, layered dough. It c...",READ MORE,https://www.tasteatlas.com/paratha-pakistan/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/ghee,https://cdn.tasteatlas.com/images/dishes/194229dc935a45ec9d24f94a13bbe3fd.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,parat,atta,
https://www.tasteatlas.com/zarda,https://cdn.tasteatlas.com//Images/Dishes/2d6acb7678de444498923f270671f6aa.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Zarda,3.2,"The bright yellow zarda is a sweet and fragrant Pakistani rice dish which consists of basmati rice cooked with milk and sugar. The rice is cooked alongside natural food colorings, which give the dish its unusual yellow color, and a blend of tradit...",READ MORE,https://www.tasteatlas.com/zarda/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sajji,https://cdn.tasteatlas.com//images/dishes/1dee6ae7907a4a86b12219a0d02d29b2.jpg?mw=660,9,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Sajji,3.9,"Sajji is a popular Pakistani dish originating from the province of Balochistan. It consists of marinated, skewered, and roasted lamb or chicken. The meat is typically marinated in salt, although it can also be combined with green papaya paste or s...",READ MORE,https://www.tasteatlas.com/sajji/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/balochistan,Balochistan,,,
https://www.tasteatlas.com/halwa-poori,https://cdn.tasteatlas.com//images/dishes/a115b8b6115f4ea580599eb24a369408.jpg?mw=660,10,Breakfast,https://www.tasteatlas.com/Breakfast,Halwa poori,4.5,"Halwa poori is a traditional Pakistani and Indian breakfast that features semolina pudding or halwa and a soft fried dough called poori. Halwa is typically made with a mixture of fried semolina and sugar syrup, which is then combined with nuts suc...",READ MORE,https://www.tasteatlas.com/halwa-poori/wheretoeat,,,,,,,,,,,,,,,,,
