search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/falafel-palestine,https://cdn.tasteatlas.com//images/dishes/6a7d870a48e34847b06f1711907ccf8a.jpg?mw=660,1,Street Food,https://www.tasteatlas.com/Street-food,Falafel,3.9,"Even though these protein-packed chickpea fritters are listed as one of Israel's national dishes, it is often suggested that falafel might have originated in Egypt, Lebanon, or Palestine. By the 1950s, to earn a living, Yemenite immigrants in Isra...",https://www.tasteatlas.com/falafel-palestine/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/fava-beans,https://cdn.tasteatlas.com/images/ingredientgroups/8fff989ecbe24f938f3521ed825d5fa4.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,,,
https://www.tasteatlas.com/mujaddara-palestine,https://cdn.tasteatlas.com//images/dishes/a7adabed9df5481f98e3ce157202db03.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Mujaddara,3.9,The vegetarian combination of lentils and rice is a classic Levantine fare that is best served with fresh salads. The dish is assembled with cooked rice and lentils that are enriched with generous amounts of onions sautéed in olive oil. Whe...,https://www.tasteatlas.com/mujaddara-palestine/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/gaza-strip,Gaza Strip,,
https://www.tasteatlas.com/hummus-palestine,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,3,Dip,https://www.tasteatlas.com/dips,Hummus,4.3,"This internationally popular, beige-colored spread is traditionally made with mashed chickpeas,  sesame paste, lemon juice, and garlic. People across the world love hummus for its tangy flavor and the fact that it is filled with nut...",https://www.tasteatlas.com/hummus-palestine/wheretoeat,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,,,,,tahini,
https://www.tasteatlas.com/maqluba,https://cdn.tasteatlas.com//images/dishes/37c2673a6c914365946f2402e74ee0e0.jpg?mw=660,4,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Maqluba,,"Maqluba is the national dish of Palestine, but it can also be found in Iraq, Syria, and Jordan. This layered one-pot dish has many versions, but the basic principle is to turn it upside down before serving, which is what the word maqluba means. Th...",https://www.tasteatlas.com/maqluba/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/qidreh,https://cdn.tasteatlas.com//images/dishes/b1b7e76a9b6d4917a3fd9080badc171c.jpg?mw=660,5,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Qidreh,,"Qidreh is a traditional Palestinian dish hailing from Hebron. It consists of meat (usually lamb, sometimes chicken) that's cooked with chickpeas and rice in a broth that's spiced with ingredients such as cumin, allspice, cardamom, black pepper, an...",https://www.tasteatlas.com/qidreh/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/hebron,Hebron,,n/a
https://www.tasteatlas.com/musakhan,https://cdn.tasteatlas.com//Images/Dishes/827505ab9a2f4aa281a047c43b55eee2.jpg?mw=660,6,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Musakhan,,Musakhan is a Palestinian dish consisting of roasted chicken and caramelized onions that are garnished with pine nuts and arranged on top ofbread that's previously been dipped in olive oil. The name of the dish comes from the Arab...,https://www.tasteatlas.com/musakhan/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/pine-nuts,https://cdn.tasteatlas.com/images/ingredientgroups/2108a7804fe04f57a002907791e0e43f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/sumac,https://cdn.tasteatlas.com/images/dishes/3870f3fae6b74d40a8204bee307508b2.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,,,taboon,n/a
https://www.tasteatlas.com/kunafah-palestine,https://cdn.tasteatlas.com//Images/Dishes/fea42741c0934a0494256d70187f0803.jpg?mw=660,7,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kunāfah,4.4,"Kunāfah consists of two crunchy layers of shredded and buttered  or  dough, filled with a luscious cheese cream that's often flavored with orange zest and cardamom, then drenched in a sugar syrup infused with lemon ju...",https://www.tasteatlas.com/kunafah-palestine/wheretoeat,https://www.tasteatlas.com/akkawi,https://cdn.tasteatlas.com/images/dishes/09a76a10b5d44cffa5e62e170de95cf9.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120,,,kataifi,
https://www.tasteatlas.com/labneh-palestine,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,8,Dip,https://www.tasteatlas.com/dips,Labneh,4.2,Creamy texture and mild flavor are the main attributes of labneh; a traditional Middle Eastern strained yogurt that is prepared with yogurt and salt. No strict guidelines are used to produce it; plain full-fat yogurt is mixed with salt and left to...,https://www.tasteatlas.com/labneh-palestine/wheretoeat,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,,,
https://www.tasteatlas.com/makdous-palestine,https://cdn.tasteatlas.com//images/dishes/253935c6ffbd48929430ec74e32ba4d8.jpg?mw=660,9,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Makdous,4.1,"Oil-cured eggplants are a staple throughout Levantine and Middle Eastern cuisine. The dish is traditionally prepared with small-sized baby eggplants that are shortly boiled and stuffed with a flavorful mixture of roasted red peppers, walnuts, garl...",https://www.tasteatlas.com/makdous-palestine/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/shakshouka-palestine,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,10,Egg Dish,https://www.tasteatlas.com/egg-dishes,Shakshouka,4.2,"Shakshouka is a delicious combination of eggs poached in a spicy tomato sauce. Although it has an unusual name, the dish is straightforward and easy to make. It is usually made in a skillet in which onions, tomatoes, and spices are cooked until th...",https://www.tasteatlas.com/shakshouka-palestine/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,,,
