search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5
https://www.tasteatlas.com/hojaldres,https://cdn.tasteatlas.com//images/dishes/412653c6c128426eb1c8a7593696c08e.jpg?mw=660,1,Bread,https://www.tasteatlas.com/Breads,Hojaldres,n/a,"Hojaldres is a traditional Panamanian breakfast bread consisting of fried dough made with flour, sugar, salt, and oil or butter. The texture of this bread is similar to donuts, but its taste is savory. The flat, round bread is usually topped with ...",https://www.tasteatlas.com/hojaldres/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/yuca-al-moho,https://cdn.tasteatlas.com//images/dishes/4e4904fd317e4a12bd16fb6218e9a921.jpg?mw=660,2,Side Dish,https://www.tasteatlas.com/Sides,Yuca al mojo,n/a,"Yuca al mojo is a flavorful side dish that is popular in Panama and throughout the Caribbean. It consists of boiled cassava (yuca) marinated in a zesty sauce made with garlic, cilantro, lemon juice, salt, and pepper. Although it is usually served ...",https://www.tasteatlas.com/yuca-al-moho/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/tamal-de-olla,https://cdn.tasteatlas.com//images/dishes/050d9d97e75f49c5bd67da4cdff80a59.jpg?mw=660,3,Casserole,https://www.tasteatlas.com/casserole,Tamal de olla,n/a,"Tamal de olla is a Panamanian-style tamale dish that is typically prepared as a casserole, unlike other tamale dishes which are typically wrapped in banana or plantain leaves. The dish consists of sofrito, masa dough, and fillings. The fillings tr...",https://www.tasteatlas.com/tamal-de-olla/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/bistec-picado,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,4,Beef Dish,https://www.tasteatlas.com/beef-dishes,Bistec picado,n/a,"Bistec picado is a Panamanian dish made with finely chopped pieces of meat (traditionally beef) which are braised with chili peppers in a rich tomato sauce. Once prepared, the dish is usually topped with onions, bell peppers, or both. Standard acc...",https://www.tasteatlas.com/bistec-picado/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120
https://www.tasteatlas.com/bocado-de-la-reina,https://cdn.tasteatlas.com//images/dishes/3b9b9f5a73ec47f39d8a9ba898fa11da.jpg?mw=660,5,Cake,https://www.tasteatlas.com/cakes,Bocado de la reina,n/a,"Bocado de la reina is a cake-like bread pudding made with leftover bread, condensed milk, eggs, and bananas. It is especially popular in Panama and Guatemala. This cake is typically flavored with cinnamon, while raisins might be added for extra fl...",https://www.tasteatlas.com/bocado-de-la-reina/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/huevitos-de-leche,https://cdn.tasteatlas.com//images/dishes/79526983a9524e26b566397036181638.jpg?mw=660,6,Dessert,https://www.tasteatlas.com/Desserts,Huevitos de leche,n/a,"Huevitos de leche (lit. milk eggs) is a Panamanian specialty, a highly caloric sweet treat consisting of milk, sugar, and either cornstarch or flour. These treats are typically flavored with a cinnamon stick that is inserted into the pot while the...",https://www.tasteatlas.com/huevitos-de-leche/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/carimanola-panama,https://cdn.tasteatlas.com//images/dishes/6355db0d6cee44b0a101102a637da8fb.jpg?mw=660,7,Snack,https://www.tasteatlas.com/Snacks,Carimañola,,"Carimañolas are Colombian snacks made with mashed cassava that is filled with chicken, beef, or cheese before being deep-fried. These fritters are traditionally torpedo-shaped and can be served for breakfast or as an appetizer before a bigg...",https://www.tasteatlas.com/carimanola-panama/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/platanos-en-tentacion,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,8,Side Dish,https://www.tasteatlas.com/Sides,Plátanos en tentacion,n/a,"Plátanos en tentacion is a Panamanian dish that can be translated as . It consists of ripe plantains that are mixed with a combination of water, butter, rum, sugar, and vanilla, and the concoction is then bak...",https://www.tasteatlas.com/platanos-en-tentacion/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/sopa-borracha,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,9,Dessert,https://www.tasteatlas.com/Desserts,Sopa borracha,n/a,"Despite its name, sopa borracha (lit. drunk soup) is not a soup at all, but a festive Panamanian dessert that is especially popular at weddings and birthdays. It consists of a sponge cake that is cut into smaller pieces, then drenched in a sweet s...",https://www.tasteatlas.com/sopa-borracha/wheretoeat,,,,,,,,,,
https://www.tasteatlas.com/mamallena-panama,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Pudding,https://www.tasteatlas.com/puddings,Mamallena,n/a,"Mamallena is a simple Panamanian bread pudding made with bread, sugar, eggs, butter, salt, vanilla extract, and raisins. All the ingredients are combined, poured into a glass mold, then baked until slightly brown. In Panama,  mea...",https://www.tasteatlas.com/mamallena-panama/wheretoeat,,,,,,,,,,
