search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description 2,search-results__item-description 3
https://www.tasteatlas.com/kiveve,https://cdn.tasteatlas.com//Images/Dishes/341c75af674242e2980ec94c761c89d3.jpg?mw=660,1,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Kivevé,n/a,"The most famous vegetarian dish in Paraguay is undoubtedly kivevé. This traditional dish is made with the most popular ingredients in Paraguay: pumpkin, cornmeal, and fresh cheese. It has an unusual light red color and a creamy texture, sim...",https://www.tasteatlas.com/kiveve/wheretoeat,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/fresh-cheeses,https://cdn.tasteatlas.com/images/ingredientgroups/59b7f9c3624d4c5aa041912fbc728f5b.png?h=120&w=120,https://www.tasteatlas.com/Cornmeal,https://cdn.tasteatlas.com/images/ingredientgroups/6797b68e16ed459c9ad8ee5fc1441414.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/chipa,https://cdn.tasteatlas.com//images/dishes/b1bae9e66eea4780a3e47b750ae93ac5.jpg?mw=660,2,Bread,https://www.tasteatlas.com/Breads,Chipa,,"A simple bun called chipa is the most common food staple in Paraguay. The famous bread is made with cassava flour, lard, and anise. It originates from the Native American people Guarani, indigenous to the Amazon area of Brazil, Argentina, and Para...",https://www.tasteatlas.com/chipa/wheretoeat,,,,,,,,,,,,,4.7,Best in   (Coronel Bogado),Chipas Don Pipo,https://www.tasteatlas.com/chipas-don-pipo,,
https://www.tasteatlas.com/sopa-paraguaya,https://cdn.tasteatlas.com//Images/Dishes/86e67e24855b48598ca63806e6a2cca7.jpg?mw=660,3,Bread,https://www.tasteatlas.com/Breads,Sopa Paraguaya,,"Sopa paraguaya is a typical example of a misnomer (a word with a misleading meaning) - although  translates to , this traditional Paraguayan dish does not even resemble it. In fact, it is a type of thick cornbread flavore...",https://www.tasteatlas.com/sopa-paraguaya/wheretoeat,,,,,,,,,,,,,4.6,,,,sopa,soup
https://www.tasteatlas.com/chipa-guasu,https://cdn.tasteatlas.com//Images/Dishes/94fd1cb9abcf4fee897e2ba76ba0fa7a.jpg?mw=660,4,Side Dish,https://www.tasteatlas.com/Sides,Chipa guasu,,"Chipa guasu is a variety of , a cake based on corn grains with the addition of onions, water, eggs, cinnamon, milk, and cheese. Its name stems from two words - , referring to a variety of corn-based cakes, and",https://www.tasteatlas.com/chipa-guasu/wheretoeat,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,4.5,Best in   (Asunción),Lo de Osvaldo,https://www.tasteatlas.com/lo-de-osvaldo,chipa,chipa
https://www.tasteatlas.com/bori-bori,https://cdn.tasteatlas.com//images/dishes/d6b4a58231d04581a40e1eb2bc8875cf.jpg?mw=660,5,Soup,https://www.tasteatlas.com/Soups,Bori-bori,n/a,"Bori-bori (vori-vori) is a hearty Paraguayan soup filled with meat (usually beef or chicken), fluffy dumplings consisting of cornmeal and cheese, and vegetables such as carrots, celery, and onions. The soup is traditionally flavored with bay leave...",https://www.tasteatlas.com/bori-bori/wheretoeat,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/mbeju,https://cdn.tasteatlas.com//images/dishes/6434b4abb6b540cbbbcd7e8bbf7805ee.jpg?mw=660,6,Pancake,https://www.tasteatlas.com/pancakes,Mbeju,,"Mbeju is a traditional, starchy Paraguayan cake made with either manioc or farina flour. As a result, it is highly nutritious and looks like a pancake with a crumbly texture. Besides flour, mbeju consists of salt, water, oil, and, optionally, crum...",https://www.tasteatlas.com/mbeju/wheretoeat,,,,,,,,,,,,,3.9,Best in   (Asunción),El Cafe de Aca,https://www.tasteatlas.com/el-cafe-de-aca,,
https://www.tasteatlas.com/soyo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Soup,https://www.tasteatlas.com/Soups,Soyo,n/a,"Soyo is a thick and hearty Paraguayan soup filled with ground beef, rice, and vegetables such as onions, green peppers, and tomatoes. The soup is commonly seasoned with salt, garlic, parsley, and oregano. The name of the dish is a shorter version ...",https://www.tasteatlas.com/soyo/wheretoeat,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/dulce-de-mamon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,8,Dessert,https://www.tasteatlas.com/Desserts,Dulce de mamón,,"Dulce de mamón is a flavorful, syrupy-sweet Paraguayan dessert made by boiling papaya in water and sugar. The combination is simmered for at least two hours on low heat until the fruit develops a soft texture. It is recommended to add clove...",https://www.tasteatlas.com/dulce-de-mamon/wheretoeat,,,,,,,,,,,,,3.6,,,,,
https://www.tasteatlas.com/bife-koygua,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,9,Stew,https://www.tasteatlas.com/Stews,Bife koygua,n/a,"Bife koygua is a traditional Paraguayan stew in which beef steaks are covered with onions and tomatoes. The steaks are usually pounded, then fried with onions and topped with tomato slices. Near the end of cooking, the meat is topped with an egg o...",https://www.tasteatlas.com/bife-koygua/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/guiso-popo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Stew,https://www.tasteatlas.com/Stews,Guiso popó,n/a,"Guiso popó is a traditional Paraguayan stew with a thick consistency. It typically contains rice, chicken, garlic, and pickled sweet bell peppers. Although rice is the traditional choice for this stew, in some versions it can be replaced by...",https://www.tasteatlas.com/guiso-popo/wheretoeat,,,,,,,,,,,,,,,,,,
