search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/ceviche,https://cdn.tasteatlas.com//Images/Dishes/385f61bf908247b5ac663e6dc3beb95b.jpg?mw=660,1,Seafood,https://www.tasteatlas.com/Seafood,Ceviche,4.3,Best in   (Lima District),Chez Wong,https://www.tasteatlas.com/ChezWong,"Ceviche is the national dish of Peru consisting of slices of raw fish or shellfish that is spiced with salt, onions, and chili peppers, then marinated in lime juice. Due to the acidity of lime juice, the texture of the fish changes, as does its co...",https://www.tasteatlas.com/ceviche/wheretoeat,https://www.tasteatlas.com/corvinas,https://cdn.tasteatlas.com/images/ingredientgroups/e33873678a7b4518bb36f0e414d40658.png?h=120&w=120,https://www.tasteatlas.com/flounders,https://cdn.tasteatlas.com/images/ingredientgroups/56f36e39e1344022b6eefd01c9e6fa97.png?h=120&w=120,https://www.tasteatlas.com/groupers,https://cdn.tasteatlas.com/images/ingredientgroups/a0e3e6970fb8425b9b54f2c5ab755aea.png?h=120&w=120,https://www.tasteatlas.com/sea-basses,https://cdn.tasteatlas.com/images/ingredientgroups/ca39b54f17d2404c96cb10300928255d.png?h=120&w=120,https://www.tasteatlas.com/soles,https://cdn.tasteatlas.com/images/ingredientgroups/06e902dbea034ed2bdae8668ff536528.png?h=120&w=120,https://www.tasteatlas.com/Limes,https://cdn.tasteatlas.com/images/ingredientgroups/64e50731ad814053bbaa3e63f1006784.png?h=120&w=120,,,,
https://www.tasteatlas.com/lomo-saltado,https://cdn.tasteatlas.com//Images/Dishes/9bdbd996c9354b65b855a9d0f6f0fdfa.jpg?mw=660,2,Beef Dish,https://www.tasteatlas.com/beef-dishes,Lomo saltado,4.3,Best in   (Lima District),Tanta,https://www.tasteatlas.com/Tanta-thailand,"Lomo saltado is a traditional Peruvian dish consisting of stir-fried marinated slices of sirloin or beef tenderloin, onions, yellow Peruvian chilis, and tomatoes. The dish is typically served with French fries and rice on the side, and can be foun...",https://www.tasteatlas.com/lomo-saltado/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/pollo-a-la-brasa,https://cdn.tasteatlas.com//Images/Dishes/f785d68dec86440f84fe510a351b5830.jpg?mw=660,3,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Pollo a la brasa,4.5,Best in   (Cusco),Los Toldos Chicken,https://www.tasteatlas.com/los-toldos-chicken,"Pollo a la brasa is a popular Peruvian dish consisting of crunchy and juicy charcoal-grilled chicken that is traditionally served with French fries and salads. Today, it is one of the most consumed meals in Peru, so much that 27 million Peruvians ...",https://www.tasteatlas.com/pollo-a-la-brasa/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/rosemary,https://cdn.tasteatlas.com/images/ingredientgroups/33093313b121454bb59b20c095fdb2e7.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,,,,
https://www.tasteatlas.com/ceviche-mixto,https://cdn.tasteatlas.com//images/dishes/f37e6e511b8f4ecd9db7fb9d73330211.jpg?mw=660,4,Seafood,https://www.tasteatlas.com/Seafood,Ceviche mixto,4.6,Best in   (Lima District),Chez Wong,https://www.tasteatlas.com/ChezWong,"Ceviche mixto is a classic Peruvian appetizer that differentiates itself from other types of ceviche by the addition of various seafood ingredients to regularly used fish. Those include shrimp, squid, octopus, clams, or scallops. A few mussels or ...",https://www.tasteatlas.com/ceviche-mixto/wheretoeat,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,,,,
https://www.tasteatlas.com/butifarra,https://cdn.tasteatlas.com//images/dishes/250e61f71d70418b999fda0a8f6fb565.jpg?mw=660,5,Sandwich,https://www.tasteatlas.com/sandwiches,Butifarra,4.3,Best in   (Lima District),Restaurante Bar Cordano,https://www.tasteatlas.com/restaurante-bar-cordano,"Butifarra is the essential Peruvian sandwich that originally consisted of a crusty white bun () filled with jamón del país (garlic-infused peppery ham), salsa criolla, lettuce, radishes, and chili. Over time, some ingr...",https://www.tasteatlas.com/butifarra/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/lima,Lima,roseta,
https://www.tasteatlas.com/jalea,https://cdn.tasteatlas.com//Images/Dishes/96447662a52745afb0eca6b528e5529a.jpg?mw=660,6,Seafood,https://www.tasteatlas.com/Seafood,Jalea,4.4,Best in   (Barranco),Isolina Taberna Peruana,https://www.tasteatlas.com/isolina-taberna-peruana,"Peruvian jalea is a seafood dish of lightly breaded and deep-fried fish - most often tuna, halibut, cod, or striped bass - and other mixed seafood like octopus, squid, shrimps, and scallops. It is traditionally served with thinly sliced and fried ...",https://www.tasteatlas.com/jalea/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/arroz-chaufa,https://cdn.tasteatlas.com//images/dishes/a6a2596c26dc476596e4aa787c88eb66.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz chaufa,4.5,Best in   (Santiago de Surco),Chifa San Joy Lao,https://www.tasteatlas.com/chifa-san-joy-lao,"Arroz chaufa is a popular Peruvian dish with a great influence of Chinese cuisine. It consists of a combination of fried rice, meats, vegetables, and fruits. Most commonly, rice is fried with shredded chicken, salami, garlic, ginger, slivered almo...",https://www.tasteatlas.com/arroz-chaufa/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/anticucho,https://cdn.tasteatlas.com//Images/Dishes/92c74a79c13f491ab5832012aa64ffba.jpg?mw=660,8,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Anticucho,4.4,Best in   (Miraflores),Anticuchos de la Tia Grimanesa,https://www.tasteatlas.com/AnticuchosDeLaTiaGrimanesa,"Anticucho is a meat dish consisting of small pieces of skewered and grilled meat, the most popular of them made with beef heart, called . Peruvian in origin, the dish quickly gained popularity throughout South ...",https://www.tasteatlas.com/anticucho/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/red-wine-vinegars,https://cdn.tasteatlas.com/images/ingredientgroups/cdf728d281da4e4dafb9fd83fc992024.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,,,,,anticuchos de corazón,
https://www.tasteatlas.com/tiradito,https://cdn.tasteatlas.com//images/dishes/a430dcfb813f4401974969f714150959.jpg?mw=660,9,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Tiradito,4.6,Best in   (Miraflores),El Mercado,https://www.tasteatlas.com/ElMercado,"Tiradito is a traditional Peruvian dish consisting of thinly sliced, well-chilled raw fish, chopped vegetables, and coriander, all drizzled with lemon and lime juices right before consumption, so the fish stays raw, unlike , where ...",https://www.tasteatlas.com/tiradito/wheretoeat,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/aji-amarillo,https://cdn.tasteatlas.com/images/dishes/14461fb5d18242a4993c751bd132d2c6.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,,ceviche,
https://www.tasteatlas.com/arroz-con-camarones,https://cdn.tasteatlas.com//images/dishes/fb649b2c70774de2bc7f7e1a6379ef3b.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz con camarones,4.3,Best in   (Miraflores),La Mar Cebichería,https://www.tasteatlas.com/LaMarCebicheria,"Arroz con camarones is a dish that is popular throughout Latin America, especially in Peru and Mexico. It consists of rice that is cooked in a flavorful shrimp broth, combined with shrimp, peppers, tomatoes, and onions. The dish is usually seasone...",https://www.tasteatlas.com/arroz-con-camarones/wheretoeat,,,,,,,,,,,,,,,,
