search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__link href 2,mini-ingredients__link href 3,mini-ingredients__link href 4,mini-ingredients__link href 5,mini-ingredients__link href 6,item-location href,item-location,mini-ingredients__image src,mini-ingredients__image src 2,mini-ingredients__image src 3,mini-ingredients__image src 4,mini-ingredients__image src 5,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/pancit,https://cdn.tasteatlas.com//images/dishes/13c1e096414d4f2cbd996ce3e67e8e7e.jpg?mw=660,1,Noodle Dish,https://www.tasteatlas.com/Noodles,Pancit,4.1,Best in   (Malabon),Nanay's Pancit Malabon,https://www.tasteatlas.com/NanaysPancitMalabon,"Pancit is a staple Filipino dish found at numerous feasts and celebrations, consisting of stir-fried noodles with meat and vegetables such as chicken, pork, shrimp, celery, carrots, onions, garlic, and cabbage. The dish has Chinese origins, and th...",https://www.tasteatlas.com/pancit/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/lechon,https://cdn.tasteatlas.com//Images/Dishes/5eb9df1828d84079a850ebe462e28121.jpg?mw=660,2,Pork Dish,https://www.tasteatlas.com/pork-dishes,Lechon,4.2,Best in   (Makati),Mesa Filipino Moderne,https://www.tasteatlas.com/MesaFilipinoModerne,"Lechon, derived from a Spanish word for  is one of the most popular dishes in the Philippines. The slowly-roasted suckling pig is usually stuffed with lemongrass, tamarind, garlic, onions, and chives, and is then roast...",https://www.tasteatlas.com/lechon/wheretoeat,roasted suckling pig,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/garlic,https://www.tasteatlas.com/lemongrass,https://www.tasteatlas.com/bay-leaves,https://www.tasteatlas.com/Salt,,,,,,,,,
https://www.tasteatlas.com/sisig,https://cdn.tasteatlas.com//Images/Dishes/b245747cb2fd4480bf218f30caba53b5.jpg?mw=660,3,Pork Dish,https://www.tasteatlas.com/pork-dishes,Sisig,4.3,Best in   (Angeles),Aling Lucing's Sisig,https://www.tasteatlas.com/AlingLucingsSisig,"Sisig is a popular Filipino dish made by boiling, chopping, and grilling parts of pig's head such as ears, cheeks, and jowls, which are then seasoned with salt, pepper, and vinegar. The meat is combined with fried onions, sili, and chicken livers,...",https://www.tasteatlas.com/sisig/wheretoeat,,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/organ-meats,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Hot-peppers,https://www.tasteatlas.com/soy-sauce,https://www.tasteatlas.com/angeles,Angeles,,,,,,,
https://www.tasteatlas.com/adobo,https://cdn.tasteatlas.com//images/dishes/d5341266285b41e3bc49f9b18795adf9.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Adobo,4.3,Best in   (Manila),Cafe Adriatico,https://www.tasteatlas.com/CafeAdriatico,"Adobo is the closest thing to a national dish in the Philippines, consisting of seared and browned chunks of meat, seafood, fruit, or vegetables mixed with white vinegar or soy sauce (or both), bay leaves, garlic, salt, sugar, oil, and black peppe...",https://www.tasteatlas.com/adobo/wheretoeat,,https://www.tasteatlas.com/Chicken,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/squids,https://www.tasteatlas.com/Vinegar,https://www.tasteatlas.com/soy-sauce,https://www.tasteatlas.com/bay-leaves,,,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/1233d683cc3a467fb0a06d38a4f2aa77.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,
https://www.tasteatlas.com/lumpia,https://cdn.tasteatlas.com//Images/Dishes/af229c4fe92b40268cee8710cdf6a50e.jpg?mw=660,5,Snack,https://www.tasteatlas.com/Snacks,Lumpia,4.5,Best in   (Manila),The Aristocrat,https://www.tasteatlas.com/TheAristocrat,"Lumpia is a simple and flavourful Filipino finger food that evolved from the Chinese spring rolls. Each lumpia consists of a rice or flour dough wrap that is stuffed with meat (most often ground pork or beef) and vegetables such as cabbage, carrot...",https://www.tasteatlas.com/lumpia/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kare-kare,https://cdn.tasteatlas.com//Images/Dishes/ebdf34b526f041288e07757db384073d.jpg?mw=660,6,Stew,https://www.tasteatlas.com/Stews,Kare-kare,4.1,Best in   (Antipolo),Marison's,https://www.tasteatlas.com/Marisons,"Kare-kare is a traditional Filipino stew consisting of meat such as tripe, pork leg, ox tail, goat or chicken, vegetables, and a thick, savory peanut sauce flavored with annatto seeds. Shrimp paste () is often served on the side in...",https://www.tasteatlas.com/kare-kare/wheretoeat,bagoong,https://www.tasteatlas.com/Chicken,https://www.tasteatlas.com/Goat,https://www.tasteatlas.com/oxtails,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/Peanut-butter,https://www.tasteatlas.com/Peanuts,https://www.tasteatlas.com/province-of-pampanga,Province of Pampanga,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/e4205d6fc2c749649c1c19bd914a2c7f.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/6f7f150e3aae4b67b9b4102db715cba9.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,
https://www.tasteatlas.com/kaldereta,https://cdn.tasteatlas.com//Images/Dishes/de9021814faf4eea9c38f62d19e09c8a.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Kaldereta,4.5,Best in   (Makati),Sentro 1771,https://www.tasteatlas.com/Sentro1771,"Kaldereta is a Filipino meat stew that is traditionally served with a side of white rice. Although any kind of meat can be used in the stew, beef and goat are the preferred options. The dish is influenced by three centuries of Spanish colonization...",https://www.tasteatlas.com/kaldereta/wheretoeat,,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Goat,https://www.tasteatlas.com/tomato-sauce,https://www.tasteatlas.com/Potatoes,https://www.tasteatlas.com/Carrots,https://www.tasteatlas.com/Onions,,,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,
https://www.tasteatlas.com/sinigang,https://cdn.tasteatlas.com//images/dishes/e98d832284c14b9d8308b88d7438be71.jpg?mw=660,8,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Sinigang,4.6,Best in   (Pasig),Locavore,https://www.tasteatlas.com/Locavore,"Sinigang is a sour Filipino soup consisting of  (fruits of the tamarind tree), water spinach, green pepper, cabbage, broccoli, eggplant, diced tomatoes, sliced onions, ginger, green beans, water, and salt. The basic broth usually ...",https://www.tasteatlas.com/sinigang/wheretoeat,sampalok,https://www.tasteatlas.com/guava,https://www.tasteatlas.com/tamarind,https://www.tasteatlas.com/radishes,https://www.tasteatlas.com/Tomatoes,https://www.tasteatlas.com/Eggplants,https://www.tasteatlas.com/water-spinach,,,https://cdn.tasteatlas.com/images/dishes/7034dcd9fe0944089416df9392c1f514.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/b5fc9e4af2ca4f48a844773d630190f8.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/f1661d678aaa4e279d73a8ab89bb91d1.png?h=120&w=120,
https://www.tasteatlas.com/crispy-pata,https://cdn.tasteatlas.com//Images/Dishes/80751d6a223a4a26bbbaaf0f44864c45.jpg?mw=660,9,Pork Dish,https://www.tasteatlas.com/pork-dishes,Crispy Pata,4.0,Best in   (Quezon City),Livestock Restaurant Bar,https://www.tasteatlas.com/LivestockRestaurantBar,Crispy pata is one of the most common Filipino dishes served on special occasions. It consists of a whole pork leg that is cooked until tender. It is then dried and deep-fried until golden brown and crispy. The leg is usually cooked alongside vari...,https://www.tasteatlas.com/crispy-pata/wheretoeat,,https://www.tasteatlas.com/Pork,https://www.tasteatlas.com/bay-leaves,https://www.tasteatlas.com/peppercorns,https://www.tasteatlas.com/Salt,,,,,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/208d4c78a6af42c8b06206069f6b1f81.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,
https://www.tasteatlas.com/torta,https://cdn.tasteatlas.com//Images/Dishes/737def54c31548178020234326cf5b44.jpg?mw=660,10,Egg Dish,https://www.tasteatlas.com/egg-dishes,Torta,3.9,Best in   (Makati),Sarsa Kitchen + Bar,https://www.tasteatlas.com/SarsaKitchenBar,"Torta is a popular Filipino dish consisting of an omelet filled with ground meat and vegetables such as diced potatoes. Savory and extremely satisfying, the dish is usually served as a main course, preferably over rice. It is recommended to pair t...",https://www.tasteatlas.com/torta/wheretoeat,,https://www.tasteatlas.com/Eggs,https://www.tasteatlas.com/Beef,https://www.tasteatlas.com/Onions,https://www.tasteatlas.com/Potatoes,https://www.tasteatlas.com/Eggplants,https://www.tasteatlas.com/Tomatoes,,,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,
