search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/pierogi,https://cdn.tasteatlas.com//Images/Dishes/11be2ebc03d342df8ede1510e1057ecc.jpg?mw=660,1,Dumplings,https://www.tasteatlas.com/Dumplings,Pierogi,4.3,Best in   (Poznań),Na Winklu,https://www.tasteatlas.com/na-winklu,"These stuffed dumplings derived their name from the Russian word for pie: . This former peasant food evolved into one of Poland's favorite dishes. Every family has their own version of pierogi filling, and the ingredients that can be...",pirog,https://www.tasteatlas.com/pierogi/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/fresh-cheeses,https://cdn.tasteatlas.com/images/ingredientgroups/59b7f9c3624d4c5aa041912fbc728f5b.png?h=120&w=120,https://www.tasteatlas.com/slovenska-bryndza,https://cdn.tasteatlas.com/images/dishes/3a89f3575bde430c8dd459af3367f9b5.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,,,,
https://www.tasteatlas.com/kielbasa,https://cdn.tasteatlas.com//Images/Dishes/12f29a4c985a42ba976fa02977b5699d.jpg?mw=660,2,Sausage,https://www.tasteatlas.com/Sausages,Kielbasa,4.2,Best in   (Kraków),Kielbaski Pod Hala Targowa,https://www.tasteatlas.com/kielbaski-pod-hala-targowa,"Kielbasa is a general term for a group of Polish sausages, and the name can be literally translated as a . The sausages are typically made with pork meat, salt, and various spices and herbs such as pepper, garlic, and marjoram. The...",sausage,https://www.tasteatlas.com/kielbasa/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/golabki,https://cdn.tasteatlas.com//Images/Dishes/79d86488ac36487e949b294921baf72d.jpg?mw=660,3,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Gołąbki,4.1,Best in   (Warsaw),Mała Polana Smaków,https://www.tasteatlas.com/MalaPolanaSmakow,Gołąbki is a traditional Polish dish consisting of cabbage leaves stuffed with a combination of minced meat and rice. The whole concoction is then rolled and cooked in a mushroom or tomato-based sauce. Gołąbki means  in Poli...,little pigeons,https://www.tasteatlas.com/golabki/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sernik,https://cdn.tasteatlas.com//Images/Dishes/63c5320b6ff94d81abfccc78f70d2dd5.jpg?mw=660,4,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Sernik,4.4,Best in   (Poznań),La Ruina & Raj,https://www.tasteatlas.com/la-ruina--raj,"Sernik is a cheesecake from Poland, stemming from old Christian and Jewish traditions. It is made with eggs, sugar, and  - a type of curd cheese that has been used in desserts for hundreds of years. It is believed that sernik...",twaróg,https://www.tasteatlas.com/sernik/wheretoeat,https://www.tasteatlas.com/twarog,https://cdn.tasteatlas.com/images/dishes/dbf4f4a958204437bfe6fc274ce07820.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,,,,
https://www.tasteatlas.com/gulasz,https://cdn.tasteatlas.com//images/dishes/b308b38e721443a996025b5b82bc399d.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Gulasz,4.1,Best in   (Kraków),Kuchnia u Doroty,https://www.tasteatlas.com/KuchniaUDoroty,"This traditional Polish variety of the acclaimed Hungarian goulash is prepared with beef or pork that is slowly simmered alongside onions in a rich, paprika-spiced broth. It is often complemented by various vegetables and seasonings, resulting in ...",,https://www.tasteatlas.com/gulasz/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,,
https://www.tasteatlas.com/babka,https://cdn.tasteatlas.com//Images/Dishes/338035413a404f60873819e4c5b44865.jpg?mw=660,6,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Babka,4.0,,,,"Babka is a sweet, rich bread that is traditionally served on Easter Sunday in Poland and other Central and Eastern European countries. The cake usually contains raisins and rum for flavoring, and it is glazed with a fruit-based icing. The name of ...",,https://www.tasteatlas.com/babka/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,,,,
https://www.tasteatlas.com/rosol,https://cdn.tasteatlas.com//Images/Dishes/1600020ab468401d9a24db1d447ce0d0.jpg?mw=660,7,Meat Soup,https://www.tasteatlas.com/meat-soups,Rosół,4.1,Best in   (Poznań),Pastela,https://www.tasteatlas.com/pastela,"Comforting rosół is a traditional Polish meat soup. Even though the chicken version, called , is the most famous variety–beef, veal, turkey, or mixed meat broths are also quite frequently prepared throughou...",rosół z kury,https://www.tasteatlas.com/rosol/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,,,,
https://www.tasteatlas.com/kopytka,https://cdn.tasteatlas.com//Images/Dishes/e183f1b380a640cea91755d4b76574b4.jpg?mw=660,8,Dumplings,https://www.tasteatlas.com/Dumplings,Kopytka,4.4,Best in   (Warsaw),Kameralna,https://www.tasteatlas.com/kameralna,Kopytka are small potato dumplings from Poland that are similar in taste and appearance to the Italian . They are made with boiled and mashed potatoes with the addition of flour. The name of the dish can be translated to,gnocchi,https://www.tasteatlas.com/kopytka/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/surowka,https://cdn.tasteatlas.com//Images/Dishes/8a6dd2297b2545aca43e570fcea5842b.jpg?mw=660,9,Salad,https://www.tasteatlas.com/Salads,Surówka,3.9,,,,"Surówka is a traditional salad from Poland consisting of fresh fruit and vegetables. It is often dressed with olive oil, salt, pepper, lemon juice, and a bit of sugar, or with a creamy dressing consisting of sour cream, yogurt, and mayonnai...",,https://www.tasteatlas.com/surowka/wheretoeat,https://www.tasteatlas.com/Apples,https://cdn.tasteatlas.com/images/ingredientgroups/3cf0f707ed454ef7910b788cdf8243ef.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/mayonnaise,https://cdn.tasteatlas.com/images/dishes/1839d40499514008ba765c0c1815f7e2.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,,,,
https://www.tasteatlas.com/zapiekanka,https://cdn.tasteatlas.com//Images/Dishes/e3cc79610b4743499ffafc5a486fe94b.jpg?mw=660,10,Snack,https://www.tasteatlas.com/Snacks,Zapiekanka,4.2,Best in   (Kraków),Endzior,https://www.tasteatlas.com/Endzior,"One of Poland's favorite fast foods is this unique open-faced sandwich. The scrumptious Polish zapiekanka is made with a plain white baguette cut lengthwise, topped with a variety of tasty ingredients and a generous heaping of grated semi-hard che...",,https://www.tasteatlas.com/zapiekanka/wheretoeat,https://www.tasteatlas.com/baguette,https://cdn.tasteatlas.com/images/dishes/5c7420c35b604d558e477833585dd37d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/edam-holland,https://cdn.tasteatlas.com/images/dishes/a670245fa02e4bc08b9dea9a5acc1a13.png?h=120&w=120,https://www.tasteatlas.com/gouda-holland,https://cdn.tasteatlas.com/images/dishes/dd6eeafc3198480c8988d211b8e3a301.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,
