search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/petiscos,https://cdn.tasteatlas.com//images/dishes/28e58450b3e74c559f57e198b076f596.jpg?mw=660,1,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Petiscos,4.4,Best in   (Setúbal),Casa Santiago - Rei do Choco Frito,https://www.tasteatlas.com/casa-santiago---rei-do-choco-frito,"Petiscos are the lesser-known Portuguese relatives of tapas, essentially small versions of large plates. The practice of eating petiscos originates from the Iberian Peninsula. They can be found in taverns or cafés called , or...",tascas,READ MORE,https://www.tasteatlas.com/petiscos/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/feijoada-a-portuguesa,https://cdn.tasteatlas.com//images/dishes/8f9426e1cdf9419fafc796f757616678.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Feijoada à portuguesa,4.3,Best in   (Coimbra),Zé Manel Dos Ossos,https://www.tasteatlas.com/ZeManelDosOssos,"Feijoada is a hearty bean stew that appears in several local and international varieties. Although it is often assumed that feijoada originated in Brazil, where it is considered a national dish, it was primarily made in Portugal before it was intr...",,READ MORE,https://www.tasteatlas.com/feijoada-a-portuguesa/wheretoeat,https://www.tasteatlas.com/kidney-beans,https://cdn.tasteatlas.com/images/ingredientgroups/3669e837911f49f58012b43a55ae3f15.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/blood-sausages,https://cdn.tasteatlas.com/images/dishgroups/872dfd49f04347b68adbd1f73878e222.png?h=120&w=120,https://www.tasteatlas.com/farinheira,https://cdn.tasteatlas.com/images/dishes/61d62c51981a4ff984a7a3e998cafecd.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/tomato-pastes,https://cdn.tasteatlas.com/images/ingredientgroups/4284624f3cde451e9683452b5ccf0f21.png?h=120&w=120,,,,
https://www.tasteatlas.com/bacalhau,https://cdn.tasteatlas.com//Images/Dishes/e416e78b856848babcfc5b28b1ececca.jpg?mw=660,3,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Bacalhau,4.3,Best in   (Lisbon),Laurentina - o Rei do Bacalhau,https://www.tasteatlas.com/LaurentinaOReiDoBacalhau,"Cod-based dishes are a Portuguese staple, and it is often suggested that there are more than one thousand recipes in which dried and salted cod is the star ingredient. This includes simple, everyday dishes, as well as more elaborate versions that ...",,READ MORE,https://www.tasteatlas.com/bacalhau/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/migas-portugal,https://cdn.tasteatlas.com//Images/Dishes/23632b0686ef471ba3aa93626196f7b1.jpg?mw=660,4,Appetizer,https://www.tasteatlas.com/Appetizers,Migas,4.0,Best in   (Arraiolos),O Alpendre,https://www.tasteatlas.com/OAlpendre,"Migas is a traditional, ancient dish in Spanish and Portuguese cuisine. At its base, it is made from softened bread cooked in fat. Its name, , is literally translated to , referring to its key ingredient - breadcrumbs....",migas,READ MORE,https://www.tasteatlas.com/migas-portugal/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,,,
https://www.tasteatlas.com/pastel-de-nata,https://cdn.tasteatlas.com//Images/Dishes/735a85b93fa942c49e22f101cba3397e.jpg?mw=660,5,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Pastel de nata,4.7,Best in   (Lisbon),Manteigaria,https://www.tasteatlas.com/Manteigaria,"Pastel de nata is a traditional Portuguese egg custard tart that is popular throughout the world. It is believed that for the best result, the filling should not be too sweet and should not have flavors of lemon nor vanilla. Instead, the tarts sho...",,READ MORE,https://www.tasteatlas.com/pastel-de-nata/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/lisbon-district,https://cdn.tasteatlas.com/images/emblems/829338fbdd1c4cc9a34f896bb55d61c5.png,Lisbon District,
https://www.tasteatlas.com/francesinha,https://cdn.tasteatlas.com//Images/Dishes/020f09a7e82149e1a50a6ec9bc5b7f11.jpg?mw=660,6,Sandwich,https://www.tasteatlas.com/sandwiches,Francesinha,4.0,Best in   (Porto),Café Santiago,https://www.tasteatlas.com/CafeSantiago,"Traditionally associated with Porto, francesinha is a unique sandwich consisting of toasted bread, beef or pork, sausages, ham, and cheese, while the whole combination is then doused in a rich beer-infused tomato sauce. The sandwich has different ...",,READ MORE,https://www.tasteatlas.com/francesinha/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Sausages,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://www.tasteatlas.com/boiled-hams,https://cdn.tasteatlas.com/images/ingredientgroups/fb34b118929b46ddae86e0f84ab6d1d9.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/porto,https://cdn.tasteatlas.com/images/emblems/73e630efd8194ceb96bafed1cbafa15e.png,Porto,
https://www.tasteatlas.com/espetada,https://cdn.tasteatlas.com//Images/Dishes/fba5261c285c40ef97dfd7f527e8abae.jpg?mw=660,7,Beef Dish,https://www.tasteatlas.com/beef-dishes,Espetada,4.5,Best in   (Estreito de Câmara de Lobos),Santo António,https://www.tasteatlas.com/SantoAntonio,"Espetada is a traditional Portuguese dish and a specialty of the island of Madeira. It consists of big pieces of beef that are marinated in salt and garlic, then skewered on a bay leaf stick. The stick is placed over hot coals until the meat is pr...",,READ MORE,https://www.tasteatlas.com/espetada/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,https://www.tasteatlas.com/madeira,https://cdn.tasteatlas.com/Images/Emblems/4662bdcf693449a7ad01da8846c8b818.png,Madeira,
https://www.tasteatlas.com/acorda,https://cdn.tasteatlas.com//images/dishes/b4e93d1b36024d5381e309a3cfe8dc8b.jpg?mw=660,8,Bread Soup,https://www.tasteatlas.com/bread-soups,Açorda,4.1,Best in   (Lisbon),Pap'Açôrda,https://www.tasteatlas.com/Papacorda,"The Portuguese açorda is a popular bread soup appearing in numerous varieties throughout the country. Most açorda soups have a smooth and thick consistency and employ a variety of pounded herbs, garlic, olive oil, and boiling water t...",,READ MORE,https://www.tasteatlas.com/acorda/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,
https://www.tasteatlas.com/arroz-de-marisco,https://cdn.tasteatlas.com//images/dishes/1e27e2a7e28143d1915cee6e62023eb8.jpg?mw=660,9,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Arroz de marisco,4.2,Best in   (Lisbon),Uma Marisqueira,https://www.tasteatlas.com/UmaMarisqueira,"Arroz de marisco is a delicious Portuguese dish consisting of rice and various seafood ingredients. Unlike the popular Spanish , this Portuguese variety is not completely reduced and is often described as a thick rice stew. It can e...",paella,READ MORE,https://www.tasteatlas.com/arroz-de-marisco/wheretoeat,https://www.tasteatlas.com/Clams,https://cdn.tasteatlas.com/images/ingredientgroups/bbb8d8d5cd2f4034814913837a014a44.png?h=120&w=120,https://www.tasteatlas.com/mussels,https://cdn.tasteatlas.com/images/ingredientgroups/a050287a4d1149f5898090f628c216e8.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/squids,https://cdn.tasteatlas.com/images/ingredientgroups/1233d683cc3a467fb0a06d38a4f2aa77.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/leiria-district,https://cdn.tasteatlas.com/images/emblems/94688fc49191434181710f8744452a81.png,Leiria District,
https://www.tasteatlas.com/bolinhos-de-bacalhau,https://cdn.tasteatlas.com//images/dishes/9173bed5c82b4d7d9edffb159c7e618a.jpg?mw=660,10,Appetizer,https://www.tasteatlas.com/Appetizers,Bolinhos de bacalhau,4.2,Best in   (Lisbon),Casa Portuguesa do Pastel de Bacalhau,https://www.tasteatlas.com/casa-portuguesa-de-pastel-de-bacalhau,"Known as bolinhos de bacalhau in northern Portugal and  in the central and southern regions and Brazil, these crispy cod fritters are one of the most beloved Portuguese national dishes. They consist of dry salted...",pastéis de bacalhau,READ MORE,https://www.tasteatlas.com/bolinhos-de-bacalhau/wheretoeat,https://www.tasteatlas.com/cods,https://cdn.tasteatlas.com/images/ingredientgroups/50d034c867d14f909a90fd06b36740f4.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,
