search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2
https://www.tasteatlas.com/oka-ia,https://cdn.tasteatlas.com//images/dishes/792a6ec4417a4ce3b879ebc3ed2d10cb.jpg?mw=660,1,Salad,https://www.tasteatlas.com/Salads,Oka i'a,"Oka i'a is a Samoan dish consisting of raw fish, usually fresh tuna that is marinated in lemon juice and coconut cream, then served in chunks with onions. The combination of these ingredients makes for an extremely healthy, flavorful, and unique f...",https://www.tasteatlas.com/oka-ia/wheretoeat
https://www.tasteatlas.com/palusami,https://cdn.tasteatlas.com//images/dishes/c531b5727d5f40c28827daac56d53982.jpg?mw=660,2,Casserole,https://www.tasteatlas.com/casserole,Palusami,Palusami is a Samoan main dish prepared with taro leaves and onions in coconut milk. The combination of these ingredients is baked in a casserole dish until the taro leaves become wilted and the sauce becomes bubbly. The dish has a few variations ...,https://www.tasteatlas.com/palusami/wheretoeat
https://www.tasteatlas.com/panipopo,https://cdn.tasteatlas.com//images/dishes/30838a451fb54beb9bbeb1a0306a4afb.jpg?mw=660,3,Dessert,https://www.tasteatlas.com/Desserts,Panipopo,"Panipopo is the national dish of Samoa, a unique dessert consisting of buns baked in a sweet and sticky coconut cream sauce. The buns are typically served in shallow bowls spooned over with more sauce, accompanied by a hot beverage on the side, pr...",https://www.tasteatlas.com/panipopo/wheretoeat
https://www.tasteatlas.com/sapasui,https://cdn.tasteatlas.com//images/dishes/608f8a0c07bc45309eb1d36c8c32cf0e.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Sapasui,"Sapasui or  is a Chinese import that has, over time, become a Samoan staple with numerous variations. Inexpensive, delicious, and easy to prepare, the dish consists of vermicelli noodles, soy sauce, sugar, garlic, ginger, ...",https://www.tasteatlas.com/sapasui/wheretoeat
https://www.tasteatlas.com/samoan-poi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,5,Pudding,https://www.tasteatlas.com/puddings,Samoan Poi,"Unlike its Hawaiian counterpart which is made with taro root, Samoan poi is a refreshing dessert made with mashed ripe bananas, lemon zest, coconut juice, and vanilla for flavoring. It is recommended to consume the dish within a few hours and to s...",https://www.tasteatlas.com/samoan-poi/wheretoeat
https://www.tasteatlas.com/pisua,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,6,Dessert,https://www.tasteatlas.com/Desserts,Pisua,"Pisua is a flavorful Samoan dessert consisting of tapioca pearls drenched in a creamy sauce made with coconut milk and caramelized sugar. This dish is always served chilled, either as a dessert or a sweet afternoon snack. It is traditionally serve...",https://www.tasteatlas.com/pisua/wheretoeat
https://www.tasteatlas.com/kale-moa,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Stew,https://www.tasteatlas.com/Stews,Kale moa,"Kale moa is a Samoan dish that is characterized by a balance of spicy, savory, and sweet flavors. This light chicken curry is made with chicken pieces, coconut milk, flour, water, oil, spices such as curry powder, ginger, garlic, and onions, along...",https://www.tasteatlas.com/kale-moa/wheretoeat
https://www.tasteatlas.com/panikeke,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Pancake,https://www.tasteatlas.com/pancakes,Panikeke,"Panikeke are Samoan version of pancakes, characterized by their round shape, similar to small golden balls. They consist of flour, sugar, salt, eggs, milk, and baking powder. The pancakes are traditionally served for breakfast, accompanied by frui...",https://www.tasteatlas.com/panikeke/wheretoeat
https://www.tasteatlas.com/masi-samoa,https://cdn.tasteatlas.com//images/dishes/6e646657d3824c559ff9353ff1bd6fbf.jpg?mw=660,9,Cookie,https://www.tasteatlas.com/Cookies,Masi Samoa,"Although they might look a bit bland and tasteless, masi samoa or Samoan coconut cookies are filled with flavors, especially those of butter and coconut. These flaky shortbread cookies consist of eggs, coconut milk, flour, baking powder, butter, v...",https://www.tasteatlas.com/masi-samoa/wheretoeat
https://www.tasteatlas.com/suafai,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,10,Dessert,https://www.tasteatlas.com/Desserts,Suafa'i,"Suafa'i is an unusual and versatile Samoan dish that doesn't look visually appealing at all, but it packs some serious flavor. Essentially, it is a banana soup that also features ingredients such as tapioca pearls, coconut milk, and sugar, all boi...",https://www.tasteatlas.com/suafai/wheretoeat
