search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,score-text--na
https://www.tasteatlas.com/pljeskavica,https://cdn.tasteatlas.com//Images/Dishes/9a74b54fa5c043aebaeb445898a1beb1.jpg?mw=660,1,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Pljeskavica,4.4,Best in   (Belgrade),Loki,https://www.tasteatlas.com/loki,"Pljeskavica, a Serbian national dish also known as the , is a flat, round patty made from minced beef, pork, and veal, or a combination of the three, with the addition of selected seasonings such as paprika, salt and pepp...",Serbian hamburger,https://www.tasteatlas.com/pljeskavica/wheretoeat,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,,,
https://www.tasteatlas.com/pasulj,https://cdn.tasteatlas.com//Images/Dishes/09b8aefc81a44bb4b99611ad6579bf5a.jpg?mw=660,2,Soup,https://www.tasteatlas.com/Soups,Pasulj,4.3,Best in   (Novi Sad),Plava Frajla,https://www.tasteatlas.com/plava-frajla,"Pasulj is a popular Serbian bean soup that is traditionally prepared with white beans. The beans are usually simmered with sausage, bacon, or ham, and vegetables such as onions and carrots. Paprika, bay leaves, and garlic are commonly used as seas...",,https://www.tasteatlas.com/pasulj/wheretoeat,https://www.tasteatlas.com/white-beans,https://cdn.tasteatlas.com/images/ingredientgroups/dfc272699a8b491ebccf06d290c0b944.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Sausages,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,,
https://www.tasteatlas.com/gibanica,https://cdn.tasteatlas.com//Images/Dishes/c1cca3fc09504a7097719ea8869abe56.jpg?mw=660,3,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Gibanica,4.2,Best in   (Belgrade),Dokolica Bistro,https://www.tasteatlas.com/DokolicaBistro,"Although it is a common sight in countries such as Croatia, Slovenia, and Macedonia, gibanica is mainly associated with Serbia. It is a traditional pie-like dish that combines phyllo dough (occasionally replaced with yeast dough) with a creamy com...",,https://www.tasteatlas.com/gibanica/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/ajvar-serbia,https://cdn.tasteatlas.com//Images/Dishes/10967d0363a14e9791b730051f043630.jpg?mw=660,4,Relish,https://www.tasteatlas.com/relishes,Ajvar,4.5,Best in   (Belgrade),Ambar Belgrade,https://www.tasteatlas.com/ambar-belgrade,"This traditional peppers-and-eggplant relish is one of the most popular condiments all over the Balkans and Eastern Europe. The most prized type of ajvar is often the Macedonian one, made only with red peppers. Though its origins are often dispute...",,https://www.tasteatlas.com/ajvar-serbia/wheretoeat,https://www.tasteatlas.com/ajvarka,https://cdn.tasteatlas.com/images/dishes/b1c5b75f0d6647bba9524724df04f117.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/sunflower-oils,https://cdn.tasteatlas.com/images/ingredientgroups/129a92222faa455392f43cc1a8957fcc.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,
https://www.tasteatlas.com/makovnjaca-serbia,https://cdn.tasteatlas.com//images/dishes/3417b26bde8040c7990f2a20474ec16a.jpg?mw=660,5,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Makovnjača,4.0,Best in   (Belgrade),Trpković Bakery,https://www.tasteatlas.com/trpkovic-bakery,"Makowiec is the Polish name for poppy seed roll, a traditional cake where poppy seed paste is placed between layers of dough. Raisins, almonds, honey, and orange peel can be added to the cake in order to enhance its flavors. Ideally, makowiec shou...",,https://www.tasteatlas.com/makovnjaca-serbia/wheretoeat,https://www.tasteatlas.com/opium-poppies,https://cdn.tasteatlas.com/images/ingredientgroups/3981dfd084bb46799d7220bab126372c.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,
https://www.tasteatlas.com/slatko,https://cdn.tasteatlas.com//images/dishes/f7d69e0f51684f11bc0bb605fafb37d8.jpg?mw=660,6,Dessert,https://www.tasteatlas.com/Desserts,Slatko,3.6,Best in   (Kraljevo),Muzej Slatkog (Kuća Cvetića),https://www.tasteatlas.com/muzej-slatkog,"Slatko is a Serbian fruit preserve that consists of distinguishable, usually whole pieces of fruit that are doused in a thick, sugary syrup. It can be prepared with various types of fruit such as quinces, watermelon rinds, cherries, raspberries, s...",,https://www.tasteatlas.com/slatko/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/prebranac,https://cdn.tasteatlas.com//Images/Dishes/0c2228668760434f92bcbfea2c79a25f.jpg?mw=660,7,Casserole,https://www.tasteatlas.com/casserole,Prebranac,4.4,Best in   (Belgrade),Zavičaj,https://www.tasteatlas.com/zavicaj,"Prebranac is a Serbian dish consisting of beans baked with onions and Hungarian powdered paprika, along with oil and water. The final result shouldn't be soupy, but slightly dry, with onion-coated beans developing a creamy texture. Originally, pre...",,https://www.tasteatlas.com/prebranac/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sarma-serbia,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,8,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sarma,4.4,Best in   (Belgrade),Klub književnika,https://www.tasteatlas.com/klub-knjizevnika,"One of the staples of traditional Turkish cuisine, sarma consists of a filling that is snugly surrounded by leaves or leafy vegetables. There are numerous versions of this dish but the mixture typically combines ingredients such as minced meat, ri...",,https://www.tasteatlas.com/sarma-serbia/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/chard,https://cdn.tasteatlas.com/images/ingredientgroups/189e8669841a4f9c9c56f5b8498cbcd1.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,,,
https://www.tasteatlas.com/proja,https://cdn.tasteatlas.com//images/dishes/383388ee062c4094a7d240b9224e37e3.jpg?mw=660,9,Bread,https://www.tasteatlas.com/Breads,Proja / Projara,4.2,,,,"Proja is a traditional Serbian cornbread made with a combination of cornmeal, salt, and water. As soon as milk, beaten eggs, and butter or oil are added to this peasant dish, it's no longer a cornbread but a savory pie called ,",projara,https://www.tasteatlas.com/proja/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/krofne,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,10,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Krofne,4.2,,,,"Krapfen was probably the first European-style doughnut to appear, followed by similar varieties in other countries. These pastries are traditionally prepared with leavened dough that is deep-fried until golden and crispy on the outside, while they...",,https://www.tasteatlas.com/krofne/wheretoeat,,,,,,,,,,,,,,,
