search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,search-results__item-description 2
https://www.tasteatlas.com/ladob,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,1,Dessert,https://www.tasteatlas.com/Desserts,Ladob,"Ladob is a Seychellois dish based on plantains, breadfruit, and cassava. It can be prepared in sweet or savory versions. The dessert version is prepared by boiling plantains or cassava in coconut milk, along with nutmeg, vanilla, and sugar as flav...",https://www.tasteatlas.com/ladob/wheretoeat,
https://www.tasteatlas.com/civet-de-chauve-souris,https://cdn.tasteatlas.com//images/dishes/9ee915d042b345dfb6e848955d57eca4.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Civet de chauve souris,"One of the most unusual and unique Seychellois specialties, civet de chauve souris consists of curried fruit bat. This bat curry is usually prepared with chunks of skinned fruit bat that are marinated in vinegar and red wine, and then cooked with ...",https://www.tasteatlas.com/civet-de-chauve-souris/wheretoeat,
https://www.tasteatlas.com/pwason-griye,https://cdn.tasteatlas.com//images/dishes/6db111af50ab49b7b5dd5dfb20060e08.jpg?mw=660,3,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Pwason griye,"Pwason griye or  is among the most popular fish dishes on the Seychelles Islands. It is prepared with fresh fish, often a red snapper or rabbit fish, flavored with crushed chili, garlic, and ginger. The fish is grilled in its ...",https://www.tasteatlas.com/pwason-griye/wheretoeat,grilled fish
https://www.tasteatlas.com/kari-koko-zourit,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,4,Stew,https://www.tasteatlas.com/Stews,Kari koko zourit,"Kari koko zourit is a variety of Seychellois curry featuring octopus cooked in coconut milk. It typically comprises of octopus cut into small pieces, which are first boiled, and then cooked with coconut milk. The concoction is flavored with variou...",https://www.tasteatlas.com/kari-koko-zourit/wheretoeat,
https://www.tasteatlas.com/pwason-sale,https://cdn.tasteatlas.com//images/dishes/f1b2670fe64e409892cad492ada65633.jpg?mw=660,5,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Pwason sale,"Pwason sale or  is a traditional dish on the Seychelles Islands dating back to the times when food preservation involved basic means such as pickling and salting. Freshly caught fish is preserved through salting and sun-drying,...",https://www.tasteatlas.com/pwason-sale/wheretoeat,salted fish
https://www.tasteatlas.com/salade-de-palmiste,https://cdn.tasteatlas.com//images/dishes/2ee6ee588f8f4f2d98023ee894740d07.jpg?mw=660,6,Salad,https://www.tasteatlas.com/Salads,Salade de palmiste,"Salade de palmiste is a Seychellois culinary delicacy that features heart of palms as the main ingredient. Apart from this gourmet item, other typical ingredients in the salad include green mangos, coconuts, avocados, green tomatoes, red bell pepp...",https://www.tasteatlas.com/salade-de-palmiste/wheretoeat,
https://www.tasteatlas.com/kat-kat-banana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,7,Porridge,https://www.tasteatlas.com/Porridge,Kat-kat banana,"Kat-kat banana is a traditional Seychellois specialty that features green bananas and fish cooked in coconut milk. It is usually prepared with plantains, which are first boiled with fresh coconut milk, then mashed and combined with cooked, shredde...",https://www.tasteatlas.com/kat-kat-banana/wheretoeat,
https://www.tasteatlas.com/chatini-requin,https://cdn.tasteatlas.com//images/dishes/f375c88107fb40d58c2f4bdcc3d4fa1e.jpg?mw=660,8,Side Dish,https://www.tasteatlas.com/Sides,Chatini requin,"Boiled and mashed shark meat, lime juice, bilimbi fruit, and fried onions are combined with a variety of spices (including turmeric) to create a local delicacy known as chatini requin or . The shark chutney is usually served c...",https://www.tasteatlas.com/chatini-requin/wheretoeat,satini rekin
https://www.tasteatlas.com/carotte-banana,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Snack,https://www.tasteatlas.com/Snacks,Carotte banana,"Carotte banana is a Seychellois snack comprised of a banana that is flavored with honey and vanilla, and then enclosed within banana leaves. This sweet treat is commonly consumed in the morning or in the afternoon, usually with a cup of tea on the...",https://www.tasteatlas.com/carotte-banana/wheretoeat,
https://www.tasteatlas.com/bouillon-brede,https://cdn.tasteatlas.com//images/dishes/0dbf1f65e4ba4c93bab11a54714d8ce0.jpg?mw=660,10,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Bouillon brede,"Bouillon brede is a type of Seychellois soup that is composed of greens and prepared in the same fashion as spinach. A variety of greens or plants (locally called ) can be used, such as bok choy, chum choy, Chinese lettuce, m...",https://www.tasteatlas.com/bouillon-brede/wheretoeat,brèdes
https://www.tasteatlas.com/soupe-de-tectec,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,11,Seafood Soup,https://www.tasteatlas.com/seafood-soups,Soupe de tectec,"Soupe de tectec is a type of soup made with shellfish - an essential part of traditional Seychellois cuisine. Tectec shellfish and pumpkin are the key ingredients in this dish. Small in size and with a distinctive white color, tectec shellfish are...",https://www.tasteatlas.com/soupe-de-tectec/wheretoeat,
https://www.tasteatlas.com/bourgeoisie-grille,https://cdn.tasteatlas.com//images/dishes/10794a31bc444b06baf2c6318cba22a0.jpg?mw=660,12,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Bourgeoisie grille,"Grilled red snapper, locally known as bourgeoisie grille or , is a fish specialty on the Seychelles Islands. The whole fish is seasoned well and covered with a mixture of lemon juice, garlic, chilis, ginger, parsley, ...",https://www.tasteatlas.com/bourgeoisie-grille/wheretoeat,bourzwa grillé
https://www.tasteatlas.com/chatini-seychellois,https://cdn.tasteatlas.com//images/dishes/eac818d8ccdc4d18a8b318f5c9166c6b.jpg?mw=660,13,Side Dish,https://www.tasteatlas.com/Sides,Chatini Seychellois,"Chatini seychellois is a variety of Seychellois chutney that combines ginger, garlic, and chilis, which are all three essential staple ingredients of traditional Seychelles cuisine. The unique blend of these three ingredient - each with a distinct...",https://www.tasteatlas.com/chatini-seychellois/wheretoeat,
