search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/laksa-singapore,https://cdn.tasteatlas.com//images/dishes/f4dfe298664b45fc9eb9a928663d5849.jpg?mw=660,1,Noodle Dish,https://www.tasteatlas.com/Noodles,Laksa,4.3,Best in   (Singapore),328 Katong Laksa,https://www.tasteatlas.com/328KatongLaksa,"Characterized by its rich and spicy broth, this comforting noodle soup is one of the classic dishes found in many Southeast Asian countries. It was developed under the influence of different culinary traditions, which has led to the creation of nu...",https://www.tasteatlas.com/laksa-singapore/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/vermicelli,https://cdn.tasteatlas.com/images/dishes/7fa8c8089627426ab477978e7dba02cc.png?h=120&w=120,https://www.tasteatlas.com/mackerels,https://cdn.tasteatlas.com/images/ingredientgroups/ea27ab9ee58641d0ae37f3275c0b06d2.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,,
https://www.tasteatlas.com/hainanese-chicken-rice,https://cdn.tasteatlas.com//Images/Dishes/f763a089305749c3931037f95cbf65c9.jpg?mw=660,2,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Hainanese Chicken Rice,3.4,Best in   (Singapore),Tian Tian Hainanese Chicken Rice,https://www.tasteatlas.com/TianTianHainaneseChickenRice,"Originally invented on Hainan, a tropical island located south of China, the humble Hainanese chicken rice has evolved into one of the most popular dishes in Singapore. It consists of steamed chicken that is cut into bite-sized pieces, then served...",https://www.tasteatlas.com/hainanese-chicken-rice/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://www.tasteatlas.com/sesame-oils,https://cdn.tasteatlas.com/images/ingredientgroups/de788b76d4ea4a90a26c86b261c2fd7c.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,
https://www.tasteatlas.com/chilli-crab,https://cdn.tasteatlas.com//images/dishes/2fc91854d5804c69ba9435cc74f80e5f.png?mw=660,3,Crab Dish,https://www.tasteatlas.com/crab-dishes,Chilli Crab,4.0,Best in   (Singapore),Jumbo Seafood,https://www.tasteatlas.com/JumboSeafood,"Like many other dishes in Asia, chilli crab started as a street food item, but it has eventually become so popular that today it is considered to be the national dish of Singapore. It consists of a stir-fried crab covered in a succulent, spicy sau...",https://www.tasteatlas.com/chilli-crab/wheretoeat,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/soybeans,https://cdn.tasteatlas.com/images/ingredientgroups/63fe7f33d0eb483f97007e7047a57f23.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,
https://www.tasteatlas.com/char-kway-teow,https://cdn.tasteatlas.com//Images/Dishes/5c2cd0f1f6444e80a7223852a869840a.jpg?mw=660,4,Noodle Dish,https://www.tasteatlas.com/Noodles,Char kway teow,3.9,Best in   (Singapore),Hill Street Char Kway Teow,https://www.tasteatlas.com/HillStreetCharKwayTeow,"Char kway teow is one of the most popular street dishes in Malaysia and Singapore. Despite numerous regional varieties, it is usually made with flat rice noodles, shrimps, eggs, cockles, bean sprouts, chives, and Chinese sausage. All the ingredien...",https://www.tasteatlas.com/char-kway-teow/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/curry-laksa,https://cdn.tasteatlas.com//Images/Dishes/a454d98e3d5a4f2c9a25ae55393767bf.jpg?mw=660,5,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Curry Laksa,4.0,Best in   (Singapore),Sungei Road Laksa,https://www.tasteatlas.com/SungeiRoadLaksa,"Curry laksa is a spicy noodle soup commonly eaten in Malaysia (), Singapore, and Indonesia. It is a true fusion dish, influenced by Indian, Chinese, and Southeast Asian culinary traditions. It is one of the numerous varieties of ...",https://www.tasteatlas.com/curry-laksa/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/tofu,https://cdn.tasteatlas.com/images/dishes/9a7358d6b7dc42cb8156a394d174dc44.png?h=120&w=120,https://www.tasteatlas.com/prawns,https://cdn.tasteatlas.com/images/ingredientgroups/f8c173a0e0e547ae889f483169ce22f8.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,curry mee,
https://www.tasteatlas.com/duck-rice,https://cdn.tasteatlas.com//images/dishes/ef710edb738b4b1d97bca09823297660.jpg?mw=660,6,Duck Dish,https://www.tasteatlas.com/duck-dishes,Duck Rice,3.9,Best in   (Singapore),Hup Seng Duck Rice,https://www.tasteatlas.com/HupSengDuckRice,"This Singaporean classic combines white rice and roasted or braised duck. If roasted, various seasonings such as cinnamon, ginger, or anise are placed inside the duck, which is then hung and roasted until crispy. The braised version is typically s...",https://www.tasteatlas.com/duck-rice/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/yusheng-singapore,https://cdn.tasteatlas.com//Images/Dishes/0525862e4d094da5915089834e7972b9.jpg?mw=660,7,Salad,https://www.tasteatlas.com/Salads,Yusheng,,,,,"Usually consumed during the Chinese New Year celebrations, yusheng is a tasty salad made with slices of raw fish and shredded vegetables which are seasoned with spices and various toppings such as peanuts and sesame seeds. The dish is additionally...",https://www.tasteatlas.com/yusheng-singapore/wheretoeat,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/fish-head-curry,https://cdn.tasteatlas.com//Images/Dishes/8bc933cfe98a454d856f05d586b8b41a.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Fish Head Curry,3.5,Best in   (Singapore),Zai Shun Curry Fish Head,https://www.tasteatlas.com/ZaiShunCurryFishHead,"Fish head curry is a Singaporean specialty dish consisting of fish heads, coconut cream, tomatoes, and an array of seasonings such as curry leaves, garlic, chili, coriander, cumin, turmeric, pepper, and tamarind. The dish was invented during the 1...",https://www.tasteatlas.com/fish-head-curry/wheretoeat,https://www.tasteatlas.com/coconut-creams,https://cdn.tasteatlas.com/images/ingredientgroups/f54c7c4de2dc46f8be00fed40dae4a2d.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,https://www.tasteatlas.com/curry-leaves,https://cdn.tasteatlas.com/images/dishes/5981aa590b034bf8bbf4330af51cd41e.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,,
https://www.tasteatlas.com/hokkien-mee,https://cdn.tasteatlas.com//images/dishes/e817765ec5ff4b2a8075e521e75233fe.jpg?mw=660,9,Noodle Dish,https://www.tasteatlas.com/Noodles,Hokkien mee,3.8,Best in   (Singapore),Ah Hock Fried Hokkien Noodles,https://www.tasteatlas.com/ah-hock-fried-hokkien-noodles,"Hokkien mee is a dish usually consisting of round wheat noodles and thin rice noodles that are fried together with prawns, eggs, pork, and bean sprouts. While they stir-fry, all the ingredients are coated in a flavorful stock usually made from pra...",https://www.tasteatlas.com/hokkien-mee/wheretoeat,,,,,,,,,,,,,,
https://www.tasteatlas.com/bak-kut-teh-singapore,https://cdn.tasteatlas.com//Images/Dishes/ce851f5546e64611be7a7d2cf4c0b9dd.jpg?mw=660,10,Meat Soup,https://www.tasteatlas.com/meat-soups,Bak kut teh,4.7,Best in   (Singapore),Founder Bak Kut Teh Restaurant,https://www.tasteatlas.com/FounderBakKutTehRestaurant,"Even though it is traditionally associated with Malaysia and Singapore, this hearty dish stems from the Chinese culinary tradition. In its simplest form, it consists of various pork cuts that are cooked in a flavorful broth which is seasoned with ...",https://www.tasteatlas.com/bak-kut-teh-singapore/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/star-anises,https://cdn.tasteatlas.com/images/ingredientgroups/4b484164b7d34a489be78cea8d98149f.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/fennel,https://cdn.tasteatlas.com/images/ingredientgroups/64c246113f4147b6a1bff6eae8667ae4.png?h=120&w=120,,
