search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,item-location href,item-location src,item-location,search-results__item-description 2
https://www.tasteatlas.com/halusky,https://cdn.tasteatlas.com//Images/Dishes/f1982ec2dbc84554b9665e5dd8afbd87.jpg?mw=660,1,Dumplings,https://www.tasteatlas.com/Dumplings,Halušky,4.4,"Halušky is the incredibly soft variety of potato dumplings, usually associated with Slovakia and the Czech Republic. The dough is created with grated raw potatoes and flour. They are typically cooked so the batter is spread on the wooden bo...",https://www.tasteatlas.com/halusky/wheretoeat,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,,
https://www.tasteatlas.com/gulas-slovakia,https://cdn.tasteatlas.com//Images/Dishes/ac9575707133493f984feb3f97619e48.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Guláš,4.3,"Traditional guláš is a hearty meat stew served with a dark red sauce that is heavily seasoned with paprika. Through history, this dish with Hungarian origins has become one of the most common meals in the Czech Republic and Slovakia....",https://www.tasteatlas.com/gulas-slovakia/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/marjoram,https://cdn.tasteatlas.com/images/ingredientgroups/12b31184394747588ce88ac03cfa4f1d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/bryndzove-halusky,https://cdn.tasteatlas.com//Images/Dishes/977c0c68c35d4991bcc39db2bb5fac4c.jpg?mw=660,3,Dumplings,https://www.tasteatlas.com/Dumplings,Bryndzové halušky,4.5,"Bryndzové halušky is a modest and simple meal consisting of three elements: halušky, bryndza, and bacon. Halušky is a traditional Slovak name for a type of dumpling made with grated raw potatoes and flour. The second es...",https://www.tasteatlas.com/bryndzove-halusky/wheretoeat,https://www.tasteatlas.com/halusky,https://cdn.tasteatlas.com/images/dishes/eb9f8c10b1ae44b2a6b2eb879be791b0.png?h=120&w=120,https://www.tasteatlas.com/slovenska-bryndza,https://cdn.tasteatlas.com/images/dishes/3a89f3575bde430c8dd459af3367f9b5.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,,,,,,,Best in   (Bratislava),Slovak Pub,https://www.tasteatlas.com/slovak-pub,,,,
https://www.tasteatlas.com/kapustnica,https://cdn.tasteatlas.com//Images/Dishes/465a3e35ad064f1bb5d4048d5e26b16d.jpg?mw=660,4,Soup,https://www.tasteatlas.com/Soups,Kapustnica,4.4,"This Slovakian sauerkraut soup is a hearty wintertime dish with a rich flavor, coming from a variety of added smoked pork products, sausages, and dried mushrooms. Kapustnica is related to a number of similar soups found throughout Eastern and Cent...",https://www.tasteatlas.com/kapustnica/wheretoeat,,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/sisky,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,5,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Šišky,4.2,"Krapfen was probably the first European-style doughnut to appear, followed by similar varieties in other countries. These pastries are traditionally prepared with leavened dough that is deep-fried until golden and crispy on the outside, while they...",https://www.tasteatlas.com/sisky/wheretoeat,,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/makovnik,https://cdn.tasteatlas.com//images/dishes/3417b26bde8040c7990f2a20474ec16a.jpg?mw=660,6,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Makovník,4.0,"Makowiec is the Polish name for poppy seed roll, a traditional cake where poppy seed paste is placed between layers of dough. Raisins, almonds, honey, and orange peel can be added to the cake in order to enhance its flavors. Ideally, makowiec shou...",https://www.tasteatlas.com/makovnik/wheretoeat,https://www.tasteatlas.com/opium-poppies,https://cdn.tasteatlas.com/images/ingredientgroups/3981dfd084bb46799d7220bab126372c.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/zemiakove-placky,https://cdn.tasteatlas.com//Images/Dishes/32662c5f52804b95b052727956960cdc.jpg?mw=660,7,Snack,https://www.tasteatlas.com/Snacks,Zemiakové placky,4.6,"These rustic, crispy potato pancakes belong to the traditional Slovak cuisine. They consist of a thick batter made with grated potatoes, eggs, flour, and a variety of spices. Pan-fried for a short period of time until golden-brown in color, these ...",https://www.tasteatlas.com/zemiakove-placky/wheretoeat,,,,,,,,,,,,,Best in   (Rajecká Lesná),U Hromadov,https://www.tasteatlas.com/UHromadov,,,,
https://www.tasteatlas.com/laskonky,https://cdn.tasteatlas.com//images/dishes/a6e427fe6210445cae6f2399281e2b02.jpg?mw=660,8,Cookie,https://www.tasteatlas.com/Cookies,Laskonky,3.6,"Laskonky are popular Slovak and Czech cookies consisting of two crispy meringues combined with various buttercream fillings. The meringues occasionally contain ground walnuts or coconut and are usually baked into thin, oval shapes. Traditionally, ...",https://www.tasteatlas.com/laskonky/wheretoeat,,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/lokse,https://cdn.tasteatlas.com//Images/Dishes/5562191453954daa8ab2193544abe71b.jpg?mw=660,9,Pancake,https://www.tasteatlas.com/pancakes,Lokše,4.6,"These thin, crispy potato pancakes are traditional Slovak snacks that are usually enjoyed during the Christmas festivities and Lent. They are made with a soft potato dough which is rolled into flat circular shapes and dry-baked until crispy and go...",https://www.tasteatlas.com/lokse/wheretoeat,,,,,,,,,,,,,Best in   (Slovenský Grob),Gurmánsky Grob,https://www.tasteatlas.com/gurmansky-grob,,,,
https://www.tasteatlas.com/parene-buchty,https://cdn.tasteatlas.com//images/dishes/1173ca878ff049f4b9332fa8bfa8f746.jpg?mw=660,10,Dumplings,https://www.tasteatlas.com/Dumplings,Parené buchty,4.0,"Germknödel is a famous Austrian steamed yeast dumpling. It consists of soft dough which is filled with rum-spiced plum jam. Before serving, the dumpling is generously doused with melted butter or vanilla-based sauce and sprinkled with a consi...",https://www.tasteatlas.com/parene-buchty/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,Best in   (Bratislava),Buchtáreň,https://www.tasteatlas.com/buchtaren,,,,
