search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,search-results__item-description 2,score-text--na
https://www.tasteatlas.com/struklji,https://cdn.tasteatlas.com//images/dishes/842eca43e00249fb8c0e61079ba230c5.jpg?mw=660,1,Pasta,https://www.tasteatlas.com/pasta,Štruklji,"Štruklji is one of the most typical Slovenian dishes, consisting of different varieties of rolled dough that is filled with either savory or sweet ingredients such as cottage cheese, walnuts, apples, and poppy seeds. They can be found throu...",https://www.tasteatlas.com/struklji/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/cottage-cheeses,https://cdn.tasteatlas.com/images/ingredientgroups/e176137b58cf40289899e813d0588113.png?h=120&w=120,https://www.tasteatlas.com/sour-cream,https://cdn.tasteatlas.com/images/ingredientgroups/929559246bc24b9597fcefe8eef305f7.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/chives,https://cdn.tasteatlas.com/images/ingredientgroups/aed2da4a6a53446290f56faab8c7e36b.png?h=120&w=120,,,,
https://www.tasteatlas.com/potica,https://cdn.tasteatlas.com//Images/Dishes/c149caa401234537a762b8061a789c67.jpg?mw=660,2,Cake,https://www.tasteatlas.com/cakes,Potica,"Commonly known as every Slovenian housewife's source of pride, potica is a traditional cake that is usually prepared for festivities and celebrations such as Christmas and Easter. The cake was derived from the older rolled dough cakes, and it was ...",https://www.tasteatlas.com/potica/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/krofi,https://cdn.tasteatlas.com//images/dishes/5d7bb143eccb46dcba3e9a5f08c4e150.jpg?mw=660,3,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Krofi,"Krapfen was probably the first European-style doughnut to appear, followed by similar varieties in other countries. These pastries are traditionally prepared with leavened dough that is deep-fried until golden and crispy on the outside, while they...",https://www.tasteatlas.com/krofi/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kremna-rezina,https://cdn.tasteatlas.com//images/dishes/93d3e63a14c74f958d0ad41009e16f66.jpg?mw=660,4,Cake,https://www.tasteatlas.com/cakes,Kremna rezina,"Kremna rezina is a specialty of the Slovenian Lake Bled area. It is a luscious cream cake with a golden, crispy, buttery pastry acting as its base. The base is topped with flavorful vanilla custard, whipped cream, and a layer of thin, buttery doug...",https://www.tasteatlas.com/kremna-rezina/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/bled,Bled,,
https://www.tasteatlas.com/idrijski-zlikrofi,https://cdn.tasteatlas.com//images/dishes/7bb025813c5847b997e0fb809ffdf632.jpg?mw=660,5,Pasta,https://www.tasteatlas.com/pasta,Idrijski žlikrofi,"Traditionally prepared in western Slovenia, namely the town of Idrija, this popular pasta dish can be described as a variety of ravioli. Žlikrofi are made with two layers of thin pasta dough wrapped around the filling, and apart from their charmin...",https://www.tasteatlas.com/idrijski-zlikrofi/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/chives,https://cdn.tasteatlas.com/images/ingredientgroups/aed2da4a6a53446290f56faab8c7e36b.png?h=120&w=120,https://www.tasteatlas.com/idrija-city,Idrija,,
https://www.tasteatlas.com/prekmurska-gibanica,https://cdn.tasteatlas.com//Images/Dishes/2c4a162aca5b4945898fd84d82b09f6e.jpg?mw=660,6,Dessert,https://www.tasteatlas.com/Desserts,Prekmurska gibanica,"This well-known dessert is a traditional dish of Prekmurje, Slovenia’s northeastern region whose recipes have often been inspired by Hungarian and Austrian traditions. According to the Etymological Dictionary of the Slovenian Language, Prekm...",https://www.tasteatlas.com/prekmurska-gibanica/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/prekmurje,Prekmurje,,
https://www.tasteatlas.com/bograc,https://cdn.tasteatlas.com//images/dishes/741a295ba34240f8b7d93fe256571663.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Bograč,"Bograč is a traditional Slovenian meat stew that was supposedly invented by Hungarian shepherds when Prekmurje was under Hungarian rule. The stew consists of four types of meat—traditionally pork, beef, venison, and boar—which are simm...",https://www.tasteatlas.com/bograc/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Venison,https://cdn.tasteatlas.com/images/ingredientgroups/91d61d76d6824e5e987e5bca8b2eca58.png?h=120&w=120,https://www.tasteatlas.com/wild-boars,https://cdn.tasteatlas.com/images/ingredientgroups/34c76c02e9544ba89aa61e5056855fda.png?h=120&w=120,https://www.tasteatlas.com/Red-wine,https://cdn.tasteatlas.com/images/ingredientgroups/b0e181d5d7e04d8181ad334840bec250.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/prekmurje,Prekmurje,,
https://www.tasteatlas.com/kranjska-klobasa,https://cdn.tasteatlas.com//images/dishes/81706bef7a784a52b72b2ca41f5f1644.jpg?mw=660,8,Sausage,https://www.tasteatlas.com/Sausages,Kranjska klobasa,"Internationally known as  or  sausage,  originates from the historical region of Kranjska, once the Duchy of Carniola, a crown land of the Austrian Empire. It has the perfect meat-to-bacon...",https://www.tasteatlas.com/kranjska-klobasa/wheretoeat,,,,,,,,,,,,,,,Carniolan,
https://www.tasteatlas.com/ajdovi-zganci,https://cdn.tasteatlas.com//images/dishes/c16f070ec35541c3a5a7e7456638e3c5.jpg?mw=660,9,Porridge,https://www.tasteatlas.com/Porridge,Ajdovi žganci,"Ajdovi žganci is the national dish of Slovenia, consisting of buckwheat flour and water. The word  is derived from , meaning. Originally, the dish was a basic meal for most people, a breakfast used to ...",https://www.tasteatlas.com/ajdovi-zganci/wheretoeat,,,,,,,,,,,,,,,žganci,
https://www.tasteatlas.com/gobova-juha,https://cdn.tasteatlas.com//images/dishes/92f105b355cd457ca20972787f4b5937.jpg?mw=660,10,Mushroom Soup,https://www.tasteatlas.com/mushroom-soups,Gobova juha,"Gobova juha is a traditional Slovenian mushroom soup. Although there are many variations, the soup is usually made with a combination of wild mushrooms, onions, garlic, butter, flour, potatoes, white wine or wine vinegar, bay leaves, marjoram, sal...",https://www.tasteatlas.com/gobova-juha/wheretoeat,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,,,,n/a
