search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/kimchi,https://cdn.tasteatlas.com//images/dishes/2afd12a4d2434e649bd9c00ef63f517e.jpg?mw=660,1,Pickling,https://www.tasteatlas.com/Picklings,Kimchi,4.0,Best in   (Seoul),Tosokchon,https://www.tasteatlas.com/Tosokchon,"Although many people get a chill through their spine at the very mention of the word , Koreans have found a way to make fermented pickled vegetables interesting, tasty and titillating. A classic starter or a side dish to any Korean...",pickles,https://www.tasteatlas.com/kimchi/wheretoeat,https://www.tasteatlas.com/napa-cabbage,https://cdn.tasteatlas.com/images/dishes/671bb902f41043dda85b12d0b2d8006b.png?h=120&w=120,https://www.tasteatlas.com/radishes,https://cdn.tasteatlas.com/images/ingredientgroups/b5fc9e4af2ca4f48a844773d630190f8.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/oysters,https://cdn.tasteatlas.com/images/ingredientgroups/fd67db3301274764b6562bb12eca8682.png?h=120&w=120,https://www.tasteatlas.com/anchovies,https://cdn.tasteatlas.com/images/ingredientgroups/9d1bd646966e4ee890a98352232dfc61.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,
https://www.tasteatlas.com/bibimbap,https://cdn.tasteatlas.com//images/dishes/4dd65e828a014639994d77ab09f5dba5.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Bibimbap,4.1,Best in   (Seoul),Jungsik,https://www.tasteatlas.com/jungsik,"means , and  means , so bibimbap is literally The rice is combined with a variety of ingredients such as sliced beef, namul (sliced vegetables), soy sauce, gochujang...",Bibim,https://www.tasteatlas.com/bibimbap/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/namul,https://cdn.tasteatlas.com/images/dishes/fd1b2db2c9a34d77a6bae16f2b0e8d3b.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://www.tasteatlas.com/gochujang,https://cdn.tasteatlas.com/images/dishes/8e6dd4d41a5043c9b9894e45a9ddd4d4.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/bulgogi,https://cdn.tasteatlas.com//images/dishes/eee2ad665ef54610b8aeb5a43ce74677.jpg?mw=660,3,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Bulgogi,4.2,Best in   (Seoul),Sariwon,https://www.tasteatlas.com/seoch-sariwon,"It's hard to say which is better: the succulent meat or spicy side dishes that define bulgogi, the Asian barbecue style in which thin slices of marinated meat are quickly cooked over high heat on top of a perforated, round metal plate that covers ...",,https://www.tasteatlas.com/bulgogi/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/squids,https://cdn.tasteatlas.com/images/ingredientgroups/1233d683cc3a467fb0a06d38a4f2aa77.png?h=120&w=120,https://www.tasteatlas.com/tofu,https://cdn.tasteatlas.com/images/dishes/9a7358d6b7dc42cb8156a394d174dc44.png?h=120&w=120,
https://www.tasteatlas.com/banchan,https://cdn.tasteatlas.com//images/dishes/5cc560fb728646eb8f525c7febff201e.jpg?mw=660,4,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Banchan,4.4,Best in   (Seoul),Tosokchon,https://www.tasteatlas.com/Tosokchon,"The term banchan encompasses a wide variety of Korean dishes that are traditionally served on small plates. Although the name  translates to , in traditional Korean cuisine, they are considered as the essential ...",banchan,https://www.tasteatlas.com/banchan/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kimbap,https://cdn.tasteatlas.com//Images/Dishes/31ddd0a3661844c8a10b858ab8151933.jpg?mw=660,5,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Kimbap,4.3,Best in   (Seoul),Kim Seon Saeng,https://www.tasteatlas.com/KimSonsaengKimbap,"Often referred to as , kimbap is a Korean dish consisting of seaweed (), seasoned rice (), and other, optional ingredients that are usually rolled, sliced, and served. Almost anything can be added to th...",Korean sushi,https://www.tasteatlas.com/kimbap/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Seaweed,https://cdn.tasteatlas.com/images/ingredientgroups/b17c7b4b50fd42d393f0d1b6297f787f.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,
https://www.tasteatlas.com/tteok,https://cdn.tasteatlas.com//images/dishes/b976c3359e2542cfa96ad108965e41b0.jpg?mw=660,6,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Tteok,4.3,Best in   (Seoul),Sulbing Insadong,https://www.tasteatlas.com/SulbingInsadong,"Tteok are traditional Korean rice cakes that are prepared with glutinous or non-glutinous rice. The cakes are incredibly versatile, and although they are mostly sweet and enjoyed as a dessert, some plain varieties can be incorporated into savory d...",,https://www.tasteatlas.com/tteok/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/tteokbokki,https://cdn.tasteatlas.com//Images/Dishes/4c07625c0fbb4d06b5463aa41e0cf202.jpg?mw=660,7,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Tteokbokki,4.5,Best in   (Seoul),Mimine,https://www.tasteatlas.com/Mimine,"Tteokbokki is a spicy stir-fried dish that usually consists of cylinder-shaped rice cakes, sweet red chili sauce, and fish cakes. It is considered to be one of the top street food items in Korea, and can usually be bought from street vendors known...",,https://www.tasteatlas.com/tteokbokki/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/jeon,https://cdn.tasteatlas.com//images/dishes/85969320cd7a4b66b98eaa607f2a7fa7.jpg?mw=660,8,Pancake,https://www.tasteatlas.com/pancakes,Jeon,4.2,Best in   (Seoul),Nakseo Pajeon,https://www.tasteatlas.com/NakseoPajeon,"Jeon, also known as , represents a number of pancake-like dishes in Korean cuisine that are often served as appetizers, side dishes, or consumed as snacks. Although jeon are typically prepared in savory versions, there are ...",Korean pancakes,https://www.tasteatlas.com/jeon/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/Vegetables,https://cdn.tasteatlas.com/images/ingredientgroups/23c55ec12d924df3af23cca250689036.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,,,
https://www.tasteatlas.com/samgyeopsal,https://cdn.tasteatlas.com//Images/Dishes/c14230796c20417186ae4b39681094be.jpg?mw=660,9,Pork Dish,https://www.tasteatlas.com/pork-dishes,Samgyeopsal,4.3,Best in   (Seoul),Palsaik Samgyupsal Korean BBQ,https://www.tasteatlas.com/PalsaikSamgyupsalKoreanBBQ,"Samgyeopsal is a South Korean delicacy consisting only of pork belly, the most expensive cut of pork in the country. It is so popular in South Korea that the residents eat it approximately once every four days. The name of the dish consists of thr...",,https://www.tasteatlas.com/samgyeopsal/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kalbi,https://cdn.tasteatlas.com//Images/Dishes/d172f44cf9de438e9eab70b69efb5b2f.jpg?mw=660,10,Beef Dish,https://www.tasteatlas.com/beef-dishes,Kalbi,4.2,Best in   (Seoul),Mapo Sutbul Galbi,https://www.tasteatlas.com/mapo-sutbul-galbi,"Kalbi or  refers to a variety of grilled beef short ribs dishes popular in South Korea. The ribs are marinated in a sweet sauce consisting of soy sauce, sugar, rice wine, sesame oil, and garlic. Although the name of the dish translat...",galbi,https://www.tasteatlas.com/kalbi/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pears,https://cdn.tasteatlas.com/images/ingredientgroups/b0040fc46a934ebd9857e5947aeebd5a.png?h=120&w=120,https://www.tasteatlas.com/rice-wine,https://cdn.tasteatlas.com/images/dishes/7197a895bdd8441b85f96d2f775caea5.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Honey,https://cdn.tasteatlas.com/images/ingredientgroups/a5a217a77bba4b058da954c06e385041.png?h=120&w=120,
