search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,search-results__item-description 2,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/paella,https://cdn.tasteatlas.com//images/dishes/0b456cded8e245acb83036114c806091.jpg?mw=660,1,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Paella,4.2,Best in   (Barcelona),7 Portes,https://www.tasteatlas.com/7Portes,"Widely acclaimed as the most popular Spanish dish, paella combines saffron-flavored rice with a wide array of additional ingredients, such as seafood, vegetables, or meat. Although the original paella was created in Valencia, where it was made wit...",READ MORE,https://www.tasteatlas.com/paella/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/chorizo,https://cdn.tasteatlas.com//images/dishes/5c1f3d5983594f4cad2f0e20fe445afb.jpg?mw=660,2,Sausage,https://www.tasteatlas.com/Sausages,Chorizo,4.4,Best in   (Atxondo),Asador Etxebarri,https://www.tasteatlas.com/AsadorEtxebarri,"Chorizo is a Spanish sausage consisting of chopped pork meat and fat that is seasoned with paprika, and sometimes garlic. The combination of these ingredients is then stuffed into a natural casing. Chorizo is characterized by its red color, due to...",READ MORE,https://www.tasteatlas.com/chorizo/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/churros,https://cdn.tasteatlas.com//images/dishes/c14da069b266431293f85d910b99cfbd.jpg?mw=660,3,Fried Dough,https://www.tasteatlas.com/fried-dough,Churros,4.2,Best in   (Madrid),Chocolatería San Ginés,https://www.tasteatlas.com/ChocolateriaSanGines,"Elongated, crispy, crunchy and intensely fragrant, churros consist of deep-fried yeast dough encrusted with sugar. Although some may argue against consuming these sweet treats, warning others about the dangerous effects of sugar and fat on human b...",READ MORE,https://www.tasteatlas.com/churros/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/bocadillos,https://cdn.tasteatlas.com//images/dishes/f5e5c1c03f314ac88ea280c6102d7d09.jpg?mw=660,4,Sandwich type,https://www.tasteatlas.com/sandwich-types,Bocadillos,4.4,Best in   (Madrid),El Brillante de Atocha,https://www.tasteatlas.com/el-brillante-de-atocha,"Bocadillos or  are Spanish sandwiches made with Spanish-style baguettes known as , unlike regular sandwiches which are made with modern white bread, known as  in Spain. The most common fill...",READ MORE,https://www.tasteatlas.com/bocadillos/wheretoeat,,,,,,,,,bocatas,,,,,,,,
https://www.tasteatlas.com/cocido,https://cdn.tasteatlas.com//images/dishes/eea2981a658848efa154ebb50bc0d2d0.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Cocido,4.3,Best in   (San Lorenzo de El Escorial),Charolés,https://www.tasteatlas.com/Charoles,"Cocido is a traditional Spanish stew with a wide array of regional varieties. It's also prepared and enjoyed in Portugal (cozido) and Brazil. The stew is made with a combination of various meats (or sometimes seafood) such as chicken, beef, pork, ...",READ MORE,https://www.tasteatlas.com/cocido/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/croquetas,https://cdn.tasteatlas.com//images/dishes/b033d24deb024cffb94fdaaa837c9496.jpg?mw=660,6,Snack,https://www.tasteatlas.com/Snacks,Croquetas,4.3,Best in   (Madrid),Casa Labra,https://www.tasteatlas.com/CasaLabra,"These traditional Spanish fritters are usually prepared with a buttery béchamel base that is well chilled and formed into round or cylindrical patties, which are then coated in egg wash and breadcrumbs, and finally fried until crispy and go...",READ MORE,https://www.tasteatlas.com/croquetas/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/bechamel-sauce,https://cdn.tasteatlas.com/images/dishes/a1165229c9624d4abc0f924232188573.png?h=120&w=120,,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/chorizo,https://cdn.tasteatlas.com/images/dishes/ddcb3e5f086b45568444ae268a16697c.png?h=120&w=120,,,,
https://www.tasteatlas.com/gazpacho,https://cdn.tasteatlas.com//Images/Dishes/fdad974a90b54222b63832a53845a867.jpg?mw=660,7,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Gazpacho,3.9,Best in   (Baeza),Juanito,https://www.tasteatlas.com/Juanito,"A perfect remedy for a hot summer day called gazpacho is a cold soup consisting of crushed tomatoes, finely chopped cucumbers, onions, peppers, croutons, vinegar, and olive oil. With the same level of familiarity as  to the consumer...",READ MORE,https://www.tasteatlas.com/gazpacho/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/4130274c7033414bad32e0540631ff2d.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,paella,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/andalusia,https://cdn.tasteatlas.com/images/emblems/9904fd9d304b4e05a3a9f260dd4abb55.png,Andalusia,
https://www.tasteatlas.com/migas,https://cdn.tasteatlas.com//Images/Dishes/23632b0686ef471ba3aa93626196f7b1.jpg?mw=660,8,Appetizer,https://www.tasteatlas.com/Appetizers,Migas,4.0,Best in   (Zaragoza),La Miguería,https://www.tasteatlas.com/LaMigueria,"Migas is a traditional, ancient dish in Spanish and Portuguese cuisine. At its base, it is made from softened bread cooked in fat. Its name, , is literally translated to , referring to its key ingredient - breadcrumbs....",READ MORE,https://www.tasteatlas.com/migas/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,migas,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,,,,
https://www.tasteatlas.com/salmorejo,https://cdn.tasteatlas.com//Images/Dishes/495938c20a474ecca4f06f87c1f43f7a.jpg?mw=660,9,Cold Soup,https://www.tasteatlas.com/cold-soups,Salmorejo,4.1,Best in   (Córdoba),Garum 2.1,https://www.tasteatlas.com/garum-21,"Salmorejo is a refreshing Andalusian soup that is traditionally served cold. It is especially popular during the warm, summer days. The soup consists of puréed tomatoes, bread, garlic, oil, and vinegar. Thick and creamy, salmorejo is often ...",READ MORE,https://www.tasteatlas.com/salmorejo/wheretoeat,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/jamon-iberico,https://cdn.tasteatlas.com/images/dishes/3b999595cfb5481b8f490e8e5bb74cc7.png?h=120&w=120,https://www.tasteatlas.com/cordoba-spain,https://cdn.tasteatlas.com/images/emblems/6f548528c26a41c5a597aa200049b385.png,Córdoba,
https://www.tasteatlas.com/merienda,https://cdn.tasteatlas.com//Images/Dishes/f9fa974ad43f4d478a93557b01b0a94b.jpg?mw=660,10,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Merienda,4.3,,,,"Merienda is a typical late-afternoon light snack in Spain, consumed between 5:00 and 6:30 PM. It is especially important for children, so the meal can be anything from sweet breads, pastries, fruits, and yogurt, to savory sandwiches with cheese, <...",READ MORE,https://www.tasteatlas.com/merienda/wheretoeat,,,,,,,,,,,,,,,,,
