search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,score-text--na,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/kottu,https://cdn.tasteatlas.com//Images/Dishes/79bfe7e4839440be81bba08b49b9bb9d.jpg?mw=660,1,Street Food,https://www.tasteatlas.com/Street-food,Kottu,"Kottu is one of the national dishes of Sri Lanka, a favorite among locals and tourists throughout the country. It employs crucial elements of national Sri Lankan cuisine:  flatbread, aromatic spices, crispy vegetables, and tasty meat....",https://www.tasteatlas.com/kottu/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kiribath,https://cdn.tasteatlas.com//images/dishes/ff8c7ea8d058478f97f2cf5a47c9306b.jpg?mw=660,2,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Kiribath,"This simple combination of rice and coconut milk is a staple dish throughout Sri Lanka. The rice is cooked in milk, and the mix is then left to set in a shallow plate. The dish is traditionally cut into square or diamond shapes, and the pieces are...",https://www.tasteatlas.com/kiribath/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kokis,https://cdn.tasteatlas.com//Images/Dishes/5f25477ee8684aac89f58514a98abcd2.jpg?mw=660,3,Deep-fried Dessert,https://www.tasteatlas.com/deep-fried-desserts,Kokis,"Kokis is a Sri Lankan dessert with Dutch origins, consisting of a batter made with coconut milk, eggs, and rice flour. The batter is coated around decorative molds and deep-fried in coconut oil until it develops a crispy texture. Kokis can be cons...",https://www.tasteatlas.com/kokis/wheretoeat,n/a,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/rice-flours,https://cdn.tasteatlas.com/images/ingredientgroups/42084d298fc7452f9d97fc64785e7fb6.png?h=120&w=120,https://www.tasteatlas.com/coconut-oils,https://cdn.tasteatlas.com/images/ingredientgroups/e23090fead3d4029924ec84bea43b52f.png?h=120&w=120,,,,
https://www.tasteatlas.com/kool,https://cdn.tasteatlas.com//images/dishes/d74b29b05fe04403b768dab4f4d662d1.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Kool,"This spicy and sour seafood stew is one of the signature dishes of the Jaffna region in Sri Lanka. It combines tamarind-based broth with seafood such as cuttlefish, prawns, crayfish, crabs, as well as different types of fish. Apart from seafood, t...",https://www.tasteatlas.com/kool/wheretoeat,n/a,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/crayfish,https://cdn.tasteatlas.com/images/ingredientgroups/4024cd551e774368ab7803d17bc0223d.png?h=120&w=120,https://www.tasteatlas.com/cuttlefish,https://cdn.tasteatlas.com/images/ingredientgroups/1166a79795104869ae003b945a57a97d.png?h=120&w=120,https://www.tasteatlas.com/prawns,https://cdn.tasteatlas.com/images/ingredientgroups/f8c173a0e0e547ae889f483169ce22f8.png?h=120&w=120,https://www.tasteatlas.com/tapioca,https://cdn.tasteatlas.com/images/dishes/647dd95002664e5d84e658abb8ea4d20.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120
https://www.tasteatlas.com/lamprais,https://cdn.tasteatlas.com//images/dishes/17e36164946e496b8d1b65e7987d8fe7.jpg?mw=660,5,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Lamprais,"Lamprais is a complex Sri Lankan dish usually consisting of stock-cooked short-grained rice, three meat curry (beef, pork, and lamb), wambatu moju (eggplant pickle), seeni sambol (onion relish), blanchan (shrimp paste), frikadeller meatballs, eggp...",https://www.tasteatlas.com/lamprais/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kuzhambu,https://cdn.tasteatlas.com//Images/Dishes/a3121361c5044e0e981cc2673fe4bf4d.jpg?mw=660,6,Side Dish,https://www.tasteatlas.com/Sides,Kuzhambu,"Kuzhambu is a traditional Sri Lankan dish gravy that consists of a variety of dals (urad dal, toor dal), tamarind, and (optionally) vegetables. The dish is typically served as an accompaniment to rice. In Tamil cuisine, there are hundreds of kuzha...",https://www.tasteatlas.com/kuzhambu/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/aluwa,https://cdn.tasteatlas.com//images/dishes/330ca773e3f84e17849471835704c676.jpg?mw=660,7,Dessert,https://www.tasteatlas.com/Desserts,Aluwa,"In its basic form, this traditional Sri Lankan dessert combines toasted rice flour, sugar syrup, ground cashew nuts, and spices such as cardamom or cloves, while some versions replace sugar with treacle (molasses) and cashews with mung beans or ot...",https://www.tasteatlas.com/aluwa/wheretoeat,n/a,,,,,,,,,,,,
https://www.tasteatlas.com/sri-lankan-rice-and-curry,https://cdn.tasteatlas.com//images/dishes/a7c96da4df74439f92e41ee94c6885d2.jpg?mw=660,8,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Sri Lankan Rice and Curry,"Considered the national dish of the country, Sri Lankan rice and curry consists of steaming hot, fluffy rice (samba or kakulu varieties) that is served with a variety of side dishes commonly called curries. There are typically at least three (idea...",https://www.tasteatlas.com/sri-lankan-rice-and-curry/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sri-lankan-crab-curry,https://cdn.tasteatlas.com//images/dishes/158b7b5d66c64e65a963fff61771e3f2.jpg?mw=660,9,Crab Dish,https://www.tasteatlas.com/crab-dishes,Sri Lankan Crab Curry,"This famous Sri Lankan curry is made with a combination of crab meat, lime juice, milk or coconut milk, curry leaves, grated coconut, ginger, shallots, garlic, cinnamon, turmeric, fenugreek seeds, and red chili peppers. The curry is cooked until t...",https://www.tasteatlas.com/sri-lankan-crab-curry/wheretoeat,n/a,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/curry-leaves,https://cdn.tasteatlas.com/images/dishes/5981aa590b034bf8bbf4330af51cd41e.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120
https://www.tasteatlas.com/lunumiris,https://cdn.tasteatlas.com//images/dishes/7ef0efe1cfb143169fea785e9edb7f11.jpg?mw=660,10,Dip,https://www.tasteatlas.com/dips,Lunumiris,"Lunumiris is a flavorful Sri Lankan staple that is traditionally served as a condiment accompanying egg hoppers, a typical breakfast dish. In Sinhala language,  means , while  means , referri...",https://www.tasteatlas.com/lunumiris/wheretoeat,n/a,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/red-chilli-powder,https://cdn.tasteatlas.com/images/ingredientgroups/0bf070508e5f4a41b10e14a0642e59fe.png?h=120&w=120,https://www.tasteatlas.com/lime-juices,https://cdn.tasteatlas.com/images/ingredientgroups/8935929ec6a745639e0584c6ddfac844.png?h=120&w=120,,,,
