search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/kottbullar,https://cdn.tasteatlas.com//Images/Dishes/7ac82c476f1744dba52b2d7f698f3e85.jpg?mw=660,1,Meatballs,https://www.tasteatlas.com/meatballs,Köttbullar,4.3,"Köttbullar are famous Swedish meatballs with a crispy brown exterior, and light, airy and tender texture on the interior. The original recipe for the dish first appeared in Cajsa Warg's 1754 cookbook. The meatballs usually consist of beef mix...",https://www.tasteatlas.com/kottbullar/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/allspice,https://cdn.tasteatlas.com/images/ingredientgroups/9f382c998e6b46b79ab26b34cd3b0c2c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,,,
https://www.tasteatlas.com/smorgasbord,https://cdn.tasteatlas.com//images/dishes/43e4a33a7a3f4fa6a2cb33ba4b239996.jpg?mw=660,2,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Smörgåsbord,4.3,"An epic and abundant Swedish buffet, smörgåsbord is a combination of two words: , an open sandwich, and , a table. The term refers to any all-you-can-eat buffet with self-service and a variety of ...",https://www.tasteatlas.com/smorgasbord/wheretoeat,,,,,,,,,,,,,smörgås,,,,
https://www.tasteatlas.com/vafflor,https://cdn.tasteatlas.com//Images/Dishes/054e60e9196d46adaf482b32bd3d79a3.jpg?mw=660,3,Dessert,https://www.tasteatlas.com/Desserts,Våfflor,4.1,"Våfflor are extremely popular Swedish waffles, consumed since the early 1600s, when they were shaped into squares. Today, the waffles are traditionally shaped into hearts and served with fruit jams, whipped cream, and ice cream. Because v&ar...",https://www.tasteatlas.com/vafflor/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/cinnamon-roll,https://cdn.tasteatlas.com//Images/Dishes/7975632f4073484b95a3d13f2f36bcb2.jpg?mw=660,4,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kanelbulle,4.5,"Cinnamon roll or kanelbulle is a famous Swedish pastry that is generously flavored with cinnamon. The dough consists of flour, milk, yeast, water, eggs, butter, and vanilla. Sugar is often kneaded into the dough or sprinkled on top of the baked ro...",https://www.tasteatlas.com/cinnamon-roll/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kladdkaka,https://cdn.tasteatlas.com//images/dishes/ec8b8a75b70d4c3289e90e91c1b3f2c9.jpg?mw=660,5,Chocolate Cake,https://www.tasteatlas.com/chocolate-cakes,Kladdkaka,4.4,"One of the most popular Swedish desserts is a rich chocolate cake known as kladdkaka. This classic Swedish creation combines eggs, cocoa (or chocolate), butter, sugar, and flour into a dense and luscious dessert. During baking, the cake should alw...",https://www.tasteatlas.com/kladdkaka/wheretoeat,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/cocoa-beans,https://cdn.tasteatlas.com/images/ingredientgroups/77b5bbf2dfcc42e0b1af9cccb884bd48.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,,,,,
https://www.tasteatlas.com/knackebrod,https://cdn.tasteatlas.com//Images/Dishes/6e1fcd837386433fba0c7c5bf93761aa.jpg?mw=660,6,Flatbread,https://www.tasteatlas.com/Flatbreads,Knäckebröd,3.8,"Knäckebröd is the original name of this famous Swedish crispbread. Even though it is regarded as a bread variety, its crunchy texture and thin form have more similarities to crackers. The key ingredient is rye flour, which was the main e...",https://www.tasteatlas.com/knackebrod/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/semla,https://cdn.tasteatlas.com//images/dishes/e9c59029ee1043d9818c0b447add6d37.jpg?mw=660,7,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Semla,4.0,"is the famous Swedish cream bun. This traditional Swedish dessert is made with a plain wheat bread bun which is lightly flavored with cardamom, then cut in half. The inside is filled with a layer of delicious almond paste and a gene...",https://www.tasteatlas.com/semla/wheretoeat,,,,,,,,,,,,,Semla,,,,
https://www.tasteatlas.com/palt,https://cdn.tasteatlas.com//images/dishes/2a91c4f8e4ab4adaa29198ea81a786d8.jpg?mw=660,8,Dumplings,https://www.tasteatlas.com/Dumplings,Palt,,"The name palt refers to different varieties of popular Swedish dumplings that are created with grated raw potatoes and various fillings. They are usually associated with the north of Sweden and are commonly referred to as , after ...",https://www.tasteatlas.com/palt/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/sour-cream,https://cdn.tasteatlas.com/images/ingredientgroups/929559246bc24b9597fcefe8eef305f7.png?h=120&w=120,pitepalt,https://www.tasteatlas.com/norrbotten-county,https://cdn.tasteatlas.com/Images/Emblems/b4598555180f4ae3a1420f03f79ccca5.png,Norrbotten County,n/a
https://www.tasteatlas.com/smorgastarta,https://cdn.tasteatlas.com//images/dishes/2e964e3bf4ab4f2cadf096f163aa9b36.jpg?mw=660,9,Sandwich type,https://www.tasteatlas.com/sandwich-types,Smörgåstårta,3.3,"Smörgåstårta is a Swedish layer cake consisting of sandwiches: slices of white or rye bread, toppings, and fillings, frosted with cream cheese, mayonnaise, yogurt, or a combination, and garnished with various vegetables. Tradition...",https://www.tasteatlas.com/smorgastarta/wheretoeat,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/artsoppa,https://cdn.tasteatlas.com//Images/Dishes/81af09f6b7d44a92aef292c444c3a2de.jpg?mw=660,10,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Ärtsoppa,3.5,Ärtsoppa is a traditional Swedish yellow pea soup that was originally prepared from fast-growing peas. It was extremely popular among the poor people who used to cook all of the ingredients in the same pot because they didn't have more than o...,https://www.tasteatlas.com/artsoppa/wheretoeat,https://www.tasteatlas.com/Peas,https://cdn.tasteatlas.com/images/ingredientgroups/f49668f69a994008a384f5bdc71b7e8d.png?h=120&w=120,https://www.tasteatlas.com/cured-ham,https://cdn.tasteatlas.com/images/ingredientgroups/e24fe15038ed4b04b5ba1b336664583a.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/marjoram,https://cdn.tasteatlas.com/images/ingredientgroups/12b31184394747588ce88ac03cfa4f1d.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/cloves,https://cdn.tasteatlas.com/images/ingredientgroups/59dd76e264aa44b3890bec8a11722eac.png?h=120&w=120,,,,,
