search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/fondue,https://cdn.tasteatlas.com//Images/Dishes/79b9b4bc2e8140659f854da1dced600c.jpg?mw=660,1,Dipping Sauce,https://www.tasteatlas.com/dipping-sauces,Fondue,Best in   (Zürich),Swiss Chuchi,https://www.tasteatlas.com/SwissChuchi,"Fondue is Switzerland's national dish, a melting pot of different flavors and aromas, similar to the country itself–a melting pot of people and different cultures. Its name comes from the French word , meaning ...",https://www.tasteatlas.com/fondue/wheretoeat,https://www.tasteatlas.com/appenzeller,https://cdn.tasteatlas.com/images/dishes/4c2adc528593488db0ad922a1bf403ff.png?h=120&w=120,https://www.tasteatlas.com/emmental-de-savoie,https://cdn.tasteatlas.com/images/dishes/898cc9bde7d941799106686bcc18430a.png?h=120&w=120,https://www.tasteatlas.com/gruyere,https://cdn.tasteatlas.com/images/dishes/8b67006b35064933a5a2ae423e9ec8ff.png?h=120&w=120,https://www.tasteatlas.com/vacherin-fribourgeois,https://cdn.tasteatlas.com/images/dishes/036e803ddcf643cba8e750b3840e21fa.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,,,,
https://www.tasteatlas.com/meringue,https://cdn.tasteatlas.com//Images/Dishes/067b25afb8124d089b73c9e595a7ad62.jpg?mw=660,2,Dessert,https://www.tasteatlas.com/Desserts,Meringue,Best in   (Meiringen),Frutal,https://www.tasteatlas.com/Frutal-north-korea,"The sweet, airy, featherweight delicacy known as meringue is made with a handful of ingredients: egg whites, sugar, some kind of acid such as cream of tartar or vinegar, and the most important, although invisible component - air. Meringue is incre...",https://www.tasteatlas.com/meringue/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/cordon-bleu,https://cdn.tasteatlas.com//images/dishes/ed4e3c89a6e541a2acd6a61be25247df.jpg?mw=660,3,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Cordon Bleu,Best in   (Zürich),Rheinfelder Bierhalle,https://www.tasteatlas.com/RheinfelderBierhalle,"Cordon bleu is a very popular international dish with Swiss origins. In its most basic form, it consists of a meat cutlet that is filled with a thin slice of ham and cheese (usually Gruyère), breaded, and either deep-fried in hot oil, shall...",https://www.tasteatlas.com/cordon-bleu/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/emmentaler,https://cdn.tasteatlas.com/images/dishes/8d6cc2000c5a4444b4e7e1947e7b284b.png?h=120&w=120,https://www.tasteatlas.com/boiled-hams,https://cdn.tasteatlas.com/images/ingredientgroups/fb34b118929b46ddae86e0f84ab6d1d9.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,,,,
https://www.tasteatlas.com/raclette,https://cdn.tasteatlas.com//images/dishes/121615a703904269914afa48cfcf5091.jpg?mw=660,4,Cheese Dish,https://www.tasteatlas.com/cheese-dishes,Raclette,Best in   (Zermatt),Restaurant Whymper-Stube,https://www.tasteatlas.com/RestaurantWhymperStube,"Raclette is a national dish that shares its name with a slightly nutty Swiss cheese made from cow's milk, an appliance for preparing the dish, and a full dining experience. Extremely popular in the ski region Valais and other parts of the Swiss Al...",https://www.tasteatlas.com/raclette/wheretoeat,https://www.tasteatlas.com/fontina,https://cdn.tasteatlas.com/images/dishes/4fe018f8f63149009c495eb7a52f3eba.png?h=120&w=120,https://www.tasteatlas.com/gruyere,https://cdn.tasteatlas.com/images/dishes/8b67006b35064933a5a2ae423e9ec8ff.png?h=120&w=120,https://www.tasteatlas.com/raclette-de-savoie,https://cdn.tasteatlas.com/images/dishes/969738e9b34942d4ad2eba3ae237a1f3.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,,,,,https://www.tasteatlas.com/canton-of-valais,https://cdn.tasteatlas.com/images/emblems/e729e71beafd4e5b8a7c6a53370b60e0.png,Canton of Valais,
https://www.tasteatlas.com/zopf,https://cdn.tasteatlas.com//Images/Dishes/4645991de7a84959a267a02a3371da4c.jpg?mw=660,5,Bread,https://www.tasteatlas.com/Breads,Zopf,Best in   (Zürich),Conditorei Péclard im Schober,https://www.tasteatlas.com/ConditoreiPeclardImSchober,"Zopf is a traditional Swiss bread consisting of flour, butter, yeast, milk, and eggs. It is characterized by its soft texture and braided appearance, similar to the Jewish bread . Traditionally, zopf is prepared during the weekend ...",https://www.tasteatlas.com/zopf/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,,,,
https://www.tasteatlas.com/rosti,https://cdn.tasteatlas.com//Images/Dishes/da785950e41847d29aecbff22642576e.jpg?mw=660,6,Side Dish,https://www.tasteatlas.com/Sides,Rösti,Best in   (Zürich),Zeughauskeller,https://www.tasteatlas.com/zeughauskeller,"Rösti is a simple, buttery and fragrant national dish of Switzerland, a crispy crusted potato pancake with an appetizing golden color. It is a great side dish to traditional Swiss delicacies such as  (grilled calves' l...",https://www.tasteatlas.com/rosti/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bacon,https://cdn.tasteatlas.com/images/ingredientgroups/76f141b8f5694b728b11e0ea053b399e.png?h=120&w=120,https://www.tasteatlas.com/gruyere,https://cdn.tasteatlas.com/images/dishes/8b67006b35064933a5a2ae423e9ec8ff.png?h=120&w=120,https://www.tasteatlas.com/canton-of-bern,https://cdn.tasteatlas.com/images/emblems/949939d4ca1044b1b76c1cb7e6dda3df.png,Canton of Bern,
https://www.tasteatlas.com/fondue-bourguignonne,https://cdn.tasteatlas.com//images/dishes/e8918e3ffe544c4981b428a95793328a.jpg?mw=660,7,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Fondue Bourguignonne,,,,"Despite its French-sounding name, fondue Bourguignonne is Swiss in origin. It all started with field workers who didn't have time to go back home for a meal. They started bringing pots of oil to the field and came to cook pieces of meat (beef that...",https://www.tasteatlas.com/fondue-bourguignonne/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/swiss-meringue,https://cdn.tasteatlas.com//Images/Dishes/9c943ed1b82549d1af78a42b2c7dcc14.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Swiss Meringue,Best in   (Meiringen),Frutal,https://www.tasteatlas.com/Frutal-north-korea,"Fluffier than its French counterpart and as stable as its Italian counterpart, Swiss meringue is a light and airy concoction consisting of egg whites and sugar. The ingredients are steadily whisked over a  until they cool and de...",https://www.tasteatlas.com/swiss-meringue/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,,,,,,,,,,n/a
https://www.tasteatlas.com/cervelat,https://cdn.tasteatlas.com//images/dishes/481804fa7e81410393b2f7a97c828388.jpg?mw=660,9,Sausage,https://www.tasteatlas.com/Sausages,Cervelat,Best in   (Zürich),Sternen Grill,https://www.tasteatlas.com/sternen-grill,"Cervelat is the most popular Swiss sausage, made with pork or a combination of pork and beef. In Switzerland, it is typically mildly seasoned with mustard, garlic, and selected herbs and spices, while the German variety of cervelat is prepared wit...",https://www.tasteatlas.com/cervelat/wheretoeat,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/saffron-risotto,https://cdn.tasteatlas.com//images/dishes/f1437f00e4284e6d8760895d4b7e4555.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Saffron Risotto,,,,"Saffron risotto is a Ticino specialty, made with Swiss saffron that is grown in the canton of Valais. This hand-picked, dark red saffron is one of the best in the world, and it is often referred to as . Apart from it, the dish con...",https://www.tasteatlas.com/saffron-risotto/wheretoeat,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/saffron,https://cdn.tasteatlas.com/images/ingredientgroups/7e13c46cefc54903a5488b0b229a670c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/canton-of-ticino,https://cdn.tasteatlas.com/images/emblems/949f343904e045fcaca56a42d9776eaf.png,Canton of Ticino,n/a
https://www.tasteatlas.com/basler-lackerli,https://cdn.tasteatlas.com//images/dishes/d749762c667c46538866daf31b2bef93.jpg?mw=660,11,Cookie,https://www.tasteatlas.com/Cookies,Basler Läckerli,Best in   (Basel),Jakob's Basler Leckerly,https://www.tasteatlas.com/jakobs-basler-leckerly,"Basler läckerli is a hard, spiced Swiss biscuit consisting of hazelnuts, almonds, candied peel, honey, and Kirsch. These cookies are a specialty of Basel, where it is believed that they have been prepared ever since the Middle Ages. Once bake...",https://www.tasteatlas.com/basler-lackerli/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/basel,https://cdn.tasteatlas.com/images/emblems/8a111a30051a42f88a54d8982a5ca1b1.png,Basel,
https://www.tasteatlas.com/zurcher-geschnetzeltes,https://cdn.tasteatlas.com//images/dishes/cd5fe399614943baaba8935e24521b09.jpg?mw=660,12,Veal Dish,https://www.tasteatlas.com/veal-dishes,Zürcher Geschnetzeltes,,,,"Traditionally prepared with sliced veal strips, cream, beef stock, white wine, and often with the addition of mushrooms, Zürich-style veal – popularly known as Zürcher geschnetzeltes – first appeared in cookbooks in 1947, but...",https://www.tasteatlas.com/zurcher-geschnetzeltes/wheretoeat,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/zurich,https://cdn.tasteatlas.com/images/emblems/4e5daa882f684e08b7664d4ef991c13b.png,Zürich,n/a
https://www.tasteatlas.com/wahe,https://cdn.tasteatlas.com//images/dishes/9aea1748fbe6463ca891c993e1a90309.jpg?mw=660,13,Tart,https://www.tasteatlas.com/tarts,Wähe,,,,"Wähe is a delicious Swiss tart made in sweet and savory versions. The sweet version is prepared with seasonal fruits such as plums, apricots, rhubarb, and apples, while the savory ones typically include cheese, spinach, or onions, similar to ...",https://www.tasteatlas.com/wahe/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/capuns,https://cdn.tasteatlas.com//images/dishes/d529ce542e9643eb8235b1b3752138aa.jpg?mw=660,14,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Capuns,,,,"Capuns is a traditional Swiss dish originating from the canton of Graubünden. It is so popular that there is no fixed way of preparing it, and almost every family in the region has their own recipe, but it is usually made with a combination o...",https://www.tasteatlas.com/capuns/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/landjager,https://cdn.tasteatlas.com/images/dishes/f4b1454483424375990852d50c05e06f.png?h=120&w=120,https://www.tasteatlas.com/boiled-hams,https://cdn.tasteatlas.com/images/ingredientgroups/fb34b118929b46ddae86e0f84ab6d1d9.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/chard,https://cdn.tasteatlas.com/images/ingredientgroups/189e8669841a4f9c9c56f5b8498cbcd1.png?h=120&w=120,https://www.tasteatlas.com/canton-of-graubunden,https://cdn.tasteatlas.com/images/emblems/3cd6a8bcbbe34910ba21ad786d55b929.png,Canton of Graubünden,n/a
https://www.tasteatlas.com/papet-vaudois,https://cdn.tasteatlas.com//images/dishes/3b38a02773e0475aa5e36b5b5177e999.jpg?mw=660,15,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Papet Vaudois,Best in   (Lausanne),Pinte Besson,https://www.tasteatlas.com/pinte-besson,"Deeply rooted in the canton of Vaud as one of its signature dishes, papet Vaudois is a delicious hotpot of leeks and potatoes which are cooked together for hours until they reach the consistency of a , meaning . This h...",https://www.tasteatlas.com/papet-vaudois/wheretoeat,https://www.tasteatlas.com/saucisson-vaudais,https://cdn.tasteatlas.com/images/dishes/669f77b9d64641eabcbb61c7154dcad8.png?h=120&w=120,https://www.tasteatlas.com/leeks,https://cdn.tasteatlas.com/images/ingredientgroups/e5722e8831554305a7c507e79b4c3a99.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/chicken-stocks,https://cdn.tasteatlas.com/images/ingredientgroups/26ef22f9ecfa4b85961173e2165f1ab8.png?h=120&w=120,https://www.tasteatlas.com/canton-of-vaud,https://cdn.tasteatlas.com/images/emblems/dd6516d574354dc8950a0d4933f1209d.png,Canton of Vaud,n/a
https://www.tasteatlas.com/carac,https://cdn.tasteatlas.com//images/dishes/f819d4a384b14794beb30e3c45795edb.jpg?mw=660,16,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Carac,,,,"Carac is a small Swiss pastry prepared with shortbread pie crust, chocolate, cream, and green icing. It is especially popular in the French part of the country. Even though most of these pastries are prepared in smaller sizes, they can also be enl...",https://www.tasteatlas.com/carac/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/hefekranz,https://cdn.tasteatlas.com//images/dishes/4ee1dc97eaf240c2a209fb79563b0f99.jpg?mw=660,17,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Hefekranz,,,,"Hefekranz is a slightly sweet yeast bread that is shaped into a wreath, stuffed with raisins, and flavored with lemon zest. It is popular throughout Switzerland and Germany, especially at Easter and Christmas time, when it is traditionally prepare...",https://www.tasteatlas.com/hefekranz/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/birnbrot,https://cdn.tasteatlas.com//images/dishes/f4892e839ac44e588ee31e1d5b022308.jpg?mw=660,18,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Birnbrot,,,,"The delectable Swiss treat known as birnbrot is a pastry filled with dried pears as the key ingredient. Other ingredients might include walnuts, raisins, dried figs, some kind of alcohol (usually brandy) and spices such as cinnamon, cloves, corian...",https://www.tasteatlas.com/birnbrot/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/alplermagronen,https://cdn.tasteatlas.com//images/dishes/8c9c5f78e85943e897f2d4ff41406507.jpg?mw=660,19,Pasta,https://www.tasteatlas.com/pasta,Älplermagronen,,,,"Invented in the 1930s, Älplermagronen is a rustic Swiss dish that can be translated as , but it is more commonly known as . The key ingredients include macaroni pasta (usually",https://www.tasteatlas.com/alplermagronen/wheretoeat,https://www.tasteatlas.com/macaroni,https://cdn.tasteatlas.com/images/dishes/2b099b9dd3d44d72a94fdb895b55b396.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,n/a
