search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,search-results__item-description 2,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location src,item-location,score-text--na
https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com//Images/Dishes/7e45878178134a20aaff2d2246fd500c.jpg?mw=660,1,Dip,https://www.tasteatlas.com/dips,Tahini,3.8,"Tahini is a paste consisting of toasted and ground sesame seeds which are usually thinned with lemon juice and water. It is an incredibly versatile paste that can be served as a dip and consumed on its own, or as a condiment accompanying numerous ...",https://www.tasteatlas.com/tahini/wheretoeat,https://www.tasteatlas.com/Sesame-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/725082941a654eb0925163274078bea9.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,,,,,,,
https://www.tasteatlas.com/mahshi,https://cdn.tasteatlas.com//Images/Dishes/6253be9674dd4613a042d1a5365d8b18.jpg?mw=660,2,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Mahshi,4.8,"Mahshi is the name for a wide group of dishes which include a variety of vegetables stuffed with rice, vegetables, and meat. It is similar to  dishes, but the name is primarily used in Arabic, North African, and Eastern Mediterranean...",https://www.tasteatlas.com/mahshi/wheretoeat,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,dolma,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,,,,
https://www.tasteatlas.com/muhammara,https://cdn.tasteatlas.com//Images/Dishes/e5ea0a35377649898c08281ee5cd9f81.jpg?mw=660,3,Dip,https://www.tasteatlas.com/dips,Muhammara,4.5,"Muhammara is a nutritious dip originating from the Syrian city of Aleppo. It is made with a combination of roasted red peppers, olive oil, and ground walnuts. The peppers give the dish a particular sweetness and smoky flavor, while ground walnuts ...",https://www.tasteatlas.com/muhammara/wheretoeat,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/molasses,https://cdn.tasteatlas.com/images/ingredientgroups/c9234a3339e448149e70cb88c00f2ef5.png?h=120&w=120,,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,
https://www.tasteatlas.com/awameh,https://cdn.tasteatlas.com//Images/Dishes/fea25d21258f4b338e22d45ca6c60a17.jpg?mw=660,4,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Awameh,4.6,"Awameh is a sweet Syrian dish consisting of small balls of dough which are fried in hot oil and soaked in honey, cinnamon, or sugar syrup. Sometimes, awameh is sprinkled with sesame seeds. The name of the dish means  in Arabic, ref...",https://www.tasteatlas.com/awameh/wheretoeat,,,,,,,,,,,floater,,,,,,
https://www.tasteatlas.com/makdous,https://cdn.tasteatlas.com//images/dishes/253935c6ffbd48929430ec74e32ba4d8.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Makdous,4.1,"Oil-cured eggplants are a staple throughout Levantine and Middle Eastern cuisine. The dish is traditionally prepared with small-sized baby eggplants that are shortly boiled and stuffed with a flavorful mixture of roasted red peppers, walnuts, garl...",https://www.tasteatlas.com/makdous/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,
https://www.tasteatlas.com/booza,https://cdn.tasteatlas.com//images/dishes/ebf7587bed02488b95fd0a2198addfdd.jpg?mw=660,6,Ice Cream,https://www.tasteatlas.com/ice-creams,Booza,,"Booza is an ice cream variety that has its origins in the Levant and the Middle East. Apart from the standard ingredients such as milk, cream, and various flavoring additions, booza is thickened with —a thickener made from the ...",https://www.tasteatlas.com/booza/wheretoeat,,,,,,,,,,,salep,,,,,,n/a
https://www.tasteatlas.com/ballourieh,https://cdn.tasteatlas.com//images/dishes/6b7edd02e02d4a659a05b1c200db2cfe.jpg?mw=660,7,Dessert,https://www.tasteatlas.com/Desserts,Ballourieh,4.0,Ballourieh baklava consists of a pistachio filling that is placed between two layers of shredded  dough—similar to the one used in . This baklava variety is lightly baked because it needs to retain its typical...,https://www.tasteatlas.com/ballourieh/wheretoeat,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,kataifi,,,https://www.tasteatlas.com/aleppo,https://cdn.tasteatlas.com/images/emblems/86c40c0734014e68b1e2a5e44e74ffa3.png,Aleppo,
https://www.tasteatlas.com/halawet-el-jeben,https://cdn.tasteatlas.com//images/dishes/a1008d8c9b664b20a8fddda74ef7093c.jpg?mw=660,8,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Halawet el-jeben,5.0,"These sweet cheese rolls are a typical dessert commonly associated with Levantine and Arab countries, though it is believed they originated in the city of Hama in Syria. The dessert is made with a combination of semolina, water, rose water, sugar,...",https://www.tasteatlas.com/halawet-el-jeben/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/hama,,Hama,
https://www.tasteatlas.com/hummus-syria,https://cdn.tasteatlas.com//images/dishes/61d5db7fc3cc42c896813471d334d052.jpg?mw=660,9,Dip,https://www.tasteatlas.com/dips,Hummus,4.3,"This internationally popular, beige-colored spread is traditionally made with mashed chickpeas,  sesame paste, lemon juice, and garlic. People across the world love hummus for its tangy flavor and the fact that it is filled with nut...",https://www.tasteatlas.com/hummus-syria/wheretoeat,https://www.tasteatlas.com/tahini,https://cdn.tasteatlas.com/images/dishes/08e2555cf883451ca76b1a08c14a5247.png?h=120&w=120,https://www.tasteatlas.com/Chickpeas,https://cdn.tasteatlas.com/images/ingredientgroups/a2154e69886644589ba372adba14f005.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,tahini,,,,,,
https://www.tasteatlas.com/zilabiyah,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,10,Pancake,https://www.tasteatlas.com/pancakes,Zlebiye,,Zlebiye is a Syrian dessert that is usually enjoyed for breakfast. This traditional dish consists of thinly rolled dough that is shortly deep-fried before it is filled with —Levantine version of clotted cream—and the comb...,https://www.tasteatlas.com/zilabiyah/wheretoeat,,,,,,,,,,,ashta,,,,,,n/a
