search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/ugali,https://cdn.tasteatlas.com//Images/Dishes/985b4a554d78412095570839c5b09b3e.jpg?mw=660,1,Side Dish,https://www.tasteatlas.com/Sides,Ugali,"This unique, polenta-like side dish is a Tanzanian favorite, traditionally served for breakfast, lunch and dinner. Made by rolling a tiny bit of creamy, thick cornmeal paste (made from cooked white maize) in a hand until it forms into a ball, and ...",https://www.tasteatlas.com/ugali/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mchicha,https://cdn.tasteatlas.com//images/dishes/74bb396415974864b611c299280d3f1d.jpg?mw=660,2,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Mchicha,"Mchicha is the most popular Tanzanian dish. This thick and creamy vegetarian meal is usually prepared with leafy vegetables such as amaranth or spinach with added grated coconut, coconut milk, peanut butter, tomatoes, and onions. It is recommended...",https://www.tasteatlas.com/mchicha/wheretoeat,https://www.tasteatlas.com/spinach,https://cdn.tasteatlas.com/images/ingredientgroups/2218c5aa26ab49168e768f4bc72feddd.png?h=120&w=120,https://www.tasteatlas.com/coconuts,https://cdn.tasteatlas.com/images/ingredientgroups/43773d40b43a4beda98cca01bef445e0.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Peanut-butter,https://cdn.tasteatlas.com/images/ingredientgroups/6f7f150e3aae4b67b9b4102db715cba9.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120
https://www.tasteatlas.com/mshikaki,https://cdn.tasteatlas.com//images/dishes/96ce3395fcc4436f996b00fc13718bda.jpg?mw=660,3,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Mshikaki,"The name of this popular Tanzanian and Kenyan street food dish, mshikaki, refers to skewered pieces of marinated meat such as beef, goat, or mutton that is slowly cooked over hot coals. The meat is marinated in a combination of various herbs and s...",https://www.tasteatlas.com/mshikaki/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mandazi,https://cdn.tasteatlas.com//images/dishes/daee73a40f3049ffb2b7712a0e33feb7.jpg?mw=660,4,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Mandazi,"This African snack is very popular in countries such as Tanzania, Uganda, and Kenya. The dough is made with sugar, flour, water, yeast, and milk or coconut milk. It can be additionally enriched with ingredients such as ground peanuts or almonds. A...",https://www.tasteatlas.com/mandazi/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Almonds,https://cdn.tasteatlas.com/images/ingredientgroups/c6587193e7734331b4f484c821ccbede.png?h=120&w=120
https://www.tasteatlas.com/mchemsho,https://cdn.tasteatlas.com//images/dishes/5664afdd899942418a7d803b72bf3fc0.jpg?mw=660,5,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Mchemsho,"Mchemsho is a traditional dish from Northern Tanzania consisting of numerous ingredients such as potatoes, green beans, carrots, bananas, tomatoes, cabbage, eggplant, sweet peppers, and a variety of spices. The name of the dish can be translated a...",https://www.tasteatlas.com/mchemsho/wheretoeat,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Green-beans,https://cdn.tasteatlas.com/images/ingredientgroups/d49f2827cfa34480a91b4519569466a4.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Bananas,https://cdn.tasteatlas.com/images/ingredientgroups/f648aa29c948438fbf2b83a2cddaf7bf.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120
https://www.tasteatlas.com/zanzibar-pizza,https://cdn.tasteatlas.com//images/dishes/f8a109c9f15840f39617a4a266fcab13.jpg?mw=660,6,Street Food,https://www.tasteatlas.com/Street-food,Zanzibar pizza,"Although it shares the name with the traditional Italian dish, this version from Zanzibar does not have much in common with Italian pizza. It is made unleavened dough that is stretched thin and filled with various ingredients. When filled, the sid...",https://www.tasteatlas.com/zanzibar-pizza/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/ndizi-na-nyama,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,7,Stew,https://www.tasteatlas.com/Stews,Ndizi na nyama,"Ndizi na nyama is a popular Tanzanian dish using plantains or bananas (ndizi) and meat (nyama) as the main ingredients. Apart from those, the stew is made with curry powder, cayenne pepper, oil, onions, tomatoes, tomato paste, and coconut milk. Th...",https://www.tasteatlas.com/ndizi-na-nyama/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/chipsi-mayai,https://cdn.tasteatlas.com//images/dishes/3aab12d9a19444d8ad322b8ff20c6d32.jpg?mw=660,8,Egg Dish,https://www.tasteatlas.com/egg-dishes,Chipsi mayai,"Chipsi mayai or  is a staple of Tanzanian street food. French fries are combined with eggs to make a dish that is similar to an omelet with fries dispersed throughout it. Alternatively, the dish can be made with additional i...",https://www.tasteatlas.com/chipsi-mayai/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120
https://www.tasteatlas.com/wali-wa-nazi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Wali wa nazi,"Wali wa nazi is a starchy side dish consisting of rice cooked in a combination of coconut milk and water. It is usually seasoned only with salt. This creamy dish is usually served as an accompaniment to various curries or chicken, fish, and meat d...",https://www.tasteatlas.com/wali-wa-nazi/wheretoeat,,,,,,,,,,,,
https://www.tasteatlas.com/mchuzi-wa-samaki,https://cdn.tasteatlas.com//images/dishes/d398f08b537c4c319ff062072f3f4f10.jpg?mw=660,10,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Mchuzi wa samaki,"Mchuzi wa samaki is a Swahili dish consisting of fish that is cooked in a combination of onions, oil, garlic, curry powder, tomatoes, water, and lemon juice. The dish is often additionally flavored with freshly chopped coriander. After it has been...",https://www.tasteatlas.com/mchuzi-wa-samaki/wheretoeat,,,,,,,,,,,,
