search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,score-text--na
https://www.tasteatlas.com/pad-thai,https://cdn.tasteatlas.com//images/dishes/ad3ef1fb39eb42958e7462961951e45c.jpg?mw=660,1,Noodle Dish,https://www.tasteatlas.com/Noodles,Pad Thai,4.2,Best in   (Bangkok),Thip Samai,https://www.tasteatlas.com/ThipSamai,"Pad Thai is Thailand's national dish, a flavorful stir-fry ( in Thai) dish consisting of rice noodles, tofu, dried shrimp, bean sprouts, and eggs. If it's made with meat, chicken and pork are some of the most popular choices. The flavo...",pad,READ MORE,https://www.tasteatlas.com/pad-thai/wheretoeat,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/Peanuts,https://cdn.tasteatlas.com/images/ingredientgroups/2880e31ec7bc4b538f2d2884786b69c3.png?h=120&w=120,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Bean-sprouts,https://cdn.tasteatlas.com/images/ingredientgroups/cb386a4f4d0b44c3be41be20a039b18b.png?h=120&w=120,https://www.tasteatlas.com/Turnips,https://cdn.tasteatlas.com/images/ingredientgroups/e063a9431e8f4714b9ef42b808482935.png?h=120&w=120,,,
https://www.tasteatlas.com/thai-curry,https://cdn.tasteatlas.com//Images/Dishes/4dccb29bd2ee4ba1800699a4f6c23413.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Thai Curry,4.3,Best in   (Bangkok),Supanniga Eating Room,https://www.tasteatlas.com/SupannigaEatingRoom,"Thai curry is usually a soupy dish consisting of coconut milk or water, meat, and curry paste. Unlike the thicker Indian curries, Thai curries have a more soup-like consistency, and the cooks prefer to use fresh herbs and aromatic leaves instead o...",,READ MORE,https://www.tasteatlas.com/thai-curry/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/shrimp-paste,https://cdn.tasteatlas.com/images/dishes/bc7f81b6fdb74746a59d2abb0835c07c.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,,,
https://www.tasteatlas.com/tom-yum,https://cdn.tasteatlas.com//Images/Dishes/4eb244d172a44fe7b0a7379e03a7ba89.jpg?mw=660,3,Soup,https://www.tasteatlas.com/Soups,Tom yum,4.4,Best in   (Bangkok),P'Aor,https://www.tasteatlas.com/PAor,"Tom Yum is one of the best known Thai dishes, a spicy, sour, and aromatic soup that is traditionally served with rice. It consists of shallots, lemongrass, fish sauce, minced fresh ginger or galangal, shrimps, mushrooms, kaffir lime leaves, lime j...",,READ MORE,https://www.tasteatlas.com/tom-yum/wheretoeat,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/Limes,https://cdn.tasteatlas.com/images/ingredientgroups/64e50731ad814053bbaa3e63f1006784.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,,,
https://www.tasteatlas.com/kaeng-khiao-wan,https://cdn.tasteatlas.com//Images/Dishes/a420a0493a9b419d91f4d7b2f3dc3606.jpg?mw=660,4,Stew,https://www.tasteatlas.com/Stews,Green Curry,4.4,Best in   (Bangkok),Benjarong,https://www.tasteatlas.com/Benjarong,"Kaeng khiao wan is a traditional Thai name for the fiery green curry. Although the name translates to , it merely refers to the color, which is known as . Thai green curry is a dish based on fragrant a...",sweet green curry,READ MORE,https://www.tasteatlas.com/kaeng-khiao-wan/wheretoeat,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/shrimp-paste,https://cdn.tasteatlas.com/images/dishes/bc7f81b6fdb74746a59d2abb0835c07c.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/kaffir-lime-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ae123787cd1f49d997c0da65441cbdca.png?h=120&w=120,https://www.tasteatlas.com/central-thailand,Central Thailand,
https://www.tasteatlas.com/yellow-curry,https://cdn.tasteatlas.com//Images/Dishes/272a57ca6437461288b69f6f1588de03.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Yellow Curry,4.1,Best in   (Phuket),Raya Thai Restaurant,https://www.tasteatlas.com/RayaThaiRestaurant,"One of three major curry types in Thailand is the famous yellow curry. Similar to its red and green counterparts, yellow curry is also made with spices such as coriander, cumin, lemongrass, kaffir leaves, garlic, galangal, and numerous other aroma...",,READ MORE,https://www.tasteatlas.com/yellow-curry/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Duck,https://cdn.tasteatlas.com/images/ingredientgroups/0a14c8f14ae348468a1f8f23c4738bef.png?h=120&w=120,https://www.tasteatlas.com/tofu,https://cdn.tasteatlas.com/images/dishes/9a7358d6b7dc42cb8156a394d174dc44.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,,,
https://www.tasteatlas.com/som-tam,https://cdn.tasteatlas.com//Images/Dishes/eff874245bd145739d6cf2f56e54743f.jpg?mw=660,6,Salad,https://www.tasteatlas.com/Salads,Som tam,4.0,Best in   (Bangkok),Somtum Der,https://www.tasteatlas.com/somtum-der,"Som tam is a green papaya salad mostly associated with the northeastern part of Thailand (Isaan), though it is often suggested that it first appeared in Laos.  Apart from thin strips of green papaya, this salad usually includes roasted peanuts, gr...",,READ MORE,https://www.tasteatlas.com/som-tam/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/tom-kha-gai,https://cdn.tasteatlas.com//Images/Dishes/9bf54bc8b6ae431db23b5919b7442ce9.jpg?mw=660,7,Chicken Soup,https://www.tasteatlas.com/chicken-soups,Tom kha gai,4.3,Best in   (Bangkok),Nahm Restaurant,https://www.tasteatlas.com/NahmRestaurant,"Tom kha gai is Thailand's delicious national dish coming from the north and bearing the influence of neighbouring Laos. It is a soup whose name translates to , consisting of coconut milk, chicken chunks or shre...",boiled galangal chicken soup,READ MORE,https://www.tasteatlas.com/tom-kha-gai/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/bird's-eye-chili,https://cdn.tasteatlas.com/images/ingredientgroups/4620219ecaba4005b20188e567a64cf0.png?h=120&w=120,https://www.tasteatlas.com/northern-thailand,Northern Thailand,
https://www.tasteatlas.com/red-curry,https://cdn.tasteatlas.com//Images/Dishes/4498dce9deb94b6aba4c6b221269f307.jpg?mw=660,8,Stew,https://www.tasteatlas.com/Stews,Red Curry,4.3,Best in   (Bangkok),Sra Bua,https://www.tasteatlas.com/SraBua,"Red curry is one of the most common curry varieties in Thailand. It combines red curry paste, coconut milk, vegetables and meat into a delectable and hearty meal. Red curry paste and coconut milk are the foundations of the dish, and their combinat...",,READ MORE,https://www.tasteatlas.com/red-curry/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/tofu,https://cdn.tasteatlas.com/images/dishes/9a7358d6b7dc42cb8156a394d174dc44.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/shrimp-paste,https://cdn.tasteatlas.com/images/dishes/bc7f81b6fdb74746a59d2abb0835c07c.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120,,,
https://www.tasteatlas.com/massaman-curry,https://cdn.tasteatlas.com//Images/Dishes/9cac129f40d9404e9f1d759809ab7dd6.jpg?mw=660,9,Stew,https://www.tasteatlas.com/Stews,Massaman Curry,4.6,Best in   (Bangkok),Issaya Siamese Club,https://www.tasteatlas.com/IssayaSiameseClub,"Out of all Thai curry varieties, massaman curry stands out as the mildest, sweetest, and the most unusual type. It is a combination of creamy coconut milk, meat, potatoes, and a curry paste made with roasted spices. Coconut milk is the authentic T...",,READ MORE,https://www.tasteatlas.com/massaman-curry/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/tamarind,https://cdn.tasteatlas.com/images/ingredientgroups/3bc14d735a994464870f3aae64819a42.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/galangal,https://cdn.tasteatlas.com/images/dishes/c52b694f5b164f788edfb48fc570081f.png?h=120&w=120,,,
https://www.tasteatlas.com/kai-yang,https://cdn.tasteatlas.com//Images/Dishes/e23aa44f612441058cec7d8c0628fd42.jpg?mw=660,10,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Thai Grilled Chicken (Kai yang),4.1,Best in   (Chiang Mai),SP Chicken,https://www.tasteatlas.com/SPChicken,"Kai yang is a poultry dish made by grilling or barbecuing a whole, marinated chicken. Although the dish has origins with the Lao people of northeastern Thailand, today it is extremely popular and commonly eaten throughout the country. The chicken ...",,READ MORE,https://www.tasteatlas.com/kai-yang/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/soy-sauce,https://cdn.tasteatlas.com/images/dishes/116312067a6b48b8aecf081cff370499.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/white-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/c2d23bb0f25c4d1389eb94230df1d272.png?h=120&w=120,https://www.tasteatlas.com/fish-sauces,https://cdn.tasteatlas.com/images/ingredientgroups/1e20b1af90c8483681f1e48f8b082f11.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/northeastern-thailand,Northeastern Thailand,
