search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group,h2,score-text--na,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,read-more,search-results__item-link href 2,search-results__item-description 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6
https://www.tasteatlas.com/trinidad-pelau,https://cdn.tasteatlas.com//Images/Dishes/d92a780540184408aeafc3ebce9f4349.jpg?mw=660,1,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Trinidad pelau,n/a,Best in   (Diego Martin),El Pecos Grill,https://www.tasteatlas.com/el-pecos-grill,"Pelau is a savory Trini dish consisting of meat such as beef or chicken combined with rice, vegetables, fresh herbs, and coconut milk. Meat is traditionally browned in sugar before it gets mixed with other ingredients. The dish is usually cooked i...",READ MORE,https://www.tasteatlas.com/trinidad-pelau/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/doubles,https://cdn.tasteatlas.com//images/dishes/411eac15afce4c66a1e2d40a5f1926ab.jpg?mw=660,2,Street Food,https://www.tasteatlas.com/Street-food,Doubles,,Best in   (San Juan),Ali's Doubles Barataria,https://www.tasteatlas.com/alis-doubles-barataria,"Doubles is a staple of Trini street food, a sandwich that consists of two fried flatbreads () filled with curried chickpeas (). It is believed that doubles were invented in 1936 in Princes Town, and nowadays they ...",READ MORE,https://www.tasteatlas.com/doubles/wheretoeat,bara,,,,,,,,,,,,
https://www.tasteatlas.com/bake-and-shark,https://cdn.tasteatlas.com//Images/Dishes/9c1d90dd206a4b90a2bf3e76079f0db0.jpg?mw=660,3,Street Food,https://www.tasteatlas.com/Street-food,Bake and Shark,n/a,Best in   (Maracas Bay Village),Richard's Bake and Shark,https://www.tasteatlas.com/richards-bake-and-shark,"Bake and shark is a unique Trini street food item that is especially popular at concerts, festivals, and celebrations. It consists of marinated or seasoned pieces of shark meat, sauces, chutneys, and vegetables in a flatbread known as",,https://www.tasteatlas.com/bake-and-shark/wheretoeat,bakeREAD MORE,,,,,,,,,,,,
https://www.tasteatlas.com/fish-broth,https://cdn.tasteatlas.com//images/dishes/4ad76c17b9d34b70910edfda41907974.jpg?mw=660,4,Fish Soup,https://www.tasteatlas.com/fish-soups,Fish Broth,n/a,,,,"Fish broth is a flavorful Trini soup made with vegetables, fresh herbs, fish, and either pasta or dumplings. It is believed that the broth tastes even better the next day when it gets reheated. The dish varies from one household or restaurant to t...",READ MORE,https://www.tasteatlas.com/fish-broth/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/curried-crab-and-dumplings,https://cdn.tasteatlas.com//images/dishes/5740bdd1c5a8401f9c0be4de86c275b6.jpg?mw=660,5,Stew,https://www.tasteatlas.com/Stews,Curried Crab and Dumplings,n/a,Best in   (Crown Point),Miss Jean's,https://www.tasteatlas.com/miss-jeans,"Curried crab and dumplings is a traditional dish originating from Trinidad and Tobago. The crabs are cleaned, soaked in lime water, then drained. They are then seasoned with celery, pimento peppers, onions, garlic, and chives. After the crabs have...",READ MORE,https://www.tasteatlas.com/curried-crab-and-dumplings/wheretoeat,,https://www.tasteatlas.com/crabs,https://cdn.tasteatlas.com/images/ingredientgroups/37e8f7030f474704ac241bb0695a92f9.png?h=120&w=120,https://www.tasteatlas.com/coconut-milk,https://cdn.tasteatlas.com/images/ingredientgroups/9e4011ca64234cd0970eaa28d844f4b1.png?h=120&w=120,https://www.tasteatlas.com/Celeries,https://cdn.tasteatlas.com/images/ingredientgroups/b9d0fcf664294ab78c4b05feeed690b9.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120
https://www.tasteatlas.com/coconut-bake,https://cdn.tasteatlas.com//images/dishes/d7ff91a24e5c4bd18cd819747768c307.jpg?mw=660,6,Bread,https://www.tasteatlas.com/Breads,Coconut Bake,n/a,,,,"Coconut bake is a popular Trini bread characterized by its dense yet light texture. It consists of flour, coconut milk, grated coconut, butter, and brown sugar. The bread is traditionally flat and round, and it is served with saltfish, tomatoes, b...",READ MORE,https://www.tasteatlas.com/coconut-bake/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/curry-duck,https://cdn.tasteatlas.com//images/dishes/943f4598c0884e08946d1e98cc677300.jpg?mw=660,7,Duck Dish,https://www.tasteatlas.com/duck-dishes,Curry Duck,n/a,,,,"Curry duck is a popular Caribbean dish, especially in Trinidad and Tobago. Duck used in this type of curry is the , which is typically raised by many village folks on the island. The meat is traditionally marinated in a combination...",READ MORE,https://www.tasteatlas.com/curry-duck/wheretoeat,Muscovy,https://www.tasteatlas.com/Duck,https://cdn.tasteatlas.com/images/ingredientgroups/0a14c8f14ae348468a1f8f23c4738bef.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/curry-powders,https://cdn.tasteatlas.com/images/ingredientgroups/09b56b89a52c4d2191a3f0396ca9a473.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120
https://www.tasteatlas.com/saltfish-buljol,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,8,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Saltfish buljol,n/a,,,,"Saltfish buljol is a spicy Trini dish made by soaking and boiling pieces of salted fish, then blending them with tomatoes, hot peppers, sweet peppers, onions, and oil. The dish is most commonly enjoyed as a hearty breakfast, when it is placed into...",READ MORE,https://www.tasteatlas.com/saltfish-buljol/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/soursop-ice-cream,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Ice Cream,https://www.tasteatlas.com/ice-creams,Soursop Ice Cream,n/a,Best in   (San Fernando),The Dreamy Creamy Ice Cream Company,https://www.tasteatlas.com/the-dreamy-creamy-ice-cream-company,"Soursop ice cream is a Caribbean dessert that is especially popular in Trinidad and Tobago. It is made with ripe soursop, water, cornstarch, condensed milk, salt, and sometimes a few splashes of bitters. After the combination has been churned, it ...",READ MORE,https://www.tasteatlas.com/soursop-ice-cream/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/sawine,https://cdn.tasteatlas.com//images/dishes/b83dfaddea03415ebaf02b1c4a230e4b.jpg?mw=660,10,Dessert,https://www.tasteatlas.com/Desserts,Sawine,n/a,,,,"Sawine is a Trini dessert that is traditionally prepared on Eid ul fitr, a Muslim holiday. It is made with vermicelli noodles, almonds, sugar, milk, cinnamon, and raisins. The vermicelli are first parched until golden brown, then cooked in milk un...",READ MORE,https://www.tasteatlas.com/sawine/wheretoeat,,,,,,,,,,,,,
