search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/Couscous-tunisia,https://cdn.tasteatlas.com//Images/Dishes/d0e38ceb77094c56b5a6c756f481bdb6.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Couscous (dish),4.1,Best in   (Tunis),Dar El Jeld,https://www.tasteatlas.com/DarElJeld,"Numerous tiny, light, tender grains, ideally arranged to form a pyramid and served on a platter at the end of a meal - that is couscous, the national dish of Morocco and a must-have dish in any Moroccan restaurant. The word itself refers both to t...",https://www.tasteatlas.com/Couscous-tunisia/wheretoeat,https://www.tasteatlas.com/semolinas,https://cdn.tasteatlas.com/images/ingredientgroups/40a3aac8a540413980b541cbfd7f3646.png?h=120&w=120,,,,,,,,,,,
https://www.tasteatlas.com/shakshouka,https://cdn.tasteatlas.com//Images/Dishes/16db5759e81b4166a0eb8bccaa211e6a.jpg?mw=660,2,Egg Dish,https://www.tasteatlas.com/egg-dishes,Shakshouka,4.2,,,,"Shakshouka is a delicious combination of eggs poached in a spicy tomato sauce. Although it has an unusual name, the dish is straightforward and easy to make. It is usually made in a skillet in which onions, tomatoes, and spices are cooked until th...",https://www.tasteatlas.com/shakshouka/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,
https://www.tasteatlas.com/brik,https://cdn.tasteatlas.com//Images/Dishes/c658b5d1dccc432e853f1c2daa329455.jpg?mw=660,3,Savory Pastry,https://www.tasteatlas.com/savory-pastry,Brik,4.5,Best in   (La Goulette),Restaurant Chez Mohssen,https://www.tasteatlas.com/RestaurantChezMohssen,"Tunisian brik is a popular dish that incorporates flaky dough filled with a variety of savory ingredients. Traditionally,  dough is used to create brik, but the more available phyllo pastry is commonly used as a replacement. Brik ...",https://www.tasteatlas.com/brik/wheretoeat,https://www.tasteatlas.com/tuna,https://cdn.tasteatlas.com/images/ingredientgroups/4e4cfd59133b4cecb5ba6f2d60f1988d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/harissa-tunisia,https://cdn.tasteatlas.com/images/dishes/76d6beed5245423dbbd7c32488369bd4.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/mechouia,https://cdn.tasteatlas.com//images/dishes/21b23c5c659c412598d62c0cb42946ce.jpg?mw=660,4,Salad,https://www.tasteatlas.com/Salads,Mechouia Salad,4.8,Best in   (Tunis),Dar El Jeld,https://www.tasteatlas.com/DarElJeld,"Mechouia is a Tunisian salad made with grilled, coarsely chopped onions, peppers, tomatoes, and garlic, drizzled with olive oil and seasoned with caraway, salt, and black pepper. The salad is then typically garnished with hard-boiled eggs, olives,...",https://www.tasteatlas.com/mechouia/wheretoeat,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Peppers,https://cdn.tasteatlas.com/images/ingredientgroups/6907265facb2440399ccfa3e56381c45.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/caraway,https://cdn.tasteatlas.com/images/ingredientgroups/09d9a789fcdb43c1839777b7e1b8d9d2.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,
https://www.tasteatlas.com/fricassee,https://cdn.tasteatlas.com//images/dishes/901868bab2064ccfa4b223ecde5bb95f.jpg?mw=660,5,Sandwich,https://www.tasteatlas.com/sandwiches,Fricassee,4.5,Best in   (Tunis),Weld Elhaj,https://www.tasteatlas.com/weld-elhaj,"Fricassee is a traditional Tunisian sandwich that's packed with flavor, but also with lots of calories. The base is made with flour, eggs, oil, salt, water, and yeast, and it is then shaped into round or elongated rolls which are fried in hot oil ...",https://www.tasteatlas.com/fricassee/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/lablabi,https://cdn.tasteatlas.com//Images/Dishes/74219c2b001f4fbd80ef418ae398d142.jpg?mw=660,6,Vegetable Soup,https://www.tasteatlas.com/vegetable-soups,Lablabi,4.5,,,,"Tunisian chickpea soup is a real working class staple — cheap, quick to prepare, filling, and commonly found at inexpensive restaurants. Lablabi is a hot and spicy dish, also quite greasy and heavy, and typically flavored with garlic, cumin,...",https://www.tasteatlas.com/lablabi/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kafteji,https://cdn.tasteatlas.com//images/dishes/31cd64e211564c3a8a8485f42e014773.jpg?mw=660,7,Vegetable Dish,https://www.tasteatlas.com/Vegetable-dishes,Kafteji,4.8,,,,"Kafteji is a traditional Tunisian dish made with fried vegetables. Typical veggies used in the dish include eggplants, bell peppers, potatoes, tomatoes, zucchinis, and pumpkins. The vegetables are fried, chopped, then combined with (often fried) e...",https://www.tasteatlas.com/kafteji/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,
https://www.tasteatlas.com/msemen-tunisia,https://cdn.tasteatlas.com//images/dishes/fd0c424307ef46cf9eeca0547577d0f3.jpg?mw=660,8,Flatbread,https://www.tasteatlas.com/Flatbreads,Msemen,4.4,,,,"Msemen is a traditional Moroccan flatbread made with a combination of flour, semolina, sugar, salt, yeast, warm water, oil, and clarified butter. The dough is kneaded until it becomes smooth, and pieces of it are then flattened and shaped into squ...",https://www.tasteatlas.com/msemen-tunisia/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/bambalouni,https://cdn.tasteatlas.com//images/dishes/6510c9cda49a4d0bbf69d7fee76fafde.jpg?mw=660,9,Deep-fried Dessert,https://www.tasteatlas.com/deep-fried-desserts,Bambalouni,4.1,,,,"Bambalouni are traditional Tunisian doughnuts that are especially popular in the village of Sidi Bou Said. They are made with flour, hot water, yeast, and salt. After the dough has been prepared, it is fried in hot oil until golden brown, and the ...",https://www.tasteatlas.com/bambalouni/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kamounia-tunisia,https://cdn.tasteatlas.com//images/dishes/4f5e07f129e34151b65417af306577bb.jpg?mw=660,10,Stew,https://www.tasteatlas.com/Stews,Kamounia,,,,,"Kamounia is a traditional dish that's a part of Tunisian, Egyptian, and Sudanese cuisine. This hearty stew is usually prepared with beef, liver, and cumin. Variations exist, so lamb is sometimes used instead of the beef, and there are also differe...",https://www.tasteatlas.com/kamounia-tunisia/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/houria,https://cdn.tasteatlas.com//images/dishes/d810215f24064a8b9ed1831a0985fabb.jpg?mw=660,11,Salad,https://www.tasteatlas.com/Salads,Houria,4.1,,,,"Houria is a Tunisian salad made with carrots, harissa, garlic, vinegar, olive oil, caraway seeds, and salt. The salad is inexpensive and very easy to prepare. The carrots should be boiled and then lightly smashed into a purée. The pur&eacut...",https://www.tasteatlas.com/houria/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/kaak-warka,https://cdn.tasteatlas.com//images/dishes/b4f2678c2d8947e09a330b5af3a72e5d.jpg?mw=660,12,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Kaak warka,,,,,"Kaak warka are traditional Tunisian pastries shaped into rings, making them visually similar to donuts. They're filled with marzipan that's flavored with rosewater. This sweet pastry is made with a combination of flour, butter, water, almonds, sug...",https://www.tasteatlas.com/kaak-warka/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/makroudh-tunisia,https://cdn.tasteatlas.com//images/dishes/20be901e4d8b4d2097d9543fa82d4916.jpg?mw=660,13,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Makroudh,3.4,,,,"Makroudh is a famous North African dessert which usually consists of a sweet date filling that is placed inside semolina dough. It is fried or baked, and then doused in honey-based syrups which are often flavored with lemon or orange. The name der...",https://www.tasteatlas.com/makroudh-tunisia/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/assidat-zgougou,https://cdn.tasteatlas.com//images/dishes/9f2317fbaf4049699bfc49b0480e29ab.jpg?mw=660,14,Dessert,https://www.tasteatlas.com/Desserts,Assidat zgougou,,,,,"Assidat zgougou is a traditional Tunisian dessert made with a combination of seeds of Aleppo pine, sugar, flour, starch, water, and rosewater. The zgougou seeds are ground and combined with the sugar, flour, and starch, then stirred continuously w...",https://www.tasteatlas.com/assidat-zgougou/wheretoeat,,,,,,,,,,,,,n/a
