search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,item-location href,item-location,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/borek,https://cdn.tasteatlas.com//images/dishes/44cdf26d39234f5aa01b70030e4e848c.jpg?mw=660,1,Pastry,https://www.tasteatlas.com/pastry,Börek,4.2,Best in   (Şişli),Borsa,https://www.tasteatlas.com/borsa,"Börek is a baked dish consisting of a savory or sweet filling wrapped in  - thinly stretched sheets of dough made with flour, water, and salt. Heartier than phyllo, but thinner than a tortilla, hand-made yufka is typically brush...",yufka,READ MORE,https://www.tasteatlas.com/borek/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/maras-dondurmas,https://cdn.tasteatlas.com//images/dishes/fe96f8fb9ec848bfb3dd109472d1c188.jpg?mw=660,2,Ice Cream,https://www.tasteatlas.com/ice-creams,Dondurma,4.5,Best in   (Beşiktaş),Mini Dondurma,https://www.tasteatlas.com/mini-dondurma,"Turkish ice cream is believed to originate from the city of Maraş—hence the name—and what really sets it apart from other varieties is its resistance to melting and a particularly dense, chewy texture. These qualities are brought by ad...",,READ MORE,https://www.tasteatlas.com/maras-dondurmas/wheretoeat,https://www.tasteatlas.com/kahramanmaras,Kahramanmaraş,https://www.tasteatlas.com/masticha-chiou,https://cdn.tasteatlas.com/images/dishes/4e3923be3a8946d9a56c0ab59fbdeb72.png?h=120&w=120,https://www.tasteatlas.com/salep,https://cdn.tasteatlas.com/images/dishes/809d44f0980649fe801526802bedb169.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,,,
https://www.tasteatlas.com/sarma,https://cdn.tasteatlas.com//images/dishes/abbef07b6054405a8b2305db7beca93e.jpg?mw=660,3,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sarma,4.4,Best in   (Beyoğlu),Hayvore,https://www.tasteatlas.com/hayvore,"One of the staples of traditional Turkish cuisine, sarma consists of a filling that is snugly surrounded by leaves or leafy vegetables. There are numerous versions of this dish but the mixture typically combines ingredients such as minced meat, ri...",,READ MORE,https://www.tasteatlas.com/sarma/wheretoeat,,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/chard,https://cdn.tasteatlas.com/images/ingredientgroups/189e8669841a4f9c9c56f5b8498cbcd1.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,
https://www.tasteatlas.com/kofte,https://cdn.tasteatlas.com//images/dishes/152cb7ea0d3947b8bb61cec0428391ca.jpg?mw=660,4,Meatballs,https://www.tasteatlas.com/meatballs,Köfte,4.2,Best in   (Fatih),Develi Kebap,https://www.tasteatlas.com/develi-kebap,"Kofta or  are walnut-sized fried meatballs, usually made from ground beef or lamb. It is a popular Turkish meze dish that is often prepared for special occasions and cocktail parties, since the meatballs are quite easy to prepar...",köfte,READ MORE,https://www.tasteatlas.com/kofte/wheretoeat,,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/manti,https://cdn.tasteatlas.com//images/dishes/6b66f5a7a8aa4ff8bf8a062f1cd6330b.jpg?mw=660,5,Dumplings,https://www.tasteatlas.com/Dumplings,Manti,4.5,Best in   (Beyoğlu),Yeni Lokanta-Bar,https://www.tasteatlas.com/YeniLokantaBar,"Manti are traditional Turkish dumplings filled with spiced ground meat and onions. The dumplings are most commonly topped with a sauce consisting of yogurt and garlic. The name of the dish is derived from , meaning ...",mantu,READ MORE,https://www.tasteatlas.com/manti/wheretoeat,,,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,
https://www.tasteatlas.com/baklava,https://cdn.tasteatlas.com//images/dishes/853d8bcd768b4c18bd880fb52e9d731b.jpg?mw=660,6,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Baklava,4.4,Best in   (Beyoğlu),Karaköy Güllüoğlu,https://www.tasteatlas.com/KarakoyGulluoglu,"The remarkable baklava is a luscious dessert created with layers of thin phyllo dough intertwined with chopped nuts, all doused in a sweet, viscous syrup. The popularity of baklava has long surpassed borders, regions, and ethnic groups to become a...",,READ MORE,https://www.tasteatlas.com/baklava/wheretoeat,,,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Pistachios,https://cdn.tasteatlas.com/images/ingredientgroups/c0084d87b3e6428a97e3a1585f3c03c4.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,,,
https://www.tasteatlas.com/dolma,https://cdn.tasteatlas.com//Images/Dishes/9dfe8ce1742c474586de7a8baf07aa63.jpg?mw=660,7,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Dolma,4.0,Best in   (Fatih),Asitane Restaurant,https://www.tasteatlas.com/AsitaneRestaurant,"Dolma is Turkey's national dish, and it signifies any sort of vegetable stuffed with a mixture based on rice. For traditional dolma, grape leaves are stuffed with rice and ground meat. Stuffed leaves were first made at the court of King Khusrow II...",,READ MORE,https://www.tasteatlas.com/dolma/wheretoeat,,,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/grape-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/d513c688debe447ab21222e865ca9924.png?h=120&w=120,https://www.tasteatlas.com/Zucchini,https://cdn.tasteatlas.com/images/ingredientgroups/b118fad654154a94b7a4889f7e5f70fa.png?h=120&w=120,
https://www.tasteatlas.com/lokum,https://cdn.tasteatlas.com//Images/Dishes/0bca9de6109a47189a7a1961e2b9c0da.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Lokum,3.7,Best in   (Fatih),Hafız Mustafa,https://www.tasteatlas.com/hafiz-mustafa-eminonu,"Lokum are succulent, sugary cubes from Turkey based on a gel of starch and sugar. Traditionally, lokum is flavored with rose water, lemon, bergamot orange, mastic, or mint, but the Turkish favorite remains a lokum of plain jelly combined with pist...",,READ MORE,https://www.tasteatlas.com/lokum/wheretoeat,https://www.tasteatlas.com/istanbul,Istanbul,https://www.tasteatlas.com/corn-starch,https://cdn.tasteatlas.com/images/ingredientgroups/dfa4af586b3845a8b4e676e648dbf1eb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/rose-waters,https://cdn.tasteatlas.com/images/ingredientgroups/e796f033c53745bf934c231bb17c0e1b.png?h=120&w=120,https://www.tasteatlas.com/gelatin,https://cdn.tasteatlas.com/images/ingredientgroups/76ed8cb8d1614ed3ad1a00cc06313dbe.png?h=120&w=120,,,
https://www.tasteatlas.com/doner-kebab,https://cdn.tasteatlas.com//images/dishes/1681a82d605f4791963eb268acf0978d.jpg?mw=660,9,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Döner kebab,4.4,Best in   (Beykoz),Bayramoğlu Döner,https://www.tasteatlas.com/BayramogluDoner,"Döner kebab is a delicacy that is known throughout the world, consisting of grilled pieces of meat that are shredded from a vertical skewer. The meat is typically seasoned with fresh herbs and spices. Originally, the meat used in döner w...",,READ MORE,https://www.tasteatlas.com/doner-kebab/wheretoeat,https://www.tasteatlas.com/bursa,Bursa,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Flatbreads,https://cdn.tasteatlas.com/images/dishgroups/10f312f41ed14094b2d28b33733de9ba.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Lettuce,https://cdn.tasteatlas.com/images/ingredientgroups/7e0f57e1acdf4336ae728bbaf80a1f36.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,
https://www.tasteatlas.com/adana-kebab,https://cdn.tasteatlas.com//images/dishes/3ab81ec46f604f85bcc3cc51fd17c446.jpg?mw=660,10,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Adana kebap,4.3,Best in   (Beyoğlu),Zübeyir Ocakbaşı,https://www.tasteatlas.com/zubeyir-ocakbasi,"Adana kebap is a popular skewered meat dish named after one of the most famous kebab cities in the country, Adana. This kebab is made with ground lamb and tail fat that are kneaded together with garlic, onion, paprika, and hot red pepper flakes, g...",,READ MORE,https://www.tasteatlas.com/adana-kebab/wheretoeat,https://www.tasteatlas.com/adana,Adana,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/paprika,https://cdn.tasteatlas.com/images/ingredientgroups/1afb03b20a704f32bbb423a55d0e07cd.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/pita-bread,https://cdn.tasteatlas.com/images/dishes/02d2664de25145a580f02a75b76f2728.png?h=120&w=120,
