search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,item-location href,item-location src,item-location,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,score-text--na
https://www.tasteatlas.com/afternoon-tea,https://cdn.tasteatlas.com//Images/Dishes/2eb1fb2ff12d45fbbe34ae6429409f42.jpg?mw=660,1,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Afternoon Tea,https://www.tasteatlas.com/england,https://cdn.tasteatlas.com/images/emblems/2076f10d3a8048c2a2c5a03f02038538.png,England,4.0,Best in   (Westminster),Park Room,https://www.tasteatlas.com/park-room,"Afternoon tea is an old British tradition of having tea between 3 and 5 o'clock in the afternoon, accompanied by sweet or savory tidbits of food. There are three types of afternoon tea: , paired with scones, jam, and cream;",cream tea,READ MORE,https://www.tasteatlas.com/afternoon-tea/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/fish-and-chips,https://cdn.tasteatlas.com//images/dishes/952be31521114ce89c8525996e17dbce.jpg?mw=660,2,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Fish and Chips,https://www.tasteatlas.com/england,https://cdn.tasteatlas.com/images/emblems/2076f10d3a8048c2a2c5a03f02038538.png,England,3.8,Best in   (Tower Hamlets),Poppies Fish and Chips Spitalfields,https://www.tasteatlas.com/PoppiesFishAndChipsSpitalfields,"Most Brits would agree that there is nothing more British than fish and chips. This comforting, widely loved national dish consists of a freshly fried, hot, white fish fillet and large, sliced and fried potatoes. Cod, haddock, and flounder are the...",,READ MORE,https://www.tasteatlas.com/fish-and-chips/wheretoeat,https://www.tasteatlas.com/cods,https://cdn.tasteatlas.com/images/ingredientgroups/50d034c867d14f909a90fd06b36740f4.png?h=120&w=120,https://www.tasteatlas.com/haddock,https://cdn.tasteatlas.com/images/dishes/284d85d0ba604348ab077c0c4a4541e7.png?h=120&w=120,https://www.tasteatlas.com/hakes,https://cdn.tasteatlas.com/images/ingredientgroups/c2dc25415d20453aac3ee1eb93fb3c6e.png?h=120&w=120,https://www.tasteatlas.com/desiree-potatoes,https://cdn.tasteatlas.com/images/dishes/f0d0db2ed7cc422cbd135eab77b7a013.png?h=120&w=120,https://www.tasteatlas.com/king-edward-potatoes,https://cdn.tasteatlas.com/images/dishes/0964c5837ffc4a15b55928145d418e86.png?h=120&w=120,https://www.tasteatlas.com/maris-piper-potatoes,https://cdn.tasteatlas.com/images/dishes/d0c09443df104428959561d1baee77f7.png?h=120&w=120,
https://www.tasteatlas.com/crumble,https://cdn.tasteatlas.com//Images/Dishes/10a21ca62c0e41e2b7884f3350170ddd.jpg?mw=660,3,Dessert,https://www.tasteatlas.com/Desserts,Crumble,,,,3.9,Best in   (Kensington and Chelsea),Maggie Jones's,https://www.tasteatlas.com/MaggieJoness,"Regarded as close cousins of pies, crumbles are simple and hearty baked creations made with sweet or savory ingredients. The sweet varieties usually consist of fruit that is placed on the bottom of the tray and topped with a crumbly mixture of but...",,READ MORE,https://www.tasteatlas.com/crumble/wheretoeat,https://www.tasteatlas.com/armagh-bramley-apples,https://cdn.tasteatlas.com/images/dishes/0164a34582b040babf03bba411a52911.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,
https://www.tasteatlas.com/sunday-roast-beef,https://cdn.tasteatlas.com//images/dishes/ee433d70eb8447eb83242c0f0efe46a2.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Sunday Roast,,,,3.8,Best in   (Westminster),Hawksmoor Seven Dials,https://www.tasteatlas.com/HawksmoorSevenDials,"Possibly the most famous of all English dishes alongside fish and chips, Sunday roast is traditionally made for the big family meal of the week, Sunday lunch. Depending on the area, some carve the meat in thin slices in the kitchen and bring it to...",,READ MORE,https://www.tasteatlas.com/sunday-roast-beef/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/scone,https://cdn.tasteatlas.com//images/dishes/8a8e1c9e4b5f47479fb31203bf67998e.jpg?mw=660,5,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Scone,https://www.tasteatlas.com/scotland,https://cdn.tasteatlas.com/images/emblems/8874a39214274a0ab487e92b829738bd.png,Scotland,4.0,Best in   (Edinburgh),Mimi's Bakehouse,https://www.tasteatlas.com/MimisBakehouse,"Scone is a quick bread that is shaped into various forms such as squares, diamonds, and triangles, then baked in the oven. Although scones were griddle-baked and made with oats in the past, today they are traditionally made with wheat flour, bakin...",,READ MORE,https://www.tasteatlas.com/scone/wheretoeat,https://www.tasteatlas.com/wheat-flours,https://cdn.tasteatlas.com/images/ingredientgroups/9766be3d2b5d4b57a73472bfa5bb9092.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,
https://www.tasteatlas.com/english-breakfast,https://cdn.tasteatlas.com//images/dishes/b92a3d74b4cf48c28abba34197798049.jpg?mw=660,6,Breakfast,https://www.tasteatlas.com/Breakfast,English Breakfast,https://www.tasteatlas.com/england,https://cdn.tasteatlas.com/images/emblems/2076f10d3a8048c2a2c5a03f02038538.png,England,4.1,Best in   (Tower Hamlets),E Pellicci,https://www.tasteatlas.com/e-pellicci,"Also known as the , this traditional British dish appears everywhere with a few essentials and some regional additions. First, there is the meat – usually a combination of sausages and bacon. The sausage is plain pork ...",full breakfast,READ MORE,https://www.tasteatlas.com/english-breakfast/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Sausages,https://cdn.tasteatlas.com/images/dishgroups/ffcde30e795b4a6f85a482358723a706.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,
https://www.tasteatlas.com/haggis,https://cdn.tasteatlas.com//Images/Dishes/bf5a2efed355495f8e9f754d37f733c8.jpg?mw=660,7,Offal Dish,https://www.tasteatlas.com/Offal,Haggis,https://www.tasteatlas.com/scotland,https://cdn.tasteatlas.com/images/emblems/8874a39214274a0ab487e92b829738bd.png,Scotland,3.7,Best in   (Glasgow),The Ubiquitous Chip,https://www.tasteatlas.com/TheUbiquitousChip,"Haggis is a spicy mince, a type of pudding of high nutritional value made from sheep's innards, lamb's heart, lungs and liver, beef, onions, oats, and spices. It is the national dish of Scotland and an excellent source of fibre, iron, and carbohyd...",,READ MORE,https://www.tasteatlas.com/haggis/wheretoeat,https://www.tasteatlas.com/organ-meats,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Oatmeal,https://cdn.tasteatlas.com/images/ingredientgroups/a67999d408a34b01a0f427ead12877fd.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/thyme,https://cdn.tasteatlas.com/images/ingredientgroups/45790b24a3b24deb93df46bad31f8b4c.png?h=120&w=120,
https://www.tasteatlas.com/pound-cake,https://cdn.tasteatlas.com//Images/Dishes/6ddc18899a3a4956995f288bfb9d69d5.jpg?mw=660,8,Cake,https://www.tasteatlas.com/cakes,Pound Cake,,,,3.6,Best in   (Camden),Pierre Hermé Paris Covent Garden,https://www.tasteatlas.com/pierre-herme-paris-covent-garden,"Pound cake is a British dessert consisting of one pound of each of the following ingredients: flour, butter, sugar, and eggs, hence the name. There is no leavening agent used in the preparation, except the air that is whipped into the batter. It d...",,READ MORE,https://www.tasteatlas.com/pound-cake/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,
https://www.tasteatlas.com/high-tea,https://cdn.tasteatlas.com//images/dishes/72e5d424e42840e9b744b29232953721.jpg?mw=660,9,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,High Tea,,,,,Best in   (Abergavenny),Afternoon Tea at The Angel,https://www.tasteatlas.com/AfternoonTeaAtTheAngel,"High tea is an English tradition that's closely associated with the working classes of the 18th and 19th centuries, when famished factory workers used to arrive home late in the evening and eat bread, cheese, vegetables, a cup of tea, and sometime...",,READ MORE,https://www.tasteatlas.com/high-tea/wheretoeat,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/trifle,https://cdn.tasteatlas.com//images/dishes/b172565360774655ade40b05803a5855.jpg?mw=660,10,Dessert,https://www.tasteatlas.com/Desserts,Trifle,https://www.tasteatlas.com/england,https://cdn.tasteatlas.com/images/emblems/2076f10d3a8048c2a2c5a03f02038538.png,England,3.6,Best in   (Norwich),Benedicts Norwich,https://www.tasteatlas.com/benedicts-norwich,"Trifle is a classic British dessert made by layering pieces of sponge cake, fruit jams or fruit purée, and egg custard. The sponge is usually soaked in fortified wine or brandy such as , , or , an...",sherry,READ MORE,https://www.tasteatlas.com/trifle/wheretoeat,,,,,,,,,,,,,
